# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: HA_smo6 Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
IC1199,6.532243,128.515568,4.910194,8.906068,4.255948,-8.921342,8.061023
IC1199,9.903506,161.966875,3.689206,10.031036,4.984548,-5.139866,4.725832
IC1199,13.255527,182.516894,2.526714,8.709596,4.527068,-2.630762,1.906801
IC1199,16.604515,195.01734,2.569198,6.303087,4.702893,-0.552581,0.796143
IC1199,19.942205,204.958822,1.644031,3.736762,5.300688,2.02217,1.718101
IC1199,23.275626,210.793079,1.368945,1.224535,5.717266,1.811064,2.9792
IC1199,26.6071,212.347117,1.874449,2.413068,5.957809,2.606145,3.388095
IC1199,29.946444,217.308192,1.595967,2.672478,7.189573,-0.354805,4.085823
IC1199,33.137328,221.188948,4.339713,-0.517246,8.960136,2.660612,4.906518
IC1683,5.646886,93.930927,5.555946,-8.591377,3.383109,-4.652294,5.070153
IC2247,4.398794,71.494762,8.896911,-3.665133,5.361487,33.869412,9.318368
IC2247,9.276189,105.489651,2.852386,-2.189203,5.022863,24.165471,3.503797
IC2247,13.306347,129.708718,3.567131,-5.231541,3.840472,14.730123,3.07292
IC2247,16.984357,147.368068,2.395172,-3.9464,3.168644,13.580682,2.239857
IC2247,20.583221,161.593556,1.979587,-4.703015,3.347747,12.082033,2.149591
IC2247,24.087807,168.675935,2.319788,-5.888096,3.541144,9.65986,2.317244
IC2247,27.555533,173.236816,3.980872,-5.345692,4.213708,4.689853,3.477767
IC2247,31.009212,173.863639,3.456109,-8.952067,5.402533,0.383129,3.936902
IC2247,34.6831,182.484949,6.43599,-8.373533,5.481587,3.182603,4.071152
IC2247,38.389151,190.514467,7.111683,-3.684573,5.575187,3.682286,3.909607
IC2247,41.708477,207.356648,8.545707,-1.539483,5.796502,5.964208,4.110179
IC2247,44.898541,251.212774,8.150541,-6.472525,5.727628,6.56407,4.432376
IC2247,48.484069,266.683079,12.657209,-6.34182,6.548319,9.458528,5.846896
IC2247,52.019792,283.055424,19.179076,-7.652614,7.923266,9.209682,7.967834
IC2247,55.533927,374.593207,30.618483,-10.552965,8.280275,19.813607,11.762435
IC2247,59.663525,339.70308,45.942976,4.523113,8.615487,21.454343,16.537478
IC2247,64.079688,322.518318,134.722382,-15.494302,203.122201,-16.15796,230.035144
IC2247,68.143186,456.304535,153.104257,7.715828,198.802021,25.23198,225.615445
IC2247,72.908449,414.875872,2069.502144,1.603178,4518.996572,10.469134,4964.801109
IC2247,77.990254,621.053692,3557.917613,-10.330958,8085.041235,49.324748,8823.9895
IC2247,83.054331,709.700851,12761.274241,-4.297611,30176.883217,72.566126,32750.346063
IC2487,4.440247,55.092572,3.620014,-2.091036,2.363393,-11.264867,6.679913
IC2487,9.344845,111.157092,4.161815,-2.619717,2.165048,-9.638021,5.465236
IC2487,13.422943,138.967331,3.581164,-1.541783,2.974547,-7.444081,3.052235
IC2487,17.123343,151.882592,2.708065,-2.992596,3.516101,-4.48701,2.036298
IC2487,20.739479,163.207018,2.497101,-4.407143,4.39886,-1.57952,1.47267
IC2487,24.285388,169.040621,3.209037,-3.575848,5.088275,-3.935219,1.860832
IC2487,27.77865,168.406187,3.291024,-1.953147,5.275115,-8.333891,1.969266
IC2487,30.888289,170.207621,3.185782,-2.786421,5.07256,-9.006315,2.017784
IC2487,34.059183,177.881747,3.35637,-3.742111,4.855897,-8.022578,1.767672
IC2487,37.380715,188.035093,3.296726,-5.236808,4.85426,-6.569407,1.305862
IC2487,40.546953,199.187137,4.572287,-3.970607,4.585491,-7.318044,1.225398
IC2487,43.711345,209.970811,5.671278,-3.065131,4.205075,-5.490008,1.19446
IC2487,47.078299,219.013272,6.632859,-4.196239,4.16701,-6.647572,1.381363
IC2487,50.555178,233.971393,8.809859,-2.756917,4.263621,-5.129417,2.039936
IC2487,54.184326,248.165693,11.634462,-4.221066,4.900248,-4.957163,3.020613
IC2487,57.907609,258.079369,17.246332,-4.559526,5.997239,-6.629821,4.040552
IC2487,61.748878,274.312993,23.205962,-5.597144,6.236393,-5.448409,4.214684
IC2487,65.770981,298.871051,29.703661,-3.725778,28.404832,-5.600582,26.992651
IC2487,69.577873,232.692138,41.02078,2.017847,130.892986,-17.437871,125.876983
IC2487,73.307551,301.824429,205.906426,-12.157615,283.221665,-4.73072,273.81465
IC2487,76.938012,258.778335,412.825268,-17.238926,554.867205,-2.823783,540.066341
IC4566,2.657706,36.535848,11.13156,-16.066733,11.582793,-49.444222,11.110089
IC4566,6.212654,109.051619,9.135542,-19.10766,9.687316,-16.925692,6.388413
IC4566,9.78422,168.679592,5.791236,-13.461636,5.785821,5.562202,2.853613
IC4566,12.995983,200.481901,4.668155,-2.529418,5.57631,6.929772,5.032533
IC4566,16.302117,212.399935,4.376201,9.127462,6.342245,6.112959,8.066746
IC5376,3.646187,69.16744,4.83733,0.161833,2.99007,-18.289774,12.426417
IC5376,7.593596,120.718717,5.235201,0.904169,4.054504,-14.237724,9.11598
IC5376,11.574679,159.381406,4.825505,4.951522,4.794344,-11.403612,6.523614
IC5376,14.999135,178.078239,3.964344,7.404819,6.918126,-9.134837,3.930839
IC5376,18.19922,183.782278,3.186762,8.15852,8.064805,-3.351966,2.321969
IC5376,21.616796,186.605811,2.522,4.686073,7.905768,3.882234,1.856311
IC5376,24.865585,188.243619,2.27761,3.788426,7.314525,8.085998,2.063772
IC5376,28.015809,191.129063,2.314003,3.013071,6.879268,8.443313,1.874267
IC5376,31.331192,193.344194,2.091296,0.422963,6.685265,6.472907,2.1495
IC5376,34.62414,198.948685,2.559496,-0.999427,7.53145,4.581946,2.654483
IC5376,37.943289,204.660928,4.488553,-1.493539,10.411651,2.17834,4.139901
IC5376,41.09908,195.501284,9.794886,17.965247,12.354685,4.254991,6.884534
IC5376,44.235283,204.530385,16.352573,15.742927,11.694515,9.353028,8.364105
IC5376,47.404376,227.65402,18.996738,-18.601512,17.093886,17.347993,11.629571
NGC0444,3.989777,31.904143,5.436423,-3.28141,1.64816,-0.11905,5.075639
NGC0444,8.394117,58.916791,3.208639,-0.379853,1.28439,7.039904,3.275437
NGC0444,12.728441,76.727601,2.08051,0.692309,1.650653,8.010829,2.217693
NGC0444,16.516038,86.05489,1.869613,2.045407,1.967657,7.621704,1.703385
NGC0444,20.028676,100.891515,2.379824,0.387063,2.123826,3.424951,1.225431
NGC0444,23.398199,105.690105,2.263546,-4.373363,2.602727,0.204241,1.208478
