# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: HA_natv Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
IC0944,34.489163,297.953453,23.24299,-2.183732,21.335396,-14.741516,13.711098
IC0944,36.422835,316.653077,27.574609,9.48147,30.596262,-17.206564,21.041326
IC0944,38.041864,316.590053,34.522254,-17.055905,44.451939,-0.554229,27.897868
IC1151,3.3046,19.33399,4.891457,2.678052,1.614863,3.930506,8.990535
IC1151,6.099926,42.109776,3.861683,5.34591,2.297291,0.564262,12.410951
IC1151,7.916991,71.114723,4.960083,10.84804,3.60544,1.663184,12.094844
IC1151,10.024326,89.395791,7.41723,11.304794,4.238696,3.663918,8.29701
IC1151,12.310703,98.288164,6.466293,11.621199,3.930571,4.65328,4.049663
IC1151,14.24035,97.687929,4.437412,6.997867,3.453238,5.002023,2.794978
IC1151,15.939819,98.347206,3.479388,-0.012125,3.509632,7.897311,2.85871
IC1151,17.465823,100.09514,3.2016,2.205363,3.825771,6.073977,2.732341
IC1151,19.194538,99.899398,2.494319,0.075443,3.932934,6.507309,2.372472
IC1151,21.092521,101.250534,2.217942,1.492475,4.332837,7.035554,2.012952
IC1151,22.836942,106.440044,2.643743,3.469465,4.585414,3.31407,1.988897
IC1151,24.455173,105.381397,2.09849,3.13228,4.737384,3.274968,2.38238
IC1151,25.970998,103.339388,2.261451,3.99218,4.579906,4.147189,2.549091
IC1151,27.629122,105.861512,1.830293,2.487278,4.206099,3.020834,2.875664
IC1151,29.421704,107.35846,1.713718,-3.022202,3.940836,2.759824,2.970314
IC1151,31.104764,107.470853,2.451128,-3.143201,3.718726,2.487343,2.713403
IC1151,32.725307,108.19174,3.292527,-4.690301,3.554089,1.802869,2.297442
IC1151,34.328229,117.092478,4.00828,-4.176624,3.429089,-1.48983,2.122568
IC1151,35.950447,119.379636,3.751954,-3.328581,3.426769,-2.813281,2.098983
IC1151,37.60495,119.728908,3.107779,-4.672343,3.575004,0.192772,1.932371
IC1151,39.234671,124.841708,3.645024,-2.715855,3.706638,-0.699576,1.915989
IC1151,40.84785,128.200079,4.546871,0.0371,3.945514,0.177465,2.264508
IC1151,42.581797,123.555745,5.834261,-2.094972,4.078946,0.200696,2.384586
IC1151,44.388114,119.852265,6.73984,-5.753936,3.952827,-1.964278,2.369966
IC1151,46.089741,128.811495,7.243381,-4.691084,3.815804,-1.646146,2.571785
IC1151,47.699228,129.721145,7.075715,-6.800401,3.733044,-2.952623,2.825207
IC1151,49.351762,134.300217,7.294054,-7.598977,4.002936,-1.367581,3.166112
IC1151,51.015076,129.001524,8.197676,-4.602615,4.332166,-0.83825,3.453506
IC1151,52.755824,144.367591,9.187475,-4.595605,4.626717,-2.477623,3.900386
IC1151,54.563293,143.051142,10.774629,-6.529228,5.327543,-3.312119,4.601898
IC1151,56.432764,175.865196,11.410605,-6.666337,6.084127,-5.380764,5.404834
IC1151,58.510122,176.294126,15.108825,-6.2258,6.893957,-6.511191,5.996692
IC1151,60.399429,188.354977,22.733365,3.255467,11.212304,-3.721768,10.663235
IC1151,61.984762,141.700017,29.052898,0.848289,18.795208,-4.796628,18.407789
IC1151,63.803968,167.303975,34.637361,7.583175,29.106285,3.584049,28.143235
IC1151,65.818946,168.078205,44.962104,7.861495,266.062449,5.115275,260.027694
IC1151,68.59062,130.631556,73.476242,7.686944,449.731382,0.469283,441.869353
IC1199,3.088296,96.126406,23.407342,6.333966,8.804441,-49.089577,34.16392
IC1199,5.675254,135.819807,28.185758,2.243389,11.691687,-38.873897,24.431469
IC1199,7.389232,178.216259,26.768861,4.591569,11.455922,-19.248515,18.26856
IC1199,9.354241,177.49585,18.11188,6.79756,8.746278,-9.764765,11.274664
IC1199,11.49712,178.414505,10.642574,8.099347,7.311126,-12.304697,5.900367
IC1199,13.279514,187.810418,7.811224,7.435842,6.56078,-8.995753,3.837133
IC1199,15.229891,190.825589,6.684059,6.913064,6.087688,-6.102543,2.46093
IC1199,17.267928,196.913081,5.005981,3.211715,6.112895,-3.101804,2.062512
IC1199,19.106865,199.445325,3.953171,1.409478,6.179789,-1.922386,2.857409
IC1199,20.777546,208.210806,4.373485,1.175314,6.612871,-0.048542,3.757655
IC1199,22.31232,210.227865,4.196606,3.155527,7.169431,1.303892,5.07949
IC1199,23.998105,205.663171,3.389723,2.711862,6.922111,-1.665773,6.214095
IC1199,25.772597,205.206436,4.812475,2.149401,7.599941,-2.640461,6.94139
IC1199,27.441603,204.752047,6.588535,7.464237,8.684283,2.249976,7.095175
IC1199,29.023338,212.963044,7.397278,8.557665,10.585411,-1.543762,7.751184
IC1199,30.569939,211.760637,9.279858,2.156042,12.127957,8.305912,7.461962
IC1199,32.243312,235.221913,10.837405,18.586548,13.450307,7.69435,6.79309
IC1199,33.972272,234.316673,15.742998,-12.760659,16.759988,5.001345,10.844841
IC1683,2.658792,65.307192,32.293724,-3.226909,11.306232,50.364459,29.508845
IC1683,4.89016,120.651029,31.786128,-10.152046,13.043264,18.459073,22.70964
IC1683,6.997061,143.527585,29.153656,-11.623071,11.243117,17.660631,13.96942
IC1683,9.050437,162.554627,28.708857,-16.614887,10.831394,9.996871,6.867306
IC1683,11.094557,168.442994,23.551403,-13.524641,8.961642,-3.448701,7.403501
IC1683,13.187323,140.042074,9.447936,0.612039,6.716196,-19.717879,11.931102
IC1683,14.973941,128.770511,16.21745,3.133629,8.093392,-17.653246,10.369976
IC1683,16.635319,138.772294,21.3465,5.726909,9.740659,-6.10735,7.217387
IC1683,18.292718,131.299568,21.757434,14.364443,10.034039,-9.760998,9.078676
IC1683,20.216164,135.176079,24.681008,11.797533,12.77974,-2.187831,13.201641
IC2247,4.398794,45.638639,24.638934,16.512185,12.636421,64.008467,19.936425
IC2247,8.049468,106.169314,14.612275,14.443529,14.030958,39.027871,8.283283
IC2247,10.50291,110.902219,10.67596,3.04184,11.122542,36.198746,5.477033
IC2247,12.465744,118.041389,11.511371,1.710922,8.818782,29.646718,6.405392
IC2247,14.146951,131.872643,12.307776,-6.907385,6.887581,24.354142,5.767931
IC2247,16.337833,147.795878,10.896827,-6.37997,5.533226,26.972609,3.93671
IC2247,18.876952,159.059766,8.176322,-4.414344,5.560998,25.539483,3.521395
IC2247,21.176753,161.388359,6.946966,-5.980025,5.834519,25.667626,4.76394
IC2247,23.222351,162.129756,7.523303,-5.700013,6.535728,23.808616,6.090467
IC2247,25.079201,164.781379,7.890735,-11.381214,6.765705,18.080684,6.438053
IC2247,26.833012,160.114198,7.49209,-10.032497,6.969985,16.29859,6.618917
IC2247,28.94932,168.656692,6.93427,-7.693172,6.657099,12.933476,6.017651
IC2247,30.921559,178.127557,10.828113,-7.028862,8.880296,8.807265,7.030939
IC2247,32.936888,184.322633,14.264554,-11.917734,10.32537,15.876313,7.739268
IC2247,34.959613,220.783177,19.865715,-10.787801,13.426662,39.031049,9.579575
IC2247,36.645952,176.912641,23.286624,-1.095196,16.485199,32.521276,10.856174
IC2247,38.434294,171.894391,20.570107,6.606508,17.34201,26.045915,10.576135
IC2247,40.467522,222.269063,19.135227,-4.952173,18.996824,45.367027,11.088613
IC2247,42.771705,217.953742,26.40981,-14.378434,19.975918,34.400561,11.774442
IC2247,45.228953,180.498628,39.334464,-17.449455,19.782861,36.273039,16.055938
IC2247,47.137882,200.478907,49.365585,-23.097871,24.097107,38.887626,22.202846
IC2247,48.805989,256.029014,57.414633,-14.862491,26.273179,27.966937,24.613622
IC2247,50.536723,111.020578,63.106362,-70.795067,24.17809,46.0805,25.442813
IC2247,52.438142,384.002368,67.881031,-13.886776,24.954924,46.513213,26.751826
IC2247,54.453559,213.082162,83.917197,-33.856506,29.614645,46.777393,33.491837
IC2247,56.805611,206.860234,91.556072,-29.323685,26.30054,20.885048,34.906102
IC2247,59.46398,234.019944,101.343699,-28.047195,28.347593,15.6145,39.108408
IC2247,62.974386,264.222313,117.314389,-4.382547,30.115677,15.380808,46.809436
IC2247,68.953431,271.319286,139.188477,32.329925,33.552919,7.014709,55.803991
IC2247,76.843988,177.879189,260.256879,55.393066,383.250816,-36.699937,420.621245
IC2487,4.440247,68.987412,10.286037,-3.107386,5.144177,-11.900442,16.195267
IC2487,8.129662,108.469967,12.197526,-0.129081,5.772768,-6.386017,13.614482
IC2487,10.560028,131.922587,14.206373,-0.681356,6.014263,-7.455045,9.922903
IC2487,12.583872,147.3844,14.053247,-4.016212,6.171674,-0.647172,7.305332
IC2487,15.019391,155.72037,10.867653,-2.367979,5.231462,-3.563405,4.953994
IC2487,17.79663,157.160103,8.648931,-6.090999,5.522834,-0.849475,3.658419
IC2487,20.187242,160.38859,7.179706,-3.709757,5.943195,2.829534,3.107651
IC2487,22.357387,168.859184,6.214934,-6.579593,6.340444,1.872251,3.085731
IC2487,24.285245,169.564433,5.917419,-6.058368,6.381646,-2.788375,3.393237
IC2487,26.106709,167.376456,4.96044,-3.272872,6.010061,-5.213098,3.833077
IC2487,27.807592,167.365632,4.30937,-1.26557,6.009443,-5.931093,3.848829
IC2487,29.401352,168.450267,4.610055,-2.410519,5.72672,-7.470453,3.852789
IC2487,31.245562,170.317957,4.546527,1.678838,5.575774,-7.571559,3.583985
IC2487,33.401605,174.11869,5.150809,-0.646924,5.605133,-5.632821,3.276061
IC2487,35.381343,182.000731,5.383531,-3.444599,5.581431,-5.902173,2.9811
IC2487,37.367497,187.950349,5.670974,-2.929414,5.75787,-6.226649,2.890156
IC2487,39.431989,190.869662,6.252392,-3.645922,5.527668,-1.283512,3.020059
IC2487,41.265037,192.526154,8.431473,-5.479023,5.558848,1.870602,3.64609
IC2487,42.851741,206.581751,9.117123,-1.830395,5.622514,-2.621916,3.767983
IC2487,44.484697,208.137627,9.804108,-1.942967,5.657008,2.650786,3.811297
IC2487,46.139378,210.218211,10.771677,-2.859919,5.664009,-1.562229,4.170514
IC2487,47.892382,224.706353,11.317289,-2.638693,6.203551,4.237801,4.778688
IC2487,49.566008,225.924935,12.047689,-6.948224,6.15344,-0.278428,4.655721
IC2487,51.40133,244.07847,13.538657,0.081465,7.707309,2.922725,5.600561
IC2487,53.202477,245.032552,15.017165,-3.547142,8.390393,-2.247954,6.346582
IC2487,55.168442,275.445938,19.800972,-0.935344,10.775285,0.402724,8.470667
IC2487,57.123737,258.007194,23.216348,-7.55379,15.404727,-0.21319,13.108406
IC2487,59.245502,258.993771,28.536066,6.725545,16.207902,-0.693266,13.249218
IC2487,61.670078,230.64934,31.502529,-11.09417,23.437319,-6.585433,20.251107
IC2487,63.681018,266.714661,42.444866,10.907299,95.160836,-8.544245,90.926363
IC2487,65.45658,252.390019,116.603855,-1.27691,434.109541,-19.154266,422.336357
IC2487,67.388517,280.683693,497.263373,-5.944544,747.771622,-9.708961,891.767437
IC2487,69.591343,295.173504,583.70943,3.884236,1933.257359,-9.140813,2010.385148
IC2487,72.258694,238.065929,170.208487,-11.541211,272.411809,0.026552,266.158776
IC4566,2.657706,52.571758,21.998862,-9.963625,29.758968,-51.878537,27.746662
IC4566,4.841916,99.112973,21.146749,-27.623663,30.514052,-8.860261,16.389385
IC4566,6.924248,134.384982,13.004287,-27.318244,21.947287,7.241408,11.851316
IC4566,8.988146,168.507086,12.545492,1.889677,16.462595,8.378097,8.30151
IC4566,11.010529,188.190438,10.789924,-17.131,11.535161,27.131212,6.67264
IC4566,13.026308,201.734329,9.648832,-8.663048,9.761627,19.199587,7.190861
IC4566,14.779543,211.926119,9.782883,-4.678489,9.290236,15.648188,10.158849
IC4566,16.350926,211.50007,9.609629,5.597116,8.778047,20.109284,12.72984
IC4566,18.002827,211.063905,9.749449,15.443,9.585233,13.514655,13.794634
IC4566,19.716815,205.389884,10.551231,20.298533,11.138508,7.902134,13.300769
IC4566,21.367994,206.321597,11.221439,12.086471,11.304653,1.521824,13.809501
IC4566,22.964742,215.745277,12.408009,-3.309283,10.956538,-5.728806,14.214889
IC5376,3.646187,80.82117,15.342673,-6.106999,13.229257,-57.296568,29.351325
IC5376,6.636988,120.023035,18.458869,-13.680833,17.72031,-41.608971,21.320381
IC5376,8.550205,141.939048,18.662973,-6.735359,18.759214,-33.669222,17.335909
IC5376,10.311885,161.418347,18.270363,-2.858113,18.713018,-25.840564,14.090505
IC5376,12.206076,173.358364,16.134762,-0.46213,17.924994,-23.95487,10.217117
IC5376,14.498468,177.111022,13.576753,-3.486985,17.449619,-18.592798,7.165722
IC5376,16.509618,177.847837,10.922546,-8.807345,16.25116,-13.363322,5.209722
IC5376,18.151194,175.648747,9.295396,-2.552207,15.236589,-4.802492,4.34016
IC5376,19.869555,178.412292,6.998999,3.266436,13.899099,-4.244101,3.733748
IC5376,21.578119,176.01357,5.157731,-1.753345,11.23549,2.696031,3.438876
IC5376,23.647534,177.661199,4.171175,4.600822,9.800106,5.531605,3.784494
IC5376,25.490519,183.86629,4.298492,2.215605,8.633654,6.346927,3.647853
IC5376,27.175986,183.280536,4.694398,-0.018753,8.584972,1.721408,4.355891
IC5376,28.855633,180.567111,5.053756,8.558882,7.846253,4.3577,4.844226
IC5376,30.57064,181.126684,5.778468,0.719266,7.858358,2.222007,4.074291
IC5376,32.558472,189.179635,6.660676,12.61198,8.72511,0.742628,4.72337
IC5376,34.086454,193.868775,6.991198,3.156329,10.047,1.776704,5.560333
IC5376,35.821588,203.391333,8.120077,-18.980379,11.402868,3.54327,7.091428
IC5376,37.628116,199.094898,10.486557,-14.563097,13.432026,3.170947,9.501715
IC5376,39.890768,193.613297,16.775551,-6.373973,17.851481,8.866726,13.005576
IC5376,42.966915,162.525706,37.908806,-32.448824,38.508451,5.492055,29.993438
IC5376,46.373561,133.28482,68.727218,-50.702912,111.613885,-5.851746,92.521553
NGC0444,3.989777,27.357489,10.816731,3.798692,3.370914,-9.889398,10.994004
NGC0444,7.285976,58.825438,11.787061,5.878151,4.337145,-2.43355,8.370021
NGC0444,9.502257,67.388086,10.007077,7.674613,4.318304,-0.215995,5.546115
NGC0444,11.250822,72.59341,7.802003,2.980628,3.829323,1.765728,4.478603
NGC0444,13.46725,81.018536,5.375236,2.941178,3.092227,3.922315,3.789402
NGC0444,15.978433,88.256019,4.82186,1.349803,2.712929,2.24716,3.488981
NGC0444,18.114742,95.388579,4.65238,0.956609,3.195331,1.047355,3.307481
NGC0444,20.035231,104.109488,4.248764,-2.113205,3.596579,0.171936,3.019323
NGC0444,21.843296,108.890835,4.323413,0.251855,4.34164,-0.038459,3.083976
NGC0444,23.4454,111.641135,4.100587,-4.531681,5.510942,-1.107456,3.239594
NGC0444,25.317815,112.290997,3.65026,-3.522002,5.419089,-1.437262,3.813693
NGC0444,27.409744,109.019487,3.074022,-9.246263,6.68375,-4.880664,4.20071
NGC0444,29.343204,109.410101,3.944614,-5.456079,7.888759,0.301262,4.583555
NGC0444,31.162468,111.384684,5.097692,-0.478013,8.373585,2.303903,5.027633
NGC0444,32.907431,111.543172,6.677228,1.238391,9.481869,3.455178,5.747433
NGC0444,34.612679,112.282768,7.786523,0.67082,11.52801,3.072158,7.113794
NGC0444,36.435655,124.027564,8.902825,-4.212348,13.125037,-0.062717,8.512053
NGC0444,38.237149,128.252595,9.389401,-6.999467,13.316447,-3.573611,9.284438
NGC0444,40.131328,133.396309,11.339366,-12.224245,14.996154,-7.33809,11.380183
NGC0444,42.017013,130.191968,11.999816,-23.95535,16.39893,-9.019589,12.74429
NGC0444,44.02562,151.199636,14.601682,-23.088815,19.730802,-18.882513,15.723285
NGC0444,46.160184,165.039051,17.387881,-53.634209,23.93103,-30.737468,18.903583
NGC0444,48.189068,169.201876,23.063708,-12.641378,30.675442,-9.33504,24.419954
NGC0444,50.584507,152.677101,35.550574,-10.506539,56.571685,-3.321069,46.487219
NGC0444,52.535068,172.973055,178.621916,2.673356,273.714598,2.240153,309.140024
NGC0444,54.247165,146.48481,113.291663,-121.177408,474.209618,-100.771298,440.258032
NGC0444,55.936157,178.591122,165.341874,57.044093,740.642796,51.714513,711.858967
NGC0447,2.164322,78.880388,27.664214,17.780778,21.415713,0.936129,26.732476
NGC0447,4.586546,106.15783,30.521039,-15.267692,27.3333,5.555299,18.453977
NGC0447,6.600461,154.010402,31.501037,20.016646,37.831268,-14.59249,16.952551
NGC0447,8.162925,97.908238,30.944707,-67.650942,36.210433,14.019793,23.598612
NGC0447,9.859264,128.828524,39.036556,-63.848013,35.300069,13.061316,31.433682
NGC0447,11.750617,129.539599,39.517558,31.32412,31.045662,-53.537235,40.718735
NGC0447,13.439889,168.493016,45.97173,58.521229,32.124163,1.895624,37.783721
