# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: CO_smo6 Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
NGC0523,3.607914,47.757574,12.502112,-8.32819,3.229445,-15.430674,5.856904
NGC0523,7.668691,105.9223,7.807292,-17.752989,5.810997,2.029212,3.186438
NGC0523,11.23806,140.036985,7.400123,-6.731978,7.0091,7.733085,4.077092
NGC0523,14.658224,162.439491,4.609246,-2.803101,4.413009,12.088419,4.118646
NGC0523,18.197197,180.455336,3.750394,2.363267,3.424922,10.093849,3.764728
NGC0523,21.981266,217.303354,6.104493,-3.473462,4.747558,4.049171,2.738473
NGC0523,26.153515,248.80186,5.128165,-8.382464,5.557412,-3.355808,3.543616
NGC0523,30.548635,258.997344,7.994045,7.290325,7.666957,-9.254996,6.705228
NGC0523,35.196437,271.28008,27.126499,14.2107,29.996025,-18.685374,18.379552
NGC0551,3.084573,74.880217,16.757461,15.988922,13.465459,7.418722,21.470801
NGC0551,7.164618,147.043613,7.665552,25.293645,7.070211,0.005534,8.907559
NGC0551,11.156953,158.250755,8.299756,3.975693,6.54755,2.039771,4.34954
NGC0551,14.092774,163.047755,3.617954,-3.732617,5.561824,3.002512,2.741581
NGC0551,17.280812,171.968057,2.559794,-7.753459,5.933992,4.441389,2.870478
NGC0551,20.655478,187.060995,2.086549,-3.339491,7.052391,3.346459,3.255745
NGC0551,23.987723,190.557231,4.542569,1.034017,8.265696,0.515843,4.255952
NGC1167,20.122424,36.215052,96.781135,132.338001,28.366032,451.884829,93.439886
NGC1167,25.175857,178.304539,34.473862,121.930707,15.318874,310.146123,108.455951
NGC2253,2.470596,78.947854,9.832273,0.595009,4.080846,0.714701,18.881886
NGC2253,5.801935,147.284759,11.31447,-4.467108,6.383405,-0.236399,8.886144
NGC2253,9.12906,159.44776,6.311382,-2.624468,5.864083,-6.349315,4.061384
NGC2253,12.400451,165.588677,4.9171,-3.477488,5.43466,-4.830274,4.508655
NGC2253,15.678223,170.603675,4.642466,1.320712,5.367938,-1.38876,4.209034
NGC2253,18.875316,174.178909,4.208281,4.492155,5.416999,0.465054,3.893352
NGC2253,22.111715,181.297453,4.409291,7.539806,5.068981,-0.341822,3.74235
NGC2253,25.307365,184.965896,5.634255,10.345219,5.48906,-1.899188,5.024284
NGC2347,2.545429,167.23164,15.639242,3.806821,8.947907,-3.860448,42.777274
NGC2347,5.958517,260.838823,16.369831,-6.940949,12.118537,2.285979,13.521205
NGC2347,9.389312,274.662148,8.537897,5.749199,10.31316,1.619631,3.939304
NGC2347,12.535234,282.159126,7.539141,9.104304,11.83288,-0.054809,5.86524
NGC2347,15.515171,285.600394,7.963198,3.368975,11.291549,0.480604,4.299526
NGC2347,18.457367,285.750207,8.754197,-6.798556,12.67041,3.34012,9.63813
NGC2410,3.626134,81.499772,7.126505,-5.860651,3.05929,-2.292422,14.769576
NGC2410,7.621806,164.520116,11.715772,-7.638527,5.261472,-7.900561,14.886539
NGC2410,11.574167,236.843243,8.746027,-5.607277,8.063872,1.442575,5.591809
NGC2410,15.008899,236.825574,6.287107,9.222927,8.498196,8.0163,4.192108
NGC2410,18.205993,222.069681,8.603195,12.421845,9.136652,3.725526,5.454571
NGC2410,21.483111,224.070962,6.435276,7.210866,9.324047,5.678256,6.18065
NGC2410,25.201777,227.204128,3.512683,4.909955,7.287498,1.938968,4.413108
NGC2410,28.942684,231.387171,3.988756,-0.02149,14.248834,3.334251,7.168414
NGC2480,5.681369,13.101147,3.015722,-7.632804,3.568611,43.269448,1.82776
NGC2480,9.122763,21.756558,4.636282,-3.314785,13.594213,35.164167,8.778696
NGC2487,2.19412,104.914208,28.940082,-0.168735,11.739219,-11.391994,13.969706
NGC2487,5.330418,142.293254,14.40645,11.57166,12.848503,-6.78217,21.32212
NGC2487,9.189446,250.316118,89.170444,-69.443142,71.590422,-18.0981,19.76301
NGC2487,13.469244,182.866075,131.023339,4.610198,75.406816,-12.040807,24.621617
NGC2487,20.397796,281.559686,89.429483,0.573572,120.356811,21.0831,135.223997
NGC2487,23.41678,233.006226,19.870732,24.659854,36.130197,29.013375,40.825734
NGC2487,26.459197,267.811548,31.560473,6.760125,11.625512,2.440556,22.016834
NGC2487,29.94999,353.902418,37.995063,55.448356,19.190894,-30.334734,29.231242
NGC2623,2.427499,59.912944,4.916778,-3.448054,2.638032,7.82291,5.034371
NGC2623,5.703052,109.277797,4.632615,-1.040885,4.712382,8.034384,6.300318
NGC2623,8.898811,132.380019,15.673668,3.689741,7.802778,1.364528,9.390297
NGC2623,12.731892,97.202788,18.766668,-12.23664,13.855533,-21.661186,18.254479
NGC2639,3.431996,156.240643,28.941106,3.079593,18.370161,-43.354866,21.827526
NGC2639,6.91366,263.496968,20.023073,5.179635,14.90761,-15.889995,13.437837
NGC2639,10.085414,308.53621,10.90738,2.211318,10.15478,-14.913174,3.729874
NGC2639,13.276553,340.020229,9.691542,6.705856,11.349422,-7.28601,9.72771
NGC2639,16.644952,358.1266,10.093344,0.329378,12.397777,-2.304335,13.606564
NGC2639,19.779007,371.881998,10.733228,-12.287358,13.27428,7.097624,15.94251
NGC2730,2.187157,33.667574,4.463553,-1.177364,4.683211,-11.722585,17.335233
NGC2730,5.209402,89.855552,8.155551,-20.992028,4.584707,-7.397014,15.668716
NGC2730,8.495062,95.399263,10.821502,-36.062923,14.734187,-17.868184,21.398478
NGC2730,11.828967,129.551504,10.227023,-27.014195,11.585099,-4.798586,23.224966
NGC2906,2.704383,52.249955,5.961738,1.668123,3.23595,-7.316821,10.202682
NGC2906,6.361789,141.319488,13.780256,12.58044,6.456737,10.719894,13.80333
NGC2906,10.00586,172.892499,6.482612,20.520073,6.303252,9.028134,2.0815
NGC2906,13.608244,175.86005,4.375555,11.466971,5.758446,6.177045,4.680822
NGC2906,17.252061,180.587484,3.698097,2.956102,5.745446,3.059354,5.193004
NGC2906,20.812565,186.212363,4.569749,-4.61854,6.205255,0.441672,5.562101
NGC2916,10.794607,54.959395,704.011573,-250.633437,497.039001,-47.479187,639.941239
NGC2916,15.019608,209.539792,8.804904,9.147228,25.804966,100.223956,12.372524
NGC2916,19.205343,214.232563,11.10462,-22.960328,9.375576,93.575162,13.164423
NGC2916,22.772513,228.722232,10.087967,-5.063099,11.829364,102.053399,10.525408
NGC2916,25.971215,226.469109,6.643537,0.223095,15.251724,105.703378,7.956839
NGC2916,29.451801,211.189222,36.121725,48.215485,40.58787,118.171457,16.078025
NGC3303,2.887107,28.816276,18.072782,3.58795,5.336336,191.198775,20.116192
NGC3303,6.151335,-3.126174,13.837546,7.463314,14.79542,216.680083,24.292776
NGC3303,9.135922,23.897315,25.406095,-4.891098,27.499752,160.555829,20.600588
NGC3303,13.34557,64.481102,21.400386,2.979977,41.992019,98.058179,39.774275
NGC3303,17.332041,-54.428788,86.419461,-86.970244,90.199837,227.53853,109.860156
NGC3381,4.750387,10.163578,2.405775,-17.025096,2.488342,-0.763124,4.472402
NGC3811,2.318302,110.465766,15.174001,-11.465784,3.938842,-5.885675,24.961562
NGC3811,5.453161,138.505906,8.356064,-18.957501,10.46146,1.12014,7.295644
NGC3811,8.931297,122.137543,6.027708,-0.798909,9.182093,8.21435,11.052544
NGC3811,12.66829,141.423762,7.556103,16.978638,8.322986,19.481141,5.188144
NGC3811,16.256382,171.460204,7.13454,-4.184271,8.825003,11.578897,5.137063
NGC3811,19.357438,184.069552,7.30096,-12.087998,6.78263,13.082363,7.768278
NGC3815,2.861461,81.95558,7.102101,-0.137776,3.062556,-3.607224,10.61308
NGC3815,6.050051,132.579799,4.856455,1.672235,4.602994,1.352554,3.840341
NGC3815,9.205951,166.498815,4.858889,0.259624,6.312978,-2.771821,2.401386
NGC3815,12.503445,182.079108,3.595022,-6.791018,7.534542,-3.189116,7.828351
NGC3815,15.764063,189.455415,7.579063,-20.679116,7.61089,-1.708823,8.526996
NGC3994,2.840498,122.196918,10.441379,2.834351,5.10481,2.754105,20.142092
NGC3994,6.014723,199.660393,8.757336,-4.416149,6.958422,-2.149735,2.73688
NGC3994,9.12703,215.858501,7.49761,-3.417539,7.427765,-1.691584,8.071112
NGC3994,12.205356,220.805817,6.744197,-9.046417,10.321733,1.43605,11.074121
NGC4047,2.34411,115.490217,12.742946,6.290972,6.54292,-3.014902,23.434689
NGC4047,5.540193,164.38856,7.87461,8.71315,5.867618,-0.302947,2.993251
NGC4047,8.71961,191.076099,7.470467,7.078957,6.309486,-0.235204,4.502207
NGC4047,11.847593,205.872562,7.647298,-0.155284,6.925436,-2.893083,7.557081
NGC4047,14.978841,214.675793,7.760262,-4.706236,7.225186,-5.226202,7.767012
NGC4047,18.006945,217.857332,8.273737,-7.773485,7.653026,-5.603803,7.621016
NGC4149,3.205956,107.739528,6.478545,0.520825,3.431058,6.180953,11.83888
NGC4149,6.724878,185.906593,4.631017,-4.416099,5.1638,-2.495296,3.714577
NGC4149,10.239551,222.314571,5.028635,-2.582947,8.166366,-1.59983,6.171553
NGC4149,13.800794,241.035466,4.032423,9.690331,15.348347,-2.108121,13.454922
NGC4185,7.434813,73.361789,50.875093,11.887404,15.099662,-109.735246,78.700002
NGC4185,11.229071,237.219054,52.438808,-24.073418,34.862582,35.651958,51.462998
NGC4185,14.386905,274.995512,47.448667,-22.408731,32.345874,70.739497,32.827793
NGC4185,17.964633,175.572363,76.421379,-13.339834,25.143702,-30.530682,60.939314
NGC4210,3.104522,-3.900293,11.342756,-20.714241,2.938532,-30.228779,14.400824
NGC4210,8.12177,108.222015,19.966604,-14.085641,8.164682,-12.357112,8.897888
NGC4210,11.66006,149.511289,7.314823,-1.879282,5.856779,1.439698,6.217809
NGC4210,14.930246,165.22467,6.808217,-0.268135,6.201347,5.410079,7.310523
NGC4210,18.248671,182.331442,8.203208,-0.560297,7.078807,1.316218,6.323135
NGC4470,2.458089,43.400049,14.165194,15.139004,14.858698,-13.029846,6.637909
NGC4470,5.305735,44.789793,5.225065,1.24416,6.929065,-4.280542,1.691909
