# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: CO_natv Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
NGC0477,19.368746,210.963899,41.011178,7.329911,24.073846,6.085568,18.648419
NGC0496,2.7411,41.549417,3.03533,-1.440276,1.881905,6.468778,4.965271
NGC0496,5.814532,91.341738,3.914578,-6.545302,2.506185,1.913101,3.588837
NGC0496,8.831336,112.981671,2.798539,-7.441028,4.18306,1.72682,3.064628
NGC0496,11.892214,129.041525,2.663842,-1.77411,4.776543,-1.982535,3.404402
NGC0496,15.185699,143.29446,4.243405,5.073223,6.174144,-4.86534,6.180998
NGC0523,3.614121,65.217775,13.414576,-12.074975,5.208152,-7.568237,7.650933
NGC0523,6.798472,110.884665,10.083859,-19.330898,8.529512,3.387516,4.542385
NGC0523,10.056386,131.339922,14.452024,-7.223674,11.748354,5.701884,3.735784
NGC0523,13.345381,154.479539,8.601335,-1.224443,8.311648,11.850867,5.336451
NGC0523,15.959417,165.845889,5.994455,2.681553,5.819085,14.520572,4.82121
NGC0523,18.982954,189.27061,5.715782,1.15043,4.572636,13.764247,3.563696
NGC0523,22.276187,226.225006,12.872745,-6.724998,8.416624,8.656863,5.361059
NGC0523,24.915511,198.847647,15.701261,-0.607228,13.055379,-24.857936,10.559401
NGC0523,27.666915,256.064203,16.695081,-3.998497,11.831673,-4.454077,7.736839
NGC0523,30.650138,265.862488,12.959255,2.646761,9.923827,-8.617027,10.311949
NGC0523,33.701304,267.653769,53.114714,2.317878,29.862991,-13.716803,29.58934
NGC0551,3.084573,61.781713,31.741784,31.06843,26.029015,-4.277328,26.391706
NGC0551,5.958858,147.166113,12.012393,64.535056,20.865794,-8.336661,10.743745
NGC0551,9.532636,158.073571,9.655151,18.292252,9.425069,-0.040336,8.470996
NGC0551,12.646729,165.686597,7.246523,4.458677,6.456208,2.259963,3.640946
