# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=267.1597 deg DEC=51.1572 deg PA=29.2 INC=73.4}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 97.36 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=43.46 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times NGC6478.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.472,0.023,4,4,10.934,0.3619936,153.086,153.08563,8.107,3.4108e+07,47.015,1.4667e+08
3.0,1.416,0.069,11,11,11.334,0.93017715,436.394,589.4799,4.889,1.3134e+08,48.736,5.6476e+08
5.0,2.360,0.115,17,17,10.740,1.233082,639.090,1228.5697,3.870,2.7373e+08,46.182,1.1770e+09
7.0,3.304,0.161,25,25,9.346,2.2443805,817.811,2046.3811,3.071,4.5594e+08,40.186,1.9606e+09
9.0,4.248,0.207,33,33,8.096,2.5543957,935.230,2981.6108,2.579,6.6432e+08,34.815,2.8566e+09
11.0,5.192,0.253,39,39,7.802,2.3535833,1065.008,4046.619,2.241,9.0161e+08,33.547,3.8769e+09
13.0,6.136,0.299,46,46,7.757,1.9896113,1248.966,5295.5845,2.021,1.1799e+09,33.354,5.0735e+09
15.0,7.080,0.345,55,55,6.848,1.6205721,1318.399,6613.9834,1.782,1.4736e+09,29.447,6.3366e+09
17.0,8.024,0.391,63,63,6.207,1.716102,1368.689,7982.6724,1.597,1.7786e+09,26.689,7.6479e+09
19.0,8.968,0.437,69,69,5.413,1.664829,1307.425,9290.098,1.480,2.0699e+09,23.277,8.9005e+09
21.0,9.912,0.483,73,73,4.519,1.6587994,1154.820,10444.918,1.406,2.3272e+09,19.434,1.0007e+10
23.0,10.857,0.529,80,80,3.421,1.569419,958.010,11402.928,1.326,2.5406e+09,14.711,1.0925e+10
25.0,11.801,0.575,92,92,2.685,1.4734479,864.784,12267.712,1.213,2.7333e+09,11.547,1.1753e+10
27.0,12.745,0.621,95,95,2.147,1.1818414,713.824,12981.536,1.186,2.8924e+09,9.231,1.2437e+10
29.0,13.689,0.667,106,106,1.654,0.9438664,613.802,13595.338,1.113,3.0291e+09,7.114,1.3025e+10
31.0,14.633,0.713,110,110,1.321,0.7943136,508.757,14104.095,1.079,3.1425e+09,5.682,1.3513e+10
33.0,15.577,0.759,122,122,1.067,0.6470154,455.529,14559.624,1.027,3.2440e+09,4.587,1.3949e+10
35.0,16.521,0.805,124,123,0.859,0.44439936,372.697,14932.321,1.012,3.3270e+09,3.692,1.4306e+10
37.0,17.465,0.851,133,128,0.781,0.2709775,363.681,15296.002,0.986,3.4080e+09,3.359,1.4655e+10
39.0,18.409,0.897,137,127,0.735,0.1920639,352.426,15648.428,0.971,3.4865e+09,3.160,1.4992e+10
41.0,19.353,0.943,150,126,0.720,0.13218045,378.090,16026.518,0.934,3.5708e+09,3.096,1.5354e+10
43.0,20.297,0.989,153,91,0.770,0.14234346,412.465,16438.982,0.929,3.6627e+09,3.312,1.5750e+10
45.0,21.241,1.035,161,70,0.817,0.15738827,460.648,16899.63,0.917,3.7653e+09,3.515,1.6191e+10
47.0,22.185,1.081,168,68,0.838,0.1916723,492.576,17392.207,0.902,3.8751e+09,3.602,1.6663e+10
49.0,23.129,1.127,179,63,0.883,0.28634477,553.557,17945.764,0.892,3.9984e+09,3.799,1.7193e+10
51.0,24.073,1.173,182,57,0.894,0.29590505,569.580,18515.344,0.902,4.1253e+09,3.845,1.7739e+10
53.0,25.017,1.219,191,54,0.896,0.28499946,598.971,19114.314,0.898,4.2588e+09,3.852,1.8313e+10
55.0,25.961,1.265,193,39,0.910,0.23172776,614.939,19729.254,0.918,4.3958e+09,3.914,1.8902e+10
