# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=211.5899 deg DEC=50.7251 deg PA=183.0 INC=41.5}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 26.96 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=50.25 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC5480.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.196,0.030,22,22,22.388,2.274804,657.622,657.6224,5.856,1.1234e+07,96.267,4.8305e+07
4.5,0.588,0.090,62,62,16.339,4.0203767,1352.551,2010.1731,3.491,3.4338e+07,70.257,1.4765e+08
7.5,0.980,0.149,107,107,10.653,3.6284332,1521.882,3532.0552,2.656,6.0335e+07,45.806,2.5944e+08
10.5,1.372,0.209,145,145,7.642,2.7825809,1479.419,5011.474,2.213,8.5607e+07,32.858,3.6811e+08
13.5,1.764,0.269,194,194,6.002,2.8106124,1554.582,6566.0557,1.888,1.1216e+08,25.807,4.8230e+08
16.5,2.157,0.328,236,236,4.509,2.5979877,1420.675,7986.731,1.721,1.3643e+08,19.387,5.8665e+08
19.5,2.549,0.388,273,273,3.378,2.223426,1231.287,9218.018,1.633,1.5746e+08,14.525,6.7710e+08
22.5,2.941,0.448,314,314,2.139,1.7040417,896.579,10114.597,1.561,1.7278e+08,9.196,7.4295e+08
25.5,3.333,0.507,367,367,0.923,1.679554,452.523,10567.12,1.487,1.8051e+08,3.971,7.7619e+08
28.5,3.725,0.567,402,402,0.069,1.8179667,37.112,10604.232,1.471,1.8114e+08,0.297,7.7892e+08
31.5,4.117,0.627,438,431,-0.476,1.4669746,-278.663,10325.569,1.465,1.7638e+08,-2.049,7.5845e+08
34.5,4.509,0.687,488,408,-0.336,1.2166749,-218.720,10106.85,1.450,1.7265e+08,-1.443,7.4238e+08
37.5,4.901,0.746,538,249,-0.008,0.9770409,-5.412,10101.4375,1.451,1.7255e+08,-0.032,7.4199e+08
40.5,5.293,0.806,569,154,0.003,0.7384067,2.632,10104.069,1.490,1.7260e+08,0.015,7.4218e+08
43.5,5.685,0.866,606,98,-0.042,0.5927647,-34.325,10069.744,1.533,1.7201e+08,-0.182,7.3966e+08
46.5,6.078,0.925,658,76,-0.032,0.49509528,-28.069,10041.675,1.572,1.7153e+08,-0.137,7.3760e+08
49.5,6.470,0.985,709,78,0.084,0.49328324,79.754,10121.429,1.624,1.7290e+08,0.362,7.4345e+08
52.5,6.862,1.045,733,82,0.164,0.5271618,160.516,10281.944,1.726,1.7564e+08,0.705,7.5525e+08
55.5,7.254,1.105,779,95,0.144,0.49513507,149.543,10431.487,1.847,1.7819e+08,0.618,7.6623e+08
58.5,7.646,1.164,829,76,nan,nan,0.000,10431.487,2.055,1.7819e+08,nan,7.6623e+08
61.5,8.038,1.224,876,56,nan,nan,0.000,10431.487,2.281,1.7819e+08,nan,7.6623e+08
64.5,8.430,1.284,909,51,nan,nan,0.000,10431.487,2.586,1.7819e+08,nan,7.6623e+08
