# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: r_arcs, unit: arcsec, datatype: float64, description: outer radius of ring in arcsec}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: outer radius of ring in kpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: outer radius of ring as frac of opt radius}
# - {name: npix, datatype: int64, description: number of available pixels in the ring}
# - {name: ngood, datatype: int64, description: number of unmasked pixels in the ring}
# - {name: ico_avg, unit: K km / s, datatype: float64, format: 10.3f, description: average face-on intensity in ring if ngood/npix > 0.1
#     and setting blanks to zero}
# - {name: ico_rms, unit: K km / s, datatype: float32, description: rms face-on intensity in ring for unmasked pixels}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f, description: 3 sigma detection limit based on emom0max}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f, description: average face-on surface density including He with
#     alphaco=4.3}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e, description: total CO luminosity within the given radius}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e, description: total molecular gas mass within the given radius}
# delimiter: ','
# schema: astropy-2.0
Name,r_arcs,r_kpc,r_r25,npix,ngood,ico_avg,ico_rms,detlim,sigmol,cumlum,cummass
IC0480,55.0,17.675,1.048,132,13,nan,nan,1.087,nan,8.4345e+08,3.6268e+09
IC0480,57.0,18.318,1.086,123,12,nan,nan,1.149,nan,8.4345e+08,3.6268e+09
IC0480,59.0,18.960,1.124,130,9,nan,nan,1.103,nan,8.4345e+08,3.6268e+09
IC0480,61.0,19.603,1.162,116,8,nan,nan,1.181,nan,8.4345e+08,3.6268e+09
IC0480,63.0,20.246,1.200,114,7,nan,nan,1.119,nan,8.4345e+08,3.6268e+09
IC0480,65.0,20.889,1.238,118,6,nan,nan,1.162,nan,8.4345e+08,3.6268e+09
IC0480,67.0,21.531,1.276,104,7,nan,nan,1.211,nan,8.4345e+08,3.6268e+09
IC0480,69.0,22.174,1.314,114,6,nan,nan,1.153,nan,8.4345e+08,3.6268e+09
IC0480,71.0,22.817,1.352,108,6,nan,nan,1.199,nan,8.4345e+08,3.6268e+09
IC0480,73.0,23.460,1.391,101,5,nan,nan,1.194,nan,8.4345e+08,3.6268e+09
IC0480,75.0,24.102,1.429,118,5,nan,nan,1.174,nan,8.4345e+08,3.6268e+09
IC0480,77.0,24.745,1.467,91,1,nan,nan,1.247,nan,8.4345e+08,3.6268e+09
IC0540,1.0,0.145,0.031,5,5,16.007,1.2641662,9.926,68.830,4.5507e+06,1.9568e+07
IC0540,3.0,0.435,0.093,13,13,12.234,2.372123,6.146,52.608,1.3594e+07,5.8454e+07
IC0540,5.0,0.725,0.156,23,23,8.783,3.6497653,4.561,37.768,2.5080e+07,1.0785e+08
IC0540,7.0,1.015,0.218,33,33,6.097,2.9465115,3.702,26.218,3.6521e+07,1.5704e+08
IC0540,9.0,1.305,0.280,41,41,3.362,2.0309775,3.269,14.455,4.4358e+07,1.9074e+08
IC0540,11.0,1.595,0.342,54,54,1.664,1.689064,2.764,7.154,4.9466e+07,2.1270e+08
IC0540,13.0,1.885,0.404,55,43,0.253,1.1874164,2.656,1.089,5.0258e+07,2.1611e+08
IC0540,15.0,2.175,0.467,75,45,-0.142,1.013031,2.253,-0.608,4.9654e+07,2.1351e+08
IC0540,17.0,2.465,0.529,73,30,-0.119,0.89932173,2.261,-0.513,4.9159e+07,2.1138e+08
IC0540,19.0,2.755,0.591,94,36,0.023,0.8114133,1.985,0.100,4.9283e+07,2.1192e+08
IC0540,21.0,3.045,0.653,100,31,0.116,0.66344464,1.937,0.499,4.9943e+07,2.1475e+08
IC0540,23.0,3.335,0.715,102,26,0.158,0.51654816,1.935,0.680,5.0860e+07,2.1870e+08
IC0540,25.0,3.625,0.778,114,26,0.099,0.4566124,1.854,0.428,5.1505e+07,2.2147e+08
IC0540,27.0,3.915,0.840,127,24,-0.002,0.45632833,1.790,-0.010,5.1487e+07,2.2139e+08
IC0540,29.0,4.205,0.902,138,27,0.026,0.37091193,1.743,0.110,5.1687e+07,2.2226e+08
IC0540,31.0,4.495,0.964,146,25,0.014,0.30810595,1.721,0.061,5.1806e+07,2.2276e+08
IC0540,33.0,4.785,1.027,148,23,0.019,0.3356552,1.759,0.084,5.1969e+07,2.2347e+08
IC0540,35.0,5.075,1.089,164,24,0.043,0.30009937,1.701,0.187,5.2375e+07,2.2521e+08
IC0540,37.0,5.365,1.151,167,21,0.079,0.43989047,1.734,0.340,5.3126e+07,2.2844e+08
IC0540,39.0,5.655,1.213,185,23,0.068,0.43014258,1.686,0.291,5.3838e+07,2.3150e+08
IC0540,41.0,5.945,1.275,193,25,0.028,0.39684385,1.698,0.121,5.4146e+07,2.3283e+08
IC0540,43.0,6.235,1.338,201,18,nan,nan,1.724,nan,5.4146e+07,2.3283e+08
IC0540,45.0,6.525,1.400,205,23,0.033,0.44783664,1.771,0.141,5.4528e+07,2.3447e+08
IC0540,47.0,6.815,1.462,219,22,0.035,0.35965616,1.758,0.151,5.4966e+07,2.3635e+08
IC0540,49.0,7.105,1.524,224,17,nan,nan,1.819,nan,5.4966e+07,2.3635e+08
IC0540,51.0,7.395,1.587,239,20,nan,nan,1.821,nan,5.4966e+07,2.3635e+08
IC0540,53.0,7.685,1.649,205,20,nan,nan,1.921,nan,5.4966e+07,2.3635e+08
IC0540,55.0,7.975,1.711,190,20,0.032,0.30095536,1.972,0.138,5.5312e+07,2.3784e+08
IC0540,57.0,8.265,1.773,188,11,nan,nan,1.983,nan,5.5312e+07,2.3784e+08
IC0540,59.0,8.555,1.835,183,11,nan,nan,1.990,nan,5.5312e+07,2.3784e+08
IC0540,61.0,8.845,1.898,181,8,nan,nan,2.036,nan,5.5312e+07,2.3784e+08
IC0944,1.0,0.489,0.022,3,3,18.654,0.64945513,8.037,80.210,5.1644e+07,2.2207e+08
IC0944,3.0,1.466,0.065,11,11,14.954,2.7614608,4.227,64.302,2.0345e+08,8.7483e+08
IC0944,5.0,2.444,0.109,16,16,10.664,3.2499804,3.538,45.856,3.6091e+08,1.5519e+09
IC0944,7.0,3.421,0.153,21,21,8.563,3.3841555,3.081,36.821,5.2687e+08,2.2655e+09
IC0944,9.0,4.399,0.196,29,29,6.563,2.8307567,2.531,28.222,7.0252e+08,3.0208e+09
IC0944,11.0,5.376,0.240,39,39,5.254,1.9457899,2.104,22.591,8.9161e+08,3.8339e+09
IC0944,13.0,6.353,0.284,41,41,4.567,1.6916647,1.989,19.638,1.0644e+09,4.5769e+09
IC0944,15.0,7.331,0.327,47,47,3.762,1.0395447,1.827,16.178,1.2276e+09,5.2787e+09
IC0944,17.0,8.308,0.371,53,53,3.117,0.8627595,1.625,13.403,1.3801e+09,5.9342e+09
IC0944,19.0,9.286,0.415,66,66,2.508,0.8951135,1.456,10.782,1.5328e+09,6.5910e+09
IC0944,21.0,10.263,0.458,66,66,2.041,0.7808143,1.398,8.778,1.6571e+09,7.1256e+09
IC0944,23.0,11.241,0.502,71,71,1.884,0.8260178,1.303,8.100,1.7805e+09,7.6564e+09
IC0944,25.0,12.218,0.546,88,88,1.581,0.81158656,1.164,6.800,1.9090e+09,8.2086e+09
IC0944,27.0,13.196,0.589,89,89,1.338,0.9870395,1.129,5.754,2.0189e+09,8.6811e+09
IC0944,29.0,14.173,0.633,91,91,1.054,0.932794,1.108,4.532,2.1074e+09,9.0617e+09
IC0944,31.0,15.151,0.676,103,103,0.721,0.8442162,1.022,3.099,2.1759e+09,9.3563e+09
IC0944,33.0,16.128,0.720,109,109,0.540,0.78555185,0.995,2.321,2.2302e+09,9.5898e+09
IC0944,35.0,17.105,0.764,113,113,0.379,0.76053643,0.979,1.631,2.2697e+09,9.7598e+09
IC0944,37.0,18.083,0.807,115,115,0.128,0.6121456,0.971,0.549,2.2833e+09,9.8181e+09
IC0944,39.0,19.060,0.851,132,124,0.155,0.5731457,0.907,0.667,2.3022e+09,9.8993e+09
IC0944,41.0,20.038,0.895,130,111,0.112,0.50059813,0.932,0.482,2.3156e+09,9.9572e+09
IC0944,43.0,21.015,0.938,141,109,0.035,0.5073346,0.908,0.152,2.3202e+09,9.9769e+09
IC0944,45.0,21.993,0.982,144,99,0.087,0.49883893,0.912,0.372,2.3317e+09,1.0026e+10
IC0944,47.0,22.970,1.026,152,88,0.066,0.36669564,0.924,0.285,2.3410e+09,1.0066e+10
IC0944,49.0,23.948,1.069,167,61,0.057,0.31075162,0.901,0.244,2.3498e+09,1.0104e+10
IC0944,51.0,24.925,1.113,161,50,0.025,0.26398084,0.972,0.106,2.3534e+09,1.0120e+10
IC0944,53.0,25.902,1.157,153,26,0.037,0.21050455,1.003,0.159,2.3587e+09,1.0142e+10
IC0944,55.0,26.880,1.200,161,28,0.059,0.23238152,0.937,0.253,2.3674e+09,1.0180e+10
IC0944,57.0,27.857,1.244,145,19,0.048,0.2459944,0.985,0.206,2.3738e+09,1.0207e+10
IC0944,59.0,28.835,1.287,123,21,0.061,0.23716475,1.049,0.263,2.3808e+09,1.0237e+10
IC0944,61.0,29.812,1.331,132,7,nan,nan,1.010,nan,2.3808e+09,1.0237e+10
IC0944,63.0,30.790,1.375,138,12,nan,nan,1.008,nan,2.3808e+09,1.0237e+10
IC0944,65.0,31.767,1.418,125,9,nan,nan,1.062,nan,2.3808e+09,1.0237e+10
IC0944,67.0,32.745,1.462,123,4,nan,nan,1.022,nan,2.3808e+09,1.0237e+10
IC0944,69.0,33.722,1.506,126,6,nan,nan,1.032,nan,2.3808e+09,1.0237e+10
IC0944,71.0,34.700,1.549,126,6,nan,nan,1.073,nan,2.3808e+09,1.0237e+10
IC0944,73.0,35.677,1.593,129,3,nan,nan,1.039,nan,2.3808e+09,1.0237e+10
IC0944,75.0,36.654,1.637,111,5,nan,nan,1.080,nan,2.3808e+09,1.0237e+10
IC1151,1.0,0.149,0.015,4,4,0.566,0.3883646,10.175,2.433,1.3474e+05,5.7938e+05
IC1151,3.0,0.448,0.045,16,16,1.243,0.84344363,5.093,5.346,1.3190e+06,5.6718e+06
IC1151,5.0,0.747,0.075,21,16,1.240,1.2266101,4.456,5.331,2.8693e+06,1.2338e+07
IC1151,7.0,1.045,0.104,35,24,0.826,0.952169,3.462,3.551,4.5900e+06,1.9737e+07
IC1151,9.0,1.344,0.134,42,26,0.392,0.66966635,3.175,1.685,5.5700e+06,2.3951e+07
IC1151,11.0,1.643,0.164,48,30,0.286,0.6181563,2.984,1.230,6.3874e+06,2.7466e+07
IC1151,13.0,1.942,0.194,64,38,0.281,0.7756669,2.604,1.210,7.4596e+06,3.2076e+07
IC1151,15.0,2.240,0.224,69,42,0.388,0.9232404,2.525,1.667,9.0525e+06,3.8926e+07
IC1151,17.0,2.539,0.254,84,43,0.363,0.89331114,2.311,1.561,1.0868e+07,4.6732e+07
IC1151,19.0,2.838,0.284,84,28,0.315,0.8791487,2.337,1.355,1.2444e+07,5.3510e+07
IC1151,21.0,3.136,0.313,105,28,0.248,0.80485266,2.113,1.065,1.3992e+07,6.0165e+07
IC1151,23.0,3.435,0.343,111,24,0.085,0.7615922,2.085,0.366,1.4554e+07,6.2582e+07
IC1151,25.0,3.734,0.373,108,22,0.116,0.7286244,2.143,0.497,1.5297e+07,6.5779e+07
IC1151,27.0,4.032,0.403,135,23,0.047,0.55695355,1.948,0.202,1.5675e+07,6.7402e+07
IC1151,29.0,4.331,0.433,135,22,0.033,0.49961406,1.980,0.141,1.5938e+07,6.8532e+07
IC1151,31.0,4.630,0.463,150,16,-0.005,0.2800165,1.922,-0.023,1.5889e+07,6.8323e+07
IC1151,33.0,4.928,0.492,152,16,-0.012,0.3214157,1.952,-0.051,1.5783e+07,6.7865e+07
IC1151,35.0,5.227,0.522,163,16,nan,nan,1.923,nan,1.5783e+07,6.7865e+07
IC1151,37.0,5.526,0.552,176,13,nan,nan,1.898,nan,1.5783e+07,6.7865e+07
IC1151,39.0,5.825,0.582,173,13,nan,nan,1.969,nan,1.5783e+07,6.7865e+07
IC1151,41.0,6.123,0.612,200,13,nan,nan,1.877,nan,1.5783e+07,6.7865e+07
IC1151,43.0,6.422,0.642,197,9,nan,nan,1.966,nan,1.5783e+07,6.7865e+07
IC1151,45.0,6.721,0.672,212,8,nan,nan,1.953,nan,1.5783e+07,6.7865e+07
IC1151,47.0,7.019,0.701,230,8,nan,nan,1.947,nan,1.5783e+07,6.7865e+07
IC1151,49.0,7.318,0.731,229,9,nan,nan,2.024,nan,1.5783e+07,6.7865e+07
IC1151,51.0,7.617,0.761,235,7,nan,nan,2.123,nan,1.5783e+07,6.7865e+07
IC1151,53.0,7.915,0.791,249,9,nan,nan,2.110,nan,1.5783e+07,6.7865e+07
IC1151,55.0,8.214,0.821,226,7,nan,nan,2.146,nan,1.5783e+07,6.7865e+07
IC1151,57.0,8.513,0.851,201,5,nan,nan,2.289,nan,1.5783e+07,6.7865e+07
IC1151,59.0,8.811,0.881,207,6,nan,nan,2.201,nan,1.5783e+07,6.7865e+07
IC1151,61.0,9.110,0.910,194,3,nan,nan,2.295,nan,1.5783e+07,6.7865e+07
IC1199,1.0,0.331,0.028,5,5,11.929,2.7558887,9.424,51.293,1.5170e+07,6.5230e+07
IC1199,3.0,0.993,0.084,16,16,9.160,4.3815536,5.247,39.387,5.2444e+07,2.2551e+08
IC1199,5.0,1.655,0.140,28,28,5.031,4.1206217,3.940,21.635,8.8275e+07,3.7958e+08
IC1199,7.0,2.316,0.196,37,37,4.083,2.9393535,3.408,17.555,1.2670e+08,5.4479e+08
