# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: MaNGA Name}
# - {name: mangaid, datatype: string}
# - {name: objra, unit: deg, datatype: float64}
# - {name: objdec, unit: deg, datatype: float64}
# - {name: seemed, unit: arcsec, datatype: float32}
# - {name: gfwhm, unit: arcsec, datatype: float32}
# - {name: rfwhm, unit: arcsec, datatype: float32}
# - {name: ifwhm, unit: arcsec, datatype: float32}
# - {name: zfwhm, unit: arcsec, datatype: float32}
# - {name: nsa_z, datatype: float32}
# - {name: nsa_sersic_ba, datatype: float32}
# - {name: nsa_sersic_phi, unit: deg, datatype: float32}
# - {name: nsa_sersic_n, datatype: float32}
# - {name: nsa_elpetro_ba, datatype: float32}
# - {name: nsa_elpetro_phi, unit: deg, datatype: float32}
# - {name: nsa_elpetro_th50_r, unit: arcsec, datatype: float32}
# - {name: nsa_inclination, unit: deg, datatype: float32, description: Inclination from nsa_elpetro_ba with q_min of 0.13}
# - {name: nsa_z_dMpc, unit: Mpc, datatype: float32}
# - {name: dl, unit: Mpc, datatype: float32}
# - {name: re_arc, unit: arcsec, datatype: float32}
# - {name: re_kpc, unit: kpc, datatype: float32}
# - {name: pa, unit: deg, datatype: float32}
# - {name: ellip, datatype: float32}
# - {name: log_mass, unit: dex(solMass), datatype: float32}
# - {name: e_log_mass, unit: dex(solMass), datatype: float32}
# - {name: log_sfr_ha, unit: dex(solMass / yr), datatype: float32}
# - {name: e_log_sfr_ha, unit: dex(solMass / yr), datatype: float32}
# - {name: log_sfr_ssp, unit: dex(solMass / yr), datatype: float32}
# - {name: e_log_sfr_ssp, unit: dex(solMass / yr), datatype: float32}
# - {name: log_nii_ha_cen, datatype: float32}
# - {name: e_log_nii_ha_cen, datatype: float32}
# - {name: log_oiii_hb_cen, datatype: float32}
# - {name: e_log_oiii_hb_cen, datatype: float32}
# - {name: log_sii_ha_cen, datatype: float32}
# - {name: e_log_sii_ha_cen, datatype: float32}
# - {name: log_oii_hb_cen, datatype: float32}
# - {name: e_log_oii_hb_cen, datatype: float32}
# - {name: ew_ha_cen, unit: Angstrom, datatype: float32}
# - {name: e_ew_ha_cen, unit: Angstrom, datatype: float32}
# - {name: age_lw_re_fit, unit: dex(yr), datatype: float32}
# - {name: e_age_lw_re_fit, unit: dex(yr), datatype: float32}
# - {name: age_mw_re_fit, unit: dex(yr), datatype: float32}
# - {name: e_age_mw_re_fit, unit: dex(yr), datatype: float32}
# - {name: vel_sigma_re, datatype: float32}
# - {name: e_vel_sigma_re, datatype: float32}
# - {name: sigma_cen, unit: km / s, datatype: float32}
# - {name: e_sigma_cen, unit: km / s, datatype: float32}
# - {name: sigma_cen_ha, unit: km / s, datatype: float32}
# - {name: e_sigma_cen_ha, unit: km / s, datatype: float32}
# - {name: av_gas_re, unit: mag, datatype: float32}
# - {name: e_av_gas_re, unit: mag, datatype: float32}
# - {name: av_ssp_re, unit: mag, datatype: float32}
# - {name: e_av_ssp_re, unit: mag, datatype: float32}
# - {name: oh_re_fit_n2, unit: dex, datatype: float32}
# - {name: e_oh_re_fit_n2, unit: dex, datatype: float32}
# - {name: alpha_oh_re_fit_n2, datatype: float32}
# - {name: e_alpha_oh_re_fit_n2, datatype: float32}
# - {name: oh_re_fit_o3n2, unit: dex, datatype: float32}
# - {name: e_oh_re_fit_o3n2, unit: dex, datatype: float32}
# - {name: alpha_oh_re_fit_o3n2, datatype: float32}
# - {name: e_alpha_oh_re_fit_o3n2, datatype: float32}
# delimiter: ','
# meta: !!omap
# - {date: '2026-01-10'}
# - {comments: Galaxy properties determined from DRP and Pipe3D for MaNGA DR15}
# schema: astropy-2.0
Name,mangaid,objra,objdec,seemed,gfwhm,rfwhm,ifwhm,zfwhm,nsa_z,nsa_sersic_ba,nsa_sersic_phi,nsa_sersic_n,nsa_elpetro_ba,nsa_elpetro_phi,nsa_elpetro_th50_r,nsa_inclination,nsa_z_dMpc,dl,re_arc,re_kpc,pa,ellip,log_mass,e_log_mass,log_sfr_ha,e_log_sfr_ha,log_sfr_ssp,e_log_sfr_ssp,log_nii_ha_cen,e_log_nii_ha_cen,log_oiii_hb_cen,e_log_oiii_hb_cen,log_sii_ha_cen,e_log_sii_ha_cen,log_oii_hb_cen,e_log_oii_hb_cen,ew_ha_cen,e_ew_ha_cen,age_lw_re_fit,e_age_lw_re_fit,age_mw_re_fit,e_age_mw_re_fit,vel_sigma_re,e_vel_sigma_re,sigma_cen,e_sigma_cen,sigma_cen_ha,e_sigma_cen_ha,av_gas_re,e_av_gas_re,av_ssp_re,e_av_ssp_re,oh_re_fit_n2,e_oh_re_fit_n2,alpha_oh_re_fit_n2,e_alpha_oh_re_fit_n2,oh_re_fit_o3n2,e_oh_re_fit_o3n2,alpha_oh_re_fit_o3n2,e_alpha_oh_re_fit_o3n2
10001-3704,1-48223,134.910466734,56.8788941639,1.85945,2.80439,2.69288,2.63125,2.5787,0.0307813,0.897508,56.5326,4.60186,0.933142,53.0979,3.85183,21.259027,133.41064,134.115,3.85183,2.3558426,146.5326,0.359508,10.419901,0.08815963,-1.0272323,0.05852932,-0.76655614,0.0064856,0.2276112,0.060246877,0.47783768,0.2483944,0.03930127,0.10793402,0.6695464,0.17893842,-0.6033946,0.06383751,9.619904,0.020736411,9.86946,0.023167808,0.14886189,0.08975092,107.934784,10.389162,43.25961,8.599409,nan,nan,0.2016738,0.045223385,nan,nan,nan,nan,nan,nan,nan,nan
10001-6101,1-55683,137.041133755,57.4236117812,1.85945,2.87452,2.80945,2.75528,2.71639,0.119001,0.772406,155.003,6.0,0.835313,159.86,3.52262,33.6749,511.24463,548.5585,3.52262,7.476797,245.003,0.54977465,11.174979,0.09181792,-0.9943132,0.060679913,-1.2039733,0.009892307,-0.018348334,0.24026774,0.08917542,0.1448838,0.35365698,0.16971645,0.075483344,0.31716222,-0.14419058,0.25252828,9.856318,0.035205282,9.956399,0.032409515,0.060941868,0.16756357,179.98358,13.415785,0.0,0.0,nan,nan,0.08806807,0.026612524,nan,nan,nan,nan,nan,nan,nan,nan
10001-6102,1-48116,132.653991697,57.3596675436,1.85945,2.70614,2.59835,2.57787,2.56111,0.0261046,0.477778,67.2581,2.35371,0.581075,65.8374,6.40899,55.166508,113.44275,112.080826,6.40899,3.3062327,157.2581,0.81385,10.597954,0.08352845,0.17968692,0.05862622,0.24714363,0.0019478783,-0.101274855,0.0139538525,0.5300777,0.05848462,-0.37399536,0.023327965,0.13456763,0.04583288,-14.009861,2.796272,9.383877,0.030672077,9.910591,0.03623298,0.4103999,0.054136936,116.93576,10.813683,83.826675,10.1531725,0.93015295,0.08366778,0.46279237,0.06009086,8.562857,0.011406841,-0.023389809,0.009587189,8.540923,0.021422403,0.043091174,0.01800504
10001-6103,1-48208,134.008123053,57.3909643699,1.85945,2.7757,2.72123,2.70908,2.69063,0.0406264,0.793998,32.1368,5.76654,0.864315,32.0745,5.57431,30.48119,175.62056,174.37448,5.57431,4.349521,122.1368,0.50295085,10.592375,0.08507839,-1.8672361,0.056392565,-1.3365952,0.010735588,0.01148117,0.19800304,0.53752357,0.24944074,0.05322069,0.20625265,0.5366049,0.23463728,-0.45844346,0.0968252,9.840912,0.011078774,9.927708,0.011110815,0.1946311,0.09759714,123.21847,11.100372,0.0,0.0,nan,nan,0.03352942,0.022313517,nan,nan,nan,nan,nan,nan,nan,nan
10001-6104,1-55529,136.623724313,56.7963948252,1.85945,2.78261,2.71742,2.71317,2.71278,0.0672827,0.484842,145.614,6.0,0.630574,146.271,6.41087,51.515057,289.71045,297.87485,6.41087,8.123174,235.614,0.7761291,11.164641,0.09410275,0.15560216,0.058892645,-0.43020394,0.0036260344,0.06108412,0.05205564,0.9133347,0.2292359,0.22511613,0.11983259,1.2220422,0.21899007,-1.2501106,0.28836757,9.84968,0.0116810985,9.954148,0.00928612,0.067481525,0.09522536,231.16522,15.204117,135.58647,12.176527,nan,nan,0.055659395,0.031184966,nan,nan,nan,nan,nan,nan,nan,nan
10001-9101,1-48189,133.87809679,57.5645448676,1.85945,2.70119,2.68695,2.68492,2.66668,0.0400858,0.571682,67.8467,1.98564,0.746946,70.897,4.94982,42.111477,173.31859,174.29012,4.94982,3.8641138,157.8467,0.6648847,10.0149975,0.09590428,0.027771842,0.059686944,0.37516475,0.0035926027,-0.57106745,0.0073485174,-0.175372,0.011274549,-0.46443373,0.04418846,0.36609775,0.04348117,-36.02042,4.260564,8.581689,0.032406766,9.5513115,0.11186688,0.46619907,0.49526918,16.742638,4.091026,10.371202,7.8031883,0.64194185,0.12683192,0.4389533,0.05616328,8.400407,0.009189124,-0.065633014,0.0077232486,8.418558,0.008249132,-0.05211976,0.0069332067
10001-9102,1-55552,135.818210094,56.6253848319,1.85945,2.78491,2.73655,2.71478,2.68808,0.0804568,0.75054,114.942,4.40078,0.819056,115.745,4.53904,35.353806,346.12967,359.06366,4.53904,6.764964,204.942,0.5737136,10.961638,0.078701556,-0.7115023,0.056677267,-0.96403575,0.006921512,0.059454937,0.11710899,0.4452689,0.20986958,0.23040268,0.10818533,0.7708961,0.2435725,-1.2227578,0.30340284,9.920052,0.015420499,10.017166,0.0104857655,0.2766419,0.11035806,169.02835,13.00109,105.07712,10.99935,nan,nan,0.027723303,0.020200606,nan,nan,nan,nan,nan,nan,nan,nan
7443-12701,12-98126,230.50746239,43.53234133,1.64471,2.61131,2.57562,2.54888,2.52477,0.020478,0.657285,150.192,4.43097,0.743017,149.48,4.26193,42.45419,89.56985,85.85564,4.26193,1.7025334,240.192,0.66927254,9.807562,0.09885488,-1.7618438,0.060915716,-1.008033,0.010160424,-0.28104043,0.32575497,0.4176356,0.49271128,-0.25509256,0.37551284,-0.21434507,0.38222393,-0.885893,1.7587464,9.296234,0.020799808,9.494025,0.027140474,0.5160784,0.105902195,13.029051,3.6095777,0.0,6.5607142,nan,nan,0.091244414,0.027702115,nan,nan,nan,nan,nan,nan,nan,nan
7443-12702,12-84674,231.36070065,43.16989684,1.64471,2.61392,2.5636,2.52491,2.49381,0.0575241,0.935884,100.382,1.65949,0.96167,138.953,5.28583,16.054785,247.9806,251.64005,5.28583,5.762471,190.382,0.27420944,10.71391,0.08389771,0.31740883,0.060674053,0.6068625,0.0047521745,-0.4716886,0.03014309,-0.5151572,0.05549998,-0.7351313,0.08187843,-0.23100089,0.061498404,-6.799237,0.90806395,9.234334,0.015808553,9.875444,0.038122542,0.39488286,0.2782568,21.781662,4.667083,7.40499,7.775265,0.77840865,0.08241554,0.17917283,0.042349722,8.49951,0.011487424,-0.014052076,0.009654918,8.568917,0.023768194,-0.07441854,0.019976623
7443-12703,12-193481,229.525575871,42.7458424664,1.64471,2.59581,2.57825,2.57053,2.55625,0.0402719,0.522219,161.074,2.2438,0.577364,157.114,8.47723,55.434162,174.01111,174.35951,8.47723,6.6151786,251.074,0.8164869,11.071284,0.0880546,1.6077484,0.058770765,1.3241463,0.010531493,-0.32363278,0.029537993,-0.07500093,0.02383266,-0.57535183,0.005277717,0.122688495,0.031101841,-153.77264,11.887151,8.862749,0.024980515,9.991004,0.017582478,0.37744144,0.06924916,263.41913,16.230192,34.473797,8.318565,1.8791835,0.18080245,0.38642776,0.09419786,8.562322,0.011941859,0.0014147545,0.010036859,8.473883,0.0076674987,-0.0013159438,0.006444357
