!! request processed by HyperLeda Sun Mar 29 19:02:11 2015
!! Number of lines in uploaded file: 458
                  name                  |     objname     |     al2000      |     de2000      |   celposj(pgc)   |       l2        |       b2        |      type       |       bar       |      ring       |    multiple     |   compactness   |        t        |       e_t       |       lc        |      e_lc       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |      brief      |     e_brief     |       bt        |      e_bt       |       it        |      e_it       |       ubt       |       bvt       |       ube       |       bve       |      vmaxg      |     e_vmaxg     |      vmaxs      |     e_vmaxs     |      vdis       |     e_vdis      |       mg2       |      e_mg2      |       m21       |      e_m21      |      mfir       |      vrad       |     e_vrad      |      vopt       |     e_vopt      |        v        |       e_v       |       ag        |       ai        |      incl       |       a21       |     lambda      |      logdc      |       btc       |      ubtc       |      bvtc       |      bri25      |      vrot       |     e_vrot      |      m21c       |       hic       |       vlg       |      vgsr       |      vvir       |       v3k       |      modz       |      mod0       |      mabs       |
UGC00139                                |  UGC00139       | 0.2421881       | -0.7376658      | J001431.9-004416 | 102.8518789     | -62.1619346     | SABc            | B               |                 |                 |                 | 5.1             | 0.8             |  3              |  0.5            |  1.195          |    0.033        |  0.372          |    0.033        | 83.02           | 23.122          |   0.389         | 14.516          | 0.346           | 13.041          | 0.345           |                 |                 |                 | 0.88            | 140.48          |    2.36         |                 |                 |                 |                 |                 |                 | 14.584          | 0.098           |                 | 3959.2          |      5          | 3975.6          |   14.2          | 3961            | 4.9             | 0.194           | 0.629           | 67.46           | 0.04            |  0.781          | 1.198           | 13.67           |                 |                 | 23.527          | 152.09          |    2.6          | 14.54           | 0.87            | 4137            | 4059.5          | 3933.3          | 3614.4          | 33.778          | 33.819          | -20.108         |
UGC00148                                |  UGC00148       | 0.2642045       | 16.0895111      | J001551.1+160522 | 110.5968544     | -45.9281864     | Sbc             |                 |                 |                 |                 | 4.3             | 1.6             |                 |                 |  1.194          |    0.038        |  0.511          |    0.029        | 100.26          |                 |                 | 16.064          | 2.535           | 15.09           | 3.189           |                 |                 |                 |                 | 141.16          |    5.02         |                 |                 |                 |                 |                 |                 | 15.275          | 0.154           | 12.159          | 4209.7          |    5.3          | 4154.6          |    1.8          | 4160.2          | 11.8            | 0.271           | 0.809           | 77.14           | 0.07            |                 | 1.199           | 14.957          |                 |                 | 24.863          | 144.79          |   5.16          | 15.2            | 0.243           | 4398.9          | 4304            | 4215            | 3817            | 33.931          |                 | -18.973         |
MCG-02-02-030                           |  PGC001841      | 0.5020297       | -11.1135995     | J003007.3-110649 | 104.5313596     | -73.2192778     | SBa             | B               | R               |                 |                 | 1               | 0.9             |                 |                 |  1.271          |    0.031        |  0.364          |    0.022        | 170.95          |                 |                 | 13.828          | 0.556           | 12.135          | 0.355           |                 |                 |                 |                 | 143.42          |    6.86         |                 |                 |                 |                 |                 |                 | 15.64           | 0.092           | 13.231          | 3512            |    6.2          | 3527.9          |    4.2          | 3522.9          | 5.8             | 0.143           | 0.305           | 72.71           | 0.06            |                 |  1.27           | 13.336          |                 |                 | 23.546          | 150.21          |   7.22          | 15.584          | 2.248           | 3647.2          | 3580.4          | 3439.2          | 3196.1          | 33.49           |                 | -20.154         |
UGC00312                                |  UGC00312       | 0.5233028       | 8.46675         | J003123.9+082800 | 114.4660926     | -54.075262      | SBd             | B               | R               | M               |                 | 8               |   2             |                 |                 |  1.173          |    0.034        |  0.345          |    0.024        | 8.01            |                 |                 | 13.92           | 0.118           |                 |                 |                 |                 |                 |                 | 120.89          |     6.1         |                 |                 |                 |                 |                 |                 | 14.666          | 0.168           |                 | 4368.2          |    5.8          | 4331.1          |   24.5          | 4366.2          | 7.1             | 0.163           | 0.63            | 78.92           | 0.09            |                 | 1.175           | 13.116          |                 |                 | 22.827          | 123.18          |   6.25          | 14.58           | 1.464           | 4573.7          | 4482.3          | 4378.1          | 4024.8          | 34.013          |                 | -20.897         |
ESO539-G014                             |  ESO539-014     | 0.5244907       | -19.7612587     | J003128.2-194541 | 90.0332614      | -81.3281478     | Scd             |                 |                 |                 |                 | 6.7             | 0.7             |                 |                 |   1.25          |    0.024        |  0.959          |    0.021        | 0.32            | 22.57           |   1.122         | 15.687          | 0.171           | 13.967          | 0.072           |                 |                 |                 | 0.96            | 153.44          |    2.69         |                 |                 |                 |                 |                 |                 | 15.7            | 0.092           |                 | 7094.5          |    6.2          | 7045.6          |   33.5          | 7092.9          | 7.4             | 0.091           | 1.65            |   90            | 0.83            |                 |  1.22           | 13.922          |                 |                 | 23.834          | 153.44          |                 | 14.874          | 0.952           | 7174.6          | 7120.9          | 6968.8          | 6785.7          | 35.029          |                 | -21.107         |
MCG-02-02-040                           |  PGC001932      | 0.5266086       | -10.5060905     | J003135.8-103022 | 106.2875754     | -72.7335555     | SBbc            | B               | R               |                 |                 | 3.8             | 1.2             |                 |                 |  1.166          |    0.028        |  0.389          |    0.024        | 49.71           |                 |                 | 14.382          | 0.309           | 12.834          | 0.25            |                 |                 |                 | 0.86            | 136.04          |    2.19         |                 |                 |                 |                 |                 |                 | 13.695          | 0.192           | 12.291          | 3571.4          |    5.4          | 3583.6          |    2.6          | 3581.3          | 3.8             | 0.139           | 0.601           | 69.8            | 0.05            |                 | 1.163           | 13.619          |                 |                 | 23.271          | 144.95          |   2.37          | 13.646          | 0.028           | 3707.9          | 3639.9          | 3499.9          | 3254.1          | 33.54           |                 | -19.921         |
! UGC00335NED02   <No cross identification found>
NGC0155                                 |  NGC0155        | 0.5778066       | -10.7665068     | J003440.1-104559 | 108.5706065     | -73.1689839     | S0              |                 |                 |                 |                 | -2              | 0.5             |                 |                 |  1.174          |    0.042        |  0.062          |    0.026        | 169.09          |                 |                 | 14.14           | 0.451           | 11.941          | 0.392           |                 |                 |                 |                 |                 |                 |                 |                 | 195.29          |  25.69          | 0.257           | 0.009           |                 |                 |                 |                 |                 | 6209.7          |   14.9          | 6209.7          | 14.9            | 0.118           |  0              | 34.57           | 0.02            |                 | 1.184           | 13.929          |                 |                 | 23.756          |                 |                 |                 |                 | 6334            | 6265.8          | 6126            | 5884.5          | 34.752          |                 | -20.823         |
ESO540-G003                             |  ESO540-003     | 0.5942993       | -20.1252929     | J003539.5-200731 | 94.8169489      | -82.1210634     | SABb            | B               | R               |                 |                 | 2.9             | 0.6             |  3              |  0.4            |  1.165          |    0.044        |  0.336          |    0.025        | 154.4           | 21.438          |   0.359         | 13.899          | 0.223           | 12.09           | 0.093           |                 |                 |                 |                 | 150.14          |    4.22         |                 |                 |                 |                 |                 |                 | 14.125          | 0.085           |                 | 3291            |    4.5          | 3347.5          |   17.6          | 3294.4          |  10             | 0.118           | 0.47            | 66.87           | 0.04            |  0.558          | 1.163           | 13.286          |                 |                 | 22.928          | 163.27          |   4.63          | 14.082          | 0.796           | 3372.9          | 3319            | 3167.3          | 2990.2          | 33.33           |                 | -20.044         |
NGC0160                                 |  NGC0160        | 0.6011144       | 23.9581163      | J003604.0+235729 | 118.4259883     | -38.779082      | S0-a            |                 | R               |                 |                 | -0.4            |   1             |                 |                 |  1.297          |    0.034        |  0.348          |    0.028        | 45.8            | 22.136          |   0.447         | 13.613          | 0.042           | 11.311          | 0.102           |                 | 0.95            |                 | 1.055           | 254.57          |    7.06         |                 |                 | 221.82          |  15.83          |                 |                 | 16.011          | 0.143           |                 | 5253.2          |    3.2          | 5217.5          |   25.2          | 5252.7          |   4             | 0.147           | 0.049           | 76.05           | 0.07            |                 | 1.296           | 13.339          |                 | 0.81            | 23.721          | 262.31          |   7.35          | 15.942          | 2.604           | 5508.1          | 5404            | 5338.5          | 4929.5          | 34.455          |                 | -21.116         |
NGC0165                                 |  NGC0165        | 0.6080337       | -10.1061453     | J003628.9-100622 | 110.523234      | -72.6166229     | Sbc             | B               |                 |                 |                 | 4.1             | 0.4             |  1              |  0.5            |  1.212          |    0.028        |  0.186          |    0.027        | 73.24           | 23.012          |   0.314         | 13.994          | 0.081           | 12.67           | 0.249           | 0.24            | 0.8             | 0.23            | 0.745           | 139.45          |    9.16         |                 |                 |                 |                 |                 |                 | 15.777          | 0.393           | 13.182          | 5874            |   11.5          | 5889.2          |    2.4          | 5888.6          | 2.7             | 0.149           | 0.303           | 51.17           | 0.03            |  0.514          | 1.218           | 13.503          | 0.153           | 0.693           | 23.452          | 179.03          |  11.91          | 15.75           | 2.247           | 6015.4          | 5945.9          | 5807.5          | 5563.2          | 34.632          |                 | -21.129         |
NGC0169                                 |  NGC0169        | 0.6143208       | 23.9911528      | J003651.6+235928 | 118.6606563     | -38.7596282     | Sab             |                 |                 | M               |                 | 2.5             | 0.7             |  4              |  0.5            |  1.185          |    0.039        |  0.365          |    0.032        | 94.13           |  22.4           |   0.331         | 13.716          | 0.571           | 11.45           | 0.216           |                 |                 | -0.05           | 0.71            | 270.7           |   11.03         |                 |                 | 170.29          |  24.19          | 0.23            | 0.008           | 15.491          | 0.209           | 12.84           | 4620.9          |    4.4          | 4480.4          |   25.9          | 4616.9          | 16.7            | 0.129           | 0.475           | 69.78           | 0.05            |  0.614          | 1.183           | 13.065          |                 |                 | 22.834          | 288.48          |  11.84          | 15.443          | 2.378           | 4872.2          | 4767.9          | 4702.7          | 4294.2          | 34.17           |                 | -21.105         |
NGC0171                                 |  NGC0171        | 0.622648        | -19.9342668     | J003721.5-195603 | 98.0468065      | -82.1168023     | Sab             | B               | R               | M               |                 | 2.2             | 0.5             | 1.9             |  0.8            |  1.313          |    0.027        |  0.203          |    0.038        | 101.91          | 22.146          |    0.23         | 12.978          | 0.064           | 11.08           | 0.081           | 0.12            | 0.73            | 0.225           | 0.83            | 56.33           |    2.29         |                 |                 | 99.8            |   5.76          | 0.289           | 0.013           | 15.503          | 0.193           | 13.265          | 3908.1          |    6.2          | 3860.7          |    5.8          | 3883.1          |  17             | 0.092           | 0.265           | 54.36           | 0.03            |  0.413          | 1.313           | 12.583          | 0.064           | 0.643           | 22.976          | 69.31           |   2.89          | 15.475          | 2.891           | 3962            | 3907.5          | 3756.3          | 3579.3          | 33.686          |                 | -21.103         |
NGC0177                                 |  NGC0177        | 0.6262072       | -22.5492583     | J003734.3-223257 | 87.6989525      | -84.4454426     | Sab             |                 | R               |                 |                 | 1.7             | 0.6             |                 |                 |  1.324          |    0.026        |  0.622          |    0.024        | 9.9             | 20.846          |   0.324         | 14.119          | 0.185           | 11.99           | 0.077           |                 |                 |                 |                 | 187.55          |    8.63         |                 |                 |                 |                 |                 |                 | 15.32           | 0.092           |                 | 3835.5          |    6.2          | 3892            |   23.6          | 3839.1          | 10.7            | 0.098           | 0.61            |   90            | 0.83            |                 | 1.308           | 13.372          |                 |                 | 23.742          | 187.55          |                 | 14.494          | 1.122           | 3904.8          | 3854.6          | 3700.7          | 3542.5          | 33.662          |                 | -20.29          |
NGC0180                                 |  NGC0180        | 0.6326917       | 8.6352222       | J003757.7+083807 | 117.2469995     | -54.0876999     | Sc              | B               |                 |                 |                 | 4.6             | 0.9             |                 |                 |  1.342          |    0.031        |  0.171          |    0.037        | 164.34          |                 |                 | 13.854          | 0.447           |                 |                 |                 |                 |                 |                 | 163.82          |    3.44         |                 |                 |                 |                 |                 |                 | 15.116          |  0.15           | 12.739          | 5278.8          |      4          | 5251            |     29          | 5278.3          | 3.8             | 0.238           | 0.288           | 49.06           | 0.02            |                 | 1.358           | 13.299          |                 |                 | 23.982          | 216.87          |   4.82          | 15.095          | 1.795           | 5484            | 5391.2          | 5288.7          | 4940.3          | 34.438          |                 | -21.139         |
NGC0192                                 |  NGC0192        | 0.6537282       | 0.8640095       | J003913.4+005150 | 116.448664      | -61.8538958     | SBa             | B               | R               | M               |                 | 1.1             | 0.7             |                 |                 |  1.314          |    0.028        |  0.401          |    0.024        | 165.3           | 21.199          |   0.316         | 13.437          | 0.093           | 11.685          | 0.329           | 0.35            | 0.79            | 0.36            | 0.87            | 70.74           |    3.19         |                 |                 |                 |                 |                 |                 |                 |                 | 11.834          | 4085.4          |    6.4          | 4177.3          |    3.2          | 4159.4          | 25.9            | 0.088           | 0.339           | 76.15           | 0.07            |                 | 1.306           | 12.957          | 0.275           | 0.661           | 23.328          | 72.86           |    3.3          |                 |                 | 4333.9          | 4249.3          | 4130.7          | 3823.2          | 33.888          |                 | -20.931         |
