Name       	     RA     	    Dec     	  cz  	 Redshift 
NGC6361                       	17h18m41.09s	+60d36m29.4s	  3812	  0.012715
NGC6394                       	17h30m21.42s	+59d38m23.6s	  8486	  0.028306
NGC6478                       	17h48m38.35s	+51d09m26.1s	  6776	  0.022602
NGC7738                       	23h44m02.06s	+00d30m59.9s	  6762	  0.022556
NGC7819                       	00h04m24.54s	+31d28m19.4s	  4958	  0.016538
UGC00809                      	01h15m51.87s	+33d48m38.6s	  4204	  0.014023
UGC03253                      	05h19m41.90s	+84d03m09.3s	  4130	  0.013776
UGC03539                      	06h48m54.04s	+66d15m40.9s	  3304	  0.011021
UGC03969                      	07h41m14.35s	+27d36m50.9s	  8130	  0.027119
UGC03973                      	07h42m32.80s	+49d48m34.7s	  6652	  0.022189
UGC04029                      	07h48m18.96s	+34d19m56.3s	  4415	  0.014727
UGC04132                      	07h59m13.05s	+32d54m52.9s	  5219	  0.017409
UGC04280                      	08h14m33.35s	+54d47m58.5s	  3513	  0.011718
UGC04461                      	08h33m22.68s	+52d31m56.1s	  4993	  0.016655
UGC05108                      	09h35m26.29s	+29d48m45.4s	  8091	  0.026989
UGC05111                      	09h36m52.38s	+66d47m18.2s	  6778	  0.022609
UGC05244                      	09h48m48.47s	+64d10m07.8s	  3025	  0.010090
UGC05359                      	09h58m51.65s	+19d12m53.9s	  8472	  0.028259
UGC05498NED01                 	10h12m03.66s	+23d05m07.6s	  6258	  0.020874
UGC05598                      	10h22m14.01s	+20d35m21.9s	  5636	  0.018800
UGC06312                      	11h18m00.20s	+07d50m41.6s	  6325	  0.021098
UGC07012                      	12h02m03.15s	+29d50m52.8s	  3081	  0.010277
UGC08107                      	12h59m39.78s	+53d20m28.2s	  8300	  0.027685
UGC08250                      	13h10m20.14s	+32d28m59.5s	  5290	  0.017646
UGC08267                      	13h11m11.34s	+43d43m34.8s	  7232	  0.024123
UGC09067                      	14h10m45.46s	+15d12m33.9s	  7840	  0.026151
UGC09476                      	14h41m32.02s	+44d30m45.9s	  3262	  0.010881
UGC09537                      	14h48m26.75s	+34d59m53.0s	  8822	  0.029427
UGC09542                      	14h49m01.19s	+42d27m50.1s	  5461	  0.018217
UGC09665                      	15h01m32.46s	+48d19m11.1s	  2558	  0.008533
UGC09759                      	15h10m40.99s	+55d20m59.4s	  3420	  0.011408
UGC09873                      	15h29m50.65s	+42d37m44.2s	  5616	  0.018733
UGC09892                      	15h32m51.95s	+41d11m29.2s	  5669	  0.018911
UGC09919                      	15h35m39.67s	+12d36m23.0s	  3183	  0.010617
UGC10043                      	15h48m41.21s	+21d52m09.8s	  2161	  0.007208
UGC10123                      	15h59m02.96s	+51d18m16.8s	  3770	  0.012575
UGC10205                      	16h06m40.18s	+30d05m56.7s	  6556	  0.021868
UGC10331                      	16h17m21.13s	+59d19m12.4s	  4471	  0.014914
UGC10380                      	16h25m49.91s	+16d34m33.8s	  8752	  0.029194
UGC10384                      	16h26m46.68s	+11d34m49.0s	  4966	  0.016565
UGC10710                      	17h06m52.52s	+43d07m19.9s	  8387	  0.027976
