# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: Dist, unit: Mpc, datatype: float64, description: Distance from cz/70}
# delimiter: ','
# schema: astropy-2.0
Name,Dist
ARP118,120.7457142857143
ARP180,62.207142857142856
CGCG97120c,80.22857142857143
CGCG97120d,80.22857142857143
IC0208,50.292857142857144
IC1078,122.84142857142857
IC2361,29.661428571428573
IC4215,55.47857142857143
KUG1349+143,105.3557142857143
MCG-02-03-015,81.9
MCG-02-08-014,71.80714285714286
NGC0036,86.19
NGC0177,54.82285714285714
NGC0192,59.087142857142865
NGC0217,56.21142857142857
NGC0309,80.92714285714287
NGC0426,75.17999999999999
NGC0570,78.99857142857144
NGC0675,72.95142857142856
NGC0681,25.11857142857143
NGC0787,67.85142857142857
NGC0833,55.10142857142857
NGC0835,54.994285714285716
NGC0932,58.31142857142857
NGC0976,61.41428571428571
NGC0991,21.9
NGC1070,58.440000000000005
NGC1094,91.83
NGC2565,51.205714285714286
NGC3227f2,16.097142857142856
NGC4390,15.741428571428573
NGC5338,11.575714285714286
NGC5339,39.184285714285714
NGC5635,61.70142857142858
NGC5735,53.17714285714286
NGC5957,25.93285714285714
NGC6261,150.78857142857143
NGC6941,88.87714285714286
NGC6962,60.04714285714286
NGC6977,87.60428571428572
NGC6978,85.3157142857143
NGC7047,82.67142857142858
NGC7253C,67.44857142857143
NGC7550,70.91142857142857
NGC7631,53.69571428571429
NGC7653,60.857142857142854
NGC7722,57.22714285714286
NGC7782,76.54714285714284
NGC7803,76.14
NGC7824,87.73285714285714
SN2000cn,100.6842857142857
SN2005W,38.112857142857145
SN2005bl,102.50142857142858
SN2007N,55.19571428571428
SN2014aa,72.69428571428573
SN2014dl,141.28285714285715
UGC00036,89.93571428571428
UGC00386,76.22142857142858
UGC02229,104.40428571428572
UGC02311,102.31285714285714
UGC02367,105.50142857142858
UGC04145,66.48857142857143
UGC04197,65.55857142857144
UGC04375,29.361428571428576
UGC04425,84.51428571428572
UGC09110,66.45857142857143
UGC09401,80.4557142857143
UGC09711,119.26285714285714
UGC10738,96.00857142857141
UGC11680NED01,111.37714285714287
UGC12518,55.838571428571434
UGC12633,60.19714285714286
UGC12767,75.2657142857143
UGC4310,62.258571428571436
UGC8472,93.85714285714286
sn2001bf,66.43285714285715
sn2003gt,65.10428571428572
sn2004dt,84.67285714285715
sn2005A,82.07142857142857
