# %ECSV 1.0
# ---
# datatype:
# - {name: Alias, datatype: string}
# - {name: ledaName, datatype: string}
# - {name: al2000, datatype: float64}
# - {name: de2000, datatype: float64}
# - {name: type, datatype: string}
# - {name: bar, datatype: string}
# - {name: ring, datatype: string}
# - {name: multiple, datatype: string}
# - {name: t, datatype: float64}
# - {name: agnclass, datatype: string}
# - {name: logd25, datatype: float64}
# - {name: e_logd25, datatype: float64}
# - {name: logr25, datatype: float64}
# - {name: e_logr25, datatype: float64}
# - {name: pa, datatype: float64}
# - {name: bt, datatype: float64}
# - {name: it, datatype: float64}
# - {name: m21, datatype: float64}
# - {name: mfir, datatype: float64}
# - {name: vmaxg, datatype: float64}
# - {name: e_vmaxg, datatype: float64}
# - {name: v, datatype: float64}
# - {name: e_v, datatype: float64}
# - {name: ag, datatype: float64}
# - {name: incl, datatype: float64}
# - {name: vrot, datatype: float64}
# - {name: e_vrot, datatype: float64}
# - {name: vvir, datatype: float64}
# - {name: modz, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
Alias,ledaName,al2000,de2000,type,bar,ring,multiple,t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,bt,it,m21,mfir,vmaxg,e_vmaxg,v,e_v,ag,incl,vrot,e_vrot,vvir,modz
UGC01271,UGC01271,1.8166817,13.2111379,S0,B,,,-1.6,,1.226,0.057,0.216,0.044,94.22,14.493,12.64,,,,,5038.7,1.5,0.275,62.94,,,5011.5,34.317
NGC0675,NGC0675,1.81907,13.0595543,Sa,,,,1.0,,1.019,0.044,0.377,0.026,101.18,15.453,13.719,,13.578,95.05,4.48,5267.3,39.5,0.382,73.93,98.92,4.68,5239.3,34.404
UGCA021,PGC006667,1.8195409,-10.0611238,Scd,B,,M,6.7,,1.441,0.04,0.1,0.037,,14.349,13.544,14.234,13.437,83.47,2.2,1992.7,1.0,0.207,38.04,135.46,3.91,1853.8,32.162
NGC0681,NGC0681,1.8196765,-10.4265532,SABa,B,R,,2.0,,1.399,0.033,0.141,0.033,66.75,12.769,11.476,14.494,11.831,172.17,4.9,1748.1,3.4,0.149,46.28,238.21,7.12,1607.5,31.863
UGC01274,UGC01274,1.8198939,12.8532914,SABa,B,,,0.9,,1.056,0.05,0.576,0.027,106.8,15.166,13.221,,,,,7867.4,2.4,0.348,90.0,,,7838.3,35.287
NGC0677,NGC0677,1.8205647,13.0552581,E,,,,-4.9,,1.257,0.067,0.0,0.057,,13.258,12.228,18.54,,115.51,6.56,5143.3,11.3,0.384,0.0,,,5115.2,34.352
NGC0693,NGC0693,1.8419075,6.1451551,S0-a,,,,0.2,,1.324,0.042,0.287,0.047,106.0,13.245,11.18,14.923,11.039,108.58,2.82,1561.0,2.7,0.229,66.69,118.23,3.15,1497.8,31.697
NGC691,NGC0691,1.8449222,21.7598889,Sbc,,R,,4.0,,1.433,0.032,0.161,0.022,92.63,12.286,10.594,14.855,13.1,149.0,3.1,2664.7,1.2,0.311,47.97,200.59,4.33,2679.8,32.973
NGC0716,NGC0716,1.8832483,12.7084493,Sa,B,,,1.1,,1.118,0.052,0.399,0.027,58.95,14.005,12.333,15.321,11.102,185.09,5.54,4559.7,2.8,0.23,75.86,190.87,5.76,4527.9,34.093
UGC01368,UGC01368,1.9036525,7.8836222,Sab,,,,2.0,,1.126,0.074,0.422,0.066,51.5,14.926,,,,,,7972.8,42.1,0.251,75.35,,,7916.2,35.31
UGC1370,UGC01370,1.9067772,13.5410956,Sab,,,,1.9,,0.97,0.046,0.419,0.027,156.14,15.598,13.6,,,,,6209.4,3.5,0.281,75.45,,,6181.1,34.767
NGC0731,NGC0731,1.9156222,-9.0108717,E,,,,-4.0,,1.23,0.031,0.054,0.025,155.5,13.064,11.055,,,,,3881.2,11.4,0.094,36.09,,,3743.9,33.686
NGC0741,NGC0741,1.9391681,5.6287675,E,,,M,-4.8,,1.452,0.043,0.096,0.037,92.7,12.306,,,,,,5563.7,13.7,0.227,53.62,,,5494.8,34.521
NGC0755,NGC0755,1.9396295,-9.0613525,SBbc,B,,,3.6,,1.458,0.022,0.505,0.025,52.41,13.099,11.974,14.02,12.671,98.19,1.44,1623.3,11.6,0.101,78.06,100.37,1.48,1485.1,31.697
IC1755,IC1755,1.9527195,14.549887,SABa,B,,,1.0,,1.163,0.071,0.596,0.054,154.97,14.714,13.126,16.641,,247.56,8.41,7911.2,2.1,0.211,90.0,247.56,,7886.6,35.299
2MASXJ01581578+3620538,PGC074050,1.97105,36.3482778,Sc,,,,4.8,,0.678,0.073,0.045,0.03,,16.47,,,,,,4760.7,60.0,0.383,26.36,,,4845.0,34.245
NGC0768,NGC0768,1.9780325,0.529193,SBbc,B,R,M,3.8,,1.193,0.034,0.421,0.026,28.7,14.203,12.91,15.64,13.518,179.86,6.69,6990.2,10.9,0.14,72.12,188.98,7.06,6895.3,35.016
NGC0774,NGC0774,1.9929781,14.0082193,S0,,,,-2.0,,1.107,0.044,0.081,0.03,163.84,14.278,12.351,16.692,,95.61,6.0,4594.8,1.4,0.263,39.31,150.92,9.88,4566.2,34.113
NGC0776,NGC0776,1.9984639,23.6444444,SABa,B,,,2.5,,1.13,0.047,0.021,0.024,,13.443,11.94,15.632,12.637,58.23,1.54,4916.7,8.8,0.421,18.34,185.07,6.65,4936.9,34.281
NGC0781,NGC0781,2.0024949,12.6561485,Sa,,,,1.2,,1.166,0.056,0.556,0.036,12.19,13.908,12.513,,,,,3494.1,40.8,0.284,90.0,,,3458.4,33.515
NGC0787,NGC0787,2.0134935,-9.0027307,Sb,,R,,3.0,,1.273,0.029,0.159,0.023,91.23,13.627,11.797,,,162.24,11.21,4746.9,3.8,0.123,48.21,217.59,15.22,4606.7,34.132
MCG-02-06-016,PGC007654,2.015285,-8.8416113,IB,B,,,9.9,,1.044,0.062,0.126,0.031,31.0,15.609,14.851,15.242,,55.33,3.02,1626.7,7.3,0.108,46.81,75.89,4.26,1487.1,31.697
NGC784,NGC0784,2.0213694,28.83725,SBd,B,,,7.9,,1.62,0.027,0.592,0.026,0.8,12.215,,13.244,13.521,41.36,1.01,188.8,4.2,0.255,90.0,41.36,,234.5,
2MASXJ02014081+1519521,PGC1481751,2.0280028,15.3311389,,,,,,,0.66,0.077,0.12,0.028,160.5,16.18,,,,,,,,0.232,41.47,,,,
NGC799,NGC0799,2.0367603,-0.1006563,SBa,B,R,M,1.1,,1.232,0.036,0.073,0.024,,14.141,12.382,16.119,,60.36,3.64,5828.1,8.6,0.116,34.44,106.74,6.69,5728.4,34.601
NGC0810,NGC0810,2.0912949,13.2512736,E,,,M,-4.4,,1.147,0.044,0.203,0.029,30.83,15.043,12.592,,,,,7781.6,31.6,0.443,90.0,,,7746.2,35.264
IC0208,IC0208,2.1410404,6.3949556,Sbc,,R,,3.6,,1.122,0.046,0.07,0.029,167.85,14.727,12.32,16.015,,54.38,2.69,3517.3,3.8,0.235,32.62,100.88,5.31,3446.1,33.49
NGC0825,NGC0825,2.1423222,6.32375,Sa,,,,1.1,,1.314,0.055,0.493,0.057,51.75,14.392,11.94,15.504,,216.75,6.38,3395.6,2.4,0.236,90.0,216.75,,3324.0,33.411
NGC0833,NGC0833,2.1557917,-10.1331376,SABa,B,R,M,0.8,S3,1.213,0.037,0.39,0.026,85.29,13.713,12.108,,,95.26,4.97,3855.4,3.5,0.11,75.75,98.28,5.15,3705.9,33.662
NGC0835,NGC0835,2.1568434,-10.1360253,Sab,B,R,,1.9,S2,0.942,0.108,0.077,0.04,4.58,13.158,11.335,15.75,11.202,105.0,4.12,3889.9,49.8,0.11,34.87,183.64,7.89,3740.4,33.686
NGC0842,NGC0842,2.164116,-7.7623963,S0,B,R,,-2.1,,1.241,0.035,0.31,0.028,156.83,13.635,11.34,,,,,3800.0,13.8,0.102,84.14,,,3660.9,33.638
UGC01659,UGC01659,2.1657944,16.03275,SBc,B,,,6.0,,1.145,0.037,0.409,0.03,35.85,14.823,12.85,16.623,,196.19,6.83,8239.9,2.2,0.296,69.36,209.65,7.34,8216.5,35.39
MCG-01-06-070,PGC008502,2.2210634,-7.6622941,Sa,B,R,,1.4,,1.218,0.029,0.146,0.022,117.46,14.954,13.199,16.55,,123.52,6.51,4780.3,2.5,0.116,47.51,167.51,8.98,4639.9,34.151
UGC01749,UGC01749,2.2706788,18.311048,Sab,,,,2.0,,1.091,0.043,0.552,0.025,136.2,16.024,,16.493,,218.5,7.75,8068.4,3.2,0.547,90.0,218.5,,8053.8,35.345
NGC0873,NGC0873,2.2756569,-11.3485959,Sc,,,,4.8,,1.17,0.031,0.142,0.021,146.25,12.89,11.449,15.206,11.146,59.46,2.9,4016.0,3.2,0.15,45.09,83.96,4.18,3857.7,33.755
MGC+07-05-39,PGC008915,2.34305,41.5740278,Sbc,,,,4.2,,0.867,0.057,0.098,0.027,70.5,15.254,,,,,,6493.0,21.0,0.236,38.09,,,6594.0,34.909
NGC890,NGC0890,2.3669444,33.2660833,E-S0,B,R,,-2.6,,1.04,0.046,0.215,0.031,45.17,12.848,,,,,,3952.0,12.0,0.336,67.47,,,4011.4,33.823
NGC891,NGC0891,2.3759674,42.3476344,Sb,,,,3.1,,2.115,0.021,0.634,0.051,22.0,10.836,8.47,12.129,8.365,212.09,5.03,527.7,1.6,0.281,90.0,212.09,,631.8,29.942
IC225,IC0225,2.4411888,1.1605165,E,,R,,-4.9,,1.004,0.047,0.052,0.023,157.79,14.831,13.486,,,,,1537.6,0.8,0.135,38.53,,,1432.2,31.639
NGC0924,NGC0924,2.4463417,20.4974167,S0,,,,-1.9,,1.308,0.073,0.237,0.076,52.0,13.741,,15.413,,198.21,6.31,4460.3,4.2,0.737,67.58,214.41,7.16,4452.2,34.054
UGC01918,UGC01918,2.4590205,25.6687177,SBab,B,,,2.0,,1.183,0.04,0.391,0.03,118.25,14.616,,17.361,12.709,183.78,5.67,5089.5,10.6,0.45,72.71,192.47,5.99,5107.9,34.352
NGC0932,NGC0930,2.4651889,20.3326389,Sa,,R,,1.0,,1.302,0.038,0.036,0.026,,13.88,,17.146,,87.49,2.94,4078.0,3.0,0.6,24.39,211.82,8.36,4068.6,33.866
UGC01938,UGC01938,2.4728148,23.2146741,Sbc,,,,4.0,,1.071,0.032,0.577,0.023,155.0,15.146,13.376,15.869,,186.15,2.11,6397.8,2.3,0.601,81.95,188.0,2.14,6403.1,34.853
NGC0941,NGC0941,2.4744088,-1.1514899,SABc,B,,M,5.3,,1.272,0.038,0.147,0.023,171.2,13.037,12.339,14.838,13.073,64.12,1.87,1599.9,3.6,0.153,45.66,89.64,2.69,1482.5,31.697
NGC0938,NGC0938,2.4759722,20.2836389,E,,,,-4.9,,1.191,0.075,0.133,0.057,96.68,13.753,,16.624,,85.5,6.35,4104.7,6.2,0.492,66.27,93.39,7.19,4094.8,33.867
NGC0955,NGC0955,2.5091989,-1.108429,Sab,,,,2.0,,1.435,0.023,0.492,0.024,19.57,12.917,11.055,15.359,,151.73,4.28,1485.5,4.2,0.156,81.54,153.4,4.34,1367.4,31.518
NGC958,NGC0958,2.5118838,-2.9390238,SBc,B,,,4.9,,1.401,0.027,0.54,0.028,4.41,12.909,11.04,14.131,11.091,277.83,7.27,5737.6,2.6,0.131,77.97,284.07,7.46,5610.7,34.553
LEDA9568,PGC009568,2.5137598,22.4773521,,,,,,,0.67,0.076,0.3,0.028,99.0,17.16,,,,,,,,0.711,61.58,,,,
LEDA9572,PGC009572,2.51406,22.4702,,,,,,,0.73,0.07,0.08,0.028,140.0,16.85,,,,,,,,0.713,34.35,,,,
2MASXJ02305208+2228326,2MASXJ02305208+2228326,2.5144667,22.4757222,,,,,,,,,,,70.0,,,,,,,,,0.711,,,,,
NGC0962,NGC0962,2.5444,28.0698889,E-S0,,,,-3.5,,1.163,0.04,0.151,0.025,178.01,14.155,,,,,,4609.4,24.4,0.4,59.34,,,4638.0,34.151
UGC02018,UGC02018,2.5444909,0.2600876,S0-a,B,R,,-1.0,,1.161,0.035,0.433,0.029,74.03,14.226,12.585,,,,,6164.0,1.8,0.121,90.0,,,6051.4,34.723
NGC0976,NGC0976,2.5666694,20.9767778,Sbc,,,,4.1,,1.188,0.043,0.029,0.057,,13.23,,15.008,11.689,146.26,3.36,4296.9,5.2,0.473,21.17,405.03,15.91,4288.3,33.972
NGC0991,NGC0991,2.5924142,-7.1544011,SABc,B,R,M,5.2,,1.17,0.04,0.052,0.025,,12.96,12.051,14.437,13.122,33.62,1.04,1531.8,0.7,0.12,28.1,71.37,2.47,1383.4,31.518
UGC02099,UGC02099,2.6202806,21.5674722,S0,,,,-1.9,,1.067,0.044,0.336,0.027,138.0,15.489,,16.733,,351.11,14.17,8198.5,16.2,0.642,90.0,351.11,,8191.6,35.39
UGC02134,UGC02134,2.6477427,27.8468203,Sb,,,,3.1,,1.206,0.034,0.403,0.028,106.23,14.684,12.04,15.225,12.777,149.67,3.98,4586.2,1.9,0.743,71.84,157.52,4.22,4611.2,34.132
NGC1026,NGC1026,2.6553333,6.5439167,S0,,,,-2.0,,1.265,0.07,0.04,0.058,,14.058,,,,,,4179.0,60.0,0.364,27.86,,,4094.3,33.867
NGC1041,NGC1041,2.6736708,-5.4403611,E-S0,,,,-3.1,,1.135,0.042,0.101,0.025,47.3,14.093,11.826,,,,,7067.1,15.4,0.126,46.65,,,6924.4,35.016
UGC02175,UGC02175,2.7045778,42.3931667,SABb,B,R,,4.0,,0.893,0.062,0.105,0.033,107.0,15.467,,,,,,4256.3,14.1,0.368,39.41,,,4354.0,34.013
MCG+03-07-047,PGC010254,2.7080639,18.1646667,S?,,,,0.1,,0.707,0.2,0.156,0.057,120.0,15.63,,16.133,,437.6,27.46,9508.0,10.3,0.336,50.31,568.7,36.93,9481.3,35.712
NGC1056,NGC1056,2.7134167,28.5740972,Sa,,,,1.0,,1.274,0.083,0.139,0.065,162.46,13.399,10.536,13.663,11.232,124.2,2.87,1542.1,3.2,0.652,46.72,170.59,4.44,1569.4,31.809
NGC1060,NGC1060,2.72085,32.4249401,E-S0,,,,-3.0,,1.373,0.03,0.13,0.026,76.99,13.01,,,,,,5146.2,32.6,0.841,52.91,,,5193.2,34.387
NGC1070,NGC1070,2.72285,4.9684444,Sb,,,,3.0,,1.37,0.053,0.068,0.049,178.32,12.882,,14.353,12.374,159.13,6.15,4091.5,3.0,0.243,32.52,296.02,13.03,3997.2,33.823
UGC02222,UGC02222,2.7526917,32.9898056,Sb,,,M,3.0,,1.124,0.04,0.348,0.028,103.0,14.865,,,,,,4921.0,45.7,0.573,67.59,,,4970.3,34.299
UGC02225,UGC02225,2.7537551,32.9780907,SABb,B,,M,3.8,,0.975,0.043,0.47,0.027,5.8,15.153,,,,,,5074.0,51.0,0.568,75.32,,,5123.2,34.37
UGC02229,UGC02229,2.7576582,0.9143693,SBa,B,,M,0.5,,1.125,0.041,0.315,0.026,176.71,14.64,13.01,,,,,7303.6,3.6,0.155,68.92,,,7188.7,35.105
UGC02239,UGC02239,2.7765957,32.4491956,Sbc,B,,,4.0,,1.116,0.037,0.623,0.028,14.0,15.528,13.362,16.561,,146.23,3.95,4824.9,2.9,0.752,86.2,146.56,3.97,4870.9,34.245
NGC1094,NGC1094,2.7910654,-0.2851119,SABa,B,R,,2.1,,1.122,0.036,0.197,0.027,88.84,13.56,12.414,15.693,12.702,165.47,7.18,6423.7,1.6,0.171,53.79,205.09,9.05,6302.2,34.81
NGC1093,NGC1093,2.8044855,34.419778,SABa,B,,,2.0,,1.065,0.049,0.188,0.024,98.75,14.237,,15.129,,166.64,4.64,5280.8,5.8,0.379,52.75,209.35,5.98,5336.4,34.455
2MASXJ02485298+5302143,PGC010652,2.8147167,53.0373056,Sb,,,,3.0,,1.193,0.187,0.516,0.117,175.0,15.84,,15.414,,122.24,6.41,4953.4,3.7,2.135,80.3,124.01,6.56,5099.9,34.352
UGC02311,UGC02311,2.8244334,-0.873019,Sb,B,R,,3.1,,1.128,0.038,0.182,0.028,68.6,13.884,12.559,15.228,,126.35,5.02,7127.1,13.1,0.236,51.23,162.05,6.58,7002.0,35.042
UGC02319,UGC02319,2.8315532,-1.0036103,SABc,B,,M,5.8,,1.098,0.04,0.617,0.028,46.12,15.466,13.89,,,165.79,5.45,7022.9,3.1,0.314,80.75,167.97,5.54,6896.9,35.016
MCG+02-08-014,PGC010738,2.8357889,12.8436667,E,,,,-5.0,,0.868,0.075,0.09,0.026,15.5,15.793,,,,,,10338.0,60.0,0.588,53.06,,,10280.7,35.89
UGC02308,UGC02308,2.8367222,47.0544444,E?,,,M,0.0,,1.162,0.107,0.055,0.069,45.0,16.0,,15.702,,169.6,8.52,8271.6,16.1,0.712,30.51,334.1,20.03,8389.7,35.445
MCG-02-08-014,PGC010875,2.8731625,-8.5104302,Sab,,,,1.6,S2,1.251,0.028,0.794,0.024,95.42,15.025,13.2,,,179.31,15.95,5023.4,1.6,0.231,90.0,179.31,,4862.0,34.245
NGC1132,NGC1132,2.8810569,-1.274625,E,,,,-4.8,,1.28,0.033,0.426,0.029,141.92,13.286,,,,,,6957.9,13.1,0.278,90.0,,,6829.5,34.989
UGC02367,UGC02367,2.8947778,6.2656111,S0,,,,-2.0,,1.28,0.038,0.411,0.065,144.75,14.856,11.955,15.374,13.262,272.8,6.04,7380.0,1.2,0.953,90.0,272.8,,7287.9,35.131
NGC1129,NGC1129,2.9076216,41.57901,E,,,,-4.9,,1.45,0.03,0.42,0.028,77.43,13.692,,,,,,5272.4,18.9,0.489,90.0,,,5362.4,34.455
NGC1143,NGC1143,2.9193685,-0.1778504,E,,,,-4.3,,1.086,0.046,0.252,0.027,110.65,14.268,13.485,,,,,8446.3,2.2,0.312,90.0,,,8322.1,35.423
NGC1142,NGC1142,2.9200628,-0.1835762,E,,,,-4.3,S2,1.032,0.051,0.16,0.028,117.89,13.772,12.361,,11.243,,,8634.1,18.2,0.312,67.97,,,8509.9,35.467
UGC02403,UGC02403,2.9325718,0.6926124,SBab,B,,,1.5,,1.136,0.038,0.358,0.027,150.17,14.83,12.625,16.288,11.024,155.78,5.33,4151.3,8.0,0.39,70.87,164.89,5.69,4031.0,33.845
UGC02405,UGC02405,2.9326694,6.4948056,Sc,,,,5.7,,1.132,0.047,0.425,0.052,167.2,14.711,13.097,15.894,,191.45,4.29,7695.7,3.0,0.749,70.53,203.07,4.63,7603.9,35.228
2MASXJ02573365+0558371,PGC011179,2.9593472,5.9769722,S0,,,,-2.3,,0.862,0.237,0.304,0.152,158.2,15.426,,,,,,6917.7,12.7,0.81,87.0,,,6822.7,34.989
UGC02443,UGC02443,2.972643,-2.0418398,Sc,,,,5.7,,1.116,0.034,0.309,0.026,163.2,14.528,12.646,16.847,,93.36,3.76,2518.0,4.3,0.403,62.4,105.35,4.28,2383.7,32.698
LEDA1186356,PGC1186356,2.998237,1.1600225,E,,,,-3.9,,0.404,0.106,0.165,0.028,122.05,17.911,16.641,,,,,21786.8,2.8,0.334,65.67,,,21667.2,37.548
UGC02465,UGC02465,3.0103833,35.1689709,Sa,,,,0.9,,1.103,0.044,0.606,0.031,143.0,14.63,,16.537,,188.88,7.83,5070.5,5.6,0.712,90.0,188.88,,5125.9,34.37
NGC1167,NGC1167,3.0284351,35.2057302,S0,,,,-2.4,S3,1.26,0.036,0.121,0.03,70.0,13.461,,15.595,,212.8,6.14,4949.9,3.2,0.784,49.05,281.75,8.59,5005.2,34.317
NGC1211,NGC1211,3.1145596,-0.7944535,S0-a,B,R,M,0.0,,1.174,0.045,0.194,0.028,162.65,13.266,11.816,14.716,,83.49,3.04,3209.5,1.6,0.307,55.92,100.8,3.75,3077.9,33.246
MCG-01-09-006,PGC011767,3.1467602,-7.0405944,S?,B,,,1.4,,1.22,0.04,0.52,0.028,9.59,14.852,13.295,15.934,13.653,204.78,7.53,8674.8,12.5,0.322,90.0,204.78,,8513.6,35.477
IC1890,IC1890,3.1662361,19.2081389,S0,,,,-2.5,,1.007,0.135,0.0,0.076,,15.632,,,,,,10229.0,4.8,0.708,0.0,,,10197.5,35.872
IC0307,IC0307,3.2292244,-0.2414565,Sa,B,R,M,1.1,,1.203,0.034,0.425,0.027,67.23,14.504,12.621,16.45,13.488,300.8,13.6,7788.7,2.7,0.418,78.6,306.84,13.93,7657.2,35.24
UGC02628,UGC02628,3.2755124,-0.4681234,Sbc,B,R,,4.0,,1.187,0.035,0.608,0.027,124.77,14.862,13.55,,,186.38,6.33,6801.8,5.2,0.309,84.29,187.3,6.37,6668.3,34.936
NGC1259,NGC1259,3.288131,41.3851222,E-S0,,,,-3.0,,0.98,0.05,0.15,0.028,80.5,15.21,,,,,,5831.2,44.7,0.688,56.77,,,5913.8,34.678
NGC1260,NGC1260,3.2908889,41.4051111,S0-a,,,M,-0.3,,1.11,0.08,0.415,0.047,85.67,14.298,,,13.406,,,5752.6,21.1,0.689,90.0,,,5835.3,34.647
UGC02650,UGC02650,3.2929084,-1.695121,Sab,,,,2.0,,1.038,0.041,0.688,0.027,64.17,15.542,13.38,,,,,8482.0,30.0,0.364,90.0,,,8342.3,35.423
NGC1270,NGC1270,3.3161565,41.4699989,E,,,,-4.9,,1.023,0.048,0.034,0.03,,14.218,,,14.845,,,4971.5,16.7,0.713,31.0,,,5054.1,34.335
NGC1271,NGC1271,3.3198001,41.3532645,S0,B,,,-2.0,,0.91,0.055,0.2,0.028,123.08,15.103,13.199,,,,,5959.7,2.2,0.716,61.79,,,6041.7,34.723
NGC1277,NGC1277,3.3309857,41.5733186,S0-a,,,,-0.8,,0.988,0.049,0.16,0.028,96.0,14.635,,,14.075,,,4955.2,51.5,0.713,52.37,,,5038.1,34.317
NGC1281,NGC1281,3.3350304,41.629998,E,,,,-4.9,,0.892,0.163,0.266,0.075,68.29,14.521,12.986,,,,,4219.7,1.6,0.721,90.0,,,4302.9,33.972
UGC02690,UGC02690,3.3452655,-1.1086054,Sbc,B,,,4.2,,1.133,0.03,0.401,0.021,146.71,14.564,13.507,15.343,,151.33,5.68,6270.2,2.2,0.313,70.21,160.83,6.06,6132.2,34.752
2MASXJ03210041+4133449,PGC012562,3.3501143,41.5624656,S0,,,,-2.0,,0.88,0.057,0.32,0.028,74.39,15.411,13.709,,,,,4706.3,1.4,0.719,85.79,,,4788.9,34.208
UGC02698,UGC02698,3.3674857,40.8638345,E,,,,-4.8,,1.057,0.129,0.063,0.058,110.0,14.338,,,14.516,,,6420.8,13.9,0.631,42.64,,,6499.6,34.881
NGC1324,NGC1324,3.4171325,-5.7458323,Sb,,,,3.0,,1.375,0.031,0.538,0.027,140.68,13.401,11.799,15.044,12.789,292.06,7.16,5668.3,1.2,0.201,82.0,294.92,7.26,5507.4,34.521
UGC2756,UGC02756,3.49317,40.8731,,,,,,,,,,,,15.0,,,,,,,,0.833,,,,,
NGC1349,NGC1349,3.5243167,4.3808611,S0,,,,-2.0,,0.959,0.078,0.0,0.032,,14.218,,16.476,,169.37,7.67,6600.0,6.7,0.945,0.0,,,6485.2,34.881
NGC1361,NGC1361,3.5715929,-6.2649599,E-S0,B,,,-3.0,,1.093,0.043,0.171,0.023,43.75,14.676,12.799,,,,,5254.2,2.6,0.174,61.03,,,5088.1,34.352
MCG-01-10-015,PGC013426,3.6442084,-5.3473282,Scd,,,,6.6,,1.162,0.035,0.522,0.025,79.88,14.961,13.472,16.322,,134.5,10.62,4131.0,5.7,0.215,75.24,139.09,10.99,3967.8,33.8
MCG-01-10-019,PGC013535,3.6786098,-6.4151264,SABc,B,R,M,5.8,,1.257,0.034,0.49,0.028,6.87,14.773,13.144,15.45,,120.97,5.29,5243.2,2.6,0.241,74.23,125.71,5.51,5074.6,34.335
UGC2829,UGC02829,3.6974619,8.1598267,S0,,,,-2.0,,1.027,0.079,0.526,0.057,163.0,14.944,,,,46.92,5.14,6008.4,30.0,1.062,90.0,46.92,,5909.5,34.678
UGC02836,UGC02836,3.7324639,39.2951667,E-S0,,,M,-2.8,,1.053,0.089,0.1,0.06,175.05,13.772,,,11.44,123.23,8.21,5039.8,7.7,1.2,45.58,172.52,12.2,5105.4,34.352
IC342,IC0342,3.7801417,68.0960926,SABc,B,,,6.0,,2.296,0.018,0.022,0.038,,9.679,,8.027,6.947,72.97,1.91,25.0,9.1,3.5,18.46,230.41,9.35,227.1,
UGC02912,UGC02912,3.9926028,42.6165556,S0-a,,,,0.0,,0.89,0.056,0.5,0.028,25.5,16.0,,,,,,5396.0,10.7,1.863,90.0,,,5476.0,34.505
UGC02931,UGC02931,4.0384778,25.8169444,SABc,B,R,,5.3,,0.907,0.05,0.168,0.025,27.38,15.277,13.402,16.079,,93.02,2.95,5745.2,2.4,1.076,48.4,124.39,4.05,5734.7,34.601
2MASXJ04031675+7143124,PGC014370,4.0546575,71.7201628,Sc,,,,5.0,,0.956,0.052,0.557,0.031,31.0,15.627,,14.617,,143.2,6.68,4510.9,7.3,1.099,78.83,145.97,6.83,4726.0,34.189
NGC1542,NGC1542,4.287275,4.7815833,Sab,,,,2.0,,1.085,0.039,0.483,0.033,127.75,15.033,,17.356,13.637,186.85,9.19,3728.6,13.9,0.913,80.78,189.3,9.34,3604.6,33.59
NGC1550,NGC1550,4.3272009,2.4098072,E,,,,-4.1,,1.237,0.032,0.052,0.023,27.75,13.168,,,,,,3785.2,16.0,0.576,35.55,,,3649.1,33.614
UGC03038,UGC03038,4.4170225,7.1710373,Sb,,,,3.0,,1.075,0.044,0.564,0.027,34.8,15.435,,16.551,,227.25,6.85,8087.7,3.4,0.855,84.45,228.32,6.9,7974.5,35.333
NGC1590,NGC1590,4.5195,7.6309167,Sc,,,,5.0,,0.953,0.093,0.051,0.048,110.0,14.488,,15.695,12.038,133.64,9.02,3913.3,10.9,0.872,27.86,285.97,21.41,3801.4,33.709
UGC03107,UGC03107,4.622736,9.5444607,Sbc,,,,4.0,,1.002,0.04,0.625,0.027,71.33,16.5,,15.82,13.349,219.28,5.21,8361.2,,0.971,86.22,219.76,5.23,8258.3,35.401
UGC3108,UGC03108,4.6412028,44.0371111,Sb,,,,3.1,,1.04,0.043,0.143,0.032,154.73,18.0,12.252,14.799,12.506,129.65,4.11,3958.5,2.3,4.149,45.96,180.34,5.98,4040.9,33.845
2MASXJ04424248+1835003,PGC213292,4.7118,18.5834167,S0,,,,-2.5,,1.065,0.047,0.241,0.027,103.0,15.24,,,,,,4721.0,26.0,2.169,71.47,,,4665.2,34.151
NGC1645,NGC1645,4.7351111,-5.46575,S0-a,B,R,,-0.9,,1.339,0.034,0.422,0.027,89.2,14.0,11.719,15.82,,117.01,7.09,4890.8,19.4,0.231,90.0,117.01,,4714.1,34.189
UGC03151,UGC03151,4.7554529,11.0679118,Sbc,,,,4.0,,1.21,0.038,0.522,0.028,95.0,16.5,,16.945,,227.07,7.66,4617.3,122.0,2.113,78.39,231.82,7.85,4521.4,34.093
NGC1656,NGC1656,4.764834,-5.1367548,S0-a,B,,,-1.3,,1.24,0.037,0.259,0.026,109.34,14.5,11.43,,,,,3770.1,14.8,0.235,68.06,,,3594.7,33.59
NGC1677,NGC1659,4.7749861,-4.7887361,Sbc,,R,,4.0,,1.176,0.033,0.204,0.022,51.45,13.205,11.712,15.859,12.059,151.88,6.89,4662.0,18.4,0.158,53.24,189.58,8.7,4488.1,34.073
NGC1665,NGC1665,4.8047403,-5.427625,S0,B,,,-1.8,,1.253,0.039,0.225,0.025,55.83,14.06,11.347,,,,,2751.7,22.7,0.265,64.96,,,2574.7,32.873
NGC1666,NGC1666,4.8091236,-6.5700972,S0-a,B,R,,-1.0,,1.129,0.031,0.029,0.024,,13.666,11.34,,,,,2756.9,15.8,0.374,22.77,,,2574.9,32.873
