  14   ---             ---
  17  54.9 22.6  49.3 25.4
  22   6.4  2.2  10.2  4.9
  26   4.6  3.2   2.8  3.0
  39   ---             ---
  42   7.4  6.2   8.9  6.9
  44   ---             ---
 119  20.2 11.5   9.8 13.7
 127  15.9 13.1   4.4  7.9
 155   0.1  4.4   2.7  5.0
 156   1.4  3.1   3.5  3.0
 165   4.3  2.6  10.2  3.0
 186   2.5  2.6   4.8  3.0
 213   5.4 11.6   2.4 18.3
 274  18.7  5.8   1.1  6.8
 311  11.7  9.3  19.3  7.6
 314   4.9  3.3   8.1  3.4
 340 181.2 11.6 170.8 20.2
 360   ---             ---
 475   ---             ---
 479   6.4  3.8  18.0  5.6
 486   4.8 12.3  10.0 11.1
 520  20.5 11.0  17.0 13.8
 577   1.7  6.3   2.9  7.6
 589   ---             ---
 593   4.9  2.4   1.3  3.3
 633  76.0 13.9  40.1  8.3
 634  10.6  3.1   0.8  4.1
 663   1.9  2.4   1.9  2.4
 676  27.0 14.8   8.6 23.3
 680   ---             ---
 740  10.0  7.2  16.3  8.2
 746  90.7  5.9  98.0  5.7
 758   ---             ---
 766   ---             ---
 767   ---             ---
 769   0.7  5.3   8.5  7.2
 770 105.1  5.9  56.6  9.2
 778   8.0  4.9   4.5  3.8
 780   ---             ---
 781   ---             ---
 785   ---             ---
 795   3.9  5.7   8.6  5.0
 796  15.4  3.5   3.0  3.6
 797   8.9  4.2  12.9  7.5
 801   6.9  9.9  13.8 17.1
 802   2.9 20.1  17.5 19.4
 803   0.6  7.8  18.9 22.4
 806  68.0  6.2  69.1  7.9
 807   7.3  4.8   0.5  4.4
 816   4.6  5.1   2.3  8.0
 822  21.6  6.6   2.4  6.8
 828   ---             ---
 832   ---             ---
 833   8.3  5.3  20.3 10.7
 843   ---             ---
 844   ---             ---
 846   ---             ---
 850   2.4  4.3   3.9  2.9
 852   ---             ---
 858   8.8  3.3   7.6  4.1
 860   ---             ---
 871   2.2  2.5   5.2  3.2
 873  10.0  9.9  10.7  7.8
 874   1.8  3.0   9.9  4.3
 877   4.5  5.1   4.7  3.7
 882   ---             ---
 883   ---             ---
 892   0.3  5.6   4.0  3.8
 900   ---             ---
 901   8.5  4.6  15.2  4.9
 903   ---             ---
 905   ---             ---
 907   5.9  6.6   1.6  7.2
 913   4.8  5.8  32.3  6.8
 915   4.7  5.8   3.6  5.2
 916   ---             ---
 922  25.1  5.9  18.2  6.9
 923   ---             ---
 925   0.1  5.0   4.5  6.2
 927  28.8  4.6  19.7  5.7
 932   ---             ---
 935   ---             ---
 939   9.8 11.1  14.4  9.6
1014   ---             ---
1017   ---             ---
1022  19.4 22.3  39.7 27.7
1026   ---             ---
1042   ---             ---
1044   ---             ---
1340   ---             ---
1360   ---             ---
1520  24.4 17.3  24.0 21.3
1589   ---             ---
1663   ---             ---
1740   ---             ---
1780   ---             ---
1781  19.8 20.9   0.7 21.1
1795 141.9  9.0 155.9  8.1
1796   2.0  5.8   2.9  6.4
1801  11.1  4.2   8.1  4.9
1871   6.6  4.8   0.9  4.2
1873   2.3 20.6  21.6 21.6
