# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: '# of pixels in ring'}
# - {name: SURFDENS, unit: Jy km / (arcsec2 s), datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: Jy km / (arcsec2 s), datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RADIUS,NPIX,SURFDENS,ERR_SD
NGC2480,4.5,48,0.05157,0.02474
NGC2480,7.5,65,0.02893,0.01529
NGC2480,10.5,49,0.03928,0.02912
NGC2480,13.5,30,0.06679,0.05045
NGC2480,16.5,19,0.06981,0.03843
NGC2480,19.5,17,0.02907,0.01773
NGC2480,22.5,11,0.01368,0.007765
NGC2487,1.5,24,0.4131,0.0743
NGC2487,4.5,71,0.1322,0.07854
NGC2487,7.5,75,0.02956,0.02251
NGC2487,10.5,44,0.023,0.01909
NGC2487,13.5,20,0.03343,0.01188
NGC2487,16.5,22,0.02459,0.01134
NGC2487,19.5,36,0.02645,0.01004
NGC2487,22.5,55,0.02889,0.01558
NGC2623,1.5,20,2.517,0.616
NGC2623,4.5,59,0.8227,0.5485
NGC2623,7.5,96,0.1639,0.1715
NGC2623,10.5,107,0.04306,0.05099
NGC2623,13.5,64,0.0223,0.0277
NGC2623,16.5,27,0.02057,0.01865
NGC2623,19.5,16,0.02262,0.01373
NGC2623,22.5,9,0.01712,0.009149
NGC2730,1.5,12,0.01679,0.004799
NGC2730,4.5,21,0.01364,0.004041
NGC2730,7.5,42,0.02075,0.008941
NGC2730,10.5,86,0.02507,0.01373
NGC2730,13.5,84,0.02702,0.01518
NGC2730,16.5,89,0.02148,0.0127
NGC2730,19.5,91,0.01949,0.01106
NGC2730,22.5,62,0.01614,0.008067
NGC2906,1.5,15,0.2115,0.03847
NGC2906,4.5,47,0.1226,0.06103
NGC2906,7.5,73,0.07677,0.04229
NGC2906,10.5,104,0.07876,0.03272
NGC2906,13.5,126,0.092,0.03708
NGC2906,16.5,158,0.08835,0.03157
NGC2906,19.5,184,0.07064,0.02658
NGC2906,22.5,204,0.04901,0.02174
NGC2916,1.5,0,0.0,0.0
NGC2916,4.5,0,0.0,0.0
NGC2916,7.5,0,0.0,0.0
NGC2916,10.5,6,0.009722,0.007727
NGC2916,13.5,29,0.01879,0.007368
NGC2916,16.5,46,0.02768,0.01099
NGC2916,19.5,73,0.03272,0.01644
NGC2916,22.5,89,0.03812,0.01871
NGC3303,1.5,14,0.2189,0.1119
NGC3303,4.5,41,0.1532,0.1369
NGC3303,7.5,63,0.09754,0.1193
NGC3303,10.5,69,0.06033,0.07109
NGC3303,13.5,50,0.03686,0.03379
NGC3303,16.5,34,0.02081,0.0134
NGC3303,19.5,23,0.01542,0.009523
NGC3303,22.5,8,0.01344,0.005645
NGC3381,1.5,24,0.1071,0.03138
NGC3381,4.5,53,0.05858,0.03648
NGC3381,7.5,34,0.03421,0.02627
NGC3381,10.5,22,0.04616,0.02963
NGC3381,13.5,31,0.03266,0.01843
NGC3381,16.5,44,0.03095,0.007756
NGC3381,19.5,40,0.03237,0.01144
NGC3381,22.5,33,0.03439,0.01212
NGC3811,1.5,21,0.7481,0.1164
NGC3811,4.5,65,0.3455,0.1402
NGC3811,7.5,107,0.09628,0.05922
NGC3811,10.5,125,0.03549,0.02094
NGC3811,13.5,124,0.02941,0.01924
NGC3811,16.5,170,0.03708,0.02219
NGC3811,19.5,203,0.05262,0.02628
NGC3811,22.5,225,0.03802,0.0231
NGC3815,1.5,14,0.08809,0.014
NGC3815,4.5,43,0.1005,0.02039
NGC3815,7.5,70,0.1178,0.03007
NGC3815,10.5,98,0.1133,0.0335
NGC3815,13.5,127,0.07863,0.03727
NGC3815,16.5,117,0.03362,0.02427
NGC3815,19.5,44,0.02941,0.02111
NGC3815,22.5,20,0.03057,0.01736
NGC3994,1.5,14,0.4295,0.03042
NGC3994,4.5,43,0.3686,0.04261
NGC3994,7.5,71,0.2717,0.06403
NGC3994,10.5,101,0.1478,0.04954
NGC3994,13.5,122,0.05079,0.02817
NGC3994,16.5,82,0.02423,0.01302
NGC3994,19.5,43,0.01885,0.007351
NGC3994,22.5,27,0.01871,0.004757
NGC4047,1.5,21,0.5119,0.05593
NGC4047,4.5,63,0.4006,0.05353
NGC4047,7.5,105,0.352,0.05629
NGC4047,10.5,146,0.252,0.0451
NGC4047,13.5,190,0.1665,0.04528
NGC4047,16.5,230,0.1153,0.04504
NGC4047,19.5,269,0.06172,0.03301
NGC4047,22.5,250,0.03676,0.01826
NGC4149,1.5,11,0.9856,0.09139
NGC4149,4.5,32,0.6533,0.1438
NGC4149,7.5,59,0.3373,0.1625
NGC4149,10.5,75,0.1709,0.1328
NGC4149,13.5,85,0.08965,0.09366
NGC4149,16.5,73,0.06447,0.06054
NGC4149,19.5,57,0.0379,0.03335
NGC4149,22.5,30,0.0166,0.009294
NGC4185,1.5,0,0.0,0.0
NGC4185,4.5,5,0.03954,0.01465
NGC4185,7.5,33,0.04545,0.02423
NGC4185,10.5,61,0.04327,0.02314
NGC4185,13.5,71,0.03083,0.01757
NGC4185,16.5,80,0.03489,0.02113
NGC4185,19.5,79,0.03982,0.01924
NGC4185,22.5,56,0.03519,0.01792
NGC4210,1.5,0,0.0,0.0
NGC4210,4.5,1,0.01168,1.897e-06
NGC4210,7.5,16,0.02005,0.01448
NGC4210,10.5,91,0.04621,0.02201
NGC4210,13.5,146,0.0445,0.02182
NGC4210,16.5,176,0.04441,0.02108
NGC4210,19.5,185,0.03727,0.01712
NGC4210,22.5,154,0.03031,0.02067
NGC4211NED02,1.5,24,0.4395,0.1254
NGC4211NED02,4.5,73,0.09492,0.07446
NGC4211NED02,7.5,69,0.01891,0.0139
NGC4211NED02,10.5,18,0.008626,0.009367
NGC4211NED02,13.5,1,0.0002212,0.005267
NGC4211NED02,16.5,0,0.0,0.0
NGC4211NED02,19.5,0,0.0,0.0
NGC4211NED02,22.5,0,0.0,0.0
NGC4470,1.5,19,0.03174,0.006259
NGC4470,4.5,58,0.03866,0.01325
NGC4470,7.5,95,0.04959,0.02041
NGC4470,10.5,114,0.04138,0.01911
NGC4470,13.5,110,0.04554,0.02491
NGC4470,16.5,115,0.05037,0.02605
NGC4470,19.5,113,0.03894,0.02081
NGC4470,22.5,95,0.02926,0.01425
NGC4644,1.5,8,0.04601,0.007475
NGC4644,4.5,25,0.04905,0.0104
NGC4644,7.5,41,0.05729,0.01765
NGC4644,10.5,57,0.05752,0.01986
NGC4644,13.5,71,0.05456,0.025
NGC4644,16.5,80,0.04839,0.02925
NGC4644,19.5,79,0.04546,0.03102
NGC4644,22.5,67,0.04484,0.02999
NGC4676A,1.5,18,1.14,0.1864
NGC4676A,4.5,55,0.6278,0.2595
NGC4676A,7.5,90,0.1943,0.1681
NGC4676A,10.5,98,0.04081,0.04973
NGC4676A,13.5,47,0.01283,0.008947
NGC4676A,16.5,15,0.01093,0.004903
NGC4676A,19.5,2,0.01008,0.001555
NGC4676A,22.5,0,0.0,0.0
NGC4711,1.5,15,0.09216,0.02652
NGC4711,4.5,44,0.07495,0.02494
NGC4711,7.5,70,0.06186,0.02186
NGC4711,10.5,95,0.05399,0.01874
NGC4711,13.5,121,0.05568,0.02127
NGC4711,16.5,145,0.05043,0.02331
NGC4711,19.5,149,0.0386,0.01837
NGC4711,22.5,121,0.02615,0.01283
NGC4961,1.5,19,0.09178,0.02567
NGC4961,4.5,54,0.0724,0.03015
NGC4961,7.5,89,0.05853,0.02366
NGC4961,10.5,120,0.04777,0.02119
NGC4961,13.5,115,0.04077,0.01976
NGC4961,16.5,75,0.0225,0.01075
NGC4961,19.5,21,0.02047,0.0132
NGC4961,22.5,25,0.02163,0.01332
NGC5000,1.5,26,0.6681,0.2231
NGC5000,4.5,71,0.1504,0.1218
NGC5000,7.5,48,0.02143,0.01498
NGC5000,10.5,45,0.0193,0.01381
NGC5000,13.5,89,0.02883,0.02235
NGC5000,16.5,126,0.03855,0.01667
NGC5000,19.5,137,0.02806,0.01729
NGC5000,22.5,78,0.01882,0.01141
NGC5016,1.5,22,0.1558,0.01784
NGC5016,4.5,65,0.1096,0.01626
NGC5016,7.5,108,0.09622,0.02289
NGC5016,10.5,150,0.08125,0.02064
NGC5016,13.5,195,0.06199,0.02002
NGC5016,16.5,227,0.04244,0.02031
NGC5016,19.5,216,0.02651,0.01268
NGC5016,22.5,137,0.02223,0.01
NGC5056,1.5,13,0.2397,0.05961
NGC5056,4.5,41,0.1279,0.07123
NGC5056,7.5,67,0.07893,0.03831
NGC5056,10.5,95,0.06086,0.01547
NGC5056,13.5,122,0.04542,0.01267
NGC5056,16.5,143,0.03571,0.01307
NGC5056,19.5,162,0.0283,0.01254
NGC5056,22.5,171,0.02036,0.01065
NGC5205,1.5,0,0.0,0.0
NGC5205,4.5,0,0.0,0.0
NGC5205,7.5,0,0.0,0.0
NGC5205,10.5,0,0.015,0.002851
NGC5205,13.5,12,0.0298,0.02185
NGC5205,16.5,32,0.0496,0.03299
NGC5205,19.5,35,0.07372,0.03125
NGC5205,22.5,39,0.04799,0.02684
NGC5218,1.5,24,5.262,1.28
NGC5218,4.5,73,1.739,1.059
NGC5218,7.5,122,0.3845,0.3041
NGC5218,10.5,160,0.1776,0.1315
NGC5218,13.5,195,0.07948,0.07047
NGC5218,16.5,166,0.07932,0.07563
NGC5218,19.5,150,0.09149,0.1015
NGC5218,22.5,118,0.09951,0.1062
NGC5394,1.5,9,2.174,0.3081
NGC5394,4.5,29,1.337,0.5618
NGC5394,7.5,47,0.7059,0.529
NGC5394,10.5,58,0.4264,0.4112
NGC5394,13.5,51,0.3489,0.308
NGC5394,16.5,46,0.2779,0.245
NGC5394,19.5,45,0.2025,0.1992
NGC5394,22.5,43,0.1456,0.1524
NGC5406,1.5,0,0.0,0.0
NGC5406,4.5,0,0.0,0.0
NGC5406,7.5,0,0.01285,2.598e-06
NGC5406,10.5,12,0.01793,0.01245
NGC5406,13.5,50,0.03067,0.02321
NGC5406,16.5,62,0.03547,0.02587
NGC5406,19.5,69,0.04451,0.02459
NGC5406,22.5,73,0.03926,0.02358
NGC5480,1.5,20,0.4057,0.09301
NGC5480,4.5,63,0.2347,0.1004
NGC5480,7.5,106,0.1492,0.06491
NGC5480,10.5,147,0.1208,0.05214
NGC5480,13.5,192,0.09376,0.052
NGC5480,16.5,229,0.07628,0.04267
NGC5480,19.5,257,0.06271,0.03282
NGC5480,22.5,269,0.04572,0.0219
NGC5520,1.5,14,0.3281,0.03803
NGC5520,4.5,42,0.2871,0.04923
NGC5520,7.5,72,0.1961,0.04384
NGC5520,10.5,102,0.1109,0.03329
NGC5520,13.5,128,0.06544,0.02507
NGC5520,16.5,140,0.04496,0.0241
NGC5520,19.5,112,0.02982,0.017
NGC5520,22.5,39,0.02058,0.01518
NGC5614,1.5,23,0.7996,0.1212
NGC5614,4.5,68,0.5066,0.1383
NGC5614,7.5,115,0.3834,0.139
NGC5614,10.5,158,0.3245,0.1866
NGC5614,13.5,206,0.1693,0.126
NGC5614,16.5,242,0.05054,0.03144
NGC5614,19.5,154,0.03593,0.03326
NGC5614,22.5,84,0.06217,0.04817
NGC5633,1.5,20,0.2894,0.04016
NGC5633,4.5,64,0.2188,0.03309
NGC5633,7.5,104,0.2003,0.03095
NGC5633,10.5,149,0.1779,0.03448
NGC5633,13.5,188,0.1463,0.04759
NGC5633,16.5,222,0.08908,0.0492
NGC5633,19.5,213,0.04696,0.02567
NGC5633,22.5,158,0.03332,0.01761
NGC5784,1.5,18,0.03442,0.01312
NGC5784,4.5,51,0.05794,0.03662
NGC5784,7.5,83,0.06875,0.04277
NGC5784,10.5,100,0.03896,0.02572
NGC5784,13.5,74,0.02302,0.0151
NGC5784,16.5,43,0.01655,0.007031
NGC5784,19.5,21,0.01823,0.01055
NGC5784,22.5,6,0.01514,0.01353
NGC5908,1.5,6,0.5278,0.01233
NGC5908,4.5,19,0.5418,0.01924
NGC5908,7.5,32,0.5617,0.0409
NGC5908,10.5,44,0.6152,0.102
NGC5908,13.5,57,0.6436,0.1485
NGC5908,16.5,70,0.6228,0.1663
NGC5908,19.5,81,0.5232,0.1513
NGC5908,22.5,96,0.4081,0.1324
NGC5930,1.5,20,2.265,0.409
NGC5930,4.5,60,0.9397,0.4684
NGC5930,7.5,97,0.2236,0.1872
NGC5930,10.5,108,0.06818,0.05836
NGC5930,13.5,77,0.0314,0.02408
NGC5930,16.5,22,0.01838,0.0156
NGC5930,19.5,1,0.005101,0.002299
NGC5930,22.5,0,0.0,0.0
NGC5934,1.5,16,0.795,0.07824
NGC5934,4.5,48,0.5619,0.1494
NGC5934,7.5,79,0.3082,0.177
NGC5934,10.5,113,0.132,0.1279
NGC5934,13.5,112,0.07166,0.07306
NGC5934,16.5,93,0.04047,0.03364
NGC5934,19.5,61,0.01734,0.01261
NGC5934,22.5,27,0.01439,0.006212
NGC5947,1.5,0,0.0,0.0
NGC5947,4.5,8,0.008269,0.008687
NGC5947,7.5,53,0.01828,0.01089
NGC5947,10.5,88,0.02736,0.01383
NGC5947,13.5,114,0.02486,0.01116
NGC5947,16.5,114,0.01595,0.007579
NGC5947,19.5,63,0.01267,0.005789
NGC5947,22.5,17,0.008993,0.005036
NGC5953,1.5,25,1.211,0.08676
NGC5953,4.5,76,0.9939,0.131
NGC5953,7.5,128,0.5824,0.1721
NGC5953,10.5,176,0.1983,0.1162
NGC5953,13.5,159,0.04969,0.04331
NGC5953,16.5,56,0.02979,0.01746
NGC5953,19.5,37,0.03075,0.01803
NGC5953,22.5,27,0.04489,0.01873
NGC5980,1.5,12,0.6098,0.09473
NGC5980,4.5,33,0.3861,0.111
NGC5980,7.5,57,0.2789,0.08544
NGC5980,10.5,78,0.2257,0.09261
NGC5980,13.5,103,0.1723,0.07817
NGC5980,16.5,126,0.1374,0.05921
NGC5980,19.5,148,0.1017,0.04857
NGC5980,22.5,168,0.06689,0.03005
NGC6004,1.5,22,0.3056,0.08658
NGC6004,4.5,62,0.1083,0.08331
NGC6004,7.5,90,0.05139,0.04636
NGC6004,10.5,143,0.0434,0.03543
NGC6004,13.5,203,0.05494,0.03539
NGC6004,16.5,246,0.05089,0.02736
NGC6004,19.5,210,0.03189,0.0203
NGC6004,22.5,130,0.02427,0.01238
NGC6060,1.5,11,0.2327,0.01626
NGC6060,4.5,37,0.249,0.03956
NGC6060,7.5,62,0.2053,0.05205
NGC6060,10.5,86,0.1221,0.05617
NGC6060,13.5,108,0.07348,0.05267
NGC6060,16.5,132,0.06433,0.03865
NGC6060,19.5,158,0.06261,0.03175
NGC6060,22.5,176,0.06415,0.02895
NGC6155,1.5,20,0.1529,0.01712
NGC6155,4.5,60,0.1244,0.0287
NGC6155,7.5,99,0.08821,0.02947
NGC6155,10.5,142,0.07575,0.0293
NGC6155,13.5,181,0.07234,0.02547
NGC6155,16.5,221,0.05572,0.02634
NGC6155,19.5,251,0.04208,0.02534
NGC6155,22.5,239,0.03303,0.02132
NGC6168,1.5,6,0.06801,0.01559
NGC6168,4.5,19,0.07737,0.0161
NGC6168,7.5,31,0.07237,0.01938
NGC6168,10.5,45,0.06769,0.0219
NGC6168,13.5,53,0.05185,0.02191
NGC6168,16.5,58,0.04909,0.028
NGC6168,19.5,59,0.04739,0.02793
NGC6168,22.5,55,0.03451,0.02278
NGC6186,1.5,8,1.436,0.171
NGC6186,4.5,27,0.936,0.4218
NGC6186,7.5,45,0.5133,0.459
NGC6186,10.5,46,0.386,0.3917
NGC6186,13.5,44,0.2994,0.2899
NGC6186,16.5,47,0.2133,0.185
NGC6186,19.5,52,0.1537,0.1159
NGC6186,22.5,55,0.123,0.09823
NGC6301,1.5,13,0.04067,0.02003
NGC6301,4.5,33,0.04178,0.02591
NGC6301,7.5,62,0.0389,0.01756
NGC6301,10.5,106,0.04334,0.01805
NGC6301,13.5,132,0.04942,0.01859
NGC6301,16.5,161,0.04771,0.01955
NGC6301,19.5,186,0.04409,0.01959
NGC6301,22.5,200,0.03517,0.01616
NGC6314,1.5,15,0.4162,0.08118
NGC6314,4.5,45,0.2349,0.077
NGC6314,7.5,74,0.09205,0.04124
NGC6314,10.5,86,0.0335,0.02002
NGC6314,13.5,68,0.02005,0.01086
NGC6314,16.5,47,0.02014,0.01231
NGC6314,19.5,34,0.02085,0.01266
NGC6314,22.5,15,0.01024,0.004701
NGC6361,1.5,7,1.608,0.08604
NGC6361,4.5,21,1.322,0.227
NGC6361,7.5,35,0.9205,0.3212
NGC6361,10.5,51,0.6822,0.304
NGC6361,13.5,66,0.5078,0.2822
NGC6361,16.5,80,0.3806,0.2761
NGC6361,19.5,94,0.3,0.2708
NGC6361,22.5,97,0.2616,0.2577
NGC6394,1.5,14,0.1736,0.02462
NGC6394,4.5,42,0.1087,0.03607
NGC6394,7.5,67,0.06889,0.03509
NGC6394,10.5,81,0.05292,0.03766
NGC6394,13.5,80,0.0563,0.05005
NGC6394,16.5,69,0.07285,0.06127
NGC6394,19.5,60,0.06847,0.05653
NGC6394,22.5,56,0.04179,0.03866
NGC6478,1.5,8,0.3613,0.0269
NGC6478,4.5,24,0.369,0.031
NGC6478,7.5,40,0.3,0.07522
NGC6478,10.5,57,0.2532,0.08104
NGC6478,13.5,72,0.242,0.07224
NGC6478,16.5,88,0.2188,0.06956
NGC6478,19.5,105,0.1769,0.06296
NGC6478,22.5,121,0.1261,0.06011
NGC7738,1.5,11,2.082,0.3596
NGC7738,4.5,35,1.092,0.4761
NGC7738,7.5,58,0.3794,0.2711
NGC7738,10.5,77,0.1076,0.09114
NGC7738,13.5,83,0.03986,0.02866
NGC7738,16.5,64,0.02541,0.02296
NGC7738,19.5,43,0.01877,0.01542
NGC7738,22.5,8,0.008802,0.003072
NGC7819,1.5,16,0.4201,0.07636
NGC7819,4.5,51,0.198,0.1116
NGC7819,7.5,62,0.09162,0.08462
NGC7819,10.5,59,0.05648,0.04818
NGC7819,13.5,48,0.03323,0.02321
NGC7819,16.5,26,0.02427,0.01586
NGC7819,19.5,15,0.02611,0.01238
NGC7819,22.5,12,0.02421,0.01163
UGC00809,1.5,0,0.0,0.0
UGC00809,4.5,0,0.0,0.0
UGC00809,7.5,0,0.0,0.0
UGC00809,10.5,0,0.0,0.0
UGC00809,13.5,0,0.0,0.0
UGC00809,16.5,0,0.0,0.0
UGC00809,19.5,0,0.0,0.0
UGC00809,22.5,0,0.0,0.0
UGC03253,1.5,14,0.1483,0.03049
UGC03253,4.5,41,0.07373,0.05199
UGC03253,7.5,44,0.03986,0.03391
UGC03253,10.5,39,0.02762,0.01929
UGC03253,13.5,34,0.02439,0.01427
UGC03253,16.5,27,0.0193,0.01359
UGC03253,19.5,18,0.01456,0.005747
UGC03253,22.5,14,0.0135,0.004758
UGC03539,1.5,8,0.3814,0.03601
UGC03539,4.5,26,0.3036,0.0667
UGC03539,7.5,44,0.2163,0.08555
UGC03539,10.5,58,0.1486,0.09626
UGC03539,13.5,74,0.1056,0.09341
UGC03539,16.5,67,0.08171,0.08333
UGC03539,19.5,61,0.06827,0.06283
UGC03539,22.5,45,0.06003,0.04052
UGC03969,1.5,9,0.2257,0.01923
UGC03969,4.5,28,0.2021,0.02212
UGC03969,7.5,49,0.1551,0.031
UGC03969,10.5,68,0.1127,0.04492
UGC03969,13.5,86,0.0742,0.03977
UGC03969,16.5,100,0.0484,0.02628
UGC03969,19.5,102,0.03045,0.01856
UGC03969,22.5,81,0.02112,0.01408
UGC03973,1.5,22,0.119,0.04616
UGC03973,4.5,64,0.08175,0.04604
UGC03973,7.5,106,0.04852,0.03832
UGC03973,10.5,132,0.03622,0.02395
UGC03973,13.5,141,0.03009,0.01921
UGC03973,16.5,98,0.03567,0.02333
UGC03973,19.5,91,0.03512,0.02478
UGC03973,22.5,57,0.03709,0.02466
UGC04029,1.5,6,0.5759,0.08431
UGC04029,4.5,18,0.3534,0.1618
UGC04029,7.5,30,0.2,0.1537
UGC04029,10.5,42,0.1411,0.1156
UGC04029,13.5,55,0.1161,0.07061
UGC04029,16.5,65,0.09511,0.05271
UGC04029,19.5,79,0.07572,0.04175
UGC04029,22.5,86,0.05522,0.03256
UGC04132,1.5,9,0.8859,0.04433
UGC04132,4.5,26,0.7272,0.09447
UGC04132,7.5,43,0.5367,0.1053
UGC04132,10.5,60,0.4156,0.08764
UGC04132,13.5,78,0.2954,0.08176
UGC04132,16.5,97,0.2176,0.0695
UGC04132,19.5,114,0.1713,0.05763
UGC04132,22.5,131,0.1261,0.04745
UGC04280,1.5,8,0.2468,0.05832
UGC04280,4.5,24,0.1405,0.07294
