# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC0540,7.5,135.268,-7.541,10.013,4.903,-4.824,4.824,80.846,79.051,2486.988,-4.151,4.61,179.756,-4.241,3.602,68.3,0.69,1,1,0,0,1,1,0,1,1,1
IC0540,10.5,120.022,-18.336,18.336,8.268,-2.626,2.303,80.846,79.051,2484.479,-6.015,5.942,178.769,-4.161,3.377,68.3,0.69,1,1,0,0,1,1,0,1,1,1
IC0540,13.5,172.799,-13.273,17.046,6.99,-3.514,4.511,80.846,79.051,2489.487,-4.835,5.98,176.687,-2.555,2.362,68.3,0.69,1,1,0,0,1,1,0,1,1,1
IC0540,19.5,193.854,-9.955,13.267,7.647,-4.841,4.854,80.846,79.051,2488.227,-112.091,112.091,171.39,-0.583,0.531,68.3,0.69,1,1,0,0,1,1,0,1,1,1
IC0944,1.5,162.953,-14.851,10.764,8.433,-12.002,12.002,80.454,79.992,6861.278,-20.71,17.297,283.756,-1.669,2.255,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,4.5,156.029,-8.887,10.996,8.737,-5.576,5.577,80.454,79.992,6850.812,-3.616,4.143,278.922,-4.52,5.179,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,7.5,176.669,-16.678,12.59,7.998,-2.793,2.793,80.454,79.992,6829.008,-15.911,15.911,297.264,-8.846,7.824,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,10.5,195.139,-12.78,9.292,8.776,-7.43,7.43,80.454,79.992,6841.527,-15.48,12.474,289.267,-8.63,6.283,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,13.5,188.784,-11.479,12.034,8.281,-5.983,8.561,80.454,79.992,6845.927,-19.153,15.798,297.417,-2.187,1.709,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,16.5,211.162,-10.101,7.642,8.214,-7.161,7.161,80.454,79.992,6777.801,-7.884,9.098,291.665,-8.198,5.875,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,19.5,235.204,-13.497,10.131,7.526,-4.253,5.291,80.454,79.992,6798.148,-31.774,31.774,298.049,-12.381,11.799,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,22.5,210.172,-13.73,10.063,8.347,-2.695,3.494,80.454,79.992,6769.452,-12.428,14.801,285.454,-7.751,11.442,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC1151,1.5,11.846,-2.331,2.331,10.683,-2.188,2.582,79.428,80.092,2345.772,-191.381,145.118,24.238,-48.719,37.154,68.0,0.67,1,1,0,0,1,1,0,1,1,0
IC1151,4.5,2.928,-0.347,0.602,11.305,-2.308,2.308,79.428,80.092,2028.011,-163.831,214.384,32.19,-41.621,54.324,68.0,0.67,1,1,0,0,1,1,0,1,1,0
IC1151,7.5,20.253,-2.476,2.476,8.707,-2.2,3.101,79.428,80.092,2432.902,-217.889,217.889,18.61,-5.47,6.918,68.0,0.67,1,1,0,0,1,1,0,1,1,0
IC1151,10.5,0.008,-44.757,35.578,7.072,-2.143,2.718,79.428,80.092,2445.301,-163.747,131.013,27.791,-13.139,8.582,68.0,0.67,1,1,0,0,1,1,0,1,1,0
IC1199,1.5,173.665,-27.859,29.51,7.613,-4.794,4.794,79.279,79.996,4926.521,-204.38,153.541,171.108,-7.647,7.647,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,4.5,46.293,-13.536,10.749,10.38,-2.613,2.335,79.279,79.996,4598.876,-20.135,17.07,156.347,-6.569,9.053,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,7.5,168.0,-15.491,15.491,7.289,-2.938,3.79,79.279,79.996,4707.792,-233.675,182.477,170.983,-63.026,50.439,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,10.5,192.089,-12.436,10.121,7.673,-3.062,3.985,79.279,79.996,4663.241,-6.067,5.457,164.424,-8.768,7.72,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,13.5,192.213,-6.461,6.364,8.25,-2.38,3.018,79.279,79.996,4662.704,-3.963,3.889,158.941,-7.012,6.176,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,16.5,197.113,-5.951,4.765,8.003,-2.554,2.295,79.279,79.996,4664.046,-4.905,3.589,161.54,-11.873,7.296,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,19.5,200.554,-6.656,6.771,7.544,-2.829,2.961,79.279,79.996,4665.014,-2.065,2.19,173.159,-2.581,2.737,64.5,0.302,1,1,0,0,1,1,0,1,1,0
