# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RACTR, unit: deg, datatype: float64}
# - {name: DCCTR, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64, description: offset from ned position. Only not equal to 0 when a 2D-Gaussian-fitted
#     position is used}
# - {name: XPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: YPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: INCFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: PAFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VSYSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VDISPFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VROTFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous fit}
# - {name: FTYPE, datatype: int64}
# - {name: WFUNC, datatype: int64}
# - {name: BADFLAG, datatype: int64, description: 'BADFLAG = 1 when some ringlog exits, but Bbarolo fails to produce at least one of the
#     plots'}
# - {name: RAD, unit: arcsec, datatype: float64}
# - {name: VROT, unit: km / s, datatype: float64}
# - {name: DISP, unit: km / s, datatype: float64}
# - {name: INC, unit: deg, datatype: float64}
# - {name: P.A., unit: deg, datatype: float64}
# - {name: Z0, unit: arcsec, datatype: float64}
# - {name: XPOS, unit: pix, datatype: float64}
# - {name: YPOS, unit: pix, datatype: float64}
# - {name: VSYS, unit: km / s, datatype: float64}
# - {name: E_VROT1, unit: km / s, datatype: float64}
# - {name: E_VROT2, unit: km / s, datatype: float64}
# - {name: E_PA1, unit: deg, datatype: float64}
# - {name: E_PA2, unit: deg, datatype: float64}
# - {name: E_VSYS1, unit: km / s, datatype: float64}
# - {name: E_VSYS2, unit: km / s, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RACTR,DCCTR,offset,XPOSFIT(-1/0/1),YPOSFIT(-1/0/1),INCFIT(-1/0/1),PAFIT(-1/0/1),VSYSFIT(-1/0/1),VDISPFIT(0/1),VROTFIT(0/1),FTYPE,WFUNC,BADFLAG,RAD,VROT,DISP,INC,P.A.,Z0,XPOS,YPOS,VSYS,E_VROT1,E_VROT2,E_PA1,E_PA2,E_VSYS1,E_VSYS2
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,0,1,1,1,0,10.5,144.493,8.0,76.6,358.949,0.311,88.455,94.29,4558.896,-5.386,4.128,-2.394,1.835,-1.795,1.376
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,0,1,1,1,0,13.5,145.924,8.0,76.6,346.232,0.311,88.455,94.29,4556.692,-5.123,4.739,-10.11,9.571,-5.077,4.77
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,0,1,1,1,0,16.5,197.267,8.0,76.6,349.219,0.311,88.455,94.29,4590.811,-9.583,9.106,-1.618,1.217,-3.734,3.441
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,0,1,1,1,0,19.5,168.686,8.0,76.6,359.27,0.311,88.455,94.29,4548.215,-7.301,6.21,-17.432,17.432,-8.244,7.881
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,0,1,1,1,0,22.5,192.722,8.0,76.6,354.116,0.311,88.455,94.29,4551.502,-12.696,7.851,-2.763,2.283,-5.153,3.378
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,1.5,205.263,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-32.509,35.14,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,4.5,91.25,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-7.056,7.068,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,7.5,126.725,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-7.955,8.106,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,10.5,143.087,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-5.436,4.591,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,13.5,143.111,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-5.117,5.402,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,16.5,152.267,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-7.713,4.006,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,19.5,166.811,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-6.836,5.622,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,0,1,1,1,0,22.5,190.378,8.0,76.6,354.217,0.311,88.455,94.29,4554.097,-7.091,7.774,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,1.5,11.192,8.0,68.0,33.593,0.67,88.428,89.092,2153.087,-2.263,1.516,-9.739,9.739,-4.001,3.752
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,4.5,3.832,8.0,68.0,12.379,0.67,88.428,89.092,2139.66,-3.971,3.971,-8.935,8.935,-2.978,2.978
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,7.5,2.413,8.0,68.0,31.079,0.67,88.428,89.092,2137.052,-4.119,4.204,-3.471,5.037,-8.886,7.576
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,10.5,137.064,8.0,68.0,20.779,0.67,88.428,89.092,2215.355,-6.896,6.896,-8.591,13.73,-59.141,51.1
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,13.5,56.75,8.0,68.0,28.893,0.67,88.428,89.092,2133.673,-6.958,7.196,-4.744,3.663,-135.295,133.347
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,16.5,81.365,8.0,68.0,28.084,0.67,88.428,89.092,2160.479,-7.469,7.469,-1.1,0.707,-2.856,2.725
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,0,1,1,1,0,19.5,192.213,8.0,68.0,32.576,0.67,88.428,89.092,2189.673,-9.129,11.765,-1.154,1.619,-276.109,242.797
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,1.5,7.754,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-2.068,1.34,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,4.5,14.848,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-3.091,2.853,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,7.5,14.913,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-3.254,3.467,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,10.5,25.736,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-4.863,4.454,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,13.5,40.813,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-9.366,8.405,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,16.5,52.537,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-9.948,7.874,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,19.5,34.244,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-7.624,9.081,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,0,1,1,1,0,22.5,33.125,8.0,68.0,27.552,0.67,88.428,89.092,2156.494,-5.989,6.894,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,1.5,113.877,8.0,64.5,157.934,0.302,88.279,88.996,4666.33,-6.26,5.228,-2.782,2.324,-2.087,1.743
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,4.5,134.074,8.0,64.5,169.917,0.302,88.279,88.996,4678.924,-9.796,12.023,-8.263,9.117,-14.992,15.327
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,7.5,183.934,8.0,64.5,166.327,0.302,88.279,88.996,4674.01,-16.127,16.526,-6.02,4.736,-19.986,20.587
