# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC2410,1.5,9,0.1961,0.006741
NGC2410,4.5,26,0.188,0.0138
NGC2410,7.5,44,0.171,0.0236
NGC2410,10.5,62,0.1487,0.03077
NGC2410,13.5,80,0.1197,0.03841
NGC2410,16.5,98,0.08914,0.0436
NGC2410,19.5,115,0.06638,0.04006
NGC2410,22.5,130,0.05166,0.03196
NGC2480,1.5,16,0.06818,0.006652
NGC2480,4.5,46,0.04758,0.01074
NGC2480,7.5,79,0.02769,0.009979
NGC2480,10.5,99,0.02009,0.01698
NGC2480,13.5,53,0.0314,0.02754
NGC2480,16.5,37,0.03711,0.02463
NGC2480,19.5,31,0.02876,0.01576
NGC2480,22.5,23,0.01433,0.007098
NGC2487,1.5,24,0.2482,0.02954
NGC2487,4.5,72,0.1249,0.04469
NGC2487,7.5,112,0.0338,0.02104
NGC2487,10.5,106,0.01644,0.009791
NGC2487,13.5,93,0.01426,0.007742
NGC2487,16.5,132,0.0111,0.006519
NGC2487,19.5,160,0.01901,0.01031
NGC2487,22.5,199,0.02789,0.01316
NGC2623,1.5,19,1.481,0.1504
NGC2623,4.5,59,0.8309,0.2655
NGC2623,7.5,98,0.2867,0.1734
NGC2623,10.5,137,0.07437,0.07116
NGC2623,13.5,126,0.02199,0.02211
NGC2623,16.5,83,0.01044,0.01026
NGC2623,19.5,54,0.007648,0.007532
NGC2623,22.5,31,0.007559,0.004719
NGC2639,1.5,18,0.0669,0.01645
NGC2639,4.5,55,0.07326,0.01502
NGC2639,7.5,92,0.09541,0.0186
NGC2639,10.5,128,0.1167,0.03082
NGC2639,13.5,165,0.1142,0.03966
NGC2639,16.5,201,0.08815,0.03954
NGC2639,19.5,239,0.05664,0.03156
NGC2639,22.5,256,0.03297,0.0208
NGC2730,1.5,25,0.0507,0.01073
NGC2730,4.5,73,0.03063,0.0155
NGC2730,7.5,112,0.02363,0.009636
NGC2730,10.5,159,0.0195,0.008946
NGC2730,13.5,196,0.01901,0.008524
NGC2730,16.5,235,0.01816,0.007475
NGC2730,19.5,271,0.01438,0.006951
NGC2730,22.5,243,0.01228,0.005947
NGC2906,1.5,15,0.1929,0.01451
NGC2906,4.5,48,0.1451,0.03001
NGC2906,7.5,78,0.09663,0.03221
NGC2906,10.5,114,0.08019,0.0291
NGC2906,13.5,139,0.07818,0.03062
NGC2906,16.5,178,0.07261,0.03125
NGC2906,19.5,195,0.062,0.02499
NGC2906,22.5,230,0.04435,0.01946
NGC2916,1.5,0,0.0,0.0
NGC2916,4.5,0,0.007371,0.000677
NGC2916,7.5,20,0.007129,0.002517
NGC2916,10.5,41,0.008999,0.007043
NGC2916,13.5,76,0.0153,0.007638
NGC2916,16.5,108,0.02072,0.009707
NGC2916,19.5,134,0.02558,0.01189
NGC2916,22.5,163,0.0289,0.01289
NGC3303,1.5,14,0.1931,0.03542
NGC3303,4.5,40,0.154,0.0611
NGC3303,7.5,70,0.1011,0.06872
NGC3303,10.5,91,0.05959,0.05414
NGC3303,13.5,77,0.0412,0.03479
NGC3303,16.5,62,0.02178,0.01379
NGC3303,19.5,50,0.01045,0.005943
NGC3303,22.5,26,0.005618,0.003909
NGC3381,1.5,24,0.07315,0.01315
NGC3381,4.5,74,0.03974,0.02161
NGC3381,7.5,68,0.02158,0.01744
NGC3381,10.5,50,0.02079,0.01503
NGC3381,13.5,50,0.02158,0.01257
NGC3381,16.5,65,0.02199,0.008449
NGC3381,19.5,85,0.0218,0.007886
NGC3381,22.5,112,0.01896,0.007762
NGC3811,1.5,21,0.5039,0.04642
NGC3811,4.5,66,0.3047,0.08076
NGC3811,7.5,107,0.1251,0.05193
NGC3811,10.5,153,0.04531,0.02155
NGC3811,13.5,193,0.02604,0.01083
NGC3811,16.5,229,0.02816,0.01342
NGC3811,19.5,256,0.03504,0.01718
NGC3811,22.5,275,0.03039,0.015
NGC3815,1.5,13,0.0987,0.005761
NGC3815,4.5,43,0.1036,0.01364
NGC3815,7.5,70,0.1051,0.02042
NGC3815,10.5,99,0.09645,0.02339
NGC3815,13.5,128,0.072,0.02162
NGC3815,16.5,151,0.0395,0.01715
NGC3815,19.5,170,0.01973,0.01255
NGC3815,22.5,151,0.01644,0.00902
NGC3994,1.5,14,0.3584,0.01466
NGC3994,4.5,43,0.3147,0.02952
NGC3994,7.5,72,0.2404,0.04243
NGC3994,10.5,100,0.1502,0.04328
NGC3994,13.5,128,0.0769,0.03544
NGC3994,16.5,143,0.03638,0.02421
NGC3994,19.5,123,0.02708,0.01352
NGC3994,22.5,107,0.02164,0.009507
NGC4047,1.5,21,0.4237,0.0168
NGC4047,4.5,62,0.379,0.03308
NGC4047,7.5,105,0.3173,0.03627
NGC4047,10.5,146,0.2368,0.03305
NGC4047,13.5,189,0.1626,0.03107
NGC4047,16.5,228,0.1077,0.03126
NGC4047,19.5,274,0.06344,0.02578
NGC4047,22.5,303,0.03337,0.01671
NGC4149,1.5,11,0.5284,0.02163
NGC4149,4.5,32,0.4259,0.04326
NGC4149,7.5,58,0.3012,0.04651
NGC4149,10.5,79,0.1915,0.04018
NGC4149,13.5,101,0.108,0.03413
NGC4149,16.5,127,0.05355,0.0274
NGC4149,19.5,136,0.02306,0.01696
NGC4149,22.5,86,0.01069,0.00722
NGC4185,1.5,13,0.009505,0.00268
NGC4185,4.5,50,0.01526,0.005194
NGC4185,7.5,80,0.02095,0.01038
NGC4185,10.5,94,0.02434,0.01372
NGC4185,13.5,112,0.02429,0.01027
NGC4185,16.5,141,0.02645,0.0115
NGC4185,19.5,168,0.02596,0.0144
NGC4185,22.5,158,0.02584,0.01185
NGC4210,1.5,21,0.0336,0.006521
NGC4210,4.5,65,0.02054,0.01123
NGC4210,7.5,106,0.02004,0.007862
NGC4210,10.5,148,0.02983,0.008438
NGC4210,13.5,192,0.03584,0.008815
NGC4210,16.5,234,0.03405,0.009883
NGC4210,19.5,278,0.0278,0.008922
