# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: '# of pixels in ring'}
# - {name: SURFDENS, unit: Jy km / (arcsec2 s), datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: Jy km / (arcsec2 s), datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RADIUS,NPIX,SURFDENS,ERR_SD
NGC2480,4.5,46,0.05132,0.02452
NGC2480,7.5,65,0.02877,0.01518
NGC2480,10.5,49,0.03961,0.0289
NGC2480,13.5,30,0.06656,0.05066
NGC2480,16.5,18,0.06987,0.03893
NGC2480,19.5,17,0.03139,0.0183
NGC2480,22.5,12,0.01301,0.00774
NGC2487,1.5,24,0.4131,0.0743
NGC2487,4.5,71,0.1322,0.07854
NGC2487,7.5,75,0.02953,0.02254
NGC2487,10.5,44,0.02295,0.01903
NGC2487,13.5,21,0.03361,0.01194
NGC2487,16.5,22,0.02459,0.01134
NGC2487,19.5,36,0.02645,0.01008
NGC2487,22.5,55,0.02915,0.01546
NGC2623,1.5,19,2.534,0.6023
NGC2623,4.5,59,0.8284,0.5436
NGC2623,7.5,95,0.1619,0.1648
NGC2623,10.5,107,0.04195,0.04881
NGC2623,13.5,65,0.02211,0.02682
NGC2623,16.5,27,0.01963,0.01815
NGC2623,19.5,16,0.0226,0.01378
NGC2623,22.5,9,0.01725,0.009237
NGC2639,1.5,18,0.03715,0.01018
NGC2639,4.5,55,0.04745,0.02252
NGC2639,7.5,92,0.1009,0.03543
NGC2639,10.5,128,0.1385,0.04386
NGC2639,13.5,164,0.1241,0.05601
NGC2639,16.5,197,0.09408,0.05668
NGC2639,19.5,204,0.05816,0.03906
NGC2639,22.5,173,0.03846,0.02382
NGC2730,1.5,12,0.01679,0.004799
NGC2730,4.5,21,0.01364,0.004041
NGC2730,7.5,42,0.02088,0.009092
NGC2730,10.5,87,0.02504,0.01366
NGC2730,13.5,83,0.02704,0.01526
NGC2730,16.5,88,0.02149,0.01271
NGC2730,19.5,92,0.01948,0.01104
NGC2730,22.5,62,0.01614,0.008072
NGC2906,1.5,15,0.2111,0.0383
NGC2906,4.5,47,0.1221,0.0609
NGC2906,7.5,72,0.07613,0.04249
NGC2906,10.5,103,0.0784,0.03254
NGC2906,13.5,126,0.09137,0.03736
NGC2906,16.5,157,0.08904,0.03133
NGC2906,19.5,183,0.06995,0.0271
NGC2906,22.5,206,0.04993,0.0225
NGC2916,1.5,0,0.0,0.0
NGC2916,4.5,0,0.0,0.0
NGC2916,7.5,0,0.0,0.0
NGC2916,10.5,6,0.009722,0.007727
NGC2916,13.5,29,0.01856,0.007403
NGC2916,16.5,47,0.02791,0.01073
NGC2916,19.5,71,0.03288,0.01658
NGC2916,22.5,91,0.03805,0.01856
NGC3381,1.5,24,0.1074,0.03135
NGC3381,4.5,53,0.05822,0.03618
NGC3381,7.5,34,0.03421,0.02627
NGC3381,10.5,22,0.04616,0.02963
NGC3381,13.5,30,0.03279,0.01859
NGC3381,16.5,45,0.03101,0.007778
NGC3381,19.5,40,0.03224,0.01146
NGC3381,22.5,33,0.03439,0.01212
NGC3811,1.5,22,0.7464,0.1168
NGC3811,4.5,65,0.3445,0.14
NGC3811,7.5,107,0.09678,0.06049
NGC3811,10.5,125,0.03569,0.02102
NGC3811,13.5,125,0.0296,0.01923
NGC3811,16.5,171,0.03715,0.02235
NGC3811,19.5,202,0.05264,0.02619
NGC3811,22.5,225,0.03817,0.02308
NGC3815,1.5,13,0.0895,0.01366
NGC3815,4.5,43,0.1013,0.02071
NGC3815,7.5,69,0.1177,0.03052
NGC3815,10.5,100,0.1113,0.03442
NGC3815,13.5,126,0.07817,0.03817
NGC3815,16.5,121,0.03512,0.02613
NGC3815,19.5,41,0.02868,0.02041
NGC3815,22.5,18,0.03157,0.01699
NGC3994,1.5,14,0.4295,0.03042
NGC3994,4.5,42,0.3643,0.04757
NGC3994,7.5,72,0.2727,0.06715
NGC3994,10.5,100,0.1478,0.05366
NGC3994,13.5,121,0.05259,0.03037
NGC3994,16.5,80,0.02504,0.01275
NGC3994,19.5,43,0.01881,0.008016
NGC3994,22.5,28,0.01869,0.005019
NGC4047,1.5,21,0.5106,0.05591
NGC4047,4.5,62,0.4001,0.05346
NGC4047,7.5,105,0.352,0.05631
NGC4047,10.5,146,0.2522,0.04442
NGC4047,13.5,189,0.1662,0.04509
NGC4047,16.5,228,0.1154,0.04529
NGC4047,19.5,269,0.06177,0.03305
NGC4047,22.5,251,0.03722,0.01871
NGC4149,1.5,11,0.9825,0.09186
NGC4149,4.5,33,0.6462,0.1413
NGC4149,7.5,58,0.3376,0.1588
NGC4149,10.5,76,0.1722,0.1302
NGC4149,13.5,87,0.08628,0.09009
NGC4149,16.5,73,0.06239,0.05958
NGC4149,19.5,58,0.03653,0.02991
