# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC0540,16.5,18.932,-4.265,4.265,8.0,89.846,88.051,2017.475,175.983,68.3,0.69,1,0,0,0,-1,-1,0,1,1,0,14,0.02256,0.01073
IC0540,19.5,7.303,-2.333,2.333,8.0,89.846,88.051,2017.475,175.983,68.3,0.69,1,0,0,0,-1,-1,0,1,1,0,10,0.02408,0.009181
IC0540,22.5,2.544,0.0,0.0,8.0,89.846,88.051,2017.475,175.983,68.3,0.69,1,0,0,0,-1,-1,0,1,1,0,8,0.02038,0.004464
IC0944,1.5,219.523,-14.092,17.695,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,7,0.5953,0.08968
IC0944,4.5,207.177,-13.378,10.696,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,21,0.4204,0.1351
IC0944,7.5,180.663,-10.682,14.057,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,36,0.2692,0.1207
IC0944,10.5,254.478,-19.227,14.434,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,52,0.1888,0.08221
IC0944,13.5,260.741,-15.872,20.32,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,66,0.1438,0.05452
IC0944,16.5,262.373,-11.368,8.942,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,80,0.1082,0.03994
IC0944,19.5,269.631,-8.427,6.902,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,94,0.07732,0.03741
IC0944,22.5,275.437,-24.281,19.054,8.0,89.454,88.992,6826.464,285.183,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,107,0.05403,0.03162
IC1151,1.5,2.285,-0.422,0.422,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,6,0.04331,0.02544
IC1151,4.5,3.097,-0.536,0.536,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,16,0.04596,0.02311
IC1151,7.5,20.786,-2.318,2.318,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,19,0.03784,0.01723
IC1151,10.5,19.708,-5.509,5.509,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,24,0.03752,0.01303
IC1151,13.5,13.608,-3.036,3.033,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,22,0.03052,0.01804
IC1151,16.5,27.086,-6.763,4.974,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,10,0.0348,0.02038
IC1151,19.5,20.405,-5.806,4.355,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,9,0.02715,0.01459
IC1151,22.5,10.625,-2.041,2.041,8.0,88.428,89.092,2151.11,27.166,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,4,0.0162,0.00768
IC1199,1.5,113.877,-5.407,4.069,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,13,0.2458,0.07116
IC1199,4.5,117.435,-13.118,18.152,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,36,0.1219,0.07703
IC1199,7.5,173.336,-25.634,20.948,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,60,0.06636,0.05011
IC1199,10.5,194.085,-8.52,6.848,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,86,0.05748,0.03454
IC1199,13.5,188.942,-5.57,4.931,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,108,0.06326,0.02958
IC1199,16.5,192.905,-5.314,5.916,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,131,0.05502,0.02329
IC1199,19.5,203.843,-5.958,4.621,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,147,0.04144,0.01749
IC1199,22.5,206.347,-6.777,5.255,8.0,88.279,88.996,4666.966,158.424,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,132,0.02561,0.01288
IC1683,1.5,155.38,-8.57,9.322,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,16,1.259,0.2573
IC1683,4.5,198.904,-11.954,10.208,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,49,0.5674,0.2953
IC1683,7.5,197.784,-9.448,10.123,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,81,0.1968,0.1341
IC1683,10.5,189.539,-9.123,8.913,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,110,0.09304,0.0585
IC1683,13.5,197.959,-15.989,13.496,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,100,0.06126,0.04614
IC1683,16.5,203.643,-27.901,20.772,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,80,0.04875,0.03424
IC1683,19.5,178.755,-35.711,32.555,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,54,0.03233,0.02165
IC1683,22.5,23.55,-5.67,5.77,8.0,88.897,89.032,4775.063,200.52,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,31,0.01848,0.01166
IC2247,1.5,161.814,-21.291,31.635,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,5,0.4779,0.05349
IC2247,4.5,254.02,-26.604,26.604,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,18,0.3626,0.07691
IC2247,7.5,131.645,-7.261,7.442,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,30,0.2862,0.06042
IC2247,10.5,166.154,-6.786,6.508,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,42,0.2257,0.04677
IC2247,13.5,172.207,-7.679,5.916,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,54,0.169,0.04024
IC2247,16.5,184.096,-8.886,8.52,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,66,0.122,0.04199
IC2247,19.5,191.188,-6.926,5.584,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,75,0.08283,0.04756
IC2247,22.5,209.085,-8.442,6.955,8.0,89.858,88.458,4234.493,153.822,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,82,0.05481,0.04051
IC2487,1.5,219.723,-40.898,40.926,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,6,0.2171,0.02933
IC2487,4.5,81.198,-7.553,5.954,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,18,0.1643,0.04506
IC2487,7.5,115.111,-7.683,5.925,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,30,0.1337,0.03711
IC2487,10.5,129.457,-6.485,5.332,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,40,0.1248,0.02931
IC2487,13.5,150.992,-7.249,5.87,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,54,0.1035,0.03132
IC2487,16.5,152.948,-9.027,9.631,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,61,0.07729,0.03367
IC2487,19.5,183.758,-12.014,11.242,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,66,0.06126,0.02954
IC2487,22.5,187.755,-11.22,10.262,8.0,88.586,88.076,4254.958,350.63,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,78,0.0511,0.02939
IC4566,1.5,107.394,-14.235,10.729,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,14,0.03253,0.01837
IC4566,4.5,110.71,-9.187,9.525,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,44,0.03914,0.01846
IC4566,7.5,118.268,-28.615,27.485,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,71,0.03086,0.0193
IC4566,10.5,209.115,-15.444,12.94,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,113,0.04234,0.0251
IC4566,13.5,216.374,-8.463,6.881,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,142,0.05181,0.02359
IC4566,16.5,227.259,-9.641,7.435,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,177,0.049,0.02486
IC4566,19.5,227.292,-12.26,7.894,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,196,0.04484,0.02829
IC4566,22.5,214.805,-11.843,9.641,8.0,89.426,89.088,5498.489,326.553,53.9,0.255,1,0,0,0,-1,-1,0,1,1,0,176,0.03555,0.02752
NGC0447,1.5,192.197,-7.284,6.303,8.0,88.628,88.792,5500.649,50.786,29.1,0.259,1,0,0,0,-1,-1,0,1,1,0,24,0.3987,0.06738
NGC0447,4.5,202.328,-9.146,6.678,8.0,88.628,88.792,5500.649,50.786,29.1,0.259,1,0,0,0,-1,-1,0,1,1,0,74,0.185,0.08225
NGC0447,7.5,188.806,-15.671,20.998,8.0,88.628,88.792,5500.649,50.786,29.1,0.259,1,0,0,0,-1,-1,0,1,1,0,105,0.04225,0.02643
NGC0447,10.5,3.232,0.0,0.0,8.0,88.628,88.792,5500.649,50.786,29.1,0.259,1,0,0,0,-1,-1,0,1,1,0,46,0.01574,0.0145
NGC0447,13.5,25.13,-4.337,4.337,8.0,88.628,88.792,5500.649,50.786,29.1,0.259,1,0,0,0,-1,-1,0,1,1,0,3,0.01225,0.008745
NGC0447,22.5,119.066,-29.039,25.822,8.0,88.628,88.792,5500.649,50.786,29.1,0.259,1,0,0,0,-1,-1,0,1,1,0,23,0.01409,0.00963
NGC0477,1.5,111.093,-8.105,6.375,8.0,90.469,89.184,5767.275,324.315,60.0,0.241,1,0,0,0,-1,-1,0,1,1,0,13,0.08357,0.02767
NGC0477,4.5,121.969,-8.752,11.647,8.0,90.469,89.184,5767.275,324.315,60.0,0.241,1,0,0,0,-1,-1,0,1,1,0,42,0.06479,0.0364
NGC0477,7.5,108.812,-12.292,12.292,8.0,90.469,89.184,5767.275,324.315,60.0,0.241,1,0,0,0,-1,-1,0,1,1,0,62,0.03748,0.02648
NGC0477,10.5,95.826,-10.614,10.614,8.0,90.469,89.184,5767.275,324.315,60.0,0.241,1,0,0,0,-1,-1,0,1,1,0,65,0.03099,0.0181
NGC0477,13.5,8.343,-2.549,2.549,8.0,90.469,89.184,5767.275,324.315,60.0,0.241,1,0,0,0,-1,-1,0,1,1,0,53,0.03046,0.01875
