# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RACTR, unit: deg, datatype: float64}
# - {name: DCCTR, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64, description: offset from ned position. Only not equal to 0 when a 2D-Gaussian-fitted
#     position is used}
# - {name: XPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: YPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: INCFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: PAFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VSYSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VDISPFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VROTFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous fit}
# - {name: FTYPE, datatype: int64}
# - {name: WFUNC, datatype: int64}
# - {name: BADFLAG, datatype: int64, description: 'BADFLAG = 1 when some ringlog exits, but Bbarolo fails to produce at least one of the
#     plots'}
# - {name: RAD, unit: arcsec, datatype: float64}
# - {name: VROT, unit: km / s, datatype: float64}
# - {name: DISP, unit: km / s, datatype: float64}
# - {name: INC, unit: deg, datatype: float64}
# - {name: P.A., unit: deg, datatype: float64}
# - {name: Z0, unit: arcsec, datatype: float64}
# - {name: XPOS, unit: pix, datatype: float64}
# - {name: YPOS, unit: pix, datatype: float64}
# - {name: VSYS, unit: km / s, datatype: float64}
# - {name: E_VROT1, unit: km / s, datatype: float64}
# - {name: E_VROT2, unit: km / s, datatype: float64}
# - {name: E_DISP1, unit: km / s, datatype: float64}
# - {name: E_DISP2, unit: km / s, datatype: float64}
# - {name: E_PA1, unit: deg, datatype: float64}
# - {name: E_PA2, unit: deg, datatype: float64}
# - {name: E_VSYS1, unit: km / s, datatype: float64}
# - {name: E_VSYS2, unit: km / s, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RACTR,DCCTR,offset,XPOSFIT(-1/0/1),YPOSFIT(-1/0/1),INCFIT(-1/0/1),PAFIT(-1/0/1),VSYSFIT(-1/0/1),VDISPFIT(0/1),VROTFIT(0/1),FTYPE,WFUNC,BADFLAG,RAD,VROT,DISP,INC,P.A.,Z0,XPOS,YPOS,VSYS,E_VROT1,E_VROT2,E_DISP1,E_DISP2,E_PA1,E_PA2,E_VSYS1,E_VSYS2
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,1,1,1,1,0,1.5,143.173,8.92,76.6,355.518,0.311,88.455,94.29,4613.89,-13.621,14.941,-3.832,2.773,-1.065,1.473,-4.629,4.797
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,1,1,1,1,0,10.5,142.525,8.906,76.6,357.76,0.311,88.455,94.29,4558.901,-5.65,5.144,-3.357,2.552,-2.815,2.405,-2.252,1.924
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,1,1,1,1,0,13.5,146.582,8.531,76.6,345.863,0.311,88.455,94.29,4556.23,-5.888,4.144,-2.996,2.317,-11.232,9.102,-5.029,3.891
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,1,1,1,1,0,16.5,212.79,7.925,76.6,349.036,0.311,88.455,94.29,4605.13,-11.375,11.388,-2.908,2.137,-1.535,1.156,-3.954,3.67
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,1,1,1,1,0,19.5,163.266,8.576,76.6,357.929,0.311,88.455,94.29,4550.529,-5.106,5.106,-7.605,7.605,-16.586,16.586,-7.325,7.325
IC0480,118.84683632,26.7425804577,2.79,0,0,0,1,1,1,1,1,1,0,22.5,183.525,8.884,76.6,340.153,0.311,88.455,94.29,4554.54,-7.121,6.159,-2.274,3.007,-1.998,1.401,-2.848,2.642
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,1.5,60.415,27.113,76.6,350.663,0.311,88.455,94.29,4555.385,-3.265,2.465,-3.766,2.762,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,4.5,88.523,29.936,76.6,350.663,0.311,88.455,94.29,4555.385,-5.154,3.893,-3.882,2.876,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,7.5,115.227,30.605,76.6,350.663,0.311,88.455,94.29,4555.385,-5.42,4.316,-3.785,3.241,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,10.5,130.292,24.929,76.6,350.663,0.311,88.455,94.29,4555.385,-6.053,6.399,-4.52,5.397,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,13.5,142.832,11.094,76.6,350.663,0.311,88.455,94.29,4555.385,-4.406,4.724,-3.575,4.925,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,16.5,151.779,10.219,76.6,350.663,0.311,88.455,94.29,4555.385,-4.137,4.306,-5.084,5.738,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,19.5,164.251,9.77,76.6,350.663,0.311,88.455,94.29,4555.385,-4.156,4.587,-6.15,3.907,,,,
IC0480,118.84683632,26.7425804577,2.79,0,0,0,-1,-1,1,1,1,1,0,22.5,183.408,10.073,76.6,350.663,0.311,88.455,94.29,4555.385,-9.975,7.854,-1.65,2.141,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,1.5,112.136,6.995,68.0,23.806,0.67,88.428,89.092,2233.894,-9.004,6.872,-1.228,1.663,-70.257,48.676,-270.796,186.169
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,4.5,3.651,9.757,68.0,16.358,0.67,88.428,89.092,2143.438,-0.737,0.737,-1.573,0.937,-7.081,7.081,-2.348,2.189
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,7.5,0.755,5.684,68.0,38.897,0.67,88.428,89.092,2133.255,-1.939,1.778,-4.964,4.551,-1.551,1.422,-1.241,1.138
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,10.5,112.592,9.482,68.0,25.199,0.67,88.428,89.092,2236.21,-15.814,12.041,-0.896,1.13,-10.54,6.644,-50.789,45.309
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,13.5,177.594,8.102,68.0,34.027,0.67,88.428,89.092,2213.608,-9.723,12.464,-1.584,2.045,-5.743,4.088,-259.31,241.012
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,16.5,0.008,6.974,68.0,27.818,0.67,88.428,89.092,2142.252,-2.641,1.777,-5.352,3.22,-3.1,2.467,-2.113,1.422
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,19.5,104.856,8.402,68.0,32.77,0.67,88.428,89.092,2157.233,-2.956,3.729,-0.835,1.072,-1.051,1.46,-9.43,10.926
IC1151,239.63475,17.44147,0.0,0,0,0,1,1,1,1,1,1,0,22.5,156.277,7.949,68.0,37.795,0.67,88.428,89.092,2376.785,-10.502,13.532,-1.367,1.819,-21.71,21.71,-143.0,111.629
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,1.5,53.894,7.872,68.0,30.236,0.67,88.428,89.092,2185.42,-5.154,3.763,-1.44,1.071,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,4.5,52.627,0.702,68.0,30.236,0.67,88.428,89.092,2185.42,-6.852,5.185,-0.834,0.834,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,7.5,11.126,6.645,68.0,30.236,0.67,88.428,89.092,2185.42,-2.93,2.93,-3.872,4.465,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,10.5,61.351,7.52,68.0,30.236,0.67,88.428,89.092,2185.42,-6.679,4.837,-0.885,1.096,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,13.5,84.821,1.575,68.0,30.236,0.67,88.428,89.092,2185.42,-21.932,13.034,-2.559,2.559,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,16.5,20.252,8.114,68.0,30.236,0.67,88.428,89.092,2185.42,-4.279,4.279,-4.601,3.825,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,19.5,30.769,11.36,68.0,30.236,0.67,88.428,89.092,2185.42,-6.506,8.325,-4.806,3.263,,,,
IC1151,239.63475,17.44147,0.0,0,0,0,-1,-1,1,1,1,1,0,22.5,1.766,11.907,68.0,30.236,0.67,88.428,89.092,2185.42,-0.659,0.831,-1.319,1.662,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,1.5,114.327,9.924,64.5,155.287,0.302,88.279,88.996,4668.659,-3.537,2.86,-3.116,3.831,-2.079,2.091,-1.663,1.673
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,4.5,188.606,8.592,64.5,158.362,0.302,88.279,88.996,4710.167,-23.908,23.908,-9.087,9.087,-4.521,7.752,-40.753,40.753
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,7.5,195.203,7.683,64.5,171.132,0.302,88.279,88.996,4673.409,-19.524,13.568,-2.068,2.7,-9.216,7.886,-15.274,15.277
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,10.5,195.284,8.213,64.5,157.594,0.302,88.279,88.996,4665.825,-8.08,6.837,-1.748,2.224,-6.329,5.405,-4.039,3.616
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,13.5,192.604,8.522,64.5,157.996,0.302,88.279,88.996,4663.443,-5.658,4.659,-1.32,1.71,-4.364,3.258,-2.836,2.407
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,16.5,194.788,7.694,64.5,161.036,0.302,88.279,88.996,4664.117,-4.534,5.904,-1.362,1.78,-3.057,2.629,-2.238,2.578
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,19.5,202.364,8.278,64.5,158.179,0.302,88.279,88.996,4667.724,-5.258,6.31,-1.348,1.715,-4.005,5.043,-2.653,3.267
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,1,1,1,1,0,22.5,207.981,7.985,64.5,157.429,0.302,88.279,88.996,4664.54,-8.587,5.928,-1.002,1.286,-3.914,2.85,-3.376,2.516
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,1.5,111.713,10.143,64.5,158.433,0.302,88.279,88.996,4666.774,-5.387,6.596,-6.15,6.19,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,4.5,135.47,10.417,64.5,158.433,0.302,88.279,88.996,4666.774,-16.804,16.348,-8.782,7.351,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,7.5,195.555,8.115,64.5,158.433,0.302,88.279,88.996,4666.774,-18.996,13.727,-2.257,2.949,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,10.5,195.317,1.166,64.5,158.433,0.302,88.279,88.996,4666.774,-6.485,5.418,-4.641,4.641,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,13.5,190.641,1.516,64.5,158.433,0.302,88.279,88.996,4666.774,-4.859,4.514,-4.578,4.578,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,16.5,196.317,1.547,64.5,158.433,0.302,88.279,88.996,4666.774,-4.542,4.28,-3.513,3.513,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,19.5,206.973,0.02,64.5,158.433,0.302,88.279,88.996,4666.774,-4.998,3.797,-3.45,3.45,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,1,1,1,1,0,22.5,207.722,0.924,64.5,158.433,0.302,88.279,88.996,4666.774,-4.451,3.469,-2.184,2.184,,,,
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,1.5,160.28,38.837,54.8,188.811,0.296,88.897,89.032,4776.458,-5.435,3.854,-4.548,3.939,-16.736,16.736,-6.68,6.132
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,4.5,207.79,10.496,54.8,183.68,0.296,88.897,89.032,4776.86,-10.35,8.13,-1.575,1.187,-5.619,5.619,-4.386,3.734
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,7.5,202.285,9.146,54.8,194.35,0.296,88.897,89.032,4773.077,-10.048,7.616,-6.712,7.977,-5.695,6.317,-5.614,5.478
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,10.5,194.003,8.725,54.8,193.83,0.296,88.897,89.032,4772.275,-9.361,7.159,-2.083,2.661,-4.378,6.044,-3.956,3.966
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,13.5,200.194,7.087,54.8,197.382,0.296,88.897,89.032,4780.838,-13.34,10.052,-1.201,1.653,-4.338,5.253,-4.719,4.24
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,16.5,210.621,7.48,54.8,198.557,0.296,88.897,89.032,4780.08,-27.395,21.678,-1.657,2.149,-3.889,4.787,-8.235,7.153
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,19.5,209.997,7.752,54.8,205.718,0.296,88.897,89.032,4767.746,-31.415,29.603,-1.984,2.563,-1.15,1.588,-8.637,8.438
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,1,1,1,1,0,22.5,223.211,8.881,54.8,210.544,0.296,88.897,89.032,4569.445,-20.101,26.314,-2.145,2.793,-42.656,57.292,-148.379,200.06
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,-1,-1,1,1,1,1,0,1.5,156.727,41.075,54.8,196.442,0.296,88.897,89.032,4774.768,-3.628,3.951,-4.653,3.343,,,,
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,-1,-1,1,1,1,1,0,4.5,186.855,16.132,54.8,196.442,0.296,88.897,89.032,4774.768,-9.588,13.85,-1.418,1.094,,,,
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,-1,-1,1,1,1,1,0,7.5,200.147,9.264,54.8,196.442,0.296,88.897,89.032,4774.768,-8.796,10.245,-6.433,7.84,,,,
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,-1,-1,1,1,1,1,0,10.5,194.003,6.225,54.8,196.442,0.296,88.897,89.032,4774.768,-10.218,7.372,-3.342,3.901,,,,
