# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC2347,7.5,91,0.1177,0.02785
NGC2347,10.5,125,0.08386,0.02803
NGC2347,13.5,162,0.05138,0.02221
NGC2347,16.5,200,0.0285,0.01579
NGC2347,19.5,211,0.01581,0.009738
NGC2347,22.5,132,0.008876,0.005917
NGC2410,1.5,9,0.1576,0.009091
NGC2410,4.5,26,0.1433,0.02037
NGC2410,7.5,44,0.1273,0.02707
NGC2410,10.5,62,0.1108,0.03129
NGC2410,13.5,80,0.08869,0.03608
NGC2410,16.5,100,0.0651,0.04182
NGC2410,19.5,113,0.04737,0.03814
NGC2410,22.5,125,0.03535,0.02855
NGC2480,1.5,16,0.04265,0.01188
NGC2480,4.5,47,0.02663,0.009543
NGC2480,7.5,70,0.01743,0.0076
NGC2480,10.5,44,0.01874,0.01289
NGC2480,13.5,38,0.02514,0.01675
NGC2480,16.5,36,0.02356,0.01687
NGC2480,19.5,31,0.01666,0.01194
NGC2480,22.5,26,0.007098,0.003324
NGC2487,1.5,24,0.0928,0.0225
NGC2487,4.5,61,0.03565,0.02009
NGC2487,7.5,76,0.01458,0.009071
NGC2487,10.5,40,0.01014,0.004614
NGC2487,13.5,21,0.007417,0.001361
NGC2487,16.5,0,0.006397,0.0
NGC2487,19.5,21,0.007864,0.001809
NGC2487,22.5,53,0.00893,0.002812
NGC2623,1.5,19,1.436,0.145
NGC2623,4.5,59,0.8052,0.2575
NGC2623,7.5,98,0.2747,0.1673
NGC2623,10.5,138,0.07128,0.06679
NGC2623,13.5,169,0.01854,0.02154
NGC2623,16.5,117,0.009072,0.009708
NGC2623,19.5,54,0.00692,0.006238
NGC2623,22.5,20,0.006041,0.00384
NGC2639,1.5,13,0.007609,0.002635
NGC2639,4.5,49,0.01503,0.01577
NGC2639,7.5,73,0.04352,0.0335
NGC2639,10.5,113,0.07107,0.05183
NGC2639,13.5,140,0.07312,0.05473
NGC2639,16.5,154,0.06626,0.05059
NGC2639,19.5,161,0.04423,0.03653
NGC2639,22.5,134,0.02893,0.02319
NGC2730,1.5,25,0.01683,0.005626
NGC2730,4.5,67,0.009006,0.003072
NGC2730,7.5,89,0.01017,0.00448
NGC2730,10.5,108,0.01347,0.006237
NGC2730,13.5,137,0.01423,0.006451
NGC2730,16.5,169,0.01157,0.005009
NGC2730,19.5,158,0.00938,0.00415
NGC2730,22.5,101,0.00723,0.003298
NGC2906,1.5,15,0.09807,0.01564
NGC2906,4.5,49,0.08186,0.02943
NGC2906,7.5,77,0.06095,0.02944
NGC2906,10.5,112,0.06003,0.02624
NGC2906,13.5,137,0.06264,0.02831
NGC2906,16.5,168,0.05689,0.03122
NGC2906,19.5,180,0.04907,0.02717
NGC2906,22.5,187,0.03383,0.01978
NGC2916,1.5,0,0.0,0.0
NGC2916,4.5,0,0.0,0.0
NGC2916,7.5,0,0.0,0.0
NGC2916,10.5,7,0.007841,0.001036
NGC2916,13.5,36,0.01107,0.004191
NGC2916,16.5,82,0.01323,0.006237
NGC2916,19.5,108,0.01661,0.008566
NGC2916,22.5,119,0.01969,0.01088
NGC3303,1.5,14,0.07821,0.01221
NGC3303,4.5,41,0.05146,0.02224
NGC3303,7.5,59,0.02861,0.02324
NGC3303,10.5,47,0.01761,0.0137
NGC3303,13.5,33,0.008774,0.004308
NGC3303,16.5,13,0.004344,0.002499
NGC3303,19.5,5,0.004577,0.001211
NGC3303,22.5,0,0.0,0.0
NGC3381,1.5,24,0.04353,0.01539
NGC3381,4.5,54,0.02333,0.01587
NGC3381,7.5,49,0.01493,0.01135
NGC3381,10.5,52,0.01301,0.009596
NGC3381,13.5,46,0.01751,0.009573
NGC3381,16.5,53,0.02049,0.01048
NGC3381,19.5,65,0.02257,0.01022
NGC3381,22.5,57,0.01783,0.006621
NGC3811,1.5,21,0.4781,0.04734
NGC3811,4.5,65,0.2776,0.07929
NGC3811,7.5,107,0.1131,0.04655
NGC3811,10.5,153,0.03837,0.01945
NGC3811,13.5,186,0.01924,0.01189
NGC3811,16.5,177,0.02299,0.01193
NGC3811,19.5,188,0.02704,0.01234
NGC3811,22.5,209,0.02138,0.01147
NGC3815,1.5,13,0.02766,0.01644
NGC3815,4.5,43,0.04639,0.02899
NGC3815,7.5,68,0.06403,0.03303
NGC3815,10.5,91,0.06847,0.03345
NGC3815,13.5,105,0.05009,0.02409
NGC3815,16.5,120,0.02266,0.01173
NGC3815,19.5,112,0.01008,0.004654
NGC3815,22.5,58,0.006315,0.002649
NGC3994,1.5,14,0.2906,0.01406
NGC3994,4.5,43,0.2696,0.03015
NGC3994,7.5,72,0.2049,0.04004
NGC3994,10.5,99,0.1215,0.04111
NGC3994,13.5,130,0.05233,0.0275
NGC3994,16.5,138,0.02007,0.0129
NGC3994,19.5,100,0.01025,0.005993
NGC3994,22.5,46,0.007199,0.004764
NGC4047,1.5,21,0.4236,0.01758
NGC4047,4.5,62,0.379,0.03234
NGC4047,7.5,105,0.3177,0.03614
NGC4047,10.5,146,0.2364,0.03374
NGC4047,13.5,190,0.1612,0.03214
NGC4047,16.5,229,0.1058,0.03238
NGC4047,19.5,274,0.05928,0.02769
NGC4047,22.5,305,0.02678,0.01803
NGC4149,1.5,11,0.4545,0.01986
NGC4149,4.5,33,0.3691,0.03828
NGC4149,7.5,58,0.2645,0.04489
NGC4149,10.5,77,0.1656,0.04389
NGC4149,13.5,103,0.08438,0.03298
NGC4149,16.5,125,0.0394,0.02044
NGC4149,19.5,144,0.01574,0.0112
NGC4149,22.5,109,0.004594,0.003579
NGC4185,1.5,0,0.0,0.0
NGC4185,4.5,0,0.0,0.0
NGC4185,7.5,6,0.01178,0.00149
NGC4185,10.5,38,0.01321,0.005927
NGC4185,13.5,68,0.01585,0.01185
NGC4185,16.5,93,0.01505,0.01255
NGC4185,19.5,117,0.01261,0.008483
NGC4185,22.5,127,0.009733,0.004041
NGC4211NED02,1.5,24,0.03399,0.01109
NGC4211NED02,4.5,69,0.01593,0.007904
NGC4211NED02,7.5,54,0.007644,0.00196
NGC4211NED02,10.5,2,0.006321,0.0001166
NGC4211NED02,13.5,3,0.008417,0.0009985
NGC4211NED02,16.5,10,0.009527,0.0007976
NGC4211NED02,19.5,0,0.0,0.0
NGC4211NED02,22.5,9,0.007576,0.0006996
NGC4470,1.5,19,0.0272,0.004624
NGC4470,4.5,58,0.03054,0.008391
NGC4470,7.5,95,0.03135,0.01293
NGC4470,10.5,125,0.02754,0.01656
NGC4470,13.5,136,0.02906,0.01988
NGC4470,16.5,132,0.03176,0.02113
NGC4470,19.5,121,0.02806,0.01885
NGC4470,22.5,96,0.01963,0.01159
NGC4644,1.5,8,0.01749,0.003527
NGC4644,4.5,25,0.0148,0.004416
NGC4644,7.5,40,0.01661,0.008879
NGC4644,10.5,55,0.01826,0.009236
NGC4644,13.5,68,0.01911,0.007832
NGC4644,16.5,76,0.0175,0.008432
NGC4644,19.5,65,0.01534,0.008909
NGC4644,22.5,56,0.01407,0.008818
NGC4676A,1.5,18,0.6796,0.07904
NGC4676A,4.5,54,0.4229,0.1331
NGC4676A,7.5,91,0.164,0.1027
NGC4676A,10.5,116,0.04178,0.04304
NGC4676A,13.5,79,0.01409,0.01211
NGC4676A,16.5,40,0.007296,0.002829
NGC4676A,19.5,16,0.007777,0.001556
NGC4676A,22.5,26,0.007538,0.001379
NGC4711,1.5,15,0.01787,0.007056
NGC4711,4.5,45,0.02419,0.01138
NGC4711,7.5,74,0.02877,0.01604
NGC4711,10.5,92,0.03076,0.01761
NGC4711,13.5,105,0.03424,0.01862
NGC4711,16.5,116,0.03164,0.01921
NGC4711,19.5,117,0.02346,0.01403
NGC4711,22.5,96,0.0152,0.009372
NGC4961,1.5,19,0.02872,0.01041
NGC4961,4.5,55,0.02563,0.01354
NGC4961,7.5,86,0.02597,0.01333
NGC4961,10.5,100,0.02668,0.01323
NGC4961,13.5,91,0.02153,0.01111
NGC4961,16.5,47,0.01446,0.009249
NGC4961,19.5,30,0.007356,0.004405
NGC4961,22.5,8,0.003784,0.0007013
NGC5000,1.5,26,0.3342,0.05363
NGC5000,4.5,80,0.1506,0.06485
NGC5000,7.5,131,0.03184,0.02307
NGC5000,10.5,132,0.00852,0.008413
NGC5000,13.5,95,0.01331,0.007444
NGC5000,16.5,115,0.01792,0.009662
NGC5000,19.5,122,0.01591,0.008425
NGC5000,22.5,107,0.009318,0.005142
NGC5016,1.5,21,0.1073,0.01175
NGC5016,4.5,65,0.09386,0.01141
NGC5016,7.5,109,0.07887,0.01411
NGC5016,10.5,151,0.06399,0.0161
NGC5016,13.5,195,0.04618,0.01566
NGC5016,16.5,226,0.0275,0.0115
NGC5016,19.5,213,0.01721,0.008911
NGC5016,22.5,162,0.01211,0.006373
NGC5056,1.5,13,0.07376,0.01285
NGC5056,4.5,40,0.06169,0.02111
NGC5056,7.5,68,0.04668,0.01732
NGC5056,10.5,95,0.03413,0.01275
NGC5056,13.5,120,0.02534,0.01328
NGC5056,16.5,142,0.01853,0.01115
NGC5056,19.5,151,0.01369,0.007768
NGC5056,22.5,113,0.008659,0.00458
NGC5205,1.5,0,0.0,0.0
NGC5205,4.5,0,0.0,0.0
NGC5205,7.5,0,0.0,0.0
NGC5205,10.5,11,0.01134,0.006351
NGC5205,13.5,47,0.01603,0.006227
NGC5205,16.5,82,0.01548,0.005384
NGC5205,19.5,110,0.01358,0.004302
NGC5205,22.5,99,0.01247,0.005028
NGC5218,1.5,24,3.241,0.37
NGC5218,4.5,73,1.771,0.5411
NGC5218,7.5,121,0.5983,0.2812
NGC5218,10.5,170,0.1746,0.1281
NGC5218,13.5,221,0.07084,0.06594
NGC5218,16.5,257,0.04789,0.05451
NGC5218,19.5,192,0.0538,0.0702
NGC5218,22.5,115,0.07753,0.08214
NGC5394,1.5,9,1.446,0.106
NGC5394,4.5,29,1.077,0.2799
NGC5394,7.5,47,0.6684,0.3618
NGC5394,10.5,66,0.3875,0.341
NGC5394,13.5,86,0.2262,0.2787
NGC5394,16.5,94,0.1488,0.2087
NGC5394,19.5,78,0.1355,0.1667
NGC5394,22.5,68,0.1009,0.1242
NGC5406,1.5,0,0.0,0.0
NGC5406,4.5,0,0.0,0.0
NGC5406,7.5,6,0.006076,0.0003151
NGC5406,10.5,12,0.005849,0.0004937
NGC5406,13.5,33,0.007319,0.002451
NGC5406,16.5,83,0.009719,0.003749
NGC5406,19.5,90,0.01082,0.00384
NGC5406,22.5,109,0.00988,0.0031
NGC5480,1.5,21,0.2808,0.02435
NGC5480,4.5,63,0.2091,0.04315
NGC5480,7.5,106,0.1481,0.03976
NGC5480,10.5,148,0.1122,0.03582
NGC5480,13.5,191,0.08855,0.03556
NGC5480,16.5,231,0.06824,0.03352
NGC5480,19.5,264,0.05391,0.02462
NGC5480,22.5,291,0.03962,0.01672
NGC5520,1.5,15,0.231,0.01925
NGC5520,4.5,43,0.1995,0.02878
NGC5520,7.5,72,0.1473,0.03027
NGC5520,10.5,101,0.09078,0.02577
NGC5520,13.5,131,0.05195,0.02015
NGC5520,16.5,155,0.02862,0.01451
NGC5520,19.5,151,0.01411,0.009387
NGC5520,22.5,93,0.0077,0.007209
NGC5614,1.5,23,0.634,0.05537
NGC5614,4.5,69,0.4994,0.1017
NGC5614,7.5,114,0.3815,0.1314
NGC5614,10.5,158,0.2786,0.1317
NGC5614,13.5,207,0.1563,0.08929
NGC5614,16.5,252,0.0618,0.03623
