# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC1199,7.5,20.33,-5.812,5.812,6.574,-5.805,7.722,79.279,79.996,4666.224,162.018,64.5,0.302,1,1,0,0,-1,-1,0,1,1,0,59,0.03003,0.01919
IC1199,10.5,194.423,-9.439,7.287,1.648,-5.938,5.938,79.279,79.996,4666.224,162.018,64.5,0.302,1,1,0,0,-1,-1,0,1,1,0,81,0.03241,0.01994
IC1199,13.5,189.61,-5.538,4.668,1.464,-4.74,4.74,79.279,79.996,4666.224,162.018,64.5,0.302,1,1,0,0,-1,-1,0,1,1,0,100,0.03805,0.02907
IC1199,16.5,194.09,-6.957,5.0,0.874,-5.472,5.472,79.279,79.996,4666.224,162.018,64.5,0.302,1,1,0,0,-1,-1,0,1,1,0,100,0.03345,0.02519
IC1199,19.5,204.347,-4.514,3.509,0.523,-3.976,3.976,79.279,79.996,4666.224,162.018,64.5,0.302,1,1,0,0,-1,-1,0,1,1,0,93,0.02712,0.01563
IC1199,22.5,204.271,-8.85,6.976,1.045,-3.661,3.661,79.279,79.996,4666.224,162.018,64.5,0.302,1,1,0,0,-1,-1,0,1,1,0,77,0.01668,0.01109
IC1683,1.5,158.257,-4.199,3.572,38.248,-2.863,3.098,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,16,1.077,0.171
IC1683,4.5,178.433,-8.755,6.871,42.911,-7.811,4.979,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,48,0.5583,0.229
IC1683,7.5,195.513,-8.342,8.295,9.104,-6.773,10.454,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,81,0.215,0.1293
IC1683,10.5,191.594,-10.392,7.4,8.009,-2.646,3.401,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,113,0.09197,0.06471
IC1683,13.5,196.024,-25.65,18.624,1.603,-3.451,3.451,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,100,0.05212,0.04527
IC1683,16.5,165.297,-30.636,30.636,1.595,-5.402,5.402,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,51,0.03247,0.02251
IC1683,19.5,0.119,-1.532,1.247,4.793,-3.064,2.495,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,22,0.01345,0.00857
IC1683,22.5,15.346,-3.623,3.623,9.815,-2.4,2.16,79.897,80.032,4780.614,199.097,54.8,0.296,1,1,0,0,-1,-1,0,1,1,0,4,0.004256,0.0008696
IC2247,1.5,224.775,-31.045,20.389,14.387,-7.926,5.43,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,5,0.3443,0.01491
IC2247,4.5,92.266,-7.279,9.108,34.567,-5.82,5.099,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,17,0.3044,0.02707
IC2247,7.5,129.831,-8.967,8.057,34.679,-7.204,7.586,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,30,0.2562,0.02583
IC2247,10.5,152.986,-6.008,6.51,22.692,-4.863,6.355,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,42,0.2072,0.02394
IC2247,13.5,169.406,-4.951,4.547,14.956,-4.854,6.207,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,53,0.1585,0.02616
IC2247,16.5,179.973,-4.593,5.572,9.613,-5.374,7.62,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,67,0.1096,0.02661
IC2247,19.5,189.83,-4.979,4.191,9.51,-6.463,5.164,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,77,0.07211,0.0304
IC2247,22.5,195.123,-7.468,7.471,7.921,-5.707,5.707,80.858,79.458,4223.775,150.608,77.7,0.333,1,1,0,0,-1,-1,0,1,1,0,88,0.04406,0.02606
NGC0447,1.5,189.015,-6.778,5.636,18.377,-3.625,2.574,79.628,79.792,5501.167,46.938,29.1,0.259,1,1,0,0,-1,-1,0,1,1,0,24,0.3306,0.04728
NGC0447,4.5,199.225,-7.952,5.305,10.369,-4.031,4.708,79.628,79.792,5501.167,46.938,29.1,0.259,1,1,0,0,-1,-1,0,1,1,0,74,0.1701,0.06723
NGC0447,7.5,181.435,-30.01,28.247,8.814,-3.054,3.959,79.628,79.792,5501.167,46.938,29.1,0.259,1,1,0,0,-1,-1,0,1,1,0,119,0.03516,0.02666
NGC0447,10.5,5.215,-0.779,0.779,1.84,-2.963,3.058,79.628,79.792,5501.167,46.938,29.1,0.259,1,1,0,0,-1,-1,0,1,1,0,49,0.007498,0.005758
