# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC2410,1.5,9,0.1961,0.006741
NGC2410,4.5,26,0.1874,0.01405
NGC2410,7.5,44,0.1701,0.02441
NGC2410,10.5,63,0.148,0.03113
NGC2410,13.5,81,0.1184,0.03924
NGC2410,16.5,96,0.08874,0.04451
NGC2410,19.5,116,0.06774,0.04144
NGC2410,22.5,130,0.05293,0.03264
NGC2480,1.5,16,0.06818,0.006652
NGC2480,4.5,46,0.04758,0.01074
NGC2480,7.5,79,0.02769,0.009979
NGC2480,10.5,99,0.02009,0.01698
NGC2480,13.5,53,0.0314,0.02754
NGC2480,16.5,37,0.03711,0.02463
NGC2480,19.5,31,0.02863,0.01576
NGC2480,22.5,23,0.01435,0.007133
NGC2487,1.5,24,0.2488,0.02949
NGC2487,4.5,72,0.1257,0.04522
NGC2487,7.5,112,0.03364,0.02124
NGC2487,10.5,104,0.01668,0.009961
NGC2487,13.5,94,0.01413,0.00774
NGC2487,16.5,130,0.01098,0.006524
NGC2487,19.5,160,0.01868,0.009717
NGC2487,22.5,198,0.02806,0.01314
NGC2623,1.5,19,1.483,0.1499
NGC2623,4.5,59,0.8314,0.2662
NGC2623,7.5,98,0.2859,0.1742
NGC2623,10.5,138,0.07515,0.07116
NGC2623,13.5,124,0.02119,0.02086
NGC2623,16.5,82,0.01034,0.01007
NGC2623,19.5,57,0.007859,0.007494
NGC2623,22.5,30,0.00696,0.004318
NGC2639,1.5,18,0.06683,0.01634
NGC2639,4.5,54,0.07351,0.01512
NGC2639,7.5,92,0.09549,0.01876
NGC2639,10.5,128,0.1167,0.03052
NGC2639,13.5,164,0.114,0.0396
NGC2639,16.5,203,0.0882,0.03961
NGC2639,19.5,238,0.05636,0.0313
NGC2639,22.5,254,0.03291,0.02096
NGC2730,1.5,25,0.0507,0.01073
NGC2730,4.5,74,0.03066,0.01543
NGC2730,7.5,111,0.02362,0.009645
NGC2730,10.5,157,0.01949,0.008933
NGC2730,13.5,196,0.01897,0.008551
NGC2730,16.5,236,0.01817,0.007516
NGC2730,19.5,273,0.01442,0.0069
NGC2730,22.5,243,0.01221,0.005842
NGC2906,1.5,14,0.1936,0.01414
NGC2906,4.5,49,0.1446,0.03047
NGC2906,7.5,77,0.09708,0.03218
NGC2906,10.5,113,0.08063,0.02898
NGC2906,13.5,142,0.07858,0.0306
NGC2906,16.5,177,0.07268,0.03094
NGC2906,19.5,196,0.06167,0.02458
NGC2906,22.5,226,0.04442,0.01887
NGC3303,1.5,14,0.1948,0.03593
NGC3303,4.5,42,0.1538,0.06113
NGC3303,7.5,70,0.102,0.0674
NGC3303,10.5,91,0.05892,0.05217
NGC3303,13.5,78,0.0393,0.03402
NGC3303,16.5,62,0.02061,0.01328
NGC3303,19.5,53,0.009559,0.005961
NGC3303,22.5,21,0.006197,0.003889
NGC3381,1.5,24,0.07294,0.01332
NGC3381,4.5,73,0.03977,0.02161
NGC3381,7.5,68,0.02166,0.01744
NGC3381,10.5,52,0.02057,0.01497
NGC3381,13.5,50,0.02173,0.0125
NGC3381,16.5,64,0.02201,0.008512
NGC3381,19.5,88,0.02164,0.007986
NGC3381,22.5,109,0.01921,0.007769
NGC3811,1.5,22,0.5034,0.04638
NGC3811,4.5,64,0.3054,0.08008
NGC3811,7.5,107,0.1259,0.05299
NGC3811,10.5,153,0.04575,0.02183
NGC3811,13.5,192,0.02615,0.01081
NGC3811,16.5,232,0.02822,0.01352
NGC3811,19.5,254,0.035,0.01722
NGC3811,22.5,273,0.03065,0.01491
NGC3815,1.5,13,0.09845,0.005512
NGC3815,4.5,43,0.1037,0.01382
NGC3815,7.5,69,0.1052,0.02032
NGC3815,10.5,101,0.09615,0.02352
NGC3815,13.5,125,0.07196,0.02165
NGC3815,16.5,156,0.03966,0.01757
NGC3815,19.5,165,0.01974,0.01238
NGC3815,22.5,151,0.01662,0.00891
NGC3994,1.5,14,0.3587,0.01446
NGC3994,4.5,43,0.3161,0.02709
NGC3994,7.5,71,0.2419,0.03949
NGC3994,10.5,101,0.1519,0.03765
NGC3994,13.5,129,0.07733,0.02986
NGC3994,16.5,153,0.03477,0.0208
NGC3994,19.5,131,0.02469,0.01277
NGC3994,22.5,110,0.02042,0.009349
NGC4047,1.5,20,0.424,0.01687
NGC4047,4.5,63,0.3792,0.0332
NGC4047,7.5,104,0.317,0.03654
NGC4047,10.5,146,0.2366,0.03384
NGC4047,13.5,189,0.1628,0.03156
NGC4047,16.5,230,0.1079,0.03121
NGC4047,19.5,274,0.06318,0.02547
NGC4047,22.5,303,0.03309,0.01656
NGC4149,1.5,11,0.5282,0.02237
NGC4149,4.5,33,0.4255,0.04496
NGC4149,7.5,58,0.2988,0.0483
NGC4149,10.5,78,0.1906,0.04281
NGC4149,13.5,103,0.1073,0.03714
NGC4149,16.5,126,0.05321,0.02928
NGC4149,19.5,132,0.02409,0.01853
NGC4149,22.5,84,0.0118,0.008369
NGC4185,1.5,13,0.009505,0.00268
NGC4185,4.5,49,0.01522,0.005193
NGC4185,7.5,80,0.02102,0.01038
NGC4185,10.5,95,0.02422,0.01368
NGC4185,13.5,113,0.02432,0.01019
NGC4185,16.5,139,0.02657,0.01161
NGC4185,19.5,169,0.02618,0.01429
NGC4185,22.5,162,0.02548,0.01191
NGC4210,1.5,21,0.03354,0.006537
NGC4210,4.5,65,0.02061,0.01126
NGC4210,7.5,106,0.0201,0.007906
NGC4210,10.5,148,0.02988,0.008559
NGC4210,13.5,193,0.03594,0.008737
NGC4210,16.5,232,0.03401,0.009775
NGC4210,19.5,279,0.02781,0.008887
NGC4210,22.5,321,0.02004,0.007558
NGC4211NED02,1.5,24,0.2503,0.03302
NGC4211NED02,4.5,72,0.1099,0.04598
NGC4211NED02,7.5,123,0.02686,0.01439
NGC4211NED02,10.5,128,0.009267,0.006591
NGC4211NED02,13.5,90,0.006236,0.00509
NGC4211NED02,16.5,36,0.003496,0.004128
NGC4211NED02,19.5,0,0.0,0.0
NGC4211NED02,22.5,0,0.0,0.0
NGC4470,1.5,19,0.04565,0.004239
NGC4470,4.5,57,0.04845,0.009152
NGC4470,7.5,95,0.04737,0.01405
NGC4470,10.5,131,0.0394,0.01848
NGC4470,13.5,145,0.03561,0.0202
NGC4470,16.5,153,0.03394,0.0199
NGC4470,19.5,165,0.02795,0.01646
NGC4470,22.5,173,0.01758,0.01148
NGC4644,1.5,8,0.06132,0.003796
NGC4644,4.5,24,0.05715,0.006254
NGC4644,7.5,40,0.05686,0.01018
NGC4644,10.5,60,0.05311,0.01471
NGC4644,13.5,75,0.04664,0.01729
NGC4644,16.5,91,0.03772,0.02092
NGC4644,19.5,105,0.02977,0.02258
NGC4644,22.5,93,0.02854,0.02087
NGC4676A,1.5,18,0.7698,0.07513
NGC4676A,4.5,54,0.5231,0.1355
NGC4676A,7.5,89,0.2372,0.1184
NGC4676A,10.5,126,0.06938,0.05977
NGC4676A,13.5,109,0.02065,0.01876
NGC4676A,16.5,75,0.009434,0.00804
NGC4676A,19.5,64,0.008838,0.007346
NGC4676A,22.5,53,0.01047,0.00752
NGC4711,1.5,15,0.08012,0.005355
NGC4711,4.5,44,0.06976,0.008273
NGC4711,7.5,73,0.05996,0.009221
NGC4711,10.5,104,0.05176,0.0128
NGC4711,13.5,134,0.04787,0.01536
NGC4711,16.5,164,0.04133,0.01534
NGC4711,19.5,188,0.03021,0.0115
NGC4711,22.5,201,0.01816,0.008872
NGC4961,1.5,19,0.07545,0.008157
NGC4961,4.5,58,0.06223,0.01289
NGC4961,7.5,97,0.04923,0.0151
NGC4961,10.5,135,0.03828,0.01708
NGC4961,13.5,151,0.02857,0.01258
NGC4961,16.5,142,0.01634,0.007378
NGC4961,19.5,77,0.0108,0.003768
NGC4961,22.5,18,0.008642,0.002353
NGC5000,1.5,26,0.3776,0.05527
NGC5000,4.5,80,0.172,0.07137
NGC5000,7.5,127,0.03823,0.02684
NGC5000,10.5,119,0.01219,0.008536
NGC5000,13.5,127,0.01926,0.01202
NGC5000,16.5,168,0.0235,0.01232
NGC5000,19.5,184,0.01946,0.01003
NGC5000,22.5,170,0.0117,0.006769
NGC5016,1.5,22,0.1239,0.006379
NGC5016,4.5,64,0.1085,0.009505
NGC5016,7.5,109,0.0915,0.01383
NGC5016,10.5,151,0.07725,0.01204
NGC5016,13.5,195,0.05936,0.01212
NGC5016,16.5,238,0.0406,0.01202
NGC5016,19.5,275,0.02508,0.00898
NGC5016,22.5,264,0.0165,0.006428
NGC5056,1.5,13,0.1674,0.02118
NGC5056,4.5,40,0.1205,0.03642
NGC5056,7.5,67,0.08068,0.02798
NGC5056,10.5,95,0.05852,0.01429
NGC5056,13.5,122,0.0435,0.009142
NGC5056,16.5,149,0.03291,0.009274
NGC5056,19.5,176,0.02498,0.008451
NGC5056,22.5,196,0.0177,0.007606
NGC5205,1.5,0,0.0,0.0
NGC5205,4.5,0,0.0,0.0
NGC5205,7.5,7,0.009852,0.001695
NGC5205,10.5,55,0.01047,0.003711
NGC5205,13.5,109,0.02047,0.01024
NGC5205,16.5,137,0.02991,0.01509
NGC5205,19.5,154,0.03076,0.01715
NGC5205,22.5,173,0.02456,0.01507
NGC5218,1.5,24,3.275,0.3718
NGC5218,4.5,74,1.786,0.5509
NGC5218,7.5,121,0.6018,0.2826
NGC5218,10.5,169,0.1873,0.1216
NGC5218,13.5,220,0.08203,0.06166
NGC5218,16.5,228,0.05871,0.05355
NGC5218,19.5,206,0.0628,0.06758
NGC5218,22.5,173,0.06605,0.07443
NGC5394,1.5,9,1.483,0.1156
NGC5394,4.5,29,1.104,0.2892
NGC5394,7.5,48,0.6854,0.3726
NGC5394,10.5,66,0.3915,0.3531
NGC5394,13.5,80,0.2485,0.2874
NGC5394,16.5,74,0.2009,0.2212
NGC5394,19.5,65,0.1582,0.1714
NGC5394,22.5,61,0.1191,0.1267
NGC5406,1.5,6,0.01187,0.002221
NGC5406,4.5,14,0.01299,0.004002
NGC5406,7.5,34,0.009688,0.004638
NGC5406,10.5,62,0.01408,0.007984
NGC5406,13.5,96,0.02282,0.01427
NGC5406,16.5,122,0.02951,0.01918
NGC5406,19.5,145,0.03369,0.0212
NGC5406,22.5,173,0.03222,0.02034
NGC5480,1.5,21,0.2876,0.02643
NGC5480,4.5,63,0.2137,0.04348
NGC5480,7.5,106,0.148,0.03851
NGC5480,10.5,148,0.1129,0.03379
NGC5480,13.5,192,0.08945,0.03396
NGC5480,16.5,230,0.07055,0.03167
NGC5480,19.5,277,0.05389,0.02329
NGC5480,22.5,311,0.04008,0.01426
NGC5520,1.5,14,0.2683,0.01595
NGC5520,4.5,43,0.2287,0.02467
NGC5520,7.5,72,0.1701,0.02672
NGC5520,10.5,101,0.1127,0.02664
NGC5520,13.5,132,0.0718,0.02171
NGC5520,16.5,156,0.04578,0.01917
NGC5520,19.5,183,0.0273,0.01684
NGC5520,22.5,162,0.01634,0.01599
NGC5614,1.5,23,0.6518,0.05478
NGC5614,4.5,69,0.5141,0.1045
NGC5614,7.5,114,0.3916,0.128
NGC5614,10.5,158,0.2867,0.1277
NGC5614,13.5,207,0.1624,0.0922
NGC5614,16.5,252,0.06669,0.03885
NGC5614,19.5,256,0.02843,0.02939
NGC5614,22.5,128,0.04174,0.041
NGC5633,1.5,20,0.2477,0.007408
NGC5633,4.5,64,0.2197,0.01338
