# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: rdScaleMol, unit: kpc, datatype: float64, description: Exponential scale
#     length for CO disk derived by filling in undetected values in annulii with 1-sigma}
# - {name: rdeScaleMol, unit: kpc, datatype: float64, description: Statistical error
#     from fit to exponential scale length}
# - {name: rdScaleMolHi, unit: kpc, datatype: float64, description: Upper limit to exponential
#     scale length by filling in annuli with 2-sigma values}
# - {name: rdScaleMolLo, unit: kpc, datatype: float64, description: Lower limit to exponential
#     scale length by filling in annulii with zeros}
# - {name: rdNormMol, unit: solMass / pc2, datatype: float64, description: 'Normalization
#     of CO exponential disk profile, i.e. density at R=0'}
# - {name: rdeNormMol, unit: solMass / pc2, datatype: float64, description: Error in
#     normalization of CO exponential disk profile}
# - {name: rdScaleSt, unit: kpc, datatype: float64, description: Exponential scale length
#     for the mass of the stellar disk}
# - {name: rdeScaleSt, unit: kpc, datatype: float64, description: Formal error in stellar
#     scale length fit}
# - {name: rdNormSt, unit: solMass / pc2, datatype: float64, description: 'Normalization
#     of stellar exponential disk profile, i.e. density at R=0'}
# - {name: rdeNormSt, unit: solMass / pc2, datatype: float64, description: Formal error
#     in stellar disk normalization}
# - {name: rdR50Mol, unit: kpc, datatype: float64, description: Radius enclosing 50%
#     of the molecular mass}
# - {name: rdeR50Mol, unit: kpc, datatype: float64, description: 'Error in radius enclosing
#     50% of the molecular mass, including beam size'}
# - {name: rdR50St, unit: kpc, datatype: float64, description: Radius enclosing 50%
#     of the stellar mass}
# - {name: rdeR50St, unit: kpc, datatype: float64, description: 'Error in radius enclosing
#     50% of the stellar mass, including beam size'}
# - {name: rdScaleSFR, unit: kpc, datatype: float64, description: Exponential scale
#     length for SFR from extinction corrected Ha}
# - {name: rdeScaleSFR, unit: kpc, datatype: float64, description: Error in exponential
#     scale length for SFR from extinction corrected Ha}
# delimiter: ','
Name,rdScaleMol,rdeScaleMol,rdScaleMolHi,rdScaleMolLo,rdNormMol,rdeNormMol,rdScaleSt,rdeScaleSt,rdNormSt,rdeNormSt,rdR50Mol,rdeR50Mol,rdR50St,rdeR50St,rdScaleSFR,rdeScaleSFR
NGC3303,2.46,0.68,3.25,1.72,85.59,1.7,3.13,0.14,1649.68,1.15,2.89,0.09,4.17,0.05,nan,nan
NGC3381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC3687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.13,0.14,nan,nan
NGC3811,14.79,546.35,6.8,-0.99,13.66,8168.88,2.1,0.13,955.02,1.15,3.1,0.04,2.49,0.08,2.96,1.8
NGC3815,1.68,6.98,2.47,1.14,131.01,5382.37,1.36,0.05,2197.35,1.13,2.61,0.17,2.33,0.13,1.39,0.14
NGC3994,1.31,1.03,1.8,0.89,207.14,8.64,1.31,0.08,2138.93,1.22,1.8,0.16,1.7,0.12,0.73,1.6
NGC4047,1.57,2.42,1.77,1.39,403.78,31.5,2.11,0.04,1994.66,1.06,2.27,0.16,3.1,0.08,1.05,0.13
NGC4149,nan,nan,nan,nan,nan,nan,1.55,1.01,1430.3,4.37,nan,nan,2.1,0.12,1.05,0.27
NGC4185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.76,0.06,nan,nan
NGC4210,nan,nan,nan,nan,nan,nan,2.5,0.11,554.38,1.08,nan,nan,3.18,0.1,11.13,84.25
NGC4211NED02,nan,nan,nan,nan,nan,nan,1.1,1.07,2172.73,22.88,nan,nan,1.67,0.15,nan,nan
NGC4470,nan,nan,nan,nan,nan,nan,1.62,0.4,661.07,2.0,nan,nan,2.23,0.15,0.58,0.54
NGC4644,7.18,2.3,11.25,4.52,12.75,1.24,2.64,0.18,848.3,1.18,5.69,0.07,4.28,0.07,5.26,0.8
NGC4676A,0.85,0.65,1.04,0.64,2702.8,17.45,2.04,0.09,2756.58,1.11,1.76,0.18,3.49,0.08,1.19,1.84
NGC4711,5.59,5.41,9.86,2.96,20.44,2.1,3.01,0.11,521.39,1.07,4.11,0.12,3.75,0.08,3.13,0.68
NGC4961,nan,nan,nan,nan,nan,nan,0.99,13.92,904.69,2.55213e+15,nan,nan,1.58,0.17,1.83,0.98
NGC5000,nan,nan,nan,nan,nan,nan,2.95,0.1,1178.0,1.09,nan,nan,4.47,0.06,6.0,55.08
NGC5016,nan,nan,nan,nan,nan,nan,1.6,7.19,1240.0,307694.0,nan,nan,2.19,0.12,1.76,0.82
NGC5056,4.37,0.38,6.06,2.86,32.24,1.16,2.96,0.08,740.99,1.07,4.78,0.05,4.21,0.06,4.68,0.59
NGC5205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC5218,3.84,8.18,4.66,3.34,71.91,4.13,1.37,5.85,3425.47,1264720.0,1.2,0.16,2.13,0.13,2.77,1.04
NGC5394,1.6,0.18,1.9,1.37,281.12,1.34,1.95,0.17,731.41,1.26,2.08,0.11,2.47,0.09,1.63,0.13
NGC5406,11.99,32.94,-32.04,7.29,20.58,7.12,4.31,0.33,1108.39,1.18,9.11,0.07,5.56,0.04,-2.33,0.82
NGC5480,nan,nan,nan,nan,nan,nan,3.88,243.65,217.77,4.11102e+17,nan,nan,2.03,0.15,1.58,1.03
NGC5485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.93,0.13,nan,nan
NGC5520,nan,nan,nan,nan,nan,nan,1.2,1.78,680.77,61.42,nan,nan,1.35,0.18,2.04,19.88
NGC5614,1.04,0.5,1.17,0.96,1776.3,5.78,2.31,0.21,3379.35,1.23,2.26,0.16,2.8,0.08,3.04,1.04
NGC5633,nan,nan,nan,nan,nan,nan,1.09,7.71,3099.2,6173170000.0,nan,nan,1.86,0.17,nan,nan
NGC5657,nan,nan,nan,nan,nan,nan,2.17,0.14,737.86,1.21,nan,nan,2.95,0.08,2.31,0.19
NGC5682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.08,0.18,nan,nan
NGC5732,nan,nan,nan,nan,nan,nan,2.09,0.17,371.85,1.16,nan,nan,2.8,0.09,1.69,11.12
NGC5784,1.97,12.87,2.53,1.47,123.36,101622.0,2.96,0.21,2455.3,1.22,2.54,0.15,3.71,0.05,1.11,0.28
NGC5876,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.2,0.06,nan,nan
NGC5908,3.25,0.28,3.7,2.74,197.27,1.21,3.21,0.07,2001.17,1.04,4.96,0.07,3.83,0.08,2.32,0.24
NGC5930,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC5934,1.5,0.25,1.75,1.25,572.25,1.47,1.78,0.35,4480.5,1.75,2.36,0.14,3.24,0.1,1.63,0.26
NGC5947,6.64,4.1,8.57,2.74,17.28,1.48,2.79,0.16,822.45,1.18,3.48,0.12,2.83,0.08,7.5,0.8
NGC5953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC5980,2.6,0.16,3.17,1.96,137.77,1.14,2.37,0.05,2103.56,1.05,3.87,0.08,3.68,0.07,1.87,0.3
NGC6004,-5.23,13.89,9.87,-3.01,8.77,8.48,4.22,0.28,560.72,1.09,3.01,0.14,4.37,0.07,4.01,15.28
NGC6021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.95,0.11,nan,nan
NGC6027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.71,0.05,nan,nan
NGC6060,6.09,1.58,7.8,4.25,35.02,1.39,3.9,0.21,1080.46,1.11,6.75,0.05,5.24,0.05,5.31,1.07
NGC6063,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.26,0.1,nan,nan
NGC6081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6,0.07,nan,nan
NGC6125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.52,0.06,nan,nan
NGC6146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.27,0.04,nan,nan
