#        20508.015 KKM/S*PIX +/- 389.35 (formal) +/- 3893.62 (cons)
# VELO-LSR,Flux(K*PIX),FormErr,ConsErr
2980.000000000000,0.00000,0.000000000000000,29.36271105332865
3000.000000000000,0.00000,0.000000000000000,29.36302211838086
3020.000000000000,0.00000,0.000000000000000,29.36333678663155
3040.000000000000,0.00000,0.000000000000000,29.36364604182728
3060.000000000000,0.00000,0.000000000000000,29.36395349055713
3080.000000000000,0.00000,0.000000000000000,29.36107001792393
3100.000000000000,0.00000,0.000000000000000,29.36137929699490
3120.000000000000,0.00000,0.000000000000000,29.35848925912964
3140.000000000000,0.00000,0.000000000000000,29.35240166519171
3160.000000000000,0.00000,0.000000000000000,29.35271283949755
3180.000000000000,0.00000,0.000000000000000,29.35302220662420
3200.000000000000,0.00000,0.000000000000000,29.35332255118175
3220.000000000000,0.00000,0.000000000000000,29.35362830419629
3240.000000000000,-0.714889,3.261485677821765,29.35393495593826
3260.000000000000,46.9225,4.130716421337555,29.35423168354479
3280.000000000000,81.3088,4.711983787605579,29.35452299678771
3300.000000000000,73.8373,4.660030466699718,29.35482512975960
3320.000000000000,61.7931,4.602937560769380,29.35192181892690
3340.000000000000,50.0982,4.309630518722367,29.35223390028423
3360.000000000000,55.6072,4.569031204927126,29.35252884117618
3380.000000000000,57.3691,4.678955073880603,29.35284091607961
3400.000000000000,49.4811,4.626384640612888,29.34994191914223
3420.000000000000,55.2381,4.580873138195044,29.35023688306633
3440.000000000000,63.5931,4.539682423103286,29.34733672678169
3460.000000000000,57.9409,4.807653256866844,29.34764975900199
3480.000000000000,76.3232,4.914402996551151,29.34475476019707
3500.000000000000,81.5446,5.184212301399848,29.34505609155642
3520.000000000000,96.9971,5.343547415671637,29.34216264139944
3540.000000000000,95.2881,5.184049200803448,29.34247302202473
3560.000000000000,25.7761,4.511552168518841,29.34277888809182
3580.000000000000,-3.00267,3.452357114730676,29.34309016444421
3600.000000000000,0.00000,0.000000000000000,29.34020464142218
3620.000000000000,0.00000,0.000000000000000,29.34050962881161
3640.000000000000,0.00000,0.000000000000000,29.34081822229253
3660.000000000000,0.00000,0.000000000000000,29.34112951944536
3680.000000000000,0.00000,0.000000000000000,29.34143630181401
3700.000000000000,0.00000,0.000000000000000,29.33854610420435
3720.000000000000,0.00000,0.000000000000000,29.33885832784095
3740.000000000000,0.00000,0.000000000000000,29.33916874342275
3760.000000000000,0.00000,0.000000000000000,29.33947825336373
3780.000000000000,0.00000,0.000000000000000,29.33978685769258
3800.000000000000,0.00000,0.000000000000000,29.34010087280058
3820.000000000000,0.00000,0.000000000000000,29.34040766592472
3840.000000000000,0.00000,0.000000000000000,29.34071716279654
