#        18191.517 KKM/S*PIX +/- 625.72 (formal) +/- 3893.62 (cons)
# VELO-LSR,Flux(K*PIX),FormErr,ConsErr
2980.000000000000,0.00000,0.000000000000000,29.36271105332865
3000.000000000000,0.00000,0.000000000000000,29.36302211838086
3020.000000000000,0.00000,0.000000000000000,29.36333678663155
3040.000000000000,0.00000,0.000000000000000,29.36364604182728
3060.000000000000,0.00000,0.000000000000000,29.36395349055713
3080.000000000000,0.00000,0.000000000000000,29.36107001792393
3100.000000000000,0.00000,0.000000000000000,29.36137929699490
3120.000000000000,0.00000,0.000000000000000,29.35848925912964
3140.000000000000,0.00000,0.000000000000000,29.35240166519171
3160.000000000000,0.00000,0.000000000000000,29.35271283949755
3180.000000000000,0.00000,0.000000000000000,29.35302220662420
3200.000000000000,-0.642015,2.965168651059308,29.35332255118175
3220.000000000000,-2.26429,5.939939722354810,29.35362830419629
3240.000000000000,0.738093,6.630807290364089,29.35393495593826
3260.000000000000,45.8126,6.815831758871277,29.35423168354479
3280.000000000000,78.2240,6.935099297831746,29.35452299678771
3300.000000000000,64.0553,6.905286233792211,29.35482512975960
3320.000000000000,52.9632,6.912027139259680,29.35192181892690
3340.000000000000,41.5001,6.893991941502231,29.35223390028423
3360.000000000000,43.6999,6.663106986067799,29.35252884117618
3380.000000000000,52.6980,6.597766670932566,29.35284091607961
3400.000000000000,40.4516,6.885470915043541,29.34994191914223
3420.000000000000,45.8692,7.725111286428255,29.35023688306633
3440.000000000000,54.0929,7.698153863813993,29.34733672678169
3460.000000000000,55.5961,7.745220139789223,29.34764975900199
3480.000000000000,66.2621,7.695231799255512,29.34475476019707
3500.000000000000,70.9674,7.925330695730270,29.34505609155642
3520.000000000000,86.4518,7.379173215524119,29.34216264139944
3540.000000000000,85.2347,7.053266963138814,29.34247302202473
3560.000000000000,30.2937,6.847785020016510,29.34277888809182
3580.000000000000,-2.35034,6.296321889023242,29.34309016444421
3600.000000000000,-0.0779649,5.119826019287867,29.34020464142218
3620.000000000000,0.00000,0.000000000000000,29.34050962881161
3640.000000000000,0.00000,0.000000000000000,29.34081822229253
3660.000000000000,0.00000,0.000000000000000,29.34112951944536
3680.000000000000,0.00000,0.000000000000000,29.34143630181401
3700.000000000000,0.00000,0.000000000000000,29.33854610420435
3720.000000000000,0.00000,0.000000000000000,29.33885832784095
3740.000000000000,0.00000,0.000000000000000,29.33916874342275
3760.000000000000,0.00000,0.000000000000000,29.33947825336373
3780.000000000000,0.00000,0.000000000000000,29.33978685769258
3800.000000000000,0.00000,0.000000000000000,29.34010087280058
3820.000000000000,0.00000,0.000000000000000,29.34040766592472
3840.000000000000,0.00000,0.000000000000000,29.34071716279654
