Name: standard EDGE-CALIFA galaxy name
rfVsys: CO relativistic helocentric vsys (km/s); see VsysFlag for how this was derived 
rfVsysFlag: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA
rfLSRK2helio: conversion from LSRK velocity to heliocentric velocity (km/s); V(helio)=V(LSRK)-LSRK2helio
rfRflat: the radius (arcsec) at which the rotation curve flattens from the Lelli+16 algorithm
rfVrotMaxL: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016 algorithm
rfeVrotMaxL: the error in rfVrotMaxL from the Lelli+2016 algorithm
rfVrotMaxLFlag: 0 = either rfeVrotMaxL\rfVrotMaxL > 10% rfeVrotMaxL>rfVrotMaxL rfeVrotMaxL=0 so rfRflat rfVrotMaxL and rfeVrotMaxL values are unreliable; 1 = rfRflat rfVrotMaxL and rfeVrotMaxL values are reliable
rfVrotMax: the maximum CO rotation velocity (relativistic km/s) using median Vrot at radii larger than 12 arcsec as used in Levy+18
rfeVrotMax: the error in rfVrotMax using standard deviation of Vrot at radii larger than 12 arcsec as used in Levy+18
rfPA: position angle (degrees) ranging from 0-365 degrees defined counterclockwise from North to approaching side of major axis; see PAFlag for how this was derived
rfPAFlag: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfInc: inclination (degrees); see IncFlag for how this was derived
rfIncFlag: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfKinXoff: offset of CO kinematic center from ledaRA (arcsec); RA=ledaRA-xoff
rfKinYoff: offset of CO kinematic center from ledaDec (arcsec); Dec=ledaDE-yoff
rfKinRA: RA of kinematic center including rfKinXoff (J2000 hours); rfKinRA=ledaRA-rfKinXoff
rfKinDecl: Decl of kinematic center including rfKinYoff (J2000 degrees); rfKinDecl=ledaDE-rfKinYoff

Name, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
NGC2906,2133.0,0,-1.88,10.0,178.9,10.8,1,180.6,5.2,262.0,0,55.7,2,0.00,0.00,9.53507000,8.44159000
NGC2916,3620.0,0,0.02,15.0,215.6,20.3,1,221.2,12.8,199.9,2,49.9,2,0.00,0.00,9.58266390,21.70523820
NGC2918,6569.0,1,1.47,NaN,NaN,NaN,0,NaN,NaN,75.1,2,46.1,2,0.00,0.00,9.59556900,31.70547260
NGC3303,6040.0,1,-0.74,2.9,3.6,9.7,0,-8.9,32.7,159.6,2,60.5,2,0.00,0.00,10.61669140,18.13569090
NGC3381,1625.0,1,1.65,NaN,NaN,NaN,0,NaN,NaN,333.1,0,30.8,2,0.00,0.00,10.80689370,34.71139840
NGC3687,2497.0,1,0.75,NaN,NaN,NaN,0,NaN,NaN,326.0,0,19.6,2,0.00,0.00,11.46682650,29.51096710
NGC3811,3073.0,0,3.32,15.0,181.1,13.3,1,179.3,7.3,351.5,2,39.9,2,-2.60,0.10,11.68800495,47.69081272
NGC3815,3686.0,0,-0.00,12.5,185.8,9.5,1,185.8,5.2,67.8,2,59.9,2,3.00,0.10,11.69418794,24.80039362
NGC3994,3097.0,0,1.05,9.1,218.3,12.1,1,220.1,0.0,188.1,2,59.5,2,2.40,1.60,11.96018446,32.27688956
NGC4047,3419.0,0,3.39,15.0,212.8,11.4,1,216.3,2.2,104.0,0,42.1,2,0.50,0.00,12.04739554,48.63622460
NGC4149,3050.0,0,4.65,10.2,231.4,10.9,1,239.6,0.0,85.0,0,66.2,2,-0.50,-0.90,12.17580776,58.30430850
NGC4185,3874.0,0,0.44,NaN,0.0,229.6,0,-549.6,1032.7,344.4,2,48.2,2,0.00,0.00,12.22283910,28.51096890
NGC4210,2714.0,0,5.56,22.2,175.2,11.9,1,177.7,9.9,277.7,2,40.9,2,0.00,0.00,12.25440120,65.98537660
NGC4211NED02,6605.0,0,0.38,NaN,NaN,NaN,0,NaN,NaN,25.0,0,30.0,0,0.00,0.00,12.26036740,28.16963400
NGC4470,2338.0,0,-2.69,14.7,55.4,13.0,0,55.4,4.5,349.5,0,47.5,2,0.00,0.00,12.49382650,7.82390140
NGC4644,4915.0,0,4.17,14.8,186.1,9.9,1,186.1,5.8,57.0,2,72.9,2,-3.20,-0.10,12.71190936,55.14551788
NGC4676A,6541.0,0,0.65,NaN,NaN,NaN,0,NaN,NaN,185.3,0,50.0,0,-2.10,-0.80,12.76950539,30.73228202
NGC4711,4044.0,1,1.34,15.8,148.1,7.9,1,142.8,10.5,220.0,0,58.3,2,3.00,0.60,12.81268294,35.33254833
NGC4961,2521.0,0,0.13,8.5,105.2,7.1,1,NaN,NaN,100.0,0,46.6,2,-2.20,0.40,13.09659524,27.73376169
NGC5000,5557.0,0,0.29,17.6,111.2,28.3,0,176.0,75.5,31.3,0,20.0,0,0.00,0.00,13.16319310,28.90684290
NGC5016,2588.0,0,-0.44,14.7,178.4,9.3,1,178.4,0.8,57.4,2,39.9,2,-0.10,-0.60,13.20186155,24.09515637
NGC5056,5544.0,0,0.58,12.6,175.6,10.6,1,176.5,2.0,178.0,0,61.4,3,-1.00,1.00,13.27010812,30.94996632
NGC5205,1762.0,0,5.01,NaN,NaN,NaN,0,NaN,NaN,169.0,2,49.8,2,0.00,0.00,13.50100740,62.51152340
NGC5218,2888.0,0,5.04,14.2,235.4,15.8,1,235.4,14.0,236.4,0,30.1,2,0.00,0.00,13.53620250,62.76777880
NGC5394,3431.0,0,1.42,14.5,32.7,8.8,0,32.7,26.2,189.3,0,70.2,2,0.00,0.00,13.97601170,37.45349630
NGC5406,5350.0,0,1.64,27.5,255.1,13.9,1,291.5,23.2,111.4,2,45.0,2,0.00,0.00,14.00558750,38.91542930
