  14 4323  0 30   9.5  0.9  38.4  0.7 23.8  1.6  36.2  1.5 13.2  2.9 28.9  1.1  26.7  1.7   2.2  1.6
  17 5402  4  5 148.8  0.5  87.7 15.3 26.1 13.1  96.6 22.5 36.7 18.4 61.1 15.3  52.2 22.5   8.9 27.2
  22 4552  8 25  87.5  0.5  79.0  1.4  7.4  1.4  79.1  4.4 22.6  2.4  8.5  1.5   8.4  4.5   0.1  4.7
  26 4185  0 25 164.0  0.2 173.6  1.0  5.7  0.7   1.8  1.8 12.1  1.4  9.6  1.1  17.8  1.8   8.2  2.1
  39 4811  1 27 160.2  0.3 158.4  2.0 10.1  2.2 159.4  1.7  5.8  1.1  1.8  2.0   0.8  1.7   1.0  2.6
  42 5860  8 15 115.5  1.3 133.1  3.3 12.3  3.5 144.1  3.7 11.1  2.8 17.6  3.5  28.6  3.9  11.0  5.0
  44 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 119 4906  8 10  70.3  1.2  85.8  4.9 15.7  6.1  82.9 11.9 35.8 12.6 15.5  5.0  12.6 12.0   2.9 12.9
 127 6564  3 17  35.6  2.3  52.0 12.0 35.4 11.8  39.0  6.4 60.3 10.0 16.4 12.2   3.4  6.8  13.0 13.6
 155 4689  9 22 109.2  0.8  80.3  3.3  9.8  2.3  76.4  3.2 19.7  3.4 28.9  3.4  32.8  3.3   3.9  4.6
 156 4883  8 25 127.7  0.2 133.3  1.8  7.2  1.4 133.5  2.1  7.2  1.2  5.6  1.8   5.8  2.1   0.2  2.8
 165 5162  3 22  23.4  0.8  30.6  1.0  4.1  0.6  32.3  0.8  3.8  0.5  7.2  1.3   8.9  1.2   1.7  1.3
 186 4266  1 20 149.0  0.6 149.8  1.3 11.1  3.4 148.2  1.0  4.9  1.0  0.8  1.4   0.9  1.2   1.7  1.7
 213 5528 10  7  81.3  1.6  83.1  5.9 15.6  7.3 115.1 11.4 20.7  9.0  1.9  6.1  33.8 11.5  32.0 12.9
 274 2062  1 12 169.8  0.7  12.0  7.0 16.8  4.2  11.3  3.4 10.3  4.5 22.2  7.0  21.5  3.5   0.7  4.7
 311 6173  3 20 132.2  2.4 153.7  8.1 40.2  5.0 132.8  5.4 27.2  5.3 21.5  8.5   0.6  5.9  20.9  9.8
 314 6279  3 20  59.4  0.8  66.6  2.0  7.4  1.9  67.1  2.4  9.9  2.3  7.2  2.1   7.7  2.5   0.5  3.1
 340 6143  4 12 153.2  0.8  18.2  8.8 41.7 14.1  21.1 19.0 55.8 13.3 45.0  8.8  47.9 19.0   2.9 20.9
 360 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 475 3165  1 22  31.1  0.5  40.5  3.0 12.6  2.0  56.0  5.6 25.3  2.5  9.4  3.0  24.9  5.6  15.5  6.4
 479 6589 10 22 146.0  0.4 163.4  2.3 36.4  9.8 158.2  5.0 31.4  3.9 17.4  2.3  12.2  5.0   5.2  5.5
 486 3077  1 18  14.0  1.0   9.9  2.6 12.6  3.0  13.5  3.1 15.1  2.2  4.0  2.8   0.4  3.2   3.6  4.0
 520 6627  0  7 170.0  0.0  44.5  4.0 12.3  6.2  37.4 10.5 17.8  5.1 54.5  4.0  47.4 10.5   7.1 11.2
 577 6588  1 10   2.8  0.9  32.0  2.7  8.1  1.2  24.1  3.3 24.8  4.2 29.2  2.9  21.3  3.4   7.9  4.3
 589 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 593 8291  0 20  48.0  0.8  52.8  0.6  6.8  0.9  51.2  0.9  8.5  0.5  4.7  1.0   3.1  1.2   1.6  1.1
 633 2920  9 12  88.8  2.3  22.5 11.5 24.1  4.4  63.8  6.5 38.5 12.4 66.2 11.7  25.0  6.9  41.3 13.2
 634 2876  4 20  91.3  0.7  60.3  1.8  8.1  2.2  55.1  2.5 12.6  2.1 31.0  1.9  36.3  2.6   5.3  3.1
 663 6937  2 20 108.3  0.3 104.5  1.1  4.4  1.0 106.7  1.2  4.1  0.8  3.9  1.2   1.7  1.2   2.2  1.6
 676 2964  3  6  65.6  0.7 107.5  7.4 15.4  7.4  93.3 18.7 31.8 11.7 42.0  7.5  27.7 18.8  14.3 20.2
 680 3438  1 20  29.5  1.3  24.0  9.4 37.6  6.2  19.8 15.5 42.5  6.8  5.5  9.5   9.7 15.5   4.2 18.1
 740 3852  2 20   2.2  2.7  74.5  5.6 36.8 10.3  81.0  6.6 30.1  3.7 72.3  6.2  78.8  7.1   6.5  8.6
 746 3388 12 10  26.6  0.3 126.2  4.6 19.6  8.5 125.7  4.6 14.3  5.2 80.4  4.7  80.9  4.6   0.5  6.5
 758 2281  0 20 120.1  0.4 142.9  1.2  8.0  1.3 129.0  1.1  6.0  1.9 22.8  1.2   8.9  1.2  13.9  1.6
 766 2518  5 28  88.2  2.5  84.1  3.1 22.1  5.3  82.8 10.1  3.6  5.3  4.1  3.9   5.3 10.3   1.4 10.4
 767 2531  0 25 115.2  0.3 109.4  1.3  9.6  1.5 111.4  1.2  6.9  1.9  5.8  1.3   3.8  1.2   2.0  1.8
 769 3246  0 20 101.9  1.0 128.3  2.5 13.8  3.2 129.5  3.4 10.8  1.4 26.4  2.7  27.7  3.5   1.3  4.2
 770 5505  2 12  30.6  0.6 145.4  3.1 33.0  9.5  90.7  6.2 20.2  4.0 65.2  3.2  60.1  6.2  54.7  6.9
 778 5500  3 15  65.8  0.8  70.9  1.7  7.1  1.4  74.7  1.7  5.5  1.2  5.1  1.9   8.9  1.8   3.8  2.4
 780 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
