# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: Alias, datatype: string}
# - {name: NEDname, datatype: string}
# - {name: RAstr, datatype: string}
# - {name: DEstr, datatype: string}
# - {name: Type, datatype: string}
# - {name: Vel, datatype: string}
# - {name: z, datatype: float64}
# - {name: Dmaj, datatype: string}
# - {name: Dmin, datatype: string}
# - {name: Vrad, unit: km / s, datatype: float64, format: 7.0f}
# delimiter: ','
# schema: astropy-2.0
Name,Alias,NEDname,RAstr,DEstr,Type,Vel,z,Dmaj,Dmin,Vrad
NGC6962,NGC6962,NGC 6962,20h47m19.06s,+00d19m15.0s,G,4200,0.014011,2.9,2.3,4145.181653197306
NGC6977,NGC6977,NGC 6977,20h52m29.69s,-05d44m46.0s,G,6128,0.020441,1.22,0.90,6009.377280257247
NGC6978,NGC6978,NGC 6978,20h52m35.42s,-05d42m40.2s,G,5968,0.019907,1.77,0.65,5855.454766022259
NGC7047,NGC7047,NGC 7047,21h16m27.63s,-00d49m35.5s,G,5783,0.01929,1.38,0.69,5677.407001769078
NGC7253C,NGC7253,NGC 7253,22h19m28.90s,+29d23m30.0s,GPair,4718,0.015738,,,4648.196047620249
NGC7550,NGC7550,NGC 7550,23h15m16.08s,+18d57m41.0s,G,4961,0.016546,1.4,1.2,4882.950764608747
NGC7631,NGC7631,NGC 7631,23h21m26.69s,+08d13m03.4s,G,3756,0.012529,1.8,0.7,3712.1581723124386
NGC7653,NGC7653,NGC 7653,23h24m49.36s,+15d16m32.1s,G,4257,0.0142,1.59,1.19,4200.314246694882
NGC7722,NGC7722,NGC 7722,23h38m41.22s,+15d57m17.2s,G,4003,0.013353,1.69,1.19,3953.0780067685123
NGC7782,NGC7782,NGC 7782,23h53m53.89s,+07d58m14.3s,G,5355,0.017861,2.4,1.3,5264.210838700912
NGC7803,NGC7803,NGC 7803,00h01m19.96s,+13d06m40.4s,G,5326,0.017766,1.0,0.6,5236.700374209992
NGC7824,NGC7824,NGC 7824,00h05m06.24s,+06d55m12.6s,G,6137,0.020471,1.6,1.2,6018.01983001625
SN2000cn,UGC11064,UGC 11064,17h57m41.08s,+27d50m05.4s,G,7043,0.023493,1.9,1.9,6886.014859682194
SN2005W,NGC691,NGC 0691,01h50m41.71s,+21d45m36.2s,G,2666,0.008893,3.5,2.6,2644.3673610218975
SN2005bl,NGC4070,NGC 4070,12h04m11.30s,+20d24m35.6s,G,7170,0.023917,1.0,1.0,7007.388270638723
SN2007N,MCG-01-33-012,MCG -01-33-012,12h49m01.54s,-09d27m24.9s,G,3861,0.012879,1.5,0.7,3814.5385478222474
SN2014aa,NGC3861,NGC 3861,11h45m03.88s,+19d58m25.2s,G,5085,0.016962,2.53,0.99,5003.6690104204545
