  14 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 796 5584  7 15   2.0  0.6 170.7  3.3  9.5  2.7 179.6  3.0  9.0  3.9 11.3  3.4   2.4  3.0   8.9  4.5
 797 5577  2 15 121.4  0.4 130.6  3.7 11.5  2.9 125.9  6.9 19.2  4.5  9.2  3.7   4.5  6.9   4.7  7.8
 801 2010  1 11  31.2  1.6  63.1  9.6 32.5 18.0  55.7 17.1 58.2 18.0 31.8  9.7  24.4 17.2   7.4 19.6
 802 5433  2 11 178.2  2.5  34.2 11.9 37.1  9.0  38.9 19.1 35.7 11.3 36.0 12.2  40.7 19.2   4.7 22.5
 803 1823  0 27  96.6  0.9  34.2  4.7 29.4  5.2  62.1 18.6 65.6 40.9 62.4  4.8  34.5 18.6  27.9 19.2
 806 4483  1 12  92.1  0.3  89.3  3.9 17.8  7.5  85.8  6.4 21.1  6.5  2.8  3.9   6.3  6.4   3.5  7.5
 807 5549  1 20 154.5  0.6 151.9  3.0 17.9  3.7 151.5  3.4 14.9  2.5  2.6  3.0   3.0  3.5   0.4  4.5
 816 4762  2 12 149.9  0.5 146.4  3.1 10.0  2.7 144.1  6.6 17.5  5.4  3.5  3.2   5.7  6.6   2.2  7.3
 822 6499  2 15 132.4  1.6 141.9  6.1 30.2  5.7 127.0  6.7 23.0  5.2  9.4  6.3   5.5  6.9  14.9  9.0
 828 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 832 8699  5 25  74.5  0.5  72.6  3.9 16.3  2.9  70.4  4.5 15.6  2.1  1.9  4.0   4.1  4.6   2.2  6.0
 833 5931  1 20 135.6  0.9  21.2  3.0 16.8  4.2  11.4  7.7 23.5  5.1 65.6  3.1  55.8  7.7   9.8  8.2
 843 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 844 2837  3 25 125.6  0.3 128.5  2.3  9.9  1.4 128.7  2.0  9.3  1.5  2.9  2.4   3.1  2.0   0.2  3.1
 846 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 850 6551  1 20 173.1  0.7 173.8  3.5 19.8  3.4 174.4  2.5 11.8  3.7  0.7  3.5   1.3  2.6   0.6  4.3
 852 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 858 7651  6 12 177.9  0.6 171.2  3.3 10.1  3.2   2.0  2.2  8.0  4.6  6.6  3.3   4.1  2.3  10.7  4.0
 860 3253  1 25  35.9  0.3  37.5  1.3  7.2  1.2  34.2  1.3  5.9  1.3  1.7  1.4   1.7  1.4   3.3  1.9
 871 5923  6 20 128.4  0.4 129.0  2.3 10.1  2.4 125.0  2.8  9.5  1.8  0.6  2.3   3.4  2.8   4.0  3.6
 873 7674  7 10  15.2  1.4  76.6  8.3 16.4  4.3  80.6  6.7 16.9  6.5 61.3  8.4  65.3  6.8   4.0 10.7
 874 4920  6 25  49.0  0.7  45.4  1.7 14.5  3.0  39.7  3.4 14.5  2.2  3.6  1.9   9.3  3.5   5.7  3.8
 877 6294  9 13  38.5  0.6  32.1  4.6 17.5  3.2  38.4  3.7  8.7  2.5  6.5  4.7   0.2  3.7   6.3  5.9
 882 7786  2 13 149.7  3.8  40.2  4.3 16.6  2.7  56.4  2.9  9.9  3.0 70.5  5.7  86.7  4.8  16.2  5.2
 883 ---     --        ---        ---       ---        ---       ---       ---*       ---*       ---*
 892 4910  4 15  70.6  0.5  69.4  5.1 13.3  2.7  71.2  3.1  7.5  2.3  1.3  5.1   0.6  3.1   1.9  5.9
 900 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 901 4651  3 15 139.4  1.3  15.5  3.7 14.3  3.4 172.0  4.7 19.4  5.1 56.1  3.9  32.6  4.9  23.5  6.0
 903 3579  0 25  81.0  0.3  92.1  2.7 27.7  5.0  79.8  7.1 30.6  6.2 11.1  2.7   1.2  7.1  12.3  7.6
 905 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 907 3476  2 15  19.4  0.6  23.2  5.7 23.6  7.5  23.1  6.3 27.2  7.3  3.8  5.8   3.7  6.3   0.1  8.5
 913 1632  3 23  27.8  1.2  33.4  5.2 20.9  4.0  38.9  6.8 28.6  4.8  5.6  5.3  11.1  6.9   5.5  8.6
 915 4227  3 20 160.3  3.2 169.3  5.5 22.7  4.2 174.1  4.3 17.5  5.1  9.0  6.3  13.8  5.3   4.8  6.9
 916 3856  6 20 134.7  0.2 133.9  2.6  9.9  1.9 134.3  2.5 10.0  1.8  0.9  2.6   0.4  2.5   0.4  3.6
 922 5222  2 15  91.7  0.7  93.1  5.1 27.6 10.0  90.9  6.6 24.0  7.4  1.4  5.1   0.8  6.7   2.2  8.3
 923 4065  3  7  93.2  0.7 108.0 14.6 30.4 15.6 107.1 13.4 27.3 12.2 14.8 14.6  14.0 13.5   0.9 19.8
 925 4018  8 15 129.4 11.7 139.3  4.6 15.5  3.3 147.2  5.8 15.1  2.7  9.9 12.6  17.7 13.1   7.8  7.4
 927 6704  2 15  43.2  0.7  74.8  4.1 14.3  2.8  67.6  5.3 19.3  3.8 31.5  4.2  24.3  5.3   7.2  6.7
 932 7747  5 15 103.9  0.2 105.2  2.6  8.2  3.0 106.8  2.1  6.3  1.7  1.3  2.6   2.8  2.1   1.5  3.3
 935 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
 939 6483  3 10  33.2  0.8 164.7  9.4 25.5  5.5 150.6  6.3 16.0  5.0 48.5  9.5  62.5  6.4  14.0 11.4
1014 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
1017 5428  2 10 127.1  8.9 121.4  7.0 21.2  6.7 121.1  7.4 20.7  8.6  5.7 11.3   6.0 11.6   0.3 10.2
1022 4559  7  5  10.0  0.0  38.3  8.8 16.6  6.3  19.6 13.4 12.8  7.9 28.3  8.8   9.6 13.4  18.7 16.0
1026 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
1042 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
1044 4067  3 15 169.9  1.2 136.7  5.4 16.2  3.5 137.3  5.5 18.3  4.1 33.2  5.5  32.6  5.6   0.6  7.7
