# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=239.76149999999996
#     deg DEC=51.3046 deg PA=234.6 INC=70.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 53.7583 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=34.6833 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.2 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 0 times ../UGC10123.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.261,0.029,3,3,39.992,5.752787,119.975,119.97547,29.696,8149543.0,58.815,35043036.0
3.0,0.782,0.086,13,13,36.518,10.836457,474.732,594.7077,14.280,40396556.0,53.706,173705200.0
5.0,1.303,0.144,24,24,34.497,13.751433,827.920,1422.6279,10.403,96634480.0,50.734,415528300.0
7.0,1.824,0.202,30,30,30.529,14.874921,915.859,2338.487,9.099,158845810.0,44.898,683037000.0
9.0,2.346,0.259,39,39,27.723,14.067008,1081.185,3419.672,7.622,232287180.0,40.771,998834940.0
11.0,2.867,0.317,48,48,23.853,13.959198,1144.950,4564.6226,6.842,310059940.0,35.080,1333257700.0
13.0,3.388,0.375,56,56,21.752,15.557666,1218.089,5782.7114,6.178,392800740.0,31.990,1689043200.0
15.0,3.909,0.432,61,61,16.269,13.935836,992.393,6775.104,5.808,460210750.0,23.926,1978906400.0
17.0,4.431,0.490,76,76,12.253,11.617561,931.236,7706.3403,5.091,523466600.0,18.020,2250906400.0
19.0,4.952,0.548,80,80,9.571,9.8013935,765.716,8472.057,4.899,575479230.0,14.077,2474560800.0
21.0,5.473,0.605,90,90,6.598,7.677524,593.829,9065.886,4.544,615816060.0,9.704,2648009200.0
23.0,5.994,0.663,96,96,3.652,6.1662917,350.570,9416.456,4.356,639629200.0,5.371,2750405600.0
25.0,6.516,0.721,108,108,2.210,4.5283704,238.709,9655.165,4.050,655843900.0,3.251,2820129000.0
27.0,7.037,0.778,117,117,1.290,3.895166,150.964,9806.129,3.890,666098370.0,1.898,2864223200.0
29.0,7.558,0.836,124,116,1.000,3.3613448,123.988,9930.117,3.798,674520500.0,1.471,2900438300.0
31.0,8.079,0.894,134,112,0.802,2.7773187,107.513,10037.63,3.686,681823500.0,1.180,2931841000.0
33.0,8.601,0.951,141,110,1.098,2.901305,154.819,10192.449,3.650,692339840.0,1.615,2977061400.0
35.0,9.122,1.009,156,101,0.603,2.7701283,94.024,10286.473,3.525,698726600.0,0.886,3004524500.0
