Name,ledaRA,ledaDE, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
NGC0528,1.4259932,33.6714722,4638,1,3.46,NaN,NaN,NaN,0,NaN,NaN,57.7,2,61.1,2,-3,1.8,1.425937644,33.6719722
NGC0551,1.4612944,37.1828889,5141,0,3.87,20.9,188.1,14.6,1,176.3,11.1,315,0,64.2,2,0,0,1.4612944,37.1828889
NGC1167,3.0284351,35.2057302,4797,0,3.31,32.5,309.3,98.4,0,309.3,105.1,87.5,0,39.5,2,-6.5,3.5,3.02831473,35.20670242
NGC2253,6.7282806,65.20625,3545,0,6.05,22.1,180.1,10,1,174.2,7.9,300,0,47.4,2,0,0,6.7282806,65.20625
NGC2347,7.2677541,64.7107858,4387,0,5.94,12.5,282,14.8,1,285.6,2,189.1,2,50.2,2,2.5,1.9,7.267800396,64.71131358
NGC2410,7.5839632,32.822139,4642,0,2.05,15,229.7,11.5,1,227.2,5.9,216.6,0,71.6,2,0,0,7.5839632,32.822139
NGC2480,7.952896,23.7797588,2287,0,0.7,NaN,NaN,NaN,0,NaN,NaN,343.1,0,55.4,2,0,0,7.952896,23.7797588
NGC2486,7.965686,25.1607759,4569,1,0.89,NaN,NaN,NaN,0,NaN,NaN,92.9,2,55.6,2,0,0,7.965686,25.1607759
NGC2487,7.9723552,25.1492023,4795,0,0.89,29.1,453.6,48.6,0,281.2,127.6,117.5,0,31.4,2,0,0,7.9723552,25.1492023
NGC2623,8.6399993,25.7540981,5454,0,0.82,15.6,172.4,37.9,0,120.3,68.1,255,0,45.6,2,0,0,8.6399993,25.7540981
NGC2639,8.7272281,50.2054129,3162,0,4.13,19,377,20.1,1,364.6,18.4,314.3,0,49.5,2,-1.4,0.6,8.727202174,50.20557957
NGC2730,9.0377238,16.8382633,3802,0,-0.55,11.6,134.9,10.2,1,140.5,0,260.8,2,27.7,2,0,0,9.0377238,16.8382633
NGC2880,9.4929391,62.4906415,1530,3,5.47,NaN,NaN,NaN,0,NaN,NaN,322.9,2,49.9,2,0,0,9.4929391,62.4906415
NGC2906,9.53507,8.44159,2133,0,-1.88,10,178.9,10.8,1,180.6,5.2,262,0,55.7,2,0,0,9.53507,8.44159
NGC2916,9.5826639,21.7052382,3620,0,0.02,15,215.6,20.3,1,221.2,12.8,199.9,2,49.9,2,0,0,9.5826639,21.7052382
NGC2918,9.595569,31.7054726,6569,1,1.47,NaN,NaN,NaN,0,NaN,NaN,75.1,2,46.1,2,0,0,9.595569,31.7054726
NGC3303,10.6166914,18.1356909,6040,1,-0.74,2.9,3.6,9.7,0,-8.9,32.7,159.6,2,60.5,2,0,0,10.6166914,18.1356909
