# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSS DR7 imaging
# DATE: 2014-09-09
# VERSION: 1.0
# COLAPRV: CJW
# PUBAPRV: None
# COLUMN1: CALIFAID, int, , the ID of the CALIFA galaxy
# COLUMN2: REALNAME, string , Galaxy name
# COLUMN3: DBName, string, , Name in CALIFA database
# COLUMN4: RA, float, degrees, right ascension J2000.0
# COLUMN5: DE, float, degrees, declination J2000.0
# COLUMN6: hubtyp, int, , Hubble type (see accompanying text file)
# COLUMN7: bar, int, Barredness A (0) or AB (1) or B (2)
# COLUMN8: merg, int, , Merging (1) or Isolated (0)
77, NGC0825, NGC0825,32.1347,6.32367,10,0,0
78, NGC0833, NGC0833,32.33685,-10.13309,10,1,1
79, IC0210, IC0210,32.36787,-9.68032,10,1,0
80, NGC0842, NGC0842,32.46162,-7.76248,8,0,0
81, UGC01659, UGC01659,32.48708,16.03259,14,2,0
82, KUG0210-078, KUG0210-078,33.31582,-7.66188,13,2,0
83, UGC01749, UGC01749,34.06009,18.31104,11,1,0
84, NGC0873, NGC0873,34.134879999999995,-11.34848,15,0,0
85, NGC0924, NGC0924,36.69508,20.49749,8,0,0
86, UGC01918, UGC01918,36.88532,25.668770000000002,12,2,0
87, NGC0932, NGC0932,36.977909999999994,20.33249,9,0,0
88, UGC01938, UGC01938,37.092240000000004,23.21463,13,1,0
89, NGC0941, NGC0941,37.11618,-1.15146,15,0,0
90, NGC0938, NGC0938,37.13966,20.2837,3,0,0
91, NGC0955, NGC0955,37.63811,-1.1084100000000001,10,1,0
92, NGC0962, NGC0962,38.16594,28.070009999999996,3,0,0
93, UGC02018, UGC02018,38.167390000000005,0.26006999999999997,9,1,0
94, NGC0976, NGC0976,38.50011,20.97675,13,0,0
95, NGC0991, NGC0991,38.886179999999996,-7.1544300000000005,15,1,0
96, UGC02099, UGC02099,39.304109999999994,21.56758,9,0,0
97, UGC02134, UGC02134,39.71586,27.84729,12,0,0
98, NGC1026, NGC1026,39.82998,6.54404,2,0,0
99, NGC1041, NGC1041,40.105140000000006,-5.44045,8,0,0
100, NGC1056, NGC1056,40.7013,28.57416,10,0,0
101, NGC1060, NGC1060,40.81279,32.42492,3,0,0
102, NGC1070, NGC1070,40.84278,4.96834,12,0,0
103, UGC02222, UGC02222,41.29032,32.9897,9,1,1
104, UGC02229, UGC02229,41.36486,0.91435,9,0,1
105, UGC02239, UGC02239,41.64868,32.44939,11,1,0
106, MCG-01-08-008, MCG-01-08-008,41.778220000000005,-2.97255,12,0,0
107, NGC1094, NGC1094,41.865970000000004,-0.28513,12,1,0
108, NGC1093, NGC1093,42.06723,34.41982,13,2,0
109, UGC02311, UGC02311,42.36646,-0.8729899999999999,13,2,0
110, UGC02319, UGC02319,42.47333,-1.00363,13,0,0
111, MCG-02-08-014, MCG-02-08-014,43.09748,-8.51042,10,0,0
112, NGC1132, NGC1132,43.215990000000005,-1.2747600000000001,6,0,0
113, UGC02367, UGC02367,43.42174,6.265569999999999,11,0,0
114, NGC1142, NGC1142,43.800940000000004,-0.18356,16,0,1
115, UGC02403, UGC02403,43.98857,0.6926100000000001,12,2,0
116, UGC02405, UGC02405,43.98989,6.49478,13,0,0
117, UGC02443, UGC02443,44.5896,-2.04188,15,0,0
118, UGC02465, UGC02465,45.15594,35.16915,8,0,0
119, NGC1167, NGC1167,45.4264,35.20562,8,0,0
120, NGC1194, NGC1194,45.95462,-1.10374,9,0,0
121, NGC1211, NGC1211,46.71843,-0.7944899999999999,9,2,0
122, MCG-01-09-006, MCG-01-09-006,47.20135,-7.040610000000001,13,1,0
123, IC0307, IC0307,48.4384,-0.24145999999999998,11,2,0
