# (1) Name
# (2) QC_flag  0:OK;1:BAD;2:WARNING
# (3) Reason   0:OK,1:partially covered/too large,2:bad quality,3:not good quality,4:too small,5:repeated, 6:Crowded with field stars, 7:Bright single field star, 8:Scale factor is clearly wrong, 9:Wrong convolucion, 10:Integrated and resolved masses do not match, 11:pyPipe3D fitting issues
# (4) multiple 0:single,1:multiple
MCG+08-19-17,0,0,0
MCG+08-36-16,2,3,0
MCG+09-18-064,0,0,0
MCG+09-22-53,0,0,0
MCG+10-17-007,0,0,0
MGC+07-05-39,0,0,0
MGC+08-01-03,2,3,0
MGC+08-10-07,2,3,0
MGC+11-08-25,2,3,0
MGC+11-10-34,0,0,0
Mrk1418,0,0,0
Mrk1423,2,3,0
N0338,1,2,0
N5907f3a,1,1,0
N7814f1a,1,1,0
N7814f2a,1,1,0
N7814f2b,1,1,0
N7814f2c,1,1,0
N7814f3a,1,2,0
N7814f3b,1,2,0
N7814f3c,1,2,0
N7814f3d,1,2,0
N7814f3e,1,2,0
N7814f3g,1,2,0
N7814f3h,1,2,0
N7814f3i,1,2,0
N7814f3j,1,2,0
N891f1a,1,1,0
N891f2a,1,1,0
N891f3a,1,2,0
N891f3b,1,2,0
N891f4a,1,2,0
N891f4b,1,1,0
N891f5a,1,1,0
N891f5b,1,2,0
N891f5c,1,2,0
N891f6a,1,1,0
N891f6b,1,1,0
N891f6c,1,1,0
N891f6d,1,1,0
N891f6e,1,1,0
NCG5457,1,2,0
NCG5917,0,0,0
NGC0001,0,0,0
NGC0014,0,0,0
NGC0023,0,0,0
NGC0036,0,0,0
NGC0155,0,0,0
NGC0160,1,2,0
NGC0165,0,0,0
NGC0169,0,0,1
NGC0171,0,0,0
NGC0177,1,2,0
NGC0180,2,7,0
NGC0192,0,0,0
NGC0197,2,3,0
NGC0214,2,3,0
NGC0216,0,0,0
NGC0217,2,3,0
NGC0234,0,0,0
NGC0237,0,0,0
NGC0257,2,3,0
NGC0309,0,0,0
NGC0364,0,0,0
NGC0384,0,0,0
NGC0426,0,0,0
NGC0429,0,0,0
NGC0444,0,0,0
NGC0447,2,7,0
NGC0472,0,0,0
NGC0477,2,7,0
NGC0495,0,0,0
NGC0496,0,0,0
NGC0499,0,0,0
NGC0504,0,0,0
NGC0507,2,7,0
NGC0508,2,7,0
NGC0515,2,7,0
NGC0517,0,0,0
NGC0523,2,7,0
NGC0528,0,0,0
NGC0529,0,0,0
NGC0548,0,0,0
NGC0551,0,0,0
NGC0570,0,0,0
NGC0647,0,0,0
NGC0660-1,1,1,0
NGC0660-2,1,1,0
NGC0675,0,0,0
NGC0677,1,2,0
NGC0681,2,3,0
NGC0693,0,0,0
NGC0716,1,2,0
NGC0731,0,0,0
NGC0741,0,0,0
NGC0755,2,3,0
NGC0759,1,2,0
NGC0768,0,0,0
NGC0774,0,0,0
NGC0776,0,0,0
NGC0781,1,3,0
NGC0787,1,2,0
NGC0810,0,0,1
NGC0825,0,0,0
NGC0833,0,0,0
NGC0835,0,0,0
NGC0842,2,3,0
NGC0873,0,0,0
NGC0911,1,2,0
NGC0924,2,7,0
