name-obj,redshift,error redshift,u band mag,u band mag error,u band abs mag,u band abs mag error,g band mag,g band mag error,g band abs mag,g band abs mag error,r band mag,r band mag error,r band abs mag,r band abs mag error,i band mag,i band mag error,i band abs mag,i band abs mag error,B band mag,B band mag error,B band abs mag,B band abs mag error,V band mag,V band mag error,V band abs mag,V band abs mag error,R band mag,R band mag error,R band abs mag,R band abs mag error,X centroid,Y centroid,Re (arcsec),error Re (arcsec),mean S/N at Re,sigma S/N at Re,ellipticy,Pa (deg),R50 (arcsec),error R50 (arcsec),R90 (arcsec),error R90 (arcsec),C (R90/R50),error C (R90/R50),SN at Re,error_SN at Re,SN integrated,SN at R50,error_SN at R50,R_50 (kpc),error Re (kpc),B-V (mag),error B-V (mag),B-R (mag),error B-R (mag),log10 Mass/Msun phot.,error Mass phot.,nRe (R_FoV/Re),V-band SB at Re (mag),error V-band SB at Re (mag),V-band SB at R_50 (mag),error V-band SB at R_50 (mag)
11fe,0.0242084890781801,1.58614464359407e-08,15.7289926089568,0.0792980613483386,-19.3402384520349,0.0792980613483671,15.5382225827669,0.0787594551336768,-19.5310084782248,0.0787594551337056,17.8723490764902,0.291497377527526,-17.1968819845015,0.291497377527534,15.6705443310381,0.136660616441002,-19.3986867299536,0.136660616441019,15.5932371489565,0.0813250678842338,-19.4759939120352,0.0813250678842616,15.7944592797954,0.0705197912213909,-19.2747717811963,0.070519791221423,17.5778746299289,0.334196433696899,-17.4913564310628,0.334196433696906,42.4999961853027,33.8276290893555,62.5005313326828,62.5005313326828,-0.249991980180893,0.162619804606845,0.821672867204608,47.3700847810798,42.9302958409618,0.164365119166177,46.8844020368398,1.021496229279,1.09210526315789,0.0279755873439388,0,0,-0.625033362515723,-0.249991980180893,0.162619804606845,25.9403994098842,30.7554970318029,-0.201222130838891,0.107642034634634,-1.98463748097238,0.343949157524918,8.75956092959575,0.260061191336044,0.90844936509355,38.9,,23.0411829111099,0.173115143292835
2MASXJ01331766+1319567,0.00921010757097445,3.07011678278677e-08,16.1455406222085,0.0890079872341621,-16.7690607317947,0.0890079872342601,15.354082304366,0.0708670498923465,-17.5605190496372,0.0708670498924697,14.9254969085411,0.0702861712288829,-17.9891044454621,0.0702861712290071,14.6781482282499,0.0943837433812947,-18.2364531257533,0.0943837433813872,15.5285829629907,0.0743425659924876,-17.3860183910125,0.074342565992605,15.1188891520155,0.0728491560373545,-17.7957122019877,0.0728491560374743,14.880288112381,0.0767435322299067,-18.0343132416222,0.0767435322300204,32.550708770752,31.8580856323242,20.0661522257302,20.0661522257302,17.9147611419404,11.4000843865589,0.972186820431705,82.7412146226739,22.2959524185445,0.0354783089798758,42.9197084056981,0.124152836988436,1.925,0.00863154792233184,17.7379474319882,11.4253629380412,45.664542551184,17.9147611419404,11.4000843865589,3.97991861661149,3.77042894717163,0.409693810975195,0.104085621743362,0.6482948506097,0.106847493454316,9.10810200772622,0.329994581731497,1.72677081818572,22.8276130252537,0.226444623954796,22.832822013896,0.219623527944145
2MASXJ08374557,0.0517105719531075,1.10040001809168e-06,16.4932114656549,0.099844808616434,-20.2571256814014,0.0998448087198343,15.6519333220649,0.0795597294222883,-21.0984038249915,0.0795597295520522,15.7166557293843,0.096635889918752,-21.033681417672,0.0966358900255858,15.9029490879693,0.150123847276916,-20.847388059087,0.150123847345686,15.6511056375501,0.0805076689182318,-21.0992315095062,0.0805076690464679,15.5985052765198,0.0779745826006745,-21.1518318705365,0.0779745827330764,15.7434338932784,0.105422332247117,-21.0069032537779,0.105422332345047,36.8404159545898,33.064094543457,19.5669701414131,19.5669701414131,5.25413827230669,2.67033360387725,0.578725166799823,5.76939755265798,45.7546574094461,0.480232351819723,58.1818483107772,0.331068278138261,1.27160493827161,0.0205822567919738,4.8791440985985,2.93070175246644,15.2023800762686,5.25413827230669,2.67033360387725,33.0576153741585,19.8046924801087,0.0526003610302936,0.112078188272282,-0.0923282557283454,0.132647476007157,9.94086859573347,0.301145637464549,0.852372243791479,22.9355298901858,0.350287119316629,22.3157907247572,0.535266998996624
2MASXJ09591230,0.0332336680767757,2.53044453783672e-07,17.3653614355482,0.138486766584402,-18.4100503048498,0.138486766588486,16.3852495754967,0.0942146174579072,-19.3901621649013,0.0942146174639109,15.8711684856607,0.0957730320854329,-19.9042432547374,0.0957730320913388,15.5720343752209,0.131427017289729,-20.2033773651771,0.131427017294033,16.573742154017,0.104488114158419,-19.2016695863811,0.104488114163833,16.1024267526348,0.0883718166456157,-19.6729849877633,0.0883718166520163,15.8138466847389,0.103860163863149,-19.9615650556591,0.103860163868595,34.0106239318848,32.3005599975586,11.7903691883649,11.7903691883649,6.09556675160143,2.90584877861828,0.584976190299781,-73.6233767473553,7.90821239175612,0.0140420005257056,52.5331251738085,0.0187977531953489,6.64285714285714,0.0141721986127194,3.99480618616913,1.0275923347287,20.1506484632396,6.09556675160143,2.90584877861828,6.59264635571287,7.89191182583673,0.471315401382192,0.136847886273881,0.75989546927806,0.147325149373971,9.98626663736218,0.395662600951288,4.9315822676507,23.9593098878591,0.0451194879220662,23.5683201448701,0.138421944298768
2MASXJ12095669,0.0313990040864252,1.87895454626716e-07,16.7088441881452,0.107749354322014,-18.9279235094806,0.107749354324919,15.3800309391404,0.0678666048077302,-20.2567367584854,0.0678666048123419,14.79693013922,0.0710668367726224,-20.8398375584057,0.0710668367770264,14.5095851370343,0.0897358815939205,-21.1271825605915,0.0897358815974083,15.6463655926267,0.0726100036628496,-19.990402104999,0.0726100036671601,15.0387849258116,0.0686216540443741,-20.5979827718141,0.0686216540489351,14.7425202401677,0.0740119925320635,-20.894247457458,0.0740119925362923,36.0957336425781,33.064094543457,9.60736437579424,9.60736437579424,27.2233787128758,17.1761674315222,0.432680425997104,45.3520259804187,6.21359545066552,0.823471595266142,21.4651479204809,0.0791388122098127,3.45454545454545,0.470558292988094,11.9224222572895,5.98222894564385,42.7490077167419,27.2233787128758,17.1761674315222,4.98508452901436,6.05443968504061,0.607580666815091,0.0999056756931497,0.903845352458973,0.103682147308422,10.5860486994955,0.345797614113137,6.27655924973725,23.5418035517342,0.183511632701888,22.4318466551864,0.298549922697067
2MASXJ15024995+4847010-2,0.0259013482304045,4.28514086735353e-07,17.1384192122729,0.126615411107848,-18.0225560366969,0.126615411120843,16.3618056568845,0.0982659260671262,-18.7991695920854,0.0982659260838701,15.9698644629486,0.0965596635706617,-19.1911107860213,0.0965596635877014,15.7216787799214,0.139485443758824,-19.4392964690485,0.13948544377062,16.5395206346314,0.105870450870546,-18.6214546143385,0.105870450886087,16.1159333585544,0.093024118398559,-19.0450418904155,0.0930241184162463,15.9293336651316,0.106846303701867,-19.2316415838383,0.106846303717267,36.2446708679199,32.9113883972168,11.483907537957,11.483907537957,10.0081631936901,3.35821931543498,0.853485274772721,-61.3300663054574,10.1677016465436,0.185613729346358,39.5410619587806,0.0409220959887655,3.88888888888889,0.0750172745212618,8.6574461186339,2.43823876254422,24.4164691084572,10.0081631936901,3.35821931543498,5.53877346587101,5.87547667369552,0.423587276076976,0.140932746270559,0.610186969499779,0.15041504240695,9.64974260013396,0.39821632978079,3.83567509706166,23.7557553455802,0.130198104400579,23.4678757596275,0.157385468926018
2MASXJ15024995+4847010,0.0259811228857319,2.20766829987474e-07,16.8748473654842,0.1145203131589,-18.2862967318145,0.114520313162713,16.1844161583667,0.0915740752759372,-18.9767279389319,0.0915740752807054,15.8026891868856,0.0937085889018376,-19.3584549104131,0.0937085889064972,15.5910958063719,0.132418692595748,-19.5700482909268,0.132418692599046,16.3498070831685,0.0976659257452834,-18.8113370141301,0.0976659257497542,15.959066639866,0.0820131179974161,-19.2020774574327,0.0820131180027402,15.7703376589818,0.104095577598804,-19.3908064383169,0.104095577602999,36.0957336425781,33.064094543457,11.214864351324,11.214864351324,14.4260229395292,7.56111314334145,0.863380455279857,-88.24036901619,9.03795701914985,0.0482534025258055,37.2815727039931,0.0474039630759009,4.125,0.0272682474559976,7.97947585617635,4.40340716097679,29.3010593665844,14.4260229395292,7.56111314334145,5.18054184734683,5.7373807847882,0.390740443302553,0.127533464531241,0.579469424186748,0.142739351011947,9.66324760488158,0.368486321748262,4.31513448419436,23.6327254128256,0.161254739818146,23.1713142180238,0.216336606543063
2MASXJ15393305+3205382-2,0.0540185009099676,1.97903853957028e-07,17.0304792186875,0.121453369198791,-19.8472520013976,0.121453369201528,15.6258766462307,0.0734698481923211,-21.2518545738544,0.0734698481968464,15.0377078106914,0.0777209823427707,-21.8400234093937,0.0777209823470484,14.7124677327282,0.0958819824050302,-22.1652634873569,0.0958819824084977,15.9393110064025,0.0760943885308643,-20.9384202136826,0.0760943885352335,15.269282923994,0.0722295966791189,-21.608448296091,0.0722295966837218,14.9628359885279,0.0817679715901441,-21.9148952315572,0.0817679715942101,34.9042434692383,33.064094543457,10.8537757372048,10.8537757372048,10.8421222302945,3.42301844203512,0.570579541051035,5.4648713440929,10.7325739602404,0.179105175571259,35.5869557629025,0.0534356861762433,3.31578947368421,0.0603127212927479,10.6467219737479,3.27906598332783,48.2203491479734,10.8421222302945,3.42301844203512,11.5336975665801,11.5984562988175,0.670028082408436,0.104916493471305,0.976475017874623,0.111697614763489,11.104924396228,0.3628270176315,3.6337974603742,23.5727995821971,0.105771886908479,23.5590551912006,0.106002095376421
2MASXJ15393305+3205382,0.0541750716944863,5.26992630576362e-07,16.8965575422511,0.115452553100387,-19.9814962185568,0.115452553120801,15.3646727041385,0.0722772607168239,-21.5133810566694,0.0722772607494317,14.7567460264741,0.0726703598530573,-22.1213077343338,0.0726703598854886,14.4371450404023,0.0877163222157045,-22.4409087204055,0.0877163222425729,15.6871481693074,0.0771919262819131,-21.1909055915004,0.0771919263124448,15.0133581092042,0.0714985465052765,-21.8646956516036,0.0714985465382394,14.6789323186073,0.0750286316807038,-22.1991214422006,0.0750286317121158,34.9042434692383,33.064094543457,10.965720033174,10.965720033174,12.5428220747507,4.63755785899475,0.546234164072907,-1.46750374927866,10.7325739602404,0.0770033007816551,33.8923388218119,0.0151355510651996,3.15789473684211,0.0240672806243835,11.900285631495,4.24843955885873,46.7397430304319,12.5428220747507,4.63755785899475,11.5917880593285,11.716340702275,0.673790060103192,0.105217088134388,1.00821585070013,0.107647057809264,11.2174584930907,0.363456372176852,3.6337974603742,23.405520866572,0.109621815885508,23.3540965903315,0.113073413492162
2MASXJ15570268+3725001,0.0309361146525233,4.54976831725114e-07,17.377177275189,0.13913887609366,-18.1879011759116,0.139138876106861,16.0665289093986,0.0841382066749954,-19.498549541702,0.0841382066968257,15.5054626477413,0.0831858201949213,-20.0596158033593,0.0831858202170015,15.232418788049,0.11534724571836,-20.3326596630517,0.115347245734283,16.3453341926672,0.0909182304221948,-19.2197442584335,0.0909182304423972,15.7261143584889,0.0822741339033733,-19.8389640926118,0.0822741339256983,15.45337182713,0.0907085288979801,-20.1117066239707,0.0907085289182292,34.9042434692383,33.064094543457,9.56224065753153,9.56224065753153,18.8674580439244,16.5693555661916,0.838313525554012,30.1468281563172,6.21359545066552,0.269142190844349,24.2895094889652,0.0293065352104414,3.90909090909091,0.174038981983784,13.6034093362495,5.66680750507818,37.1900180314725,18.8674580439244,16.5693555661916,4.81375678444657,5.83554500997713,0.61921983417829,0.122617933976452,0.891962365537182,0.128429598761107,10.2886598105129,0.388730528784138,6.27655924973725,23.5878378508533,0.220312830203482,23.16751367121,0.44254319746258
