Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
NGC0523,4683,3.64,7,4.33,3.58,8.3,49.2,584,11.88,8.69E+03,04/02/15 21:18:56 CDT
NGC0528,4745.5,3.33,7,4.50,3.66,8.3,46.4,207,4.46,7.47E+02,04/02/15 21:23:07 CDT
NGC0551,5113.3,3.28,7,4.50,3.53,7,40.5,263,6.49,2.67E+03,04/02/15 21:27:16 CDT
NGC1167,4851.2,3.31,7,4.48,3.46,7.6,45,221,4.91,2.52E+03,04/02/15 21:31:19 CDT
NGC2253,3542,3.33,7,5.41,3.84,9.1,40.3,687,17.06,1.82E+04,04/02/15 21:36:39 CDT
NGC2347,4388.8,3.32,7,4.19,3.91,8.6,48.5,445,9.16,5.24E+03,04/02/15 21:40:53 CDT
NGC2410,4602.2,6.68,13,4.56,3.72,9.2,50,342,6.85,7.17E+03,04/02/15 21:49:05 CDT
NGC2480,2320.8,4,7,4.82,3.59,10.5,56.1,436,7.77,1.23E+03,04/02/15 21:53:06 CDT
NGC2486,4569.7,0.97,7,4.23,3.75,11.4,66.3,325,4.9,1.19E+03,04/02/15 22:00:28 CDT
NGC2487,4758.9,3.96,7,4.54,3.58,10,56.9,530,9.32,4.41E+03,04/02/15 22:04:46 CDT
NGC2623,5437.6,3.32,7,4.61,3.66,5.4,29.5,1150,38.92,1.18E+04,04/02/15 22:11:43 CDT
NGC2639,3150,3.35,7,4.78,3.54,10.1,55.1,531,9.62,7.99E+03,04/02/15 22:16:16 CDT
NGC2730,3795.1,3.53,7,5.12,3.56,9.4,47.3,238,5.03,1.06E+03,04/02/15 22:20:02 CDT
NGC2880,1530.1,4.65,7,4.09,3.95,11.9,68,308,4.53,6.50E+02,04/05/15 16:34:58 CDT
NGC2906,2124.8,3.32,7,6.13,3.76,11.6,46.2,396,8.57,8.68E+03,04/02/15 22:28:27 CDT
NGC2916,3683.6,4.01,7,4.51,3.52,8.8,50.9,284,5.57,1.74E+03,04/02/15 22:32:40 CDT
NGC2918,6615.2,2.66,7,4.94,3.78,10,49.1,225,4.58,6.14E+02,04/05/15 16:43:30 CDT
NGC3303,6150,2.66,7,5.03,3.57,8.1,41.3,219,5.29,1.63E+03,04/02/15 22:40:39 CDT
NGC3381,1614.9,3.32,7,4.26,3.51,10.8,66.3,449,6.77,1.47E+03,04/05/15 16:51:50 CDT
NGC3687,2480.2,3.52,7,4.73,3.76,12.6,65.3,293,4.5,1.21E+03,04/02/15 22:48:18 CDT
NGC3811,3040.8,3.99,7,4.64,3.57,9.4,52.2,986,18.89,9.34E+03,04/02/15 22:53:23 CDT
NGC3815,3667.7,3.31,7,4.34,3.67,9.1,52.4,446,8.51,3.74E+03,04/02/15 22:58:00 CDT
NGC3994,3057.6,3.65,7,5.13,3.58,10.3,51.9,657,12.65,5.52E+03,04/02/15 23:02:19 CDT
NGC4047,3402.4,3.34,7,4.81,3.43,10.2,56.9,1054,18.53,1.97E+04,04/02/15 23:07:32 CDT
NGC4149,3048.1,3.3,7,4.92,3.41,9,49.3,764,15.49,9.79E+03,04/02/15 23:13:01 CDT
NGC4185,3834.2,3.97,7,4.38,3.49,9.9,59.5,306,5.15,1.71E+03,04/02/15 23:16:52 CDT
NGC4210,2693.2,3.98,7,4.83,3.54,10.6,56.9,323,5.67,2.92E+03,04/02/15 23:20:31 CDT
NGC4211NED02,6542.7,3.29,7,4.79,3.75,10,51.1,448,8.78,2.39E+03,04/05/15 17:00:01 CDT
NGC4470,2339.6,4.53,7,4.70,4.23,11.5,53.2,412,7.74,3.99E+03,04/02/15 23:28:43 CDT
NGC4644,4852.9,3.33,7,4.43,3.66,7.6,42.9,260,6.04,2.04E+03,04/02/15 23:32:59 CDT
NGC4676A,6504.1,3.18,7,4.99,3.95,8.5,39.7,721,18.15,8.84E+03,04/05/15 17:09:07 CDT
NGC4711,4020.1,3.32,7,4.68,3.92,10.1,50.6,302,5.97,4.61E+03,04/05/15 17:16:36 CDT
NGC4961,2541.1,3.43,7,4.47,3.69,9.9,55.3,302,5.46,2.39E+03,04/02/15 23:46:19 CDT
NGC5000,5493,3.32,7,4.29,3.45,7,43.5,901,20.72,4.07E+03,04/02/15 23:51:07 CDT
NGC5016,2591.7,3.96,7,4.97,3.65,10.5,53.1,367,6.9,4.74E+03,04/02/15 23:55:01 CDT
NGC5056,5454.1,3.31,7,5.58,3.99,7.9,32.6,215,6.59,4.82E+03,04/02/15 23:59:20 CDT
NGC5205,1760.3,3.37,7,4.29,3.65,11.3,66.3,316,4.76,4.20E+03,04/03/15 00:03:40 CDT
NGC5218,2868.8,3.26,7,5.29,3.46,9.6,48.4,4496,92.97,4.67E+04,04/03/15 00:10:40 CDT
NGC5394,3370.3,3.14,7,4.67,3.65,10.8,58.2,2887,49.61,1.94E+04,04/03/15 00:15:41 CDT
NGC5406,5302.2,2.33,7,4.69,3.47,8.5,48.3,230,4.77,2.42E+03,04/03/15 00:19:51 CDT
NGC5480,1880.6,3.33,7,4.01,3.35,9.1,62.1,704,11.35,1.34E+04,04/03/15 00:24:35 CDT
NGC5485,1900.3,3.63,7,4.94,3.47,11.2,60.4,298,4.93,8.55E+02,04/03/15 00:28:47 CDT
NGC5520,1865.3,3.65,7,4.66,3.39,10,58.5,670,11.46,6.17E+03,04/03/15 00:33:30 CDT
