CALIFA_name,RA,DEC,Distance,zstar,SNR,PA,Final_QS,Final_NA,SFR,Mstar,Det_4sig?
ARP118,43.7945833333333,-0.17994444444444402,117.08908583235136,0.0277302676310054,17.887604819321894,208.058904630393,MX,nonA,6.345116195696556,542868503525.2209,Y
ARP180,73.35249999999999,-4.79269444444444,59.200977039610855,0.0140205974421557,6.451707865136963,112.002989575007,MX,nonA,0.09676918714707046,27406786155.386486,Y
CGCG97120c,176.204583333333,19.7951666666667,79.42966824382026,0.0188113686479439,14.58098389191169,131.698084526147,MX,nonA,0.26591351749193215,19621616215.275127,Y
CGCG97120d,176.204583333333,19.7951666666667,79.38422428322883,0.0188006061316901,14.976982925670342,133.145511854998,cen,nonA,2.2479860295021954,67309255006.31468,Y
IC0208,32.11541666666669,6.3950833333333295,48.26731611509061,0.0114311729755771,11.939545026918141,250.153924567329,cQ,nonA,0.3589447852396007,17527201921.28265,Y
IC1078,224.12083333333294,9.35452777777778,121.11877145282091,0.0286846201219321,7.852953096106922,126.330796215758,cQ,nonA,2.0106797448410796,69723918908.1529,Y
IC2361,126.43499999999999,27.8745833333333,29.74424990891638,0.00704434580383294,5.208873286565173,167.287550980062,MX,nonA,0.18613588431038325,6309725182.173776,Y
IC4215,199.06999999999996,25.4051944444444,54.57179914089191,0.0129242668906745,4.878649623692005,136.179755663955,MX,sAGN,0.09212689090497907,28843554199.422768,Y
KUG1349+143,207.88708333333298,14.1108888888889,103.68839124315272,0.0245565743293777,9.443771865829602,210.564399010473,MX,nonA,0.4337147346241146,26692161932.696022,Y
MCG-02-03-015,11.943333333333298,-9.83502777777778,80.6960718870838,0.0191112916655927,4.194195760947974,112.401020569438,MX,nonA,3.6816258301111575,553839616529.6313,Y
MCG-02-08-014,43.09749999999999,-8.51038888888889,70.81083272476081,0.0167701654571244,4.213879439417813,187.986316821541,MX,wAGN,0.15170214472993115,44111048533.758224,Y
NGC0036,2.8425,6.389388888888891,84.17790079845342,0.0199358949740163,5.511008567341656,105.182903452856,cQ,nonA,3.260328568131281,141534973438.77002,Y
NGC0177,9.392916666666668,-22.549194444444396,51.72704044917347,0.0122505412457418,4.932973123813961,98.9897680804794,QnR,wAGN,0.48885633416977226,52248292013.67789,Y
NGC0192,9.80583333333333,0.8641944444444439,58.34059533302909,0.0138168328058642,13.849369836638623,255.408227352184,MX,nonA,3.1394924797614707,98525388071.59093,Y
NGC0217,10.390833333333298,-10.0215833333333,54.82636612400921,0.012984556118502,7.159742085126675,202.540178816028,MX,nonA,0.11567182517809546,103824752632.11305,Y
