# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC0944,10.5,202.406,-17.022,13.424,8.0,89.454,88.992,6844.543,-18.669,14.994,281.837,-7.416,4.98,75.0,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,13.5,206.185,-32.306,35.572,8.0,89.454,88.992,6819.145,-35.544,41.057,293.154,-5.204,4.032,75.0,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,16.5,216.034,-6.615,9.496,8.0,89.454,88.992,6791.044,-69.245,58.8,291.876,-6.588,4.805,75.0,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,19.5,215.822,-15.279,11.863,8.0,89.454,88.992,6782.829,-20.629,19.394,297.754,-11.969,10.419,75.0,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,22.5,222.633,-33.238,42.716,8.0,89.454,88.992,7115.594,-11.554,14.713,270.933,-1.424,1.424,75.0,0.205,1,0,0,0,1,1,0,1,1,0
IC1151,1.5,70.325,-15.115,15.115,8.0,88.428,89.092,2586.524,-6.473,6.176,27.914,-4.305,3.414,68.0,0.67,1,0,0,0,1,1,0,1,1,0
IC1151,4.5,113.191,-5.667,7.259,8.0,88.428,89.092,2588.564,-4.447,5.565,20.707,-7.674,9.435,68.0,0.67,1,0,0,0,1,1,0,1,1,0
IC1151,7.5,3.007,-0.204,0.26,8.0,88.428,89.092,2297.503,-401.73,215.383,24.66,-9.794,9.935,68.0,0.67,1,0,0,0,1,1,0,1,1,0
IC1151,10.5,116.059,-8.281,8.281,8.0,88.428,89.092,2589.903,-849.314,849.314,22.433,-4.271,3.012,68.0,0.67,1,0,0,0,1,1,0,1,1,0
IC1199,1.5,186.025,-24.459,27.726,8.0,88.279,88.996,5019.577,-10.976,12.065,171.264,-8.467,8.467,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,4.5,34.262,-6.855,6.855,8.0,88.279,88.996,4592.68,-18.738,18.522,152.472,-2.741,2.084,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,7.5,3.348,-1.023,1.023,8.0,88.279,88.996,4601.768,-253.536,267.726,161.708,-7.874,7.874,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,10.5,194.97,-10.68,8.881,8.0,88.279,88.996,4665.312,-16.897,12.221,155.534,-6.172,6.105,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,13.5,190.609,-5.849,5.732,8.0,88.279,88.996,4664.077,-3.265,3.479,153.513,-3.945,4.705,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,16.5,192.246,-5.25,6.196,8.0,88.279,88.996,4666.332,-3.427,3.264,162.224,-5.03,3.595,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,19.5,202.671,-6.885,7.19,8.0,88.279,88.996,4668.203,-63.869,74.087,172.322,-23.585,27.092,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,22.5,200.585,-7.407,5.888,8.0,88.279,88.996,4663.088,-314.514,227.828,159.82,-9.841,9.841,64.5,0.302,1,0,0,0,1,1,0,1,1,0
IC1683,1.5,153.863,-6.843,8.357,8.0,88.897,89.032,4773.57,-5.319,5.824,198.679,-9.116,9.116,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,4.5,203.29,-15.212,11.122,8.0,88.897,89.032,4776.677,-8.756,7.392,187.031,-11.054,11.054,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,7.5,192.269,-7.856,7.157,8.0,88.897,89.032,4766.183,-5.017,4.509,195.84,-7.194,6.372,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,10.5,190.776,-11.167,9.292,8.0,88.897,89.032,4774.48,-8.422,7.797,203.412,-14.1,14.1,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,13.5,179.244,-26.32,24.452,8.0,88.897,89.032,4800.757,-9.573,7.558,207.515,-2.301,2.303,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,16.5,189.782,-40.699,40.699,8.0,88.897,89.032,4790.891,-152.855,152.417,210.428,-64.518,64.372,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,19.5,173.519,-18.455,24.241,8.0,88.897,89.032,5178.426,-6.152,8.08,210.593,-8.202,10.774,54.8,0.296,1,0,0,0,1,1,0,1,1,0
IC2247,1.5,197.573,-13.919,10.825,8.0,89.858,88.458,4244.604,-11.139,13.726,138.807,-3.01,3.776,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,4.5,192.067,-17.096,13.253,8.0,89.858,88.458,4169.62,-11.574,10.293,163.09,-17.625,17.625,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,7.5,183.116,-13.059,9.764,8.0,89.858,88.458,4249.578,-14.841,18.212,157.824,-9.3,9.325,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,10.5,155.985,-5.064,5.142,8.0,89.858,88.458,4216.385,-3.423,4.017,139.9,-5.204,6.91,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,13.5,173.582,-5.268,4.417,8.0,89.858,88.458,4222.619,-4.033,3.149,154.902,-6.831,5.03,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,16.5,178.77,-5.966,6.595,8.0,89.858,88.458,4218.402,-6.244,6.453,160.195,-12.765,12.765,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,19.5,191.005,-5.613,5.613,8.0,89.858,88.458,4225.497,-5.291,4.409,151.444,-10.26,7.614,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,22.5,223.33,-9.98,7.398,8.0,89.858,88.458,4245.222,-10.744,10.464,148.494,-3.486,3.486,77.7,0.333,1,0,0,0,1,1,0,1,1,0
IC2487,1.5,108.538,-26.891,17.319,8.0,88.586,88.076,4179.268,-61.012,61.012,357.892,-29.301,26.11,77.9,0.331,1,0,0,0,1,1,0,1,1,0
