# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC0540,16.5,12.047,-3.44,3.44,8.0,80.846,79.051,2488.527,173.937,68.3,0.69,1,0,0,0,-1,-1,0,1,1,0,12,0.01057,0.002673
IC0540,19.5,4.688,0.0,0.0,8.0,80.846,79.051,2488.527,173.937,68.3,0.69,1,0,0,0,-1,-1,0,1,1,0,3,0.008345,0.001733
IC0944,1.5,141.74,-6.059,7.496,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,7,0.2291,0.01479
IC0944,4.5,154.317,-10.134,12.786,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,22,0.1983,0.02978
IC0944,7.5,171.365,-14.822,14.505,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,36,0.1535,0.03471
IC0944,10.5,180.941,-15.948,13.888,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,51,0.1134,0.03647
IC0944,13.5,195.345,-19.245,32.338,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,67,0.08384,0.03292
IC0944,16.5,264.629,-19.749,15.96,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,78,0.059,0.02857
IC0944,19.5,274.463,-16.22,12.397,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,94,0.04357,0.02501
IC0944,22.5,282.704,-17.891,12.835,8.0,80.454,79.992,6837.611,293.213,75.0,0.205,1,0,0,0,-1,-1,0,1,1,0,98,0.03159,0.01885
IC1151,1.5,20.865,-3.77,3.77,8.0,79.428,80.092,2264.459,25.168,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,8,0.01126,0.002379
IC1151,4.5,4.182,0.0,0.0,8.0,79.428,80.092,2264.459,25.168,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,17,0.01232,0.002278
IC1151,7.5,22.747,-4.059,4.059,8.0,79.428,80.092,2264.459,25.168,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,11,0.01095,0.002336
IC1151,10.5,8.162,0.0,0.0,8.0,79.428,80.092,2264.459,25.168,68.0,0.67,1,0,0,0,-1,-1,0,1,1,0,3,0.009383,0.001024
IC1199,1.5,65.457,-9.904,11.272,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,11,0.06036,0.02231
IC1199,4.5,64.033,-11.158,10.994,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,37,0.04103,0.02009
IC1199,7.5,22.596,-6.251,6.097,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,60,0.02771,0.01222
IC1199,10.5,184.087,-8.901,12.582,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,79,0.02697,0.01534
IC1199,13.5,189.889,-6.394,6.659,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,98,0.0299,0.02249
IC1199,16.5,195.295,-6.9,6.155,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,112,0.02616,0.02082
IC1199,19.5,200.266,-7.121,5.596,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,116,0.01992,0.01378
IC1199,22.5,204.962,-9.674,7.626,8.0,79.279,79.996,4665.771,165.166,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,87,0.01388,0.009071
IC1683,1.5,156.067,-8.456,8.098,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,16,0.7378,0.07408
IC1683,4.5,168.433,-8.13,11.417,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,48,0.4883,0.1296
IC1683,7.5,192.503,-7.501,6.314,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,82,0.2381,0.1156
IC1683,10.5,189.667,-9.343,8.379,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,114,0.1091,0.07316
IC1683,13.5,185.425,-19.408,16.791,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,129,0.05249,0.04771
IC1683,16.5,143.924,-24.689,32.195,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,86,0.03582,0.02948
IC1683,19.5,5.264,0.0,0.0,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,48,0.01854,0.01271
IC1683,22.5,7.295,-2.213,2.213,8.0,79.897,80.032,4775.558,202.226,54.8,0.296,1,0,0,0,-1,-1,0,1,1,0,18,0.008816,0.004915
IC2247,1.5,243.857,-11.261,14.217,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,5,0.2409,0.008021
IC2247,4.5,134.217,-19.215,14.768,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,18,0.2298,0.01189
IC2247,7.5,153.195,-7.297,5.775,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,30,0.2031,0.01558
IC2247,10.5,160.399,-7.383,4.711,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,42,0.1707,0.0192
IC2247,13.5,170.436,-5.327,4.251,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,55,0.1377,0.02051
IC2247,16.5,178.027,-5.307,4.787,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,66,0.1034,0.0218
IC2247,19.5,186.242,-6.033,4.919,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,78,0.07453,0.02287
IC2247,22.5,188.831,-6.995,7.171,8.0,80.858,79.458,4219.919,151.688,77.7,0.333,1,0,0,0,-1,-1,0,1,1,0,90,0.04988,0.02198
IC2487,1.5,45.982,-6.139,8.7,8.0,79.586,79.076,4259.531,351.062,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,6,0.09073,0.01193
IC2487,4.5,236.539,-30.8,39.374,8.0,79.586,79.076,4259.531,351.062,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,18,0.09309,0.0155
IC2487,7.5,245.985,-29.05,29.05,8.0,79.586,79.076,4259.531,351.062,77.9,0.331,1,0,0,0,-1,-1,0,1,1,0,28,0.08694,0.01159
