# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo first round results for run natv_fixvd_dilmsk}
# - {date: '2020-07-15'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC1199,10.5,193.138,-6.243,4.625,8.0,63.407,64.2,4658.969,-3.668,2.55,159.874,-4.762,3.024,72.0,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,13.5,183.086,-3.923,4.082,8.0,63.407,64.2,4662.038,-1.308,1.361,161.764,-1.744,1.814,72.0,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,16.5,188.604,-3.256,3.715,8.0,63.407,64.2,4663.615,-1.444,1.704,159.618,-1.076,1.397,72.0,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,19.5,196.327,-4.456,4.912,8.0,63.407,64.2,4669.321,-1.485,1.637,162.757,-1.981,2.183,72.0,0.302,1,0,0,0,1,1,0,1,1,0
IC1199,22.5,206.137,-5.099,5.253,8.0,63.407,64.2,4666.836,-2.364,2.304,161.151,-1.992,1.658,72.0,0.302,1,0,0,0,1,1,0,1,1,0
IC1683,1.5,142.748,-7.301,7.397,8.0,64.495,63.6,4778.487,-2.434,2.466,200.386,-3.245,3.288,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,4.5,184.07,-8.465,8.875,8.0,64.495,63.6,4784.375,-4.388,4.524,192.745,-4.698,4.698,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,7.5,184.397,-5.88,4.792,8.0,64.495,63.6,4778.234,-1.96,1.597,200.252,-2.614,2.13,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,10.5,178.873,-8.343,7.514,8.0,64.495,63.6,4771.86,-2.781,2.505,192.9,-3.708,3.34,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,13.5,202.67,-12.926,12.636,8.0,64.495,63.6,4793.757,-5.397,5.3,199.363,-3.264,3.264,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,16.5,205.77,-10.042,8.535,8.0,64.495,63.6,4798.816,-4.194,3.68,196.125,-2.541,2.505,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,19.5,227.914,-20.209,20.316,8.0,64.495,63.6,4799.225,-7.337,7.208,198.928,-1.801,1.307,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC1683,22.5,217.567,-20.962,14.031,8.0,64.495,63.6,4784.869,-7.586,5.447,194.65,-1.796,2.309,66.4,0.296,1,0,0,0,1,1,0,1,1,0
IC2247,1.5,153.364,-11.994,9.231,8.0,64.858,63.458,4283.543,-20.593,14.974,153.5,-10.862,8.068,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,4.5,187.973,-6.996,6.047,8.0,64.858,63.458,4256.831,-3.312,2.995,153.5,-2.94,2.94,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,7.5,140.365,-5.186,5.087,8.0,64.858,63.458,4218.419,-1.853,1.851,145.564,-0.374,0.465,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,10.5,221.071,-7.866,6.306,8.0,64.858,63.458,4272.536,-2.736,2.204,150.142,-0.342,0.304,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,13.5,226.923,-5.872,7.253,8.0,64.858,63.458,4274.983,-2.258,2.746,149.188,-0.902,0.983,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,16.5,187.193,-5.747,4.629,8.0,64.858,63.458,4226.04,-1.916,1.543,153.481,-2.554,2.057,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,19.5,189.071,-7.456,6.191,8.0,64.858,63.458,4227.307,-2.485,2.064,153.5,-3.314,2.751,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2247,22.5,201.597,-7.389,7.087,8.0,64.858,63.458,4228.868,-3.071,2.855,151.538,-1.824,1.478,86.5,0.333,1,0,0,0,1,1,0,1,1,0
IC2487,1.5,187.091,-14.12,18.806,8.0,64.079,64.28,4446.142,-20.01,17.961,347.847,-11.376,12.256,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,4.5,223.129,-9.443,8.09,8.0,64.079,64.28,4364.792,-4.076,3.37,344.281,-2.786,2.02,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,7.5,225.415,-6.668,7.085,8.0,64.079,64.28,4170.904,-3.16,3.255,343.45,-2.812,2.678,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,10.5,133.196,-4.098,4.165,8.0,64.079,64.28,4272.075,-2.347,2.37,347.9,-2.945,2.945,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,13.5,167.295,-3.86,3.679,8.0,64.079,64.28,4264.944,-2.017,2.274,340.356,-2.19,3.143,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,16.5,149.084,-4.048,6.366,8.0,64.079,64.28,4285.948,-2.787,3.56,347.9,-4.314,4.314,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,19.5,206.487,-7.826,10.245,8.0,64.079,64.28,4249.049,-2.773,3.571,346.657,-0.494,0.469,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,22.5,186.943,-7.345,6.018,8.0,64.079,64.28,4287.667,-2.941,2.641,341.111,-1.477,1.906,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,25.5,170.338,-5.533,5.271,8.0,64.079,64.28,4282.259,-2.969,2.882,340.598,-3.373,3.373,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC2487,28.5,198.789,-5.081,4.839,8.0,64.079,64.28,4300.668,-2.48,2.4,347.9,-2.36,2.36,79.8,0.331,1,0,0,0,1,1,0,1,1,0
IC4566,1.5,192.586,-20.389,22.424,8.0,64.428,64.109,5460.665,-35.719,27.792,330.0,-18.703,16.739,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,4.5,219.375,-13.416,18.655,8.0,64.428,64.109,5421.119,-27.757,27.757,320.362,-6.199,6.199,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,7.5,209.757,-9.057,7.247,8.0,64.428,64.109,5481.259,-4.11,3.507,330.0,-3.273,3.273,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,10.5,221.213,-7.021,6.989,8.0,64.428,64.109,5493.026,-2.34,2.33,330.0,-3.121,3.106,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,13.5,230.323,-4.876,6.166,8.0,64.428,64.109,5496.487,-2.535,2.965,327.751,-2.728,2.728,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,16.5,236.759,-5.11,5.272,8.0,64.428,64.109,5501.522,-2.347,2.294,327.616,-1.931,1.609,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,19.5,235.932,-6.864,6.903,8.0,64.428,64.109,5490.304,-3.505,3.518,321.102,-3.652,3.652,50.2,0.255,1,0,0,0,1,1,0,1,1,0
IC4566,22.5,234.975,-5.162,5.162,8.0,64.428,64.109,5489.756,-2.481,2.504,326.523,-2.282,2.349,50.2,0.255,1,0,0,0,1,1,0,1,1,0
NGC0447,1.5,386.377,-20.532,19.346,8.0,64.002,63.5,5499.985,-6.844,6.449,45.402,-9.125,8.598,13.8,0.259,1,0,0,0,1,1,0,1,1,0
NGC0447,4.5,403.759,-12.98,15.381,8.0,64.002,63.5,5496.381,-6.908,7.708,42.0,-7.743,7.743,13.8,0.259,1,0,0,0,1,1,0,1,1,0
NGC0447,7.5,135.429,-24.544,37.734,8.0,64.002,63.5,5494.418,-10.379,14.776,42.0,-6.593,6.593,13.8,0.259,1,0,0,0,1,1,0,1,1,0
NGC0447,10.5,214.297,-36.596,43.581,8.0,64.002,63.5,5360.776,-65.544,107.823,51.793,-6.816,6.816,13.8,0.259,1,0,0,0,1,1,0,1,1,0
NGC0447,13.5,205.992,0.0,0.0,8.0,64.002,63.5,5505.55,0.0,0.0,52.0,0.0,0.0,13.8,0.259,1,0,0,0,1,1,0,1,1,0
