Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
NGC5205,1760.3,4.04,7,4.74,3.90,11.2,55.8,290,5.2,5.08E+03,06/08/16 18:50:52 CDT
NGC5218,2868.8,3.82,7,5.44,3.73,9.7,44.1,4010,90.97,4.45E+04,06/08/16 19:02:48 CDT
NGC5394,3370.3,3.8,7,5.21,4.09,10.5,45.2,2497,55.24,1.89E+04,06/08/16 19:13:12 CDT
NGC5406,5302.2,3.01,7,5.21,3.97,9.1,40.4,207,5.12,4.16E+03,06/08/16 19:22:16 CDT
NGC5480,1880.6,3.99,7,4.45,3.60,9.1,52.5,708,13.49,1.58E+04,06/08/16 19:31:24 CDT
NGC5485,1900.3,4.27,7,5.12,3.85,10.7,49.8,212,4.26,1.12E+03,06/08/16 19:40:10 CDT
NGC5520,1865.3,4.26,7,4.89,3.71,9.7,49.5,628,12.7,7.11E+03,06/08/16 19:49:32 CDT
NGC5614,3838.5,3.95,7,6.14,4.20,10.3,36.9,912,24.69,2.70E+04,06/08/16 20:00:02 CDT
NGC5633,2307.6,3.98,7,4.88,3.90,10.1,48.7,683,14.02,1.60E+04,06/08/16 20:09:36 CDT
NGC5657,3870.7,4,7,4.80,4.02,10,47.8,351,7.34,2.15E+03,06/08/16 20:18:00 CDT
NGC5682,2253.9,3.99,7,4.70,3.74,10,52.6,253,4.8,8.23E+02,06/08/16 20:26:39 CDT
NGC5732,3722.2,2.99,7,6.13,3.69,10.6,43.1,203,4.71,1.55E+03,06/08/16 20:35:05 CDT
NGC5784,5400,3.92,7,4.83,3.89,6.6,32.6,311,9.54,2.37E+03,06/08/16 20:44:24 CDT
NGC5876,3231.8,3.57,7,5.15,4.31,10.2,42.4,197,4.64,1.36E+03,06/08/16 20:53:05 CDT
NGC5908,3283,6.82,10,4.54,3.69,6.6,36.6,1054,28.81,4.43E+04,06/08/16 21:08:49 CDT
NGC5930,2600.5,4.48,7,5.26,3.98,9.7,42.6,1357,31.87,1.44E+04,06/08/16 21:22:48 CDT
NGC5934,5520,3.96,7,4.83,4.00,7.1,33.9,520,15.33,1.02E+04,06/08/16 21:33:38 CDT
NGC5947,5777.4,3.94,7,5.23,4.04,7.2,31.3,179,5.73,1.95E+03,06/08/16 21:42:01 CDT
NGC5953,1965.7,6.82,10,5.00,3.97,9.1,42.4,2458,58.01,3.97E+04,06/08/16 21:55:51 CDT
NGC5980,4030.9,3.99,7,4.64,4.18,7.2,34,736,21.64,1.53E+04,06/08/16 22:07:48 CDT
NGC6004,3785,4.5,7,5.06,4.13,9.7,42.7,383,8.97,6.71E+03,06/08/16 22:17:03 CDT
NGC6021,4674.9,2.23,7,4.54,4.02,11.2,56.8,241,4.25,6.06E+02,06/08/16 22:25:02 CDT
NGC6027,4370.1,3.01,7,4.89,3.99,9.8,46.3,216,4.67,1.70E+03,06/08/16 22:35:19 CDT
NGC6060,4449.1,4.25,7,4.75,3.67,7.7,40.5,510,12.57,1.44E+04,06/08/16 22:44:40 CDT
NGC6063,2831.1,3.02,7,5.32,4.32,12.9,51.9,237,4.57,8.89E+02,06/08/16 22:52:37 CDT
NGC6081,5032.1,4,7,4.72,4.22,10.6,48.8,197,4.04,9.45E+02,06/08/16 23:01:19 CDT
NGC6125,4555.8,4.01,7,5.43,3.85,8.8,38.6,160,4.14,8.33E+02,06/08/16 23:10:39 CDT
NGC6146,8505.6,2.94,7,5.18,3.99,8.2,36.6,153,4.18,1.03E+03,06/08/16 23:19:28 CDT
NGC6155,2400.2,4.66,7,5.57,3.78,9.7,42.3,437,10.31,9.12E+03,06/08/16 23:28:51 CDT
