# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDobstim, unit: h, datatype: float64, description: D array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDbmaj, unit: arcsec, datatype: float64, description: Native D-array beam major axis}
# - {name: coDbmin, unit: arcsec, datatype: float64, description: Native D-array beam minor axis}
# - {name: coRMS_mJybm, unit: mJy / beam, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coRMS_mK, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_mK, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak, datatype: float64, description: Peak brightness in SNR units}
# - {name: ImagingDate, datatype: string, description: Date of imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDobstim,coNpt,coDbmaj,coDbmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,ImagingDate
NGC6301,8148.2,3.31,7,4.45,3.79,7.5,41.2,252,6.12,04/03/15 02:34:30 CDT
NGC6310,3370.9,3.33,7,4.76,3.58,9.6,51.9,267,5.15,04/03/15 02:38:33 CDT
NGC6314,6530.0,3.32,7,4.23,3.68,5.5,32.8,285,8.69,04/05/15 17:41:58 CDT
NGC6361,3777.3,6.21,13,5.15,3.7,7.7,37.2,1224,32.89,04/03/15 02:55:11 CDT
NGC6394,8350.0,2.35,7,5.01,3.51,7.8,41.0,260,6.34,04/03/15 02:59:18 CDT
NGC6478,6645.4,4.68,10,4.58,3.73,7.8,42.1,534,12.69,04/03/15 03:07:15 CDT
NGC7819,4917.6,3.33,7,4.2,3.5,7.2,45.2,427,9.46,04/03/15 03:11:51 CDT
UGC00809,4142.1,3.31,7,3.97,3.38,7.8,53.9,284,5.28,04/03/15 03:16:00 CDT
UGC03253,4070.9,4.0,7,5.46,3.9,11.6,50.2,254,5.06,04/05/15 17:49:39 CDT
UGC03539,3270.9,3.33,7,5.17,4.02,10.3,45.6,554,12.16,04/03/15 03:24:51 CDT
UGC03969,7910.0,3.0,7,4.75,3.68,8.7,46.0,281,6.12,04/03/15 03:28:50 CDT
UGC03973,6453.5,3.33,7,4.38,4.07,8.1,41.9,247,5.9,04/05/15 17:57:05 CDT
UGC04029,4383.0,3.31,7,4.58,3.7,8.2,44.7,496,11.11,04/03/15 03:36:49 CDT
UGC04132,5119.4,3.35,7,4.95,3.63,9.0,46.3,745,16.07,04/03/15 03:42:38 CDT
UGC04280,3469.7,3.35,7,4.31,4.11,10.8,56.0,290,5.18,04/03/15 03:46:47 CDT
UGC04461,4906.5,3.33,7,4.44,3.85,9.3,49.9,385,7.7,04/03/15 03:51:11 CDT
UGC05108,7913.4,3.32,7,5.17,4.03,7.1,31.2,248,7.94,04/03/15 03:55:46 CDT
UGC05111,6595.5,3.32,7,4.6,4.04,9.5,47.1,440,9.33,04/05/15 18:05:30 CDT
UGC05244,2981.7,1.66,7,4.21,3.98,13.6,74.8,376,5.03,04/03/15 04:04:27 CDT
UGC05359,8249.5,3.32,7,6.29,4.19,8.5,29.8,153,5.14,04/03/15 04:08:29 CDT
UGC05498NED01,6174.4,3.27,7,5.02,3.62,10.6,53.7,282,5.25,04/03/15 04:12:14 CDT
UGC05598,5519.8,2.31,7,5.17,3.6,10.2,50.5,353,6.99,04/03/15 04:16:27 CDT
UGC06312,6201.5,2.28,7,4.4,4.4,7.8,37.0,170,4.6,04/03/15 04:20:30 CDT
UGC07012,3031.5,3.35,7,4.47,3.6,8.7,49.8,232,4.66,04/03/15 04:24:38 CDT
UGC08107,8076.9,3.22,7,4.52,4.1,6.6,32.9,292,8.89,04/03/15 04:29:43 CDT
UGC08250,5184.0,3.32,7,4.41,3.6,7.8,45.4,197,4.34,04/03/15 04:33:58 CDT
UGC08267,7078.6,3.51,7,4.29,3.6,7.9,47.1,509,10.8,04/03/15 04:38:58 CDT
UGC09067,7645.8,3.35,7,5.25,3.7,10.2,48.6,413,8.49,04/03/15 04:43:03 CDT
