# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDEobstim, unit: h, datatype: float64, description: D+E array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDEbmaj, unit: arcsec, datatype: float64, description: Native D+E-array beam major axis}
# - {name: coDEbmin, unit: arcsec, datatype: float64, description: Native D+E-array beam minor axis}
# - {name: coRMS_10, unit: mK, datatype: float64, description: Noise in 10 km/s channel}
# - {name: coTpk_10, unit: mK, datatype: int64, description: Peak brightness in 10 km/s channel}
# - {name: coSNRpeak_10, datatype: float64, description: Peak brightness at 10 km/s in SNR units}
# - {name: ImagingDate_10, datatype: string, description: Date of 10 km/s imaging}
# - {name: coRMS_20, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_20, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak_20, datatype: float64, description: Peak brightness at 20 km/s in SNR units}
# - {name: ImagingDate_20, datatype: string, description: Date of 20 km/s imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDEobstim,coNpt,coDEbmaj,coDEbmin,coRMS_10,coTpk_10,coSNRpeak_10,ImagingDate_10,coRMS_20,coTpk_20,coSNRpeak_20,ImagingDate_20
NGC4644,4852.9,4.62,7,5.02,4.21,39.4,280,7.1,02/13/16 05:30:53 CST,30.3,222,7.31,06/08/16 17:47:18 CDT
NGC4676A,6504.1,3.96,7,5.33,4.4,48.1,684,14.23,02/13/16 05:47:44 CST,37.5,652,17.38,06/08/16 17:57:38 CDT
NGC4711,4020.1,3.98,7,5.03,4.25,54.0,387,7.17,02/13/16 06:02:31 CST,42.0,320,7.63,06/08/16 18:05:54 CDT
NGC4961,2541.1,4.07,7,4.77,4.06,60.9,372,6.11,02/13/16 06:17:57 CST,47.5,296,6.24,06/08/16 18:14:54 CDT
NGC5000,5493.0,4.0,7,4.64,3.7,48.7,827,16.98,02/13/16 06:35:50 CST,37.9,803,21.18,06/08/16 18:24:25 CDT
NGC5016,2591.7,4.62,7,5.33,4.08,54.1,428,7.91,02/13/16 06:51:53 CST,42.5,355,8.34,06/08/16 18:33:16 CDT
NGC5056,5454.1,3.97,7,5.76,4.31,38.4,252,6.56,02/13/16 07:08:06 CST,29.5,203,6.87,06/08/16 18:42:15 CDT
NGC5205,1760.3,4.04,7,4.74,3.9,72.2,327,4.52,02/13/16 07:24:20 CST,55.8,290,5.2,06/08/16 18:50:52 CDT
NGC5218,2868.8,3.82,7,5.44,3.73,55.2,4025,72.92,02/13/16 07:46:15 CST,44.1,4010,90.97,06/08/16 19:02:48 CDT
NGC5394,3370.3,3.8,7,5.21,4.09,57.7,2695,46.74,02/13/16 08:04:38 CST,45.2,2497,55.24,06/08/16 19:13:12 CDT
NGC5406,5302.2,3.01,7,5.21,3.97,51.3,261,5.08,02/13/16 08:21:10 CST,40.4,207,5.12,06/08/16 19:22:16 CDT
NGC5480,1880.6,3.99,7,4.45,3.6,66.6,880,13.22,02/13/16 08:37:52 CST,52.5,708,13.49,06/08/16 19:31:24 CDT
NGC5485,1900.3,4.27,7,5.12,3.85,62.8,309,4.92,02/13/16 08:53:48 CST,49.8,212,4.26,06/08/16 19:40:10 CDT
NGC5520,1865.3,4.26,7,4.89,3.71,63.3,613,9.69,02/13/16 09:10:01 CST,49.5,628,12.7,06/08/16 19:49:32 CDT
NGC5614,3838.5,3.95,7,6.14,4.2,46.7,933,19.98,02/13/16 09:28:43 CST,36.9,912,24.69,06/08/16 20:00:02 CDT
NGC5633,2307.6,3.98,7,4.88,3.9,62.9,720,11.45,02/13/16 09:45:42 CST,48.7,683,14.02,06/08/16 20:09:36 CDT
NGC5657,3870.7,4.0,7,4.8,4.02,61.0,394,6.46,02/13/16 10:01:03 CST,47.8,351,7.34,06/08/16 20:18:00 CDT
NGC5682,2253.9,3.99,7,4.7,3.74,66.3,312,4.71,02/13/16 10:16:48 CST,52.6,253,4.8,06/08/16 20:26:39 CDT
NGC5732,3722.2,2.99,7,6.13,3.69,54.7,250,4.56,02/13/16 10:33:02 CST,43.1,203,4.71,06/08/16 20:35:05 CDT
NGC5784,5400.0,3.92,7,4.83,3.89,42.2,357,8.45,02/13/16 10:49:18 CST,32.6,311,9.54,06/08/16 20:44:24 CDT
NGC5876,3231.8,3.57,7,5.15,4.32,54.0,245,4.55,02/13/16 11:05:42 CST,42.4,197,4.64,06/08/16 20:53:05 CDT
NGC5908,3283.0,6.82,10,4.54,3.69,46.8,1074,22.92,02/13/16 11:32:52 CST,36.6,1054,28.81,06/08/16 21:08:49 CDT
NGC5930,2600.5,4.48,7,5.26,3.98,54.3,1354,24.94,02/13/16 11:57:34 CST,42.6,1357,31.87,06/08/16 21:22:48 CDT
NGC5934,5520.0,3.96,7,4.83,4.0,43.5,564,12.95,02/13/16 12:16:07 CST,33.9,520,15.33,06/08/16 21:33:38 CDT
NGC5947,5777.4,3.94,7,5.23,4.04,40.1,228,5.7,02/13/16 12:30:45 CST,31.3,179,5.73,06/08/16 21:42:01 CDT
NGC5953,1965.7,6.82,10,5.0,3.97,54.8,2876,52.48,02/13/16 12:55:19 CST,42.4,2458,58.01,06/08/16 21:55:51 CDT
NGC5980,4030.9,3.99,7,4.64,4.18,44.1,832,18.85,02/13/16 13:15:29 CST,34.0,736,21.64,06/08/16 22:07:48 CDT
