# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coRactr_smo6, unit: deg, datatype: float64, format: .4f, description: Reference R.A. of smo6 CARMA cube}
# - {name: coDectr_smo6, unit: deg, datatype: float64, format: .4f, description: Reference Dec. of smo6 CARMA cube}
# - {name: coCtrint_smo6, unit: K km / s, datatype: float64, format: .3f, description: Unmasked CO intensity at reference pixel}
# - {name: coNomask_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from unmasked smo6 cube}
# - {name: coeNomask_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from unmasked smo6 cube}
# - {name: coNomaskDv_smo6, unit: km / s, datatype: float64, format: .3f, description: co velocity width for unmasked smo6 cube}
# - {name: coDilated_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from dilated-masked smo6 cube}
# - {name: coeDilated_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from dilated-masked smo6
#     cube}
# - {name: coSmooth_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from smoothed-masked smo6 cube}
# - {name: coeSmooth_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from smoothed-masked smo6
#     cube}
# - {name: coSmoothDv_smo6, unit: km / s, datatype: float64, format: .3f, description: co velocity width for smooth-masked smo6 cube}
# - {name: coMask2d_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from 2D masked smo6 cube}
# - {name: coeMask2d_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from 2D masked smo6 cube}
# - {name: coSNRmax_smo6, datatype: float64, format: .3f, description: Maximum SNR of co in smo6 cube}
# - {name: coSNR4pix_smo6, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 4 sigma}
# - {name: coSNR5pix_smo6, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 5 sigma}
# - {name: cottNomask_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from unmasked smo6 cube}
# - {name: cotteNomask_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from unmasked smo6 cube}
# - {name: cottNomaskDv_smo6, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for unmasked smo6 cube}
# - {name: cottDilated_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from dilated-masked smo6 cube}
# - {name: cotteDilated_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from dilated-masked
#     smo6 cube}
# - {name: cottSmooth_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from smoothed-masked smo6 cube}
# - {name: cotteSmooth_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from smoothed-masked
#     smo6 cube}
# - {name: cottSmoothDv_smo6, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for smooth-masked smo6 cube}
# - {name: cottMk12_di_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux in 12co dilated mask smo6 cube}
# - {name: cotteMk12_di_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty in 12co dilated mask
#     smo6 cube}
# - {name: cottMk12_sm_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux in 12co smoothed mask smo6 cube}
# - {name: cotteMk12_sm_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty in 12co smoothed mask
#     smo6 cube}
# - {name: cottMk12_2d_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux in 12co projected mask smo6 cube}
# - {name: cotteMk12_2d_smo6, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty in 12co projected mask
#     smo6 cube}
# - {name: cottSNRmax_smo6, datatype: float64, format: .3f, description: Maximum SNR of 13co in smo6 cube}
# - {name: cottSNR4pix_smo6, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 4 sigma}
# - {name: cottSNR5pix_smo6, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 5 sigma}
# delimiter: ','
# schema: astropy-2.0
Name,coRactr_smo6,coDectr_smo6,coCtrint_smo6,coNomask_smo6,coeNomask_smo6,coNomaskDv_smo6,coDilated_smo6,coeDilated_smo6,coSmooth_smo6,coeSmooth_smo6,coSmoothDv_smo6,coMask2d_smo6,coeMask2d_smo6,coSNRmax_smo6,coSNR4pix_smo6,coSNR5pix_smo6,cottNomask_smo6,cotteNomask_smo6,cottNomaskDv_smo6,cottDilated_smo6,cotteDilated_smo6,cottSmooth_smo6,cotteSmooth_smo6,cottSmoothDv_smo6,cottMk12_di_smo6,cotteMk12_di_smo6,cottMk12_sm_smo6,cotteMk12_sm_smo6,cottMk12_2d_smo6,cotteMk12_2d_smo6,cottSNRmax_smo6,cottSNR4pix_smo6,cottSNR5pix_smo6
ARP220,233.7383,23.5037,599.660,470.217,35.659,1600.000,451.869,3.019,450.280,4.997,840.000,455.930,10.080,100.819,350.000,240.000,-29.372,20.900,1600.000,17.947,0.945,19.052,1.656,680.000,14.357,1.733,15.263,2.866,14.158,5.777,6.331,54.000,14.000
IC0480,118.8467,26.7411,36.651,70.967,35.185,860.000,80.421,2.404,74.962,4.176,400.000,69.468,8.727,19.432,340.000,282.000,14.964,17.917,860.000,4.064,0.533,3.705,0.856,160.000,5.075,1.198,2.472,2.081,-1.012,4.346,5.268,56.000,6.000
IC0944,207.8787,14.0922,60.044,-32.009,31.598,860.000,91.448,3.083,93.491,5.319,680.000,61.948,10.226,8.511,435.000,204.000,-3.758,18.334,860.000,nan,nan,nan,nan,nan,8.649,1.741,6.640,2.998,1.663,5.747,4.361,11.000,0.000
IC1151,239.6346,17.4414,4.958,-22.316,50.823,860.000,nan,nan,nan,nan,nan,nan,nan,4.828,33.000,0.000,4.636,22.866,860.000,nan,nan,4.515,1.981,100.000,nan,nan,nan,nan,nan,nan,4.687,25.000,0.000
IC1199,242.6429,10.0404,25.986,-26.327,32.116,860.000,47.896,2.386,45.863,3.894,500.000,21.676,8.649,8.993,342.000,175.000,9.260,16.478,860.000,nan,nan,nan,nan,nan,3.925,1.198,2.635,1.953,-0.149,4.336,4.012,1.000,0.000
IC1683,20.6621,34.4371,111.354,98.269,31.212,860.000,93.653,2.366,88.497,3.686,520.000,78.881,6.460,20.766,319.000,233.000,25.336,17.440,860.000,1.669,0.364,nan,nan,nan,7.066,1.295,4.924,2.017,5.410,3.534,4.711,14.000,0.000
IC2247,123.9963,23.1996,39.664,37.259,28.035,860.000,72.945,2.337,70.100,3.882,500.000,66.396,7.979,12.580,346.000,278.000,1.039,12.934,860.000,0.628,0.201,nan,nan,nan,4.819,1.056,1.505,1.754,-2.918,3.600,4.160,6.000,0.000
IC5376,0.3325,34.5257,7.576,-11.162,32.960,860.000,6.543,1.027,29.710,3.464,520.000,18.154,8.011,4.585,30.000,0.000,-17.661,19.002,860.000,nan,nan,nan,nan,nan,-0.695,0.579,-0.583,1.955,-4.627,4.521,4.293,13.000,0.000
NGC0444,18.9567,31.0806,5.065,-2.237,39.969,860.000,nan,nan,nan,nan,nan,nan,nan,4.500,15.000,0.000,-4.783,21.168,860.000,2.238,0.651,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.213,6.000,0.000
NGC0447,18.9067,33.0678,39.944,13.034,27.086,860.000,35.089,1.723,30.145,3.189,320.000,29.604,7.504,14.582,257.000,144.000,5.772,16.292,860.000,nan,nan,nan,nan,nan,2.618,1.008,1.160,1.862,6.679,4.372,4.190,14.000,0.000
NGC0477,20.3354,40.4881,8.459,10.378,34.132,860.000,34.331,2.365,43.666,4.634,380.000,15.676,10.974,7.601,152.000,34.000,9.256,22.001,860.000,nan,nan,nan,nan,nan,4.314,1.490,3.170,2.918,-6.542,6.908,4.222,5.000,0.000
NGC0496,20.7983,33.5293,21.099,44.735,30.525,860.000,42.584,1.924,40.016,3.624,340.000,29.480,8.870,11.290,439.000,285.000,14.615,20.437,860.000,nan,nan,nan,nan,nan,4.919,1.261,2.730,2.371,-7.630,5.801,4.683,32.000,0.000
NGC0523,21.3362,34.0249,29.326,38.290,35.611,860.000,104.993,3.406,89.753,5.120,560.000,53.791,10.477,14.567,488.000,339.000,12.267,17.892,860.000,nan,nan,nan,nan,nan,4.843,1.666,2.684,2.513,3.443,5.138,5.290,34.000,2.000
NGC0528,21.3900,33.6714,14.907,32.891,32.037,860.000,2.207,0.909,nan,nan,nan,nan,nan,4.940,19.000,0.000,17.697,17.938,860.000,nan,nan,nan,nan,nan,-0.091,0.484,nan,nan,nan,nan,4.761,25.000,0.000
NGC0551,21.9192,37.1830,1.859,-0.297,29.129,860.000,41.421,2.289,40.260,3.833,440.000,34.807,9.067,8.846,286.000,114.000,-30.491,16.730,860.000,nan,nan,nan,nan,nan,2.224,1.288,1.086,2.155,-0.883,5.094,4.521,13.000,0.000
NGC1167,45.4263,35.2056,4.761,34.475,31.836,860.000,10.729,1.452,21.231,3.733,520.000,0.336,9.977,5.849,132.000,29.000,15.057,18.322,860.000,nan,nan,nan,nan,nan,1.828,0.814,4.716,2.088,13.245,5.579,4.515,24.000,0.000
NGC2253,100.9242,65.2064,75.818,71.010,36.423,860.000,169.013,3.949,148.827,6.361,360.000,126.755,15.111,17.697,1384.000,1144.000,-4.170,19.526,860.000,nan,nan,nan,nan,nan,11.223,2.065,5.821,3.320,-0.841,7.878,5.632,41.000,6.000
NGC2347,109.0171,64.7113,33.585,33.587,29.053,860.000,85.607,2.720,82.827,4.430,520.000,48.115,8.854,15.901,532.000,349.000,-12.538,14.645,860.000,3.248,0.482,5.237,1.117,200.000,9.863,1.339,11.666,2.180,8.215,4.352,6.228,32.000,12.000
