# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: Refcode, datatype: string, description: Ref Code for spectrum}
# - {name: Vsys, unit: km / s, datatype: float32, description: 'Vsys from LEDA, optical barycentric'}
# - {name: Deltav, unit: km / s, datatype: float32, description: Velocity channel width}
# - {name: Robust_rms, unit: mJy, datatype: float32, description: rms noise from mad_std over noise region}
# - {name: RefInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over fixed window of +/- 600.0}
# - {name: RefUnc, unit: Jy km / s, datatype: float32, description: uncertainty in RefInt}
# - {name: SigInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over get_signal_range window}
# - {name: SigUnc, unit: Jy km / s, datatype: float32, description: uncertainty in SigInt}
# - {name: SigVmin, unit: km / s, datatype: float32, description: signal start from get_signal_range}
# - {name: SigVmax, unit: km / s, datatype: float32, description: signal end from get_signal_range}
# - {name: BadFlag, datatype: bool, description: True for poor signal}
# delimiter: ','
# schema: astropy-2.0
Name,Refcode,Vsys,Deltav,Robust_rms,RefInt,RefUnc,SigInt,SigUnc,SigVmin,SigVmax,BadFlag
NGC3815,edge2015,3702.7,10.4562,0.892696,8.74673,0.0992235,8.65151,0.064669,3413.61,3915.6,False
NGC3994,edge2015,3076.0,10.4134,0.911983,33.9462,0.101399,32.238,0.0569813,2996.62,3374.17,False
NGC4003,edge2015,6550.1,10.6888,1.26761,0.464967,0.14275,0.50424,0.0856926,6345.01,6775.03,True
NGC4047,edge2015,3428.3,10.4378,1.47975,5.91679,0.164911,5.58512,0.0926718,3243.63,3623.75,False
NGC4149,edge2015,3063.3,10.413,0.938672,0.490228,0.104362,0.61709,0.111873,2828.02,4211.33,False
NGC4185,edge2015,3892.6,10.4679,1.11613,8.82364,0.124197,8.88457,0.0748109,3685.8,4120.11,False
NGC4210,edge2015,2711.1,10.3884,0.962589,3.73227,0.106768,3.93736,0.0556763,2563.21,2888.29,False
NGC4211NED02,edge2015,6571.2,10.6611,1.11551,3.02377,0.125296,3.13803,0.0897868,6282.38,6901.02,False
NGC4470,edge2015,2336.7,10.3946,1.49575,7.22669,0.166732,6.37087,0.0695319,2231.06,2441.62,False
NGC4644,edge2015,4927.8,10.5402,0.9477,3.76373,0.105713,3.91613,0.0647359,4696.43,5139.45,False
NGC4676A,edge2015,6566.0,10.8526,2.56295,-1.03741,0.290393,-0.809528,0.42183,5209.7,7726.69,True
NGC4676B,edge2015,6541.2,10.6501,1.59461,3.70577,0.178924,3.64863,0.133722,6248.15,6921.83,False
NGC4711,edge2015,4051.3,10.4811,0.955791,3.82942,0.10649,3.75471,0.0584128,3888.23,4250.68,False
NGC4961,edge2015,2531.7,10.3775,1.33997,11.0826,0.14912,11.5634,0.0709044,2396.49,2673.08,False
NGC5000,edge2015,5593.7,10.5857,1.08977,4.11145,0.122086,4.4685,0.0515909,5498.5,5719.7,False
NGC5016,edge2015,2609.1,10.381,1.59376,6.69484,0.176651,7.23731,0.0906198,2452.8,2766.45,False
NGC5056,shg2005,5592.8,8.4,2.13747,7.80087,0.213201,8.03874,0.123091,5387.62,5795.1,False
NGC5205,shg2005,1760.3,11.1,3.41562,19.3601,0.394007,18.1503,0.20417,1602.93,1931.36,False
NGC5218,shg2005,2860.4,11.1,1.60848,5.12186,0.184684,5.09652,0.108602,2713.88,3124.44,False
NGC5394,edge2015,3467.0,10.4355,1.31454,16.5711,0.146467,16.3358,0.106259,3150.87,3780.83,False
NGC5406,edge2015,5388.6,10.5723,1.13515,5.39909,0.127574,5.21848,0.0786968,5163.85,5629.1,False
NGC5480,shg2005,1906.5,11.1,2.30938,9.43544,0.266397,8.94053,0.133199,1712.04,2013.73,False
NGC5485,edge2015,1904.5,10.3093,1.39535,3.79191,0.154263,3.46487,0.0719256,1253.87,1511.77,False
NGC5520,edge2015,1877.0,10.3311,1.21411,5.12804,0.134509,5.4704,0.0720541,1706.33,2043.93,False
NGC5614,shg2005,3897.2,8.3,1.79091,2.62681,0.177132,2.45907,0.0786558,3756.27,4000.06,False
NGC5630,m2014,2672.1,5.1987,1.96716,13.0293,0.154419,12.2638,0.075843,2505.81,2797.31,False
NGC5631,edge2015,1953.4,10.3694,1.50062,4.75737,0.166869,4.8073,0.100844,1725.5,2160.06,False
NGC5633,shg2005,2325.8,11.1,3.56848,10.2073,0.369458,10.4214,0.224068,2141.41,2500.59,False
NGC5657,edge2015,3966.6,10.4707,0.933056,7.10228,0.103854,6.9343,0.0594271,3711.75,4106.93,False
NGC5682,shg2005,2276.9,11.1,5.68192,3.77702,0.652395,4.67259,0.308976,2149.12,2421.77,False
NGC5732,edge2015,3735.5,10.4603,1.28139,4.19694,0.143113,3.89218,0.074629,3573.17,3901.9,False
NGC5784,edge2015,5370.0,10.5748,0.94,1.97507,0.105667,1.97399,0.0716809,5188.32,5745.41,False
NGC5876,edge2015,3254.1,10.4472,1.12663,2.10448,0.125671,2.20623,0.0856879,2998.79,3553.09,False
NGC5908,shg2005,3332.8,4.2,20.587,39.1604,1.4597,38.0636,1.0625,3019.27,3653.61,False
NGC5930,edge2015,2588.2,10.3821,1.42318,3.98614,0.15776,4.08769,0.102368,2296.11,2794.85,False
NGC5934,vmg2001,5563.4,4.124,1.20359,3.48607,0.0806489,3.20576,0.0449473,5349.36,5703.66,False
NGC5947,edge2015,5934.6,10.6065,1.772,2.78736,0.198905,3.37608,0.0976603,5798.54,6084.12,False
NGC5953,edge2015,1969.8,10.3379,1.62068,9.79671,0.179671,9.67851,0.120818,1622.48,2157.71,False
NGC5980,edge2015,4087.4,10.4822,1.59614,8.00803,0.177853,7.19787,0.114702,3845.76,4343.59,False
NGC5987,shg2005,3006.2,4.1,9.90408,14.5385,0.68552,14.7307,0.48897,2706.77,3317.04,False
