# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: source, datatype: string, description: Origin of spectrum}
# - {name: vbary, unit: km / s, datatype: float64, description: Optical barycentric velocity}
# - {name: hiflux, unit: mJy, datatype: float64, description: HI flux}
# delimiter: ','
# schema: astropy-2.0
Name,source,vbary,hiflux
ARP220,edge2015,5031.38719323,-1.50415850145
ARP220,edge2015,5042.04149215,1.4011237435
ARP220,edge2015,5052.69653587,0.986603672105
ARP220,edge2015,5063.35232448,-1.37488773926
ARP220,edge2015,5074.00885806,0.070002360782
ARP220,edge2015,5084.66613668,0.134054948649
ARP220,edge2015,5095.32416043,-1.14500212427
ARP220,edge2015,5105.98292938,1.11803399341
ARP220,edge2015,5116.64244361,1.68326927807
ARP220,edge2015,5127.30270319,-2.49928716887
ARP220,edge2015,5137.96370822,-3.93706999602
ARP220,edge2015,5148.62545876,-4.937732602
ARP220,edge2015,5159.28795489,-7.5679783854
ARP220,edge2015,5169.95119668,-8.38642636985
ARP220,edge2015,5180.61518423,-7.84562995395
ARP220,edge2015,5191.27991761,-9.9446206613
ARP220,edge2015,5201.94539689,-12.7962581405
ARP220,edge2015,5212.61162216,-13.2792676652
ARP220,edge2015,5223.27859348,-11.6206057589
ARP220,edge2015,5233.94631095,-16.6885695704
ARP220,edge2015,5244.61477463,-17.0228499982
ARP220,edge2015,5255.28398461,-18.9428973157
ARP220,edge2015,5265.95394097,-21.4332586718
ARP220,edge2015,5276.62464378,-26.7673687151
ARP220,edge2015,5287.29609312,-28.037574594
ARP220,edge2015,5297.96828908,-32.0315047073
ARP220,edge2015,5308.64123172,-34.4804343285
ARP220,edge2015,5319.31492112,-34.0387324813
ARP220,edge2015,5329.98935737,-31.0097806892
ARP220,edge2015,5340.66454055,-34.5403792258
ARP220,edge2015,5351.34047072,-28.2271408647
ARP220,edge2015,5362.01714798,-30.7679096297
ARP220,edge2015,5372.69457239,-32.2740045442
ARP220,edge2015,5383.37274404,-34.1147602569
ARP220,edge2015,5394.05166302,-37.6566395414
ARP220,edge2015,5404.73132938,-46.5774895463
ARP220,edge2015,5415.41174322,-54.51936367
ARP220,edge2015,5426.0929046,-55.9312809365
ARP220,edge2015,5436.77481362,-44.2391009944
