# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_natv, unit: km / s, datatype: float64, format: .3f, description: 'Velocity, VRAD, LSRK'}
# - {name: coNomaskSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: coNomaskUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: coDilatedSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: coDilatedUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: coSmoothSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: coSmoothUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: coMask2dSpec_natv, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: coMask2dUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# - {name: cottNomaskSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: cottNomaskUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: cottDilatedSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: cottDilatedUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: cottSmoothSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: cottSmoothUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: cottMask2dSpec_natv, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: cottMask2dUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-28'}
# - {comments: Integrated CO spectra from de20 cubes}
# schema: astropy-2.0
Name,coVlsr_natv,coNomaskSpec_natv,coNomaskUnc_natv,coDilatedSpec_natv,coDilatedUnc_natv,coSmoothSpec_natv,coSmoothUnc_natv,coMask2dSpec_natv,coMask2dUnc_natv,cottNomaskSpec_natv,cottNomaskUnc_natv,cottDilatedSpec_natv,cottDilatedUnc_natv,cottSmoothSpec_natv,cottSmoothUnc_natv,cottMask2dSpec_natv,cottMask2dUnc_natv
ARP220,5020.000,0.11930,0.18200,0.24880,0.01630,0.26080,0.03000,0.27920,0.05650,0.00160,0.10700,0.02850,0.00710,0.03590,0.01270,0.03480,0.02140
ARP220,5040.000,0.23140,0.18200,0.24450,0.01530,0.24470,0.02880,0.26360,0.05650,-0.00460,0.10700,0.01910,0.00650,0.04530,0.01370,0.03420,0.02140
ARP220,5060.000,0.25200,0.18200,0.31980,0.01550,0.35010,0.03010,0.29100,0.05650,-0.10820,0.10700,0.03130,0.00750,0.04860,0.01420,0.04320,0.02140
ARP220,5080.000,0.19150,0.18200,0.36290,0.01640,0.39770,0.03100,0.35030,0.05650,0.03620,0.10700,0.03900,0.00810,0.03810,0.01390,0.03830,0.02140
ARP220,5100.000,0.30120,0.18200,0.43550,0.01760,0.43790,0.03360,0.39370,0.05650,0.00560,0.10700,0.02500,0.00720,0.04160,0.01230,0.02500,0.02140
ARP220,5120.000,0.46630,0.18200,0.47970,0.02000,0.50240,0.03750,0.45180,0.05650,0.02610,0.10700,0.01720,0.00600,0.02380,0.01150,0.03820,0.02140
ARP220,5140.000,0.48930,0.18200,0.63430,0.02340,0.67040,0.04100,0.65890,0.05650,0.07610,0.10700,0.02090,0.00610,0.02230,0.01280,0.03220,0.02140
ARP220,5160.000,0.50380,0.18200,0.77750,0.02660,0.78650,0.04290,0.77660,0.05650,0.04980,0.10700,0.02490,0.00640,0.04160,0.01430,0.05910,0.02140
ARP220,5180.000,0.77420,0.18200,0.89960,0.02790,0.89930,0.04350,0.87630,0.05650,0.01940,0.10700,0.02570,0.00630,0.06310,0.01510,0.05510,0.02140
ARP220,5200.000,0.56580,0.18200,0.96890,0.02810,1.01970,0.04560,0.99710,0.05650,0.05790,0.10700,0.02650,0.00660,0.05590,0.01510,0.03900,0.02140
ARP220,5220.000,0.91450,0.18200,1.07840,0.03000,1.09470,0.04650,1.03700,0.05650,-0.05770,0.10700,0.03290,0.00740,0.02130,0.01470,0.00150,0.02140
ARP220,5240.000,0.50960,0.18200,1.14660,0.03320,1.21530,0.04760,1.15340,0.05650,0.02240,0.10700,0.04270,0.00830,0.04980,0.01440,0.03700,0.02140
ARP220,5260.000,0.71630,0.18200,1.13110,0.03580,1.07700,0.04700,1.00690,0.05650,0.06590,0.10700,0.02730,0.00780,0.02740,0.01360,0.00130,0.02140
ARP220,5280.000,0.79440,0.18200,1.06690,0.03450,1.06420,0.04640,0.97890,0.05650,-0.03630,0.10700,0.02320,0.00690,0.04980,0.01400,0.03150,0.02140
ARP220,5300.000,0.80930,0.18200,1.07600,0.03340,1.02640,0.04490,0.97570,0.05650,0.06870,0.10700,0.03400,0.00730,0.03130,0.01240,0.01900,0.02140
ARP220,5320.000,0.86380,0.18200,1.01070,0.03130,1.00110,0.04430,0.92950,0.05650,0.07650,0.10700,0.02470,0.00690,0.02540,0.01210,0.02600,0.02140
ARP220,5340.000,0.55080,0.18200,0.86870,0.02580,0.88590,0.04100,0.89580,0.05650,-0.05980,0.10700,0.02300,0.00640,0.03040,0.01130,0.04480,0.02140
ARP220,5360.000,0.46360,0.18200,0.83940,0.02310,0.85540,0.03990,0.84470,0.05650,0.02120,0.10700,0.01950,0.00580,0.03140,0.01100,0.02490,0.02140
ARP220,5380.000,0.61240,0.18200,0.80470,0.02220,0.81670,0.03850,0.79610,0.05650,0.03450,0.10700,0.02050,0.00570,0.02400,0.01040,0.02560,0.02140
ARP220,5400.000,0.65540,0.18200,0.78230,0.02160,0.79260,0.03900,0.83530,0.05650,-0.04380,0.10700,0.00890,0.00440,0.01210,0.00950,0.00510,0.02140
ARP220,5420.000,0.60380,0.18190,0.81250,0.02230,0.85340,0.03840,0.86040,0.05640,-0.01090,0.10690,0.00760,0.00440,0.01420,0.00960,0.00120,0.02140
ARP220,5440.000,0.80880,0.18190,0.84600,0.02260,0.87270,0.03860,0.87120,0.05640,-0.05570,0.10690,0.01500,0.00620,0.02710,0.01090,0.02180,0.02140
ARP220,5460.000,0.62240,0.18190,0.81010,0.02200,0.83050,0.03830,0.80740,0.05640,-0.09380,0.10690,0.03130,0.00710,0.03900,0.01130,0.04350,0.02140
ARP220,5480.000,0.68740,0.18190,0.75240,0.02110,0.69730,0.03630,0.71680,0.05640,-0.04210,0.10690,0.01060,0.00580,0.01360,0.01000,0.00520,0.02140
ARP220,5500.000,0.47430,0.18190,0.76990,0.02120,0.75940,0.03440,0.72780,0.05640,0.00860,0.10690,0.00030,0.00140,0.01080,0.00840,-0.02190,0.02140
ARP220,5520.000,0.63240,0.18190,0.65840,0.01930,0.63510,0.03310,0.66730,0.05640,0.02140,0.10690,nan,nan,nan,nan,0.02610,0.02140
ARP220,5540.000,0.37320,0.18190,0.59840,0.01810,0.62170,0.03320,0.65920,0.05640,-0.07070,0.10690,nan,nan,nan,nan,0.04450,0.02140
ARP220,5560.000,0.46250,0.18190,0.49490,0.01720,0.48170,0.03260,0.51010,0.05640,0.00990,0.10690,nan,nan,nan,nan,0.02710,0.02140
ARP220,5580.000,0.40920,0.18200,0.44210,0.01750,0.44870,0.03490,0.48450,0.05640,0.03790,0.10690,nan,nan,nan,nan,0.01220,0.02140
ARP220,5600.000,0.34530,0.18200,0.32700,0.01670,0.35070,0.03570,0.34890,0.05640,-0.02170,0.10690,nan,nan,nan,nan,0.00740,0.02140
ARP220,5620.000,0.25600,0.18200,0.28880,0.01680,0.33940,0.03560,0.30250,0.05640,-0.00840,0.10690,nan,nan,nan,nan,0.01290,0.02140
ARP220,5640.000,0.15720,0.18200,0.20560,0.01690,0.19000,0.03270,0.20460,0.05640,0.00250,0.10690,nan,nan,nan,nan,0.00220,0.02140
ARP220,5660.000,-0.02950,0.18190,0.13390,0.01570,0.12690,0.02800,0.05920,0.05640,0.01540,0.10690,nan,nan,nan,nan,-0.02290,0.02140
ARP220,5680.000,-0.10170,0.18190,0.06420,0.01350,0.06440,0.02260,0.07100,0.05640,0.03910,0.10690,nan,nan,nan,nan,0.01240,0.02140
ARP220,5700.000,-0.01940,0.18190,0.04340,0.01030,0.03970,0.01960,0.08400,0.05640,0.02130,0.10690,nan,nan,nan,nan,nan,0.02140
ARP220,5720.000,0.00960,0.18190,0.03130,0.00890,0.01600,0.01600,-0.02820,0.05640,-0.06360,0.10690,nan,nan,nan,nan,0.00840,0.02140
ARP220,5740.000,0.06160,0.18190,0.03010,0.00880,0.03050,0.01390,0.02370,0.05640,-0.01540,0.10690,nan,nan,nan,nan,-0.00730,0.02140
ARP220,5760.000,-0.05990,0.18190,0.02530,0.00870,0.04110,0.01500,0.05700,0.05640,0.03650,0.10690,nan,nan,nan,nan,-0.02150,0.02140
ARP220,5780.000,0.07750,0.18190,0.00520,0.00630,0.00350,0.01270,-0.01700,0.05640,0.03040,0.10690,nan,nan,nan,nan,-0.01030,0.02140
ARP220,5800.000,0.09120,0.18190,nan,nan,-0.00290,0.01020,-0.06040,0.05640,0.04280,0.10690,nan,nan,nan,nan,-0.02810,0.02140
ARP220,5820.000,0.11770,0.18190,nan,nan,nan,nan,0.01460,0.05640,0.04040,0.10690,nan,nan,nan,nan,-0.01930,0.02140
ARP220,5840.000,-0.10650,0.18190,nan,nan,nan,nan,-0.00230,0.05640,-0.02390,0.10690,nan,nan,nan,nan,-0.03430,0.02140
ARP220,5860.000,-0.07530,0.18190,nan,nan,nan,nan,-0.01590,0.05640,-0.09570,0.10690,nan,nan,nan,nan,-0.01830,0.02140
ARP220,5880.000,0.03620,0.18190,nan,nan,nan,nan,-0.03900,0.05640,-0.05990,0.10690,nan,nan,nan,nan,-0.03350,0.02140
ARP220,5900.000,-0.11730,0.18190,nan,nan,nan,nan,0.02640,0.05640,-0.07910,0.10690,nan,nan,nan,nan,-0.01210,0.02140
ARP220,5920.000,-0.02330,0.18190,nan,nan,nan,nan,-0.03140,0.05640,-0.03300,0.10690,nan,nan,nan,nan,0.00770,0.02140
ARP220,5940.000,0.05260,0.18190,nan,nan,nan,nan,-0.04590,0.05640,-0.05850,0.10690,nan,nan,nan,nan,-0.00150,0.02140
ARP220,5960.000,0.05460,0.18190,nan,nan,nan,nan,0.03710,0.05640,0.07830,0.10690,nan,nan,nan,nan,0.00390,0.02140
ARP220,5980.000,-0.09460,0.18190,nan,nan,nan,nan,-0.02060,0.05640,-0.01870,0.10690,nan,nan,nan,nan,-0.00440,0.02140
ARP220,6000.000,-0.02760,0.18190,nan,nan,nan,nan,-0.02840,0.05640,-0.00920,0.10690,nan,nan,nan,nan,0.00970,0.02140
ARP220,6020.000,-0.05170,0.18190,nan,nan,nan,nan,-0.00290,0.05640,-0.08560,0.10690,nan,nan,nan,nan,-0.01640,0.02140
ARP220,6040.000,0.05380,0.18190,nan,nan,nan,nan,-0.04900,0.05640,-0.01450,0.10690,nan,nan,nan,nan,0.00950,0.02140
ARP220,6060.000,-0.04580,0.18190,nan,nan,nan,nan,0.06070,0.05640,0.01340,0.10690,nan,nan,nan,nan,0.00820,0.02140
ARP220,6080.000,0.01380,0.18180,nan,nan,nan,nan,0.04010,0.05640,0.01250,0.10690,nan,nan,nan,nan,0.00690,0.02140
ARP220,6100.000,0.06700,0.18180,nan,nan,nan,nan,-0.02290,0.05640,-0.00400,0.10690,nan,nan,nan,nan,-0.01330,0.02140
ARP220,6120.000,-0.01000,0.18180,nan,nan,nan,nan,-0.02750,0.05640,-0.01660,0.10690,nan,nan,nan,nan,-0.00040,0.02140
ARP220,6140.000,-0.06890,0.18180,nan,nan,nan,nan,-0.06260,0.05640,-0.05350,0.10690,nan,nan,nan,nan,0.00360,0.02140
IC0480,4060.000,-0.05600,0.24550,nan,nan,nan,nan,0.00360,0.06620,0.12290,0.12190,nan,nan,nan,nan,-0.01690,0.01630
IC0480,4080.000,0.10140,0.24550,nan,nan,nan,nan,-0.03780,0.06620,0.05660,0.12190,nan,nan,nan,nan,-0.00580,0.01630
IC0480,4100.000,0.10260,0.24550,nan,nan,nan,nan,-0.04510,0.06620,0.05410,0.12190,nan,nan,nan,nan,0.00730,0.01630
IC0480,4120.000,0.03940,0.24540,nan,nan,nan,nan,-0.03760,0.06620,-0.04680,0.12190,nan,nan,nan,nan,0.01580,0.01630
IC0480,4140.000,0.20930,0.24540,nan,nan,nan,nan,0.01230,0.06620,-0.12300,0.12180,nan,nan,nan,nan,0.00190,0.01630
IC0480,4160.000,0.32500,0.24540,nan,nan,nan,nan,0.00210,0.06620,0.05680,0.12180,nan,nan,nan,nan,0.02340,0.01630
IC0480,4180.000,0.07870,0.24540,nan,nan,nan,nan,0.02230,0.06620,0.06810,0.12180,nan,nan,nan,nan,-0.00600,0.01630
IC0480,4200.000,0.16650,0.24540,nan,nan,nan,nan,0.00910,0.06620,0.01620,0.12180,nan,nan,nan,nan,-0.02770,0.01630
IC0480,4220.000,0.09960,0.24540,nan,nan,nan,nan,0.02910,0.06620,-0.10720,0.12180,nan,nan,nan,nan,-0.00820,0.01630
IC0480,4240.000,-0.02190,0.24540,nan,nan,nan,nan,-0.04800,0.06620,-0.05470,0.12180,nan,nan,nan,nan,0.01780,0.01630
IC0480,4260.000,0.00990,0.24540,nan,nan,nan,nan,-0.08820,0.06620,-0.05220,0.12180,nan,nan,nan,nan,0.02100,0.01630
IC0480,4280.000,0.05700,0.24540,nan,nan,nan,nan,-0.02990,0.06620,0.03450,0.12180,nan,nan,nan,nan,0.02790,0.01630
IC0480,4300.000,0.18810,0.24540,-0.00160,0.00560,nan,nan,0.06430,0.06620,-0.08870,0.12180,nan,nan,nan,nan,0.02680,0.01630
IC0480,4320.000,-0.02060,0.24540,0.01610,0.00940,0.00040,0.00550,-0.03720,0.06620,0.02750,0.12180,nan,nan,nan,nan,-0.02020,0.01630
IC0480,4340.000,-0.06610,0.24540,0.01390,0.01300,0.00800,0.02450,0.02250,0.06620,0.04060,0.12180,nan,nan,nan,nan,-0.00180,0.01630
IC0480,4360.000,-0.12650,0.24540,0.05560,0.02040,0.03300,0.03200,0.01510,0.06620,-0.15030,0.12180,nan,nan,nan,nan,-0.02900,0.01630
