# AUTHOR: S. Zibetti
# SOURCE: QC
# DATE: 2016-02-23
# VERSION: 1.0
# COLAPRV: S. Zibetti
# PUBAPRV: None
# COLUMN1 : CALIFAID  ,  int ,  ,  CALIFA ID
# COLUMN2 : NAME  ,  string ,  ,  The name of the galaxy
# COLUMN3 : FLAG_OBS_SKYMAG, short, , Flag for critical sky surface brightness
# COLUMN4 : FLAG_OBS_EXT, short, , Flag for critical atmospheric extinction
# COLUMN5 : FLAG_OBS_AM, short, , Flag for critical airmass
# COLUMN6 : FLAG_RED_STRAYLIGHT, short, , Flag for critical straylight
# COLUMN7 : FLAG_RED_DISP, short, , Flag for critical spectral resolution
# COLUMN8 : FLAG_RED_CDISP, short, , Flag for critical cross-dispersion
# COLUMN9 : FLAG_RED_SKYLINES, short, , Flag for critical sky subtraction of 4358
# COLUMN10: FLAG_RED_LIMSB, short, , Flag for critical limiting surface brightness sensitivity
# COLUMN11: FLAG_RED_ERRSPEC, short, , Flag for abnormal error datacube
# COLUMN12: FLAG_CAL_WL, short, , Flag for critical wavelength calibration stability
# COLUMN13: FLAG_CAL_IMGQUAL, short, , Flag for critical reconstructed image quality
# COLUMN14: FLAG_CAL_SPECQUAL, short, , Flag for critical integrated spectrum quality
# COLUMN15: FLAG_CAL_FLATSDSS, short, , Flag for flat-fielding relative to SDSS; -1 if not applied
# COLUMN16: FLAG_CAL_REGISTRATION, short, , Flag for 2D registration relative to SDSS; -1 if not applied
# COLUMN17: FLAG_RELEASE, short, , 1: include in DR3; 0: do not include in DR3
# COLUMN18: NOTES, string, , notes
48,"NGC0523",1,0,0,1,0,0,0,1,0,0,0,0,1,-1,1,""
49,"UGC00987",0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,""
50,"NGC0528",0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,""
51,"NGC0529",1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,""
52,"NGC0551",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,""
53,"UGC01057",0,-1,0,0,0,1,1,0,0,0,0,0,0,1,1,""
54,"NGC0570",0,-1,0,0,1,1,0,0,0,0,0,0,0,0,1,""
55,"UGC01062",0,-1,0,0,1,1,1,0,0,0,0,0,0,1,1,""
56,"2MASXJ01331766+1319567",1,0,0,1,0,0,0,0,0,0,2,1,2,1,0,""
57,"UGC01123",1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,""
58,"IC0159",1,-1,0,0,0,1,1,2,0,1,2,0,2,-1,0,""
59,"UGC01271",1,0,0,2,0,0,0,1,0,0,1,0,0,1,1,""
60,"UGCA021",1,-1,0,0,0,1,0,-1,-1,-1,2,2,2,-1,0,""
61,"NGC0681",1,0,1,0,0,0,1,2,0,0,0,0,1,-1,1,""
62,"UGC01274",0,0,0,0,0,0,0,2,0,1,2,1,2,-1,0,""
63,"NGC0677",0,-1,1,0,0,1,0,0,0,0,0,0,0,0,1,""
64,"NGC0693",1,-1,1,0,0,1,1,0,0,0,0,0,0,0,1,""
65,"NGC0716",0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,""
66,"UGC01368",0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,""
67,"NGC0731",1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1,""
68,"NGC0741",0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,""
69,"NGC0755",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,""
70,"IC1755",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,""
71,"NGC0768",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,""
72,"NGC0774",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,""
73,"NGC0776",0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,""
74,"NGC0781",1,0,0,1,0,0,1,2,0,0,0,0,1,-1,1,""
75,"NGC0787",1,-1,0,1,1,0,1,2,0,1,2,0,0,-1,0,""
76,"NGC0810",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,""
77,"NGC0825",0,0,0,0,0,0,1,0,0,0,0,0,1,-1,1,""
78,"NGC0833",0,0,1,0,0,0,1,2,0,0,1,0,-1,1,1,""
79,"IC0210",0,-1,0,-1,1,1,-1,2,0,0,2,2,2,-1,0,""
80,"NGC0842",0,-1,1,0,0,0,1,0,0,0,0,0,1,1,1,""
81,"UGC01659",1,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,""
82,"KUG0210-078",1,-1,1,1,0,0,0,0,0,0,0,0,1,1,1,""
83,"UGC01749",0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,""
84,"NGC0873",1,-1,1,0,0,1,1,2,0,0,0,0,1,1,1,""
85,"NGC0924",1,-1,1,0,0,1,1,-1,-1,-1,2,2,2,-1,0,""
86,"UGC01918",0,0,0,0,0,1,1,2,0,0,0,1,-1,-1,1,""
87,"NGC0932",1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,""
88,"UGC01938",0,-1,0,0,1,1,0,0,0,0,0,0,0,1,1,""
89,"NGC0941",0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,""
90,"NGC0938",0,-1,0,1,0,0,1,0,0,0,0,0,1,-1,1,""
91,"NGC0955",0,-1,1,0,1,0,1,0,0,0,0,0,1,-1,1,""
92,"NGC0962",0,-1,0,0,0,0,1,0,0,0,0,0,1,-1,1,""
93,"UGC02018",0,-1,0,-1,0,1,-1,0,0,0,0,0,1,1,1,""
94,"NGC0976",0,-1,0,1,0,0,1,0,0,-1,0,1,1,1,1,""
95,"NGC0991",0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,1,1,""
96,"UGC02099",0,-1,0,0,1,0,0,0,0,0,0,0,1,0,1,""
97,"UGC02134",1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,""
98,"NGC1026",0,-1,0,0,1,1,1,0,0,0,0,0,0,0,1,""
99,"NGC1041",1,-1,1,2,0,0,1,0,0,0,1,0,1,1,1,""
100,"NGC1056",0,-1,0,0,1,0,0,0,0,0,1,0,0,0,1,""
101,"NGC1060",0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,""
102,"NGC1070",0,-1,0,0,1,1,1,0,0,0,0,0,1,0,1,""
103,"UGC02222",0,0,0,0,0,1,0,0,0,0,0,0,1,-1,1,""
104,"UGC02229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,""
105,"UGC02239",0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,""
106,"MCG-01-08-008",0,-1,0,0,0,1,0,0,0,0,0,0,0,1,1,""
107,"NGC1094",0,-1,0,0,1,0,0,0,0,0,0,0,1,1,1,""
108,"NGC1093",0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,""
109,"UGC02311",0,-1,0,1,0,0,0,0,0,0,0,0,1,1,1,""
110,"UGC02319",0,-1,1,0,0,1,0,0,0,0,1,0,0,0,1,""
111,"MCG-02-08-014",0,-1,0,0,0,1,1,-1,-1,-1,2,2,2,-1,0,""
112,"NGC1132",1,-1,1,0,1,0,1,2,0,2,1,0,1,-1,0,""
113,"UGC02367",0,-1,0,0,0,1,0,1,0,0,2,0,2,-1,0,""
114,"NGC1142",0,-1,0,0,0,1,0,0,0,0,0,0,1,1,1,""
115,"UGC02403",1,0,0,0,0,1,0,-1,-1,2,1,2,-1,-1,0,""
116,"UGC02405",0,0,0,2,0,0,0,-1,-1,-1,2,2,-1,-1,0,""
117,"UGC02443",0,-1,1,0,0,1,1,1,0,0,0,0,1,1,1,""
118,"UGC02465",1,0,0,2,0,1,1,2,0,0,1,2,1,-1,0,""
119,"NGC1167",0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,""
120,"NGC1194",1,-1,1,2,0,1,1,0,0,0,0,0,0,1,1,""
121,"NGC1211",1,-1,0,0,0,0,1,2,0,0,2,0,2,-1,0,""
122,"MCG-01-09-006",0,-1,0,0,1,0,1,0,0,0,0,0,0,1,1,""
123,"IC0307",0,-1,0,2,0,0,0,0,0,0,0,0,1,1,1,""
124,"UGC02628",0,-1,0,0,0,1,1,0,0,0,0,0,0,0,1,""
125,"UGC02690",0,-1,0,0,1,1,1,1,0,0,0,0,0,-1,1,""
126,"NGC1324",0,-1,0,0,1,1,1,0,0,0,0,0,1,1,1,""
127,"NGC1349",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,""
128,"NGC1361",0,-1,0,0,0,1,0,0,0,0,0,0,0,1,1,""
129,"MCG-01-10-015",0,-1,0,0,0,1,0,0,0,0,0,0,1,0,1,""
130,"MCG-01-10-019",0,-1,1,0,0,1,0,0,0,0,0,0,0,0,1,""
131,"NGC1542",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,""
132,"UGC03038",0,0,0,-1,0,0,-1,1,1,0,2,1,2,-1,0,""
133,"UGC03107",0,0,0,0,1,0,0,-1,-1,-1,2,2,2,-1,0,""
134,"NGC1645",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,""
135,"UGC03151",0,0,0,0,0,0,0,2,0,0,1,1,1,-1,1,""
136,"NGC1656",0,-1,1,0,0,0,1,0,0,0,1,0,1,-1,1,""
137,"NGC1659",0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,1,1,""
