# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrot_bsc, unit: km / s, datatype: float64, description: Beam smearing corrected rotation curve}
# - {name: e_Vrot_bsc, unit: km / s, datatype: float64, description: Error in corrected rotation curve}
# delimiter: ','
# meta: !!omap
# - {comments: CO Rotation Curves from 2018MNRAS.477..254L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrot_bsc,e_Vrot_bsc
NGC2410,10.1792,232.411,2.78468,254.167,2.71867
NGC2410,12.2801,238.436,2.85703,256.753,2.84022
NGC2410,14.4137,237.16,2.20018,247.139,1.99732
NGC2410,16.4881,235.386,4.83662,245.464,5.89653
NGC2410,18.6193,216.6,3.75997,240.398,3.01234
NGC2410,20.752,198.989,3.18244,245.128,4.11309
NGC2410,22.7797,158.472,4.14146,256.432,14.5283
NGC2639,6.53039,271.008,4.12603,287.014,4.1732
NGC2639,8.87971,282.666,2.29079,288.157,2.28731
NGC2639,11.1207,305.328,1.42034,312.589,1.4158
NGC2639,13.3537,318.384,1.19231,323.248,1.18719
NGC2639,15.5352,326.728,1.37045,329.253,1.37457
NGC2639,17.6939,329.254,1.70334,331.079,1.70355
NGC2639,19.9266,331.426,3.10744,329.458,3.12593
NGC2906,2.38039,72.8177,5.22101,78.5182,5.20133
NGC2906,5.0315,119.959,10.0001,116.729,9.88613
NGC2906,7.6833,138.78,10.395,133.286,11.2963
NGC2906,13.0625,178.377,1.90356,179.579,11.9779
NGC2906,15.7055,176.167,1.4198,177.679,11.5528
NGC2906,18.364,184.8,1.97825,190.686,11.9121
NGC2906,23.848,175.979,3.54249,185.39,12.2602
NGC3815,3.34022,93.465,4.94378,115.711,7.14309
NGC3815,5.93001,135.767,3.66247,151.22,7.00263
NGC3815,7.92609,155.721,2.63408,161.775,4.22829
NGC3815,9.97259,170.045,1.66574,171.175,1.69305
NGC3815,12.0416,180.676,1.44681,181.355,1.72165
NGC3815,16.0254,191.999,20.7292,171.257,29.4048
NGC3994,3.58559,159.427,7.17122,193.494,9.34917
NGC3994,6.6253,216.854,2.76098,250.61,3.92763
NGC3994,9.00795,227.371,1.70856,239.438,2.69888
NGC3994,11.2651,229.994,2.56897,229.659,4.35585
NGC3994,13.4853,242.839,4.95729,246.173,9.16848
NGC4047,2.04866,91.2107,2.50412,145.041,3.30725
NGC4047,4.28563,150.964,1.22308,170.416,2.47346
NGC4047,6.45766,174.459,1.44368,177.13,1.80308
NGC4047,8.60735,191.268,0.793255,195.623,0.765336
NGC4047,10.8589,203.189,0.417302,212.705,0.530321
NGC4047,13.039,213.021,1.76141,216.999,1.50778
NGC4047,15.2672,215.8,2.00458,217.603,1.89199
NGC4047,17.55,217.042,2.55232,219.559,2.34546
NGC4047,19.6377,213.118,3.95201,217.89,3.19172
NGC4149,3.51995,124.293,3.42749,134.596,11.7867
NGC4149,6.37605,185.545,3.18366,193.86,9.23581
NGC4149,8.62996,216.573,3.93953,215.265,8.58042
NGC4149,10.7773,231.599,2.54338,231.027,5.69695
NGC4149,12.9394,247.07,6.93143,242.091,9.83262
NGC4149,15.1122,257.817,10.811,259.147,13.3022
NGC4149,17.2337,212.604,16.5551,258.061,25.8076
NGC4210,6.50527,103.959,25.6277,121.791,26.5288
NGC4210,8.83491,123.349,27.2704,139.087,29.8592
NGC4210,11.1931,126.872,29.548,128.252,24.3769
NGC4210,13.3206,148.715,13.7448,144.392,14.4447
NGC4210,15.6575,190.632,12.3029,183.741,17.858
NGC4644,3.56047,95.0636,5.79772,128.873,7.41186
NGC4644,6.17735,142.634,4.37089,170.187,5.18464
NGC4644,8.3012,163.991,3.74595,176.012,5.08279
NGC4644,10.3723,171.931,4.15788,177.859,6.28155
NGC4644,12.399,157.096,19.6529,163.58,20.7733
NGC4644,14.5085,172.278,6.54086,178.559,8.9138
NGC4644,16.605,183.639,8.37203,190.493,8.1757
NGC4711,3.43908,56.8442,9.75619,61.6039,9.76501
NGC4711,6.10203,102.161,2.78757,115.242,2.7995
NGC4711,8.27753,119.723,3.50363,130.473,3.51189
NGC4711,10.4139,123.163,3.06786,124.823,3.03125
NGC4711,12.5241,131.387,5.14419,128.163,5.19402
NGC4711,14.8868,145.27,2.10518,145.6,2.08206
NGC4711,16.9051,148.068,1.30571,147.862,1.30362
NGC4711,19.0203,153.923,2.26743,162.724,2.25071
NGC4961,3.08989,42.486,9.11606,57.4611,9.10295
NGC4961,5.85841,81.1503,5.11907,94.1276,5.17526
NGC4961,7.87435,104.048,11.3947,83.6108,11.3807
NGC4961,9.92851,109.84,6.95364,134.032,6.92238
NGC4961,11.7858,124.783,18.6566,120.557,18.5876
NGC4961,16.4739,125.095,1254.33,136.964,26.8724
NGC5016,2.06717,51.5633,3.38441,74.3928,7.0044
NGC5016,4.29706,94.9244,4.10729,114.608,5.02429
NGC5016,6.53225,114.381,3.46301,120.531,3.33857
NGC5016,8.74885,136.86,1.54237,136.163,1.77981
NGC5016,10.943,152.799,1.27294,156.704,1.63129
NGC5016,13.2509,167.56,1.5854,175.454,2.03369
NGC5016,15.5137,182.496,4.8071,182.047,5.14389
NGC5016,17.722,214.261,8.96944,202.698,7.91513
NGC5056,3.92523,112.308,7.51651,141.487,8.12404
NGC5056,6.99092,170.156,4.64825,192.775,5.36573
NGC5056,9.38243,182.154,4.21043,186.18,4.18375
NGC5056,11.7903,191.007,4.60787,188.82,4.38564
NGC5056,14.3143,183.754,3.46117,182.278,3.16187
NGC5056,16.5948,179.681,2.9583,177.907,4.51467
NGC5218,6.66559,170.752,4.00756,196.939,13.992
NGC5218,8.96436,205.622,2.12641,232.892,12.1247
NGC5218,11.2204,207.983,2.05892,204.693,12.0638
NGC5218,13.5467,246.568,3.60006,245.759,13.5272
NGC5218,15.7748,246.025,3.16373,264.639,13.0394
