# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: r_arcs, unit: arcsec, datatype: float64, description: outer radius of ring in arcsec}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: outer radius of ring in kpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: outer radius of ring as frac of opt radius}
# - {name: npix, datatype: int64, description: number of available pixels in the ring}
# - {name: ngood, datatype: int64, description: number of unmasked pixels in the ring}
# - {name: ico_avg, unit: K km / s, datatype: float64, format: 10.3f, description: average face-on intensity in ring if ngood/npix > 0.1
#     and setting blanks to zero}
# - {name: ico_rms, unit: K km / s, datatype: float32, description: rms face-on intensity in ring for unmasked pixels}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f, description: 3 sigma detection limit based on emom0max}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f, description: average face-on surface density including He with
#     alphaco=4.3}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e, description: total CO luminosity within the given radius}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e, description: total molecular gas mass within the given radius}
# delimiter: ','
# schema: astropy-2.0
Name,r_arcs,r_kpc,r_r25,npix,ngood,ico_avg,ico_rms,detlim,sigmol,cumlum,cummass
IC0480,106.5,34.225,2.029,266,9,nan,nan,0.864,nan,7.7858e+08,3.3479e+09
IC0480,109.5,35.189,2.086,253,8,nan,nan,0.897,nan,7.7858e+08,3.3479e+09
IC0480,112.5,36.153,2.143,255,10,nan,nan,0.863,nan,7.7858e+08,3.3479e+09
IC0480,115.5,37.117,2.200,250,6,nan,nan,0.893,nan,7.7858e+08,3.3479e+09
IC0480,118.5,38.082,2.257,246,7,nan,nan,0.904,nan,7.7858e+08,3.3479e+09
IC0480,121.5,39.046,2.314,254,2,nan,nan,0.912,nan,7.7858e+08,3.3479e+09
IC0540,1.5,0.217,0.047,10,10,9.966,1.0112743,5.799,42.853,5.6664e+06,2.4366e+07
IC0540,4.5,0.652,0.140,31,31,7.087,1.9533089,3.263,30.476,1.8159e+07,7.8083e+07
IC0540,7.5,1.087,0.233,53,53,4.149,2.2130105,2.444,17.839,3.0661e+07,1.3184e+08
IC0540,10.5,1.522,0.327,75,75,2.116,1.8030106,1.962,9.100,3.9685e+07,1.7065e+08
IC0540,13.5,1.957,0.420,96,86,0.738,1.3343072,1.684,3.172,4.3712e+07,1.8796e+08
IC0540,16.5,2.392,0.513,107,83,0.346,0.9692186,1.568,1.486,4.5816e+07,1.9701e+08
IC0540,19.5,2.827,0.607,142,78,0.035,0.73224515,1.370,0.150,4.6097e+07,1.9822e+08
IC0540,22.5,3.262,0.700,154,63,-0.041,0.47183058,1.330,-0.175,4.5740e+07,1.9668e+08
IC0540,25.5,3.697,0.793,182,56,-0.026,0.3404289,1.248,-0.113,4.5467e+07,1.9551e+08
IC0540,28.5,4.132,0.887,197,44,0.023,0.19723849,1.232,0.097,4.5721e+07,1.9660e+08
IC0540,31.5,4.567,0.980,216,45,0.023,0.20892897,1.208,0.098,4.6001e+07,1.9780e+08
IC0540,34.5,5.002,1.073,242,51,0.025,0.23644143,1.178,0.109,4.6349e+07,1.9930e+08
IC0540,37.5,5.437,1.167,262,45,0.032,0.2577241,1.176,0.136,4.6819e+07,2.0132e+08
IC0540,40.5,5.872,1.260,283,38,0.045,0.31465217,1.180,0.192,4.7537e+07,2.0441e+08
IC0540,43.5,6.307,1.353,299,32,0.034,0.2844118,1.207,0.145,4.8111e+07,2.0688e+08
IC0540,46.5,6.742,1.447,326,32,nan,nan,1.212,nan,4.8111e+07,2.0688e+08
IC0540,49.5,7.177,1.540,342,20,nan,nan,1.258,nan,4.8111e+07,2.0688e+08
IC0540,52.5,7.612,1.633,374,17,nan,nan,1.280,nan,4.8111e+07,2.0688e+08
IC0540,55.5,8.047,1.727,385,16,nan,nan,1.350,nan,4.8111e+07,2.0688e+08
IC0540,58.5,8.482,1.820,408,16,nan,nan,1.406,nan,4.8111e+07,2.0688e+08
IC0540,61.5,8.917,1.913,422,14,nan,nan,1.434,nan,4.8111e+07,2.0688e+08
IC0944,1.5,0.733,0.033,7,7,11.754,0.5307015,4.402,50.542,7.5931e+07,3.2650e+08
IC0944,4.5,2.199,0.098,23,23,9.417,1.6012394,2.465,40.495,2.7582e+08,1.1860e+09
IC0944,7.5,3.665,0.164,38,38,6.944,2.0423763,1.927,29.858,5.1933e+08,2.2331e+09
IC0944,10.5,5.132,0.229,51,51,5.281,1.7567108,1.630,22.710,7.6790e+08,3.3020e+09
IC0944,13.5,6.598,0.295,66,66,4.249,1.3704332,1.369,18.272,1.0267e+09,4.4149e+09
IC0944,16.5,8.064,0.360,75,75,3.249,0.86390215,1.221,13.972,1.2516e+09,5.3820e+09
IC0944,19.5,9.530,0.426,98,98,2.462,0.72261244,1.029,10.586,1.4743e+09,6.3393e+09
IC0944,22.5,10.996,0.491,105,105,1.904,0.542506,0.956,8.186,1.6587e+09,7.1326e+09
IC0944,25.5,12.463,0.556,126,126,1.511,0.5275397,0.856,6.499,1.8345e+09,7.8882e+09
IC0944,28.5,13.929,0.622,142,142,1.089,0.5602859,0.781,4.683,1.9772e+09,8.5020e+09
IC0944,31.5,15.395,0.687,158,158,0.711,0.5074656,0.731,3.057,2.0809e+09,8.9477e+09
IC0944,34.5,16.861,0.753,167,167,0.440,0.44083753,0.706,1.891,2.1486e+09,9.2391e+09
IC0944,37.5,18.327,0.818,183,183,0.172,0.36097142,0.681,0.740,2.1777e+09,9.3641e+09
IC0944,40.5,19.793,0.884,194,184,0.069,0.32123214,0.668,0.299,2.1901e+09,9.4175e+09
IC0944,43.5,21.260,0.949,213,183,0.019,0.3007947,0.645,0.082,2.1939e+09,9.4337e+09
IC0944,46.5,22.726,1.015,224,174,0.040,0.28286013,0.650,0.172,2.2022e+09,9.4693e+09
IC0944,49.5,24.192,1.080,245,155,0.039,0.20032059,0.638,0.168,2.2110e+09,9.5072e+09
IC0944,52.5,25.658,1.146,247,122,0.015,0.17591426,0.672,0.065,2.2144e+09,9.5219e+09
IC0944,55.5,27.124,1.211,284,103,0.039,0.15860762,0.656,0.167,2.2246e+09,9.5657e+09
IC0944,58.5,28.590,1.277,279,65,0.012,0.12264164,0.715,0.052,2.2277e+09,9.5792e+09
IC0944,61.5,30.057,1.342,308,39,0.010,0.10082321,0.701,0.042,2.2305e+09,9.5911e+09
IC0944,64.5,31.523,1.407,309,19,nan,nan,0.731,nan,2.2305e+09,9.5911e+09
IC0944,67.5,32.989,1.473,331,12,nan,nan,0.723,nan,2.2305e+09,9.5911e+09
IC1199,1.5,0.496,0.042,12,12,7.849,1.22556,4.852,33.751,2.3956e+07,1.0301e+08
IC1199,4.5,1.489,0.126,37,37,5.477,2.1443715,2.715,23.550,7.5497e+07,3.2464e+08
