# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# delimiter: ','
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7
ARP220,5620.0,0.37395,0.19014,0.28289,0.01909,0.29346,0.03948,0.32173,0.05519
ARP220,5640.0,0.16328,0.19014,0.18886,0.01873,0.22435,0.03886,0.20608,0.05519
ARP220,5660.0,0.18287,0.19014,0.11507,0.01761,0.10374,0.03748,0.09385,0.05519
ARP220,5680.0,-0.05434,0.19008,0.05503,0.01529,0.08692,0.03357,0.09005,0.05519
ARP220,5700.0,0.05870,0.19009,0.03677,0.01268,0.03217,0.02404,0.06909,0.05518
ARP220,5720.0,0.03687,0.19009,0.01899,0.01074,-0.00404,0.02206,-0.04664,0.05518
ARP220,5740.0,0.08662,0.19009,0.02048,0.00900,0.02317,0.01230,0.04968,0.05518
ARP220,5760.0,0.01994,0.19009,0.02020,0.00900,nan,nan,0.04301,0.05518
ARP220,5780.0,0.11025,0.19010,0.00354,0.00864,nan,nan,-0.00739,0.05518
ARP220,5800.0,0.10183,0.19010,nan,nan,nan,nan,-0.05891,0.05518
ARP220,5820.0,0.08062,0.19010,nan,nan,nan,nan,0.02809,0.05518
ARP220,5840.0,-0.10178,0.19010,nan,nan,nan,nan,0.01383,0.05518
ARP220,5860.0,-0.04879,0.19010,nan,nan,nan,nan,-0.02456,0.05517
ARP220,5880.0,0.02064,0.19011,nan,nan,nan,nan,-0.06158,0.05517
ARP220,5900.0,-0.05240,0.19011,nan,nan,nan,nan,0.03463,0.05517
ARP220,5920.0,0.19092,0.19011,nan,nan,nan,nan,-0.02220,0.05517
ARP220,5940.0,0.18077,0.19011,nan,nan,nan,nan,0.00987,0.05517
ARP220,5960.0,0.08643,0.19009,nan,nan,nan,nan,0.02041,0.05517
ARP220,5980.0,-0.15966,0.19007,nan,nan,nan,nan,-0.01869,0.05517
ARP220,6000.0,0.07875,0.19004,nan,nan,nan,nan,-0.04990,0.05516
ARP220,6020.0,-0.18435,0.19004,nan,nan,nan,nan,-0.02543,0.05516
ARP220,6040.0,0.02231,0.19004,nan,nan,nan,nan,-0.00281,0.05516
ARP220,6060.0,0.05078,0.19002,nan,nan,nan,nan,0.03090,0.05516
ARP220,6080.0,-0.12952,0.19002,nan,nan,nan,nan,0.02215,0.05516
ARP220,6100.0,-0.00295,0.19002,nan,nan,nan,nan,-0.01703,0.05516
ARP220,6120.0,0.16334,0.19003,nan,nan,nan,nan,-0.02253,0.05516
ARP220,6140.0,-0.02021,0.19003,nan,nan,nan,nan,-0.04389,0.05516
IC0480,4060.0,0.02724,0.25231,nan,nan,nan,nan,0.05379,0.06691
IC0480,4080.0,-0.12590,0.25228,nan,nan,nan,nan,-0.03515,0.06691
IC0480,4100.0,0.02385,0.25228,nan,nan,nan,nan,-0.03550,0.06691
IC0480,4120.0,0.05731,0.25226,nan,nan,nan,nan,-0.00081,0.06691
IC0480,4140.0,-0.04036,0.25223,nan,nan,nan,nan,0.02768,0.06691
IC0480,4160.0,0.22291,0.25224,nan,nan,nan,nan,-0.00304,0.06691
IC0480,4180.0,-0.03555,0.25221,nan,nan,nan,nan,0.02206,0.06690
IC0480,4200.0,0.15813,0.25222,nan,nan,nan,nan,-0.04862,0.06690
IC0480,4220.0,0.04204,0.25222,nan,nan,nan,nan,-0.02081,0.06690
IC0480,4240.0,-0.21010,0.25222,nan,nan,nan,nan,-0.03646,0.06690
IC0480,4260.0,-0.20781,0.25217,nan,nan,nan,nan,-0.05964,0.06690
IC0480,4280.0,0.31883,0.25217,nan,nan,nan,nan,-0.10807,0.06690
IC0480,4300.0,0.18870,0.25217,nan,nan,nan,nan,0.05801,0.06689
IC0480,4320.0,0.22197,0.25218,nan,nan,nan,nan,-0.03404,0.06689
IC0480,4340.0,0.31487,0.25218,0.00793,0.01268,-0.00282,0.03154,0.05669,0.06689
IC0480,4360.0,-0.00944,0.25215,0.03133,0.02124,0.00637,0.03643,0.00524,0.06689
IC0480,4380.0,0.16252,0.25213,0.11290,0.02561,0.10871,0.04425,0.13934,0.06689
IC0480,4400.0,0.12537,0.25211,0.18415,0.02864,0.11251,0.05207,0.07147,0.06689
IC0480,4420.0,-0.03767,0.25211,0.30778,0.03094,0.29957,0.05229,0.27530,0.06688
IC0480,4440.0,0.49352,0.25211,0.29331,0.02996,0.29561,0.05334,0.25223,0.06688
IC0480,4460.0,0.01349,0.25206,0.20518,0.02739,0.15938,0.05353,0.15593,0.06688
IC0480,4480.0,0.34318,0.25206,0.22345,0.02971,0.23080,0.05330,0.23908,0.06688
IC0480,4500.0,0.31330,0.25206,0.29099,0.02983,0.22298,0.04928,0.20371,0.06688
IC0480,4520.0,0.36735,0.25199,0.24564,0.02943,0.24485,0.05164,0.28066,0.06688
IC0480,4540.0,0.05679,0.25196,0.22206,0.02806,0.21535,0.04955,0.22785,0.06687
IC0480,4560.0,0.29647,0.25196,0.25405,0.02714,0.26875,0.04729,0.20836,0.06687
IC0480,4580.0,0.35495,0.25197,0.24301,0.02684,0.24476,0.04834,0.22781,0.06687
IC0480,4600.0,0.24585,0.25197,0.23533,0.02680,0.18130,0.04838,0.13317,0.06687
IC0480,4620.0,0.02973,0.25197,0.22932,0.02765,0.21228,0.04675,0.16245,0.06687
IC0480,4640.0,-0.19587,0.25197,0.19407,0.02627,0.17777,0.04417,0.16072,0.06687
IC0480,4660.0,0.12544,0.25195,0.16706,0.02737,0.15687,0.04558,0.20781,0.06686
IC0480,4680.0,0.06044,0.25195,0.24609,0.02872,0.22035,0.04525,0.13016,0.06686
IC0480,4700.0,0.14446,0.25196,0.22161,0.02872,0.22143,0.04351,0.20277,0.06686
IC0480,4720.0,-0.11995,0.25196,0.03624,0.02646,0.05172,0.04283,0.02312,0.06686
IC0480,4740.0,-0.20244,0.25196,nan,nan,0.01569,0.04103,-0.02029,0.06686
